Client,Status,Pro Class,Contract Title,Contract Requirement,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,To provide holistic wellness and specialist physical activity services that will link closely with the contact hub within Stockport Council,OJEU Tender,Contract,1-Oct-16,48,72,30-Sep-20,No,30-Sep-22,1-Sep-18,"ÃÂ£914,993.00","ÃÂ£5,489,958.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to People
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,-,ABL HEALTH LIMITED,SME,6968122,WA10 1AJ,Stockport- Services to People
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,-,STOCKPORT SPORTS TRUST t/a LIFE LEISURE,SME,"

05087886",OL12 0EN,Stockport- Services to People
Stockport Council,Live (Ongoing),310000-Healthcare :  ,"Sexual and Reproductive Health Services for the boroughs of Stockport, Tameside & Trafford","Collaborative procurement across Stockport, Tameside and Trafford for the provision of Sexual and Reproductive Health Services that will operate across all three authority area with Stockport operating as the lead contractor. ",OJEU Tender,Contract,16-Sep-16,31,55,31-Mar-21,Yes,31-Mar-21,1-Oct-18,"ÃÂ£1,652,313.00","ÃÂ£7,435,408.50",Central Manchester University Hospitals NHS Foundation Trust,NHS,1049274,M13 0ZY,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),379999-Utilities : Not Elsewhere Classified : ,"Water, Waste Water, and Ancillary Services",-,Local Services,Contract,1-Apr-74,539,539,30-Jun-20,,30-Jun-19,,"ÃÂ£1,973,000.00","ÃÂ£84,674,583.33",Water Plus,Large,4141390,ST1 4FD ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271699-Information Communication Technology : Telecommunications : ,Unified Communications,-,Mini Competition (External),Contract,6-Apr-17,36,60,5-Apr-20,No,5-Apr-22,1-Jun-19,"ÃÂ£69,973.94","ÃÂ£500,895.25",Virgin Media Business,Large,1785381,S98 1HS,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271420-Information Communication Technology : Services : Online Services,Governors Hub,-,Quote,Contract,1-Apr-16,48,48,31-Mar-20,,31-Mar-20,1-Oct-19,"ÃÂ£12,372.00","ÃÂ£43,872.00",Ortoo Technologies,SME,8142817,NR28 ODX,Stockport- Services to People
Stockport Council,Live (Ongoing),209999-Financial Services : Not Elsewhere Classified : ,Early Payment Scheme - Early payment of suppliers ,-,Call Off (Internal),Concession,5-Apr-19,60,60,4-Apr-24,,4-Apr-24,1-Apr-22,Income,Income,Oxygen Finance Limited,Large,5288899,B2 5QB,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),379999-Utilities : Not Elsewhere Classified : ,Demand Side Response Schemes,-,Mini Competition (External),Concession,1-Nov-16,36,36,31-Oct-19,No,31-Oct-19,31-Oct-18,Income,Income,KiWi Power Limited,Large,7104653,N3 1XW ,Stockport- Services to Place
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,OJEU Tender,Contract,1-Oct-15,24,48,30-Sep-19,Yes,30-Sep-19,1-Jun-17,"ÃÂ£21,198.62","ÃÂ£84,794.48",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,Arco Ltd,SME,4528366,BB4 5JT,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,Ioma Clothing Company,Large,3578140,BL4 0NN,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,J & K Ross,Large,1060906,BL5 3NU ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,Lion Safety,SME,7003876,WF4 3BA ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,MWUK Ltd t/a Alexandra,Large,1738371,NE12 8EX ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,Rexel UK Ltd T/A Newey & Eyre ,SME,0050211NI ,BT4 2AW ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),141100-Clothing : Protective : ,"Personal Protective Equipment, Footwear, Corporate Clothing & Equipment Framework Contract",-,-,-,-,-,-,-,-,-,-,-,-,SBA Ltd,SME,3386037I,HU12 9SH ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271510-Information Communication Technology : Services : Application Service Provision,Social Care Case Management System,-,Call Off (External),Contract,1-Dec-17,48,96,30-Nov-21,No,30-Nov-25,30-Nov-20,"ÃÂ£93,149.00","ÃÂ£1,446,773.00","Liquidlogic Ltd

",Large,40006349,ME14 1RF,Stockport- Services to People
Stockport Council,Live (Ongoing),271300-Information Communication Technology : Services : Maintenance & Support,The Chest eProcurement Portal,Provision of an eProcurement portal to facilitate electronic procurement/tendering,Call Off (External),contract,1-Aug-15,48,96,31-Jul-23,Yes,31-Jul-23,6-Dec-21,"ÃÂ£2,250.00","ÃÂ£18,000.00",Proactis,SME,3182974,LS22 6LE,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,OJEU Tender,Framework Agreement,1-Aug-17,24,48,31-Jul-21,Yes,31-Jul-21,1-Oct-18,"ÃÂ£9,000,000.00","ÃÂ£36,000,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,A Connolly Ltd,SME,216596,LS26 0DU,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Allied Roofing ,SME,381000,LE2 7SQ ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Avonside Roofing Ltd,SME,,M24 2WX,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Dawnus Construction,SME,5903424,HD1 5DG,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Designed Roof Systems Ltd,SME,6277819,M3 4EI,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,F Parkinson Ltd,SME,3621228,WF4 5PT,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,H Bell & Sons (Rochdale) Ltd,SME,2650749,M6 6WF,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Harry Fairclough Construction ,SME,2122905,WN8 8AZ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Henry Boot Construction,SME,5270846,WA9 1LD,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,J Greenwood (Builders) Limited,Large,3782379,WV3 0SR,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Kaberry Construction ,Large,3536032,EC4M 7HP,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Keepmoat Regeneration Ltd,Large,SC020258,G72OFT,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Liquid Roofing Limited,Large,6303777,WS9 8PT ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,M & J Group (Construction & Roofing) Ltd,Large,7448407,OX2 6EE ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Mac Roofing and Contracting Ltd,Small,3703545,SK4 1NN,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Manchester & Cheshire Construction Co,Sole Trader,,OL11 3HB,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,McGoff & Byrne ,-,-,-,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,PLP Construction Ltd,SME,6257644,WN8 9UE,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,R Walker & Sons (Preston) Ltd,SME,3623066,L33 7UY ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Schofield and Sons Ltd,SME,5646655,WA9 3AH,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Seddon Construction Ltd,SME,2122905,WN8 8AZ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Strategic Team Group,SME,4705207,L40 8HN,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Thomas Kershaw Builders Limited,Large,2565379,PR5 6AW,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Truline Construction & Interior Services Ltd,Medium,2057769,OL11 4HQ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,-,-,-,-,-,-,-,-,-,-,-,-,Warden Construction Limited,Small,1364037,M25 0PB,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,OJEU Tender,Framework Agreement,1-Aug-17,24,48,31-Jul-21,Yes,31-Jul-21,1-Jan-19,"ÃÂ£2,500,000.00","ÃÂ£10,000,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Alternative Heat Ltd,Small,3731189,M19 3BJ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Copeland Group Ltd,Large,2766990,BL6 5HY,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,CPL Heating and Plumbing Ltd,Small,1783466,WA16 8SZ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Dodd Group (Midlands) Limited,Small,2463373,SK9 6DN,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Ford-mainwaring Ltd,Small,1493369,PR26 7UX,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,G R Bailey ,Medium,2776886,SY14 8LU,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,GTM Electrical Services Ltd,Micro,,M34 3WR ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Herbert T Forrest ,Micro,704385,M44 6GG,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Sudlows Enterprise Limited ,SME,6843609,PR26 6PU ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,J C Mills & Sons Ltd,SME,OC327726,BL7 0EY,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,KDE limited ,Large,4501131,WA10 5QG,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,New Charter Building Company Limited,SME,8650293,OL12 9JY ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Saunders & Taylor ,SME,1395031,OL10 4PQ ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Seddon Construction Ltd,SME,9481034,WN2 3SF,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,Truline Construction & Interior Services,SME,6489655,OL12 9QN,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,-,-,-,-,-,-,-,-,-,-,-,-,WH Good Ltd ,SME,8852753,OL11 5UL,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,OJEU Tender,Framework Agreement,1-Aug-17,24,48,31-Jul-21,No,31-Jul-21,1-Jan-19,"ÃÂ£1,450,000.00","ÃÂ£5,800,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Seddon Construction Ltd,SME,8058185,OL11 5AG,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Herbert T Forerest Ltd,SME,4212774,OL12 9BF,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Actavo Building Solutions,SME,5062497,M27 0YF,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Keepmoat Regeneration Ltd,SME,3632211,OL12 2RQ,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Extraspace Solutions ,SME,4255288,OL12 9EF,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Intergra Buildings Ltd,SME,,NR10 3SS,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Harry Fairclough Construction ,SME,3786567,DE1 1BR,Stockport- Services to Place
Stockport Council,Live (Ongoing),"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,-,-,-,-,-,-,-,-,-,-,-,-,Catoplan,SME,8327941,KT18 6AP,Stockport- Services to Place
Stockport Council,Live (Ongoing),269999-Human Resources : Not Elsewhere Classified : ,Home Electronics Salary Sacrifice Scheme ,Home Electronics Salary Sacrifice Scheme ,Call Off (External),Contract,1-Oct-16,48,48,30-Sep-20,,30-Sep-20,1-Jul-19,"ÃÂ£350,000.00","ÃÂ£1,400,000.00",Northumbria Healthcare NHS Foundation Trust,NHS,Supplier does not have company number,NE27 0QJ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),261600-Human Resources : Travel & Subsistence : ,Travel Rail Scheme ,-,Exemption,Contract,10-Aug-16,48,48,9-Aug-20,,9-Aug-20,1-Apr-19,"ÃÂ£158,000.00","ÃÂ£632,000.00",Northern Rail,Large,4619954,YO1 6HZ,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),261600-Human Resources : Travel & Subsistence : ,Travel Bus Scheme ,-,Exemption,Contract,10-Aug-16,48,48,9-Aug-20,,9-Aug-20,1-Apr-19,"ÃÂ£316,800.00","ÃÂ£1,267,200.00",Stagecoach,Large,3092390,SK3 0DU,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),"391110-Works - Construction, Repair & Maintenance : Buildings : Construction",Principal Designer,-,OJEU Tender,Contract,1-Feb-17,36,48,31-Jan-20,No,31-Jan-21,1-Jul-19,"ÃÂ£200,000.00","ÃÂ£800,000.00",Keelagher Okey Associates Ltd,SME,4390026,WA11HU,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),201300-Financial Services : Cash Collection : ,Cash Collection and Banking (Parking) ,-,OJEU Tender,Contract,1-Nov-17,36,72,31-Oct-20,No,31-Oct-23,1-Aug-19,"ÃÂ£161,000.00","ÃÂ£483,000.00",NSL Ltd,Medium,6033060,SL1 2BE,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Mentoring for Children 16+,-,OJEU Tender,Contract,1-Apr-17,36,48,31-Mar-20,No,31-Mar-21,8-Aug-18,"ÃÂ£43,000.00","ÃÂ£172,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
Stockport Council,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Adoption Support FPS,-,OJEU Tender,DPS (Dynamic Purchasing System),25-Oct-17,48,48,24-Oct-21,No,24-Oct-21,24-Oct-20,"ÃÂ£11,250,000.00","ÃÂ£45,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to People
Stockport Council,Live (One Off),191100-Facilities & Management Services : Design & Photography : ,12 x bespoke images for use on banners and in promotional campaigns related to Stopfordia exhibition,-,Exemption,Contract,15-Sep-16,120,120,14-Sep-26,No,14-Sep-26,1-Apr-21,"ÃÂ£10,000.00","ÃÂ£10,000.00",Redacted,Sole Trader,Redacted,Redacted,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),171111-Education : Audio Visual : ,GM Libraries eBooks and eAudiobooks ,-,Call Off (External),Contract,1-Jun-17,46,70,31-Mar-21,No,31-Mar-23,25-Apr-19,"ÃÂ£21,500.00","ÃÂ£129,000.00",Bolinda UK Ltd,Large,5086231,RG14 2PZ,Stockport- Services to People
Stockport Council,Live (Ongoing),201200-Financial Services : Banking : ,Stockport Bill Payment Service,-,Call Off (External),Contract,1-Jul-17,24,48,30-Jun-20,No,30-Jun-21,2-Jan-20,"ÃÂ£100,000.00","ÃÂ£400,000.00",allPay,Large,2933191,HR1 3SE,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),321000ÃÂ  Social Community Care Supplies & Services - Adult,Supported Living Services (103.11 - Phase 9),"The Service aims to enable people to live as independent and as fulfilling a life as is possible in their local community looking at areas of work, leisure and relationships. ",Tender,Contract,10-Apr-17,36,48,9-Apr-20,No,9-Apr-21,1-Sep-19,"ÃÂ£1,262,143.00","ÃÂ£5,048,572.00",Creative Support,SME,27440R,SK1 3TS,Stockport- Services to People
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,"The aim of this Service is to reduce the harms caused by alcohol and drug use including problems relating to physical and mental health, family life, employment and offending behaviour  ",OJEU Tender,Contract,1-Oct-15,60,84,30-Sep-20,No,30-Sep-22,1-Oct-19,"ÃÂ£1,605,000.00","ÃÂ£11,235,000.00",Various - See Below,Various - See Below,Various - See Below,Various - See Below,Stockport- Services to People
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,-,-,-,-,-,-,-,-,-,-,-,-,"CGL (CHANGE, GROW, LIVE)",SME,301722,SK81JE,Stockport- Services to People
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,-,-,-,-,-,-,-,-,-,-,-,-,Pennine Care NHS Foundation Trust,SME,4278167,FY39JL,Stockport- Services to People
Stockport Council,Live (Ongoing),271300-Information Communication Technology : Services : Maintenance & Support,Paris - Electronic income system,-,Exemption,Contract,15-Oct-16,36,36,14-Oct-19,,14-Oct-19,1-Apr-19,"ÃÂ£13,018.00","ÃÂ£39,054.00",Northgate Public Services (UK) Ltd,Large,968498,HP2 4NN,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),271300-Information Communication Technology : Services : Maintenance & Support,ITSM Case Management System,-,Exemption,Contract,1-Oct-16,48,48,30-Sep-19,,30-Sep-19,1-Apr-20,"ÃÂ£16,235.00","ÃÂ£64,705.00",Freshservice,Large,9338697,W1F 9PP,Stockport- Corporate & Support Services
Stockport Council,Live (Ongoing),151514-Healthcare : Public Health : Specialist Services,Toxicology Services Framework,-,OJEU Tender (Light Touch),Framework Agreement,21-Jan-19,48,48,22-Jan-23,No,22-Jan-23,10-Jan-22,"ÃÂ£604,000.00","ÃÂ£604,000.00",Sheffield Teaching Hospitals NHS Foundation Trust,Large,232608476,S5 7AU,Stockport- Services to People
Stockport Council,Live (Ongoing),171011-Education : School Services : ,Bikeability Cycle Training - Stockport ,National Standard Cycle Training Scheme within schools in Stockport,Tender,Contract,1-Apr-17,12,36,31-Mar-20,Yes,31-Mar-20,1-Oct-17,"ÃÂ£40,400.00","ÃÂ£121,200.00",BikeRight! Ltd,SME,5742951,M11 2NA,Stockport- Services to People
