OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2013,Closed,421,Repossession,522320-Financial Transaction Processing,Financial Transaction Processing,4751 Wilshire Blvd  Ste 100,Los Angeles,CA,48,48000430420
2020,Closed,19,Inadequate Disclosure,"560000-Admin. & support services (office admin., faciliti",,,,  ,13,13000581898
2021,New,999,Other/Miscellaneous,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,60,60000589889
2020,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,1745 114th Ave SE,Bellevue,WA,60,60000581845
2018,Closed,320,Unsatisfactory Repair/Service,452100-Department Stores,,3333 Beverly Rd B6-258A-B,Hoffman Estates,IL,42,42000526782
2013,Closed,58,Telemarketing,561422-Telemarketing,Telemarketing,93 S Jackson St Ste 38-480,Seattle,WA,20,20000426552
2017,New,999,Other/Miscellaneous,513320-Telecommunications/Wireless,,499 E Sheridan St Ste 300,Dania,FL,60,60000517075
2018,New,999,Other/Miscellaneous,921190-Government (General),,PO Box 40002,Olympia,WA,60,60000527382
2014,Closed,61,Phishing,993000-Phishing,Phishing,This is the ALL Major,,  ,111,111000457640
2020,New,999,Other/Miscellaneous,441100-Automotive Dealers,,14012 Pacific Ave S,Tacoma,WA,60,60000583772
2015,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,8738 Trapline Rd,Everson,WA,27,27000464381
2020,New,999,Other/Miscellaneous,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,60,60000580754
2015,Closed,22,Failure To Adjust/Refund,511210-Software Publishers,Software Publishers,"1501 1st Ave S, Ste 600",Seattle,WA,16,16000467112
2019,Open,999,Other/Miscellaneous,522210-Credit Card Issuing,,PO Box 98873,Las Vegas,NV,60,60000556676
2018,Closed,316,Billing Issues,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,107,107000541061
2015,Closed,641,Failed communication attempts,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 169014,Irving,TX,158,158000464368
2013,Closed,301,Failure To Deliver/Perform,990000-Unclassified Establishments,,,Bellingham,WA,33,33000433196
2020,New,999,Other/Miscellaneous,531311-Residential property managers (includes landlords),,,Seattle,WA,60,60000584875
2016,New,999,Other/Miscellaneous,233000,"General Contracting, building, & developing",One Microsoft Way,Redmond,WA,60,60000490294
2017,Closed,19,Inadequate Disclosure,"423450-Medical, Dental, Hospital Equipment Wholesalers ",,2885 Loker Ave E,Carlsbad,CA,13,13000500303
2020,Closed,997,Employment Issue,"560000-Admin. & support services (office admin., faciliti",,,Bellevue,WA,183,183000581825
2020,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,27,27000562644
2016,Closed,206,Right To Cancel,511210-Software Publishers,,,Chicago,IL,30,30000482306
2018,Closed,999,Other/Miscellaneous,447000-Gas Stations (only),,,,  ,60,60000539692
2015,Closed,315,Failure To Return Goods/Part,"453000-Misc. Stores (incl. florists, office supplies, gif","Misc. Stores (incl. florists, office supplies, gif",3817 1/2 N 26th St,Tacoma,WA,38,38000475285
2016,Closed,518,Unregistered or Unlicensed Business,561440-Collection Agencies,,,Kennesaw,GA,55,55000485835
2017,Closed,999,Other/Miscellaneous,443000-Electronics/appliance stores,,PO Box 9312,Minneapolis,MN,60,60000522609
2018,New,999,Other/Miscellaneous,611000-Educational Services,,PO Box 69184,Harrisburg,PA,60,60000527059
2020,Closed,22,Failure To Adjust/Refund,621400-Outpatient Care Centers,,1229 Madison St Ste 1290,Seattle,WA,16,16000574481
2021,Open,997,Employment Issue,522291-Consumer Lending (includes Payday Lenders),,6801 Colwell Blvd,Irving,TX,183,183000592638
2019,Closed,316,Billing Issues,441100-Automotive Dealers,,12828 NE 124th St,Kirkland,WA,107,107000556084
2020,Closed,316,Billing Issues,621500-Medical & Diagnostic Labs,,2750 Monroe Blvd,Norristown,PA,107,107000568879
2015,Closed,61,Phishing,993000-Phishing,Phishing,,,WA,111,111000463242
2016,Closed,19,Inadequate Disclosure,990000-Unclassified Establishments,Unclassified Establishments,5959 Las Colinas Blvd,Irving,TX,13,13000485141
2019,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,60,60000553247
2020,Closed,21,Work-at-Home Opportunity,"560000-Admin. & support services (office admin., faciliti",,,,  ,15,15000564472
2021,Closed,208,Partial Performance,"235000-Special trade Contractors (includes plumbers, elec",,,Bellingham,WA,31,31000590759
2016,Closed,404,Collection Practices,522210-Credit Card Issuing,Credit Card Issuing,PO Box 85870,Richmond,VA,46,46000490541
2015,Closed,632,Rules & enforcement,990001-MHU Use Only - MH Tenant,,,Puyallup,WA,147,147000474826
2019,Closed,301,Failure To Deliver/Perform,811100-Automotive Repair & Maintenance,,15008 Smokey Pt Blvd Ste G,Marysville,WA,33,33000552435
2018,Closed,320,Unsatisfactory Repair/Service,721100-Travel Accomodations,,888 Brannan St,San Francisco,CA,42,42000535795
2015,Closed,320,Unsatisfactory Repair/Service,"235000-Special trade Contractors (includes plumbers, elec",,1003 85th Ave SE Ste A,Olympia,WA,42,42000471013
2015,Closed,627,Privacy Issues,531190-MHU Use Only - MH landlord,MHU Use Only - MH landlord,c/o Investment Property Group,Irvine,CA,141,141000464927
2017,Closed,3,Contest/Sweepstakes advertising,993000-Phishing,,,,  ,2,2000517263
2021,Closed,320,Unsatisfactory Repair/Service,"560000-Admin. & support services (office admin., faciliti",,,,  ,42,42000593257
2016,Closed,999,Other/Miscellaneous,531190-MHU Use Only - MH landlord,MHU Use Only - MH landlord,PO Box 5337,Novato,CA,60,60000493981
2017,Closed,26,Advertising,513320-Telecommunications/Wireless,,308 S Akard St Rm 1110,Dallas,TX,19,19000516834
2017,New,999,Other/Miscellaneous,990000-Unclassified Establishments,,,,  ,60,60000519965
2017,Closed,18,Service Representation,492110-Couriers & Express Delivery Services,,55 Glenlake Pkwy NE Dept #1936,Atlanta,GA,12,12000510438
2021,Closed,22,Failure To Adjust/Refund,"444000-Building materials (incl. plumbing stores), garden",,1605 Curtis Bridge Rd,Wilkesboro,NC,16,16000593445
2017,Closed,206,Right To Cancel,513320-Telecommunications/Wireless,,308 S Akard St Rm 1110,Dallas,TX,30,30000512374
2016,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,,Trenton,NJ,107,107000481420
2013,Closed,404,Collection Practices,561440-Collection Agencies,Collection Agencies,6565 Kimball Dr Ste 200,Gig Harbor,WA,46,46000427563
2013,Closed,22,Failure To Adjust/Refund,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 37380,Albuquerque,NM,16,16000423597
2020,New,999,Other/Miscellaneous,443120-Computer & Computer Software Stores,,350 E Plumeria Dr,San Jose,CA,60,60000576870
2020,New,999,Other/Miscellaneous,445110-Supermarkets,,,Kent,WA,60,60000564374
2013,Closed,206,Right To Cancel,531390-Timeshare exchange services,Timeshare exchange services,6277 Sea Harbor Dr,Orlando,FL,30,30000434279
2015,Closed,208,Partial Performance,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,Office of the President,Dallas,TX,31,31000460584
2018,Closed,320,Unsatisfactory Repair/Service,441100-Automotive Dealers,,1070 W Broadway Ave,Moses Lake,WA,42,42000531156
2020,Closed,203,Internet & Mobile device based transaction,483000-Water Transportation,,3131 Elliott Ave #250,Seattle,WA,27,27000575587
2014,Closed,301,Failure To Deliver/Perform,"453000-Misc. Stores (incl. florists, office supplies, gif",,,Olympia,WA,33,33000448643
2014,Closed,303,Questionable Quality Product/Service,"335000-Electronic Equip., Appliance & Component Mfg'ring ","Electronic Equip., Appliance & Component Mfg'ring ",10200 David Taylor Dr,Charlotte,NC,35,35000448333
2017,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,107,107000517913
2019,Closed,301,Failure To Deliver/Perform,524128-Extended Service contract companies,,1524 Hwy 30 E,Carroll,IA,33,33000549971
2013,Closed,320,Unsatisfactory Repair/Service,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,PO Box 81226,Seattle,WA,42,42000434467
2018,Closed,404,Collection Practices,561440-Collection Agencies,,,Richardson,TX,46,46000530970
2017,Closed,316,Billing Issues,532000-Rental & leasing services,,2727 N Central Ave,Phoenix,AZ,107,107000508588
2020,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,1008 Western Ave Ste 300,Seattle,WA,60,60000574217
2020,New,999,Other/Miscellaneous,511210-Software Publishers,,1567 Highlands Dr NE Ste 1,Issaquah,WA,60,60000565428
2015,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,107,107000475948
2019,Open,999,Other/Miscellaneous,621100-Office of Physicians,,770 The City Dr S Ste 4000,Orange,CA,60,60000545734
2016,Closed,61,Phishing,511210-Software Publishers,Software Publishers,This is the ALL major,,  ,111,111000490739
2020,New,999,Other/Miscellaneous,513320-Telecommunications/Wireless,,6955 S Morelos Pl,Chandler,AZ,60,60000585011
2019,Closed,410,Discrimination,522390-Real Estate Loan Servicing,,4425 Ponce de Leon Blvd,Coral Gables,FL,47,47000556312
2019,Closed,444,Foreclosure Issue,"541191-Title Companies, Real Estate",,,Spokane,WA,155,155000546401
2015,Closed,15,Privacy Abuse,445110-Supermarkets,,,Kennewick,WA,67,67000474697
2013,Closed,316,Billing Issues,921190-Government (General),Government (General),310 Maple Park Ave SE,Olympia,WA,107,107000435483
2015,Closed,316,Billing Issues,622000-Hospitals,,1115 SE 164th Ave Dept 336,Vancouver,WA,107,107000468329
2016,Closed,319,Unauthorized Repair/Service,523930-Financial Planning,,PO Box 8801,Wilmington,DE,41,41000494283
2013,Closed,19,Inadequate Disclosure,513310-Wired Telecommunications Carriers,Wired Telecommunications Carriers,6704 N Nevada St Ste #6,Spokane,WA,13,13000440397
2017,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,,Englewood ,CO,60,60000520002
2016,Closed,19,Inadequate Disclosure,811100-Automotive Repair & Maintenance,Automotive Repair & Maintenance,PO Box 5350,Bend,OR,13,13000487129
2019,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,Office of the President,Dallas,TX,107,107000558509
2017,Closed,19,Inadequate Disclosure,"233000-General Contracting, building, & developing",,,Camano Island,WA,13,13000521711
2019,Closed,22,Failure To Adjust/Refund,811100-Automotive Repair & Maintenance,,105 Decker Ct Ste 900,Irving,TX,16,16000554554
2017,Closed,100,Misrepresentation of Terms,484210-Moving Companies,,,Richmond,VA,22,22000508515
2013,Closed,320,Unsatisfactory Repair/Service,441100-Automotive Dealers,Automotive Dealers,6647 S Tacoma Wy,Tacoma,WA,42,42000435154
2019,Closed,22,Failure To Adjust/Refund,713940-Fitness & Recreational Industries,,213 Park Ln,Kirkland,WA,16,16000551610
2018,New,999,Other/Miscellaneous,531311-Residential property managers (includes landlords),,,Shelton,WA,60,60000530854
2014,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,18710 Meridian E Ste 115-83,Puyallup,WA,33,33000442787
2020,New,999,Other/Miscellaneous,511210-Software Publishers,,One Microsoft Wy,Redmond,WA,60,60000582905
2018,Closed,627,Privacy Issues,523930-Financial Planning,,PO Box 45400,Salt Lake City,UT,141,141000532148
2020,New,999,Other/Miscellaneous,561440-Collection Agencies,,,Vancouver,WA,60,60000583909
2014,Closed,303,Questionable Quality Product/Service,334111-Computer Manufacturing,Computer Manufacturing,One Dell Way Mail Stop RR7,Round Rock,TX,35,35000449543
2018,Closed,10,Pyramid Schemes,523930-Financial Planning,,,,  ,8,8000534487
2017,Closed,7,Warranty,441100-Automotive Dealers,,13817 NE 20th St,Bellevue,WA,6,6000511572
2014,Closed,203,Internet & Mobile device based transaction,993000-Phishing,Phishing,,,  ,27,27000457374
2017,Closed,316,Billing Issues,561620-Security Systems (including locksmiths),Security Systems (including locksmiths),Attn: Legal 160,Provo,UT,107,107000498120
2018,Closed,628,Rent raise,531190-MHU Use Only - MH landlord,,South Edmonds Crest LLC,Shoreline,WA,143,143000527434
2015,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,107,107000469946
2020,Closed,203,Internet & Mobile device based transaction,"711300-Promoters of performing arts, sports & similar eve",,1000 Corporate Landing,Charleston,WV,27,27000579523
2014,Closed,206,Right To Cancel,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 169014,Irving,TX,30,30000443616
2021,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 2148,Auburn,WA,27,27000586686
2019,Closed,301,Failure To Deliver/Perform,562000-Waste Management Services,,720 4th Ave Ste 400,Kirkland,WA,33,33000545126
2020,New,303,Questionable Quality Product/Service,452100-Department Stores,,5959 Bigger Road,Kettering,OH,35,35000578826
2021,Closed,405,Credit Reporting Error,561440-Collection Agencies,,12100 NE 195th St #125,Bothell,WA,108,108000587338
2018,New,999,Other/Miscellaneous,811100-Automotive Repair & Maintenance,,,Puyallup,WA,60,60000526035
2016,Closed,641,Failed communication attempts,441310-Automotive Parts & Access. Stores - Retail,,,,WA,158,158000490243
2020,Closed,203,Internet & Mobile device based transaction,522320-Financial Transaction Processing,,2202 N Irving St,Allentown,PA,27,27000580705
2018,Closed,627,Privacy Issues,522110-Commercial Banking,,1000 Samoset Dr,Newark,DE,141,141000525124
2020,New,999,Other/Miscellaneous,485310-Taxi Service,,,,WA,60,60000576021
2014,Closed,300,Excessive Price or Charge,"235000-Special trade Contractors (includes plumbers, elec",,,Tacoma,WA,32,32000447981
2013,Closed,316,Billing Issues,522390-Real Estate Loan Servicing,Real Estate Loan Servicing,PO Box 619097,Dallas,TX,107,107000433761
2017,Closed,22,Failure To Adjust/Refund,513200-Cable Networks & Program Distribution,,Office of the President,Dallas,TX,16,16000522960
2021,New,999,Other/Miscellaneous,"233000-General Contracting, building, & developing",,11272 29th Ave SW,Burien,WA,60,60000592717
2016,Closed,203,Internet & Mobile device based transaction,511210-Software Publishers,,,Santa Barbara,CA,27,27000482282
2016,Closed,303,Questionable Quality Product/Service,442110-Furniture stores,Furniture stores,21214 66th Ave S,Kent,WA,35,35000481542
2018,New,999,Other/Miscellaneous,524000-Insurance Carriers & Related Activities,,PO Box 305940,Nashville,TN,60,60000534243
2016,Closed,58,Telemarketing,"235000-Special trade Contractors (includes plumbers, elec","Special trade Contractors (includes plumbers, elec",,,WA,20,20000494738
2016,Closed,315,Failure To Return Goods/Part,441100-Automotive Dealers,,,Tacoma,WA,38,38000493199
2014,Closed,446,Third-Party Loan Modification Issue,522200-Non-depository Credit Intermediation,Non-depository Credit Intermediation,520 N Brookhurst St Ste 202,Anaheim,CA,174,174000448562
2020,New,999,Other/Miscellaneous,524000-Insurance Carriers & Related Activities,,2973 Harbor Blvd #240,Costa Mesa,CA,60,60000584306
2018,Closed,402,Collections - Threatening behavior includes arrest,990000-Unclassified Establishments,,,,  ,184,184000531840
2020,Closed,22,Failure To Adjust/Refund,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,16,16000585021
2020,Closed,222,Advance Fee Fraud,990000-Unclassified Establishments,,,,  ,114,114000571829
2020,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,,117 Adams St,Brooklyn,NY,33,33000582572
2016,Closed,15,Privacy Abuse,812199-Dating Clubs and Social Networking,,,,WA,67,67000481942
2020,New,999,Other/Miscellaneous,722000-Restaurants and Bars,,,Langley,WA,60,60000579172
2020,New,999,Other/Miscellaneous,523930-Financial Planning,,,Morrisville,NC,60,60000577150
2020,Closed,415,Unemployment Fraud,920000-Public Administration,,PO Box 9046,Olympia,WA,218,218000570951
2013,Closed,59,Automatic Dialing,561422-Telemarketing,Telemarketing,93 S Jackson St Ste 38-480,Seattle,WA,21,21000429568
2014,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,18710 Meridian E Ste 115-83,Puyallup,WA,27,27000442362
2020,New,999,Other/Miscellaneous,561440-Collection Agencies,,PO Box 2130,Everett,WA,60,60000572913
2016,Closed,997,Employment Issue,621100-Office of Physicians,,,Normandy Park,WA,183,183000488276
2016,New,999,Other/Miscellaneous,441100,Automotive Dealers,3740 S Tacoma Wy,Tacoma,WA,60,60000491569
2021,Closed,222,Advance Fee Fraud,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,114,114000592284
2020,Closed,22,Failure To Adjust/Refund,454100-Electronic Shopping & Mail Order Houses,,,Union CIty,CA,16,16000582932
2020,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,,Longview,TX,60,60000559506
2020,Closed,412,Alleged criminal activity,"922000-Justice, Public Order & Safety",,PO Box 121011,San Diego,CA,196,196000559462
2020,Closed,996,COVID-19,454100-Electronic Shopping & Mail Order Houses,,199 Fremont St Fl 4,San Francisco,CA,216,216000576667
2013,Closed,422,Credit/Financing,522210-Credit Card Issuing,Credit Card Issuing,PO Box 85870,Richmond,VA,49,49000429218
2016,Closed,316,Billing Issues,721100-Travel Accomodations,,,Rochester,WA,107,107000493133
2018,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,Office of the President,Dallas,TX,60,60000530272
2018,New,999,Other/Miscellaneous,920000-Public Administration,,PO Box 300326,Seattle,WA,60,60000531188
2015,Closed,206,Right To Cancel,524000-Insurance Carriers & Related Activities,,,Birmingham,AL,30,30000465634
2017,New,999,Other/Miscellaneous,442110-Furniture stores,,5401 6th Ave Ste 801,Spokane,WA,60,60000517190
2017,New,999,Other/Miscellaneous,921190-Government (General),,PO Box 47477,Olympia,WA,60,60000505467
2016,Closed,303,Questionable Quality Product/Service,722000-Restaurants and Bars,,,Orlando,FL,35,35000492866
2020,New,999,Other/Miscellaneous,713940-Fitness & Recreational Industries,,14635 9th Ave SW,Burien,WA,60,60000566785
2013,Closed,320,Unsatisfactory Repair/Service,531130-Lessors of Miniwarehouse & Self-Storage Units,Lessors of Miniwarehouse & Self-Storage Units,10020 Martin Luther King Jr Wy S,Seattle,WA,42,42000438603
2014,Closed,30,Data Breach,813110-Religious Organizations,Religious Organizations,710 9th Ave,Seattle,WA,115,115000445356
2014,Closed,403,Collection Activity (Fraudulent or mistaken ID),561440-Collection Agencies,,,,WA,177,177000443815
2021,Open,303,Questionable Quality Product/Service,336111-Automobile Manufacturing,,Honda Automobile Customer Service,Torrance,CA,35,35000592857
2017,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,Office of the President,Dallas,TX,107,107000501355
2020,Closed,303,Questionable Quality Product/Service,522320-Financial Transaction Processing,,548 Market St Ste 23008,San Francisco,CA,35,35000586200
2015,Closed,639,Non-payment of rent,531190-MHU Use Only - MH landlord,MHU Use Only - MH landlord,320 Dayton St,Edmonds,WA,156,156000473953
2020,Closed,996,COVID-19,721100-Travel Accomodations,,,Newton Square,PA,216,216000575413
2020,Closed,301,Failure To Deliver/Perform,481000-Air Transportation,,300 Jericho Quadrangle #130,Jericho,NY,33,33000573753
2019,Closed,422,Credit/Financing,541100-Legal Services- Attorneys,,,Irvine,CA,49,49000551303
2019,Open,999,Other/Miscellaneous,531190-MHU Use Only - MH landlord,,3530 N Fruitland Ln,Coeur D'Alene,ID,60,60000555118
2017,New,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,,,  ,60,60000520623
2020,Closed,7,Warranty,"336991-Motorcycle, bicycle, & parts Manufacturing",,,Murietta,CA,6,6000577379
2017,New,999,Other/Miscellaneous,561450-Credit Bureaus,,,Atlanta,GA,60,60000514983
2018,Closed,301,Failure To Deliver/Perform,611000-Educational Services,,,Bainbridge Island,WA,33,33000532967
2020,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,,,FL,60,60000559727
2015,Closed,213,Free to Pay,454100-Electronic Shopping & Mail Order Houses,,,South Jordan,UT,164,164000467521
2019,Closed,17,Imposter scam,990000-Unclassified Establishments,,This is the ALL major,,  ,194,194000553125
