OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2018,New,999,Other/Miscellaneous,561440-Collection Agencies,,800 SW 39th St,Renton,WA,60,60000533887
2017,Closed,22,Failure To Adjust/Refund,"235000-Special trade Contractors (includes plumbers, elec",,,Battle Ground,WA,16,16000522266
2021,Closed,320,Unsatisfactory Repair/Service,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,42,42000586685
2020,Closed,640,Fees,514191-Internet service providers/info. services (doesn't,,,,WA,157,157000574445
2019,Closed,22,Failure To Adjust/Refund,452100-Department Stores,,1700 7th Ave Ste 1500,Seattle,WA,16,16000556103
2018,Closed,320,Unsatisfactory Repair/Service,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,42,42000526359
2017,Closed,301,Failure To Deliver/Perform,621200-Offices of Dentists,,8299 161st Ave NE Ste 201,Redmond,WA,33,33000506009
2014,Closed,316,Billing Issues,621500-Medical & Diagnostic Labs,Medical & Diagnostic Labs,720 14th Ave,Longview,WA,107,107000446020
2015,Closed,22,Failure To Adjust/Refund,441310-Automotive Parts & Access. Stores - Retail,,,Forestville,CA,16,16000462909
2021,Closed,998,Governement agency complaint,920000-Public Administration,,243 Israel Rd SE,Tumwater,WA,179,179000593793
2018,New,999,Other/Miscellaneous,531190-MHU Use Only - MH landlord,,1521 2nd Ave #1903,Seattle,WA,60,60000526851
2013,Closed,301,Failure To Deliver/Perform,336111-Automobile Manufacturing,Automobile Manufacturing,10550 Talber Ave,Fountain Valley,CA,33,33000424136
2014,Closed,16,Identity Theft,522210-Credit Card Issuing,Credit Card Issuing,PO Box 182025,Columbus,OH,102,102000446164
2021,Closed,301,Failure To Deliver/Perform,522320-Financial Transaction Processing,,9716 178th Pl NE Unit 103,Redmond,WA,33,33000592216
2015,Closed,518,Unregistered or Unlicensed Business,"235000-Special trade Contractors (includes plumbers, elec",,,Auburn,WA,55,55000461821
2015,Closed,320,Unsatisfactory Repair/Service,561310-Employment Placement Agencies,Employment Placement Agencies,2727 E D St,Tacoma,WA,42,42000474925
2015,Closed,422,Credit/Financing,441100-Automotive Dealers,Automotive Dealers,Customer Relations Specialist,Minnetonka,MN,49,49000472567
2019,Closed,104,Non-Fulfillment,524000-Insurance Carriers & Related Activities,,PO Box 21089,Seattle,WA,23,23000543849
2017,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,27,27000498677
2021,Closed,22,Failure To Adjust/Refund,441100-Automotive Dealers,,1100 Oyster Bay Ave S,Bremerton,WA,16,16000591851
2020,New,996,COVID-19,"444000-Building materials (incl. plumbing stores), garden",,,Lynnwood,WA,216,216000580599
2018,Closed,999,Other/Miscellaneous,562000-Waste Management Services,,1600 127th Ave NE,Bellevue,WA,60,60000535186
2014,Closed,316,Billing Issues,561440-Collection Agencies,Collection Agencies,1901 W 10th St,Antioch,CA,107,107000456582
2021,New,999,Other/Miscellaneous,920000-Public Administration,,,Olympia,WA,60,60000592425
2017,Closed,61,Phishing,993000-Phishing,,,,  ,111,111000517263
2017,Closed,17,Imposter scam,993000-Phishing,,This is the ALL major,,  ,194,194000512504
2021,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,,Decatur,IL,27,27000589099
2018,Closed,616,Prevention of meetings,531190-MHU Use Only - MH landlord,,4201 Lougheed Hw,,  ,132,132000535556
2019,Closed,206,Right To Cancel,485310-Taxi Service,,1455 Market St Fl 4,San Francisco,CA,30,30000551252
2016,Closed,316,Billing Issues,452100-Department Stores,Department Stores,PO Box 52184,Phoenix,AZ,107,107000478537
2013,Closed,303,Questionable Quality Product/Service,454300-Direct Selling Establishments (including home fuel,Direct Selling Establishments (including home fuel,5301 Sheila Street,Commerce,CA,35,35000433028
2014,Closed,410,Discrimination,621100-Office of Physicians,,,Spokane,WA,47,47000445358
2019,Closed,7,Warranty,441100-Automotive Dealers,,1008 Canyon Rd,Ellensburg,WA,6,6000555542
2017,Closed,13,Misrepresentation of product or service,"115210-Breeders, Stables and Livestock Boarding",,PO Box 1682,Coupeville,WA,10,10000511595
2016,New,999,Other/Miscellaneous,522110-Commercial Banking,,5303 Point Fosdick,Gig Harbor,WA,60,60000487841
2013,Closed,404,Collection Practices,561440-Collection Agencies,Collection Agencies,1901 W 10th St,Antioch,CA,46,46000426782
2015,Closed,404,Collection Practices,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 37380,Albuquerque,NM,46,46000474538
2020,Closed,316,Billing Issues,621300-Offices of Other Health Professionals,,,Firecrest,WA,107,107000575947
2020,Closed,320,Unsatisfactory Repair/Service,"444000-Building materials (incl. plumbing stores), garden",,1605 Curtis Bridge Rd,Wilkesboro,NC,42,42000581069
2015,Closed,320,Unsatisfactory Repair/Service,454000-Nonstore Retailers,Nonstore Retailers,815 SE 103rd Ave,Vancouver,WA,42,42000475682
2020,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,107,107000563602
2017,Closed,222,Advance Fee Fraud,992000-Advance Fee Fraud,,,Raymond,CA,114,114000519693
2015,Closed,316,Billing Issues,513320-Telecommunications/Wireless,Telecommunications/Wireless,Office of the President,Dallas,TX,107,107000463925
2014,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,Wired Telecommunications Carriers,6704 N Nevada St Ste #6,Spokane,WA,107,107000451741
2019,Closed,104,Non-Fulfillment,522120-Savings institutions,,425 Pike St,Seattle,WA,23,23000551795
2021,Closed,302,Not As Ordered,454100-Electronic Shopping & Mail Order Houses,,,,  ,34,34000586457
2020,Closed,301,Failure To Deliver/Perform,441100-Automotive Dealers,,1030 Commerce Ave,Longview,WA,33,33000583296
2021,New,999,Other/Miscellaneous,522110-Commercial Banking,,1200 E Warrenville Rd #3D,Naperville,IL,60,60000593039
2015,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000464185
2018,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,,77 4th Ave 5th Fl,North Waltham,MA,33,33000538535
2016,Closed,301,Failure To Deliver/Perform,524000-Insurance Carriers & Related Activities,Insurance Carriers & Related Activities,PO Box 100158,Columbia,SC,33,33000488207
2016,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000478952
2019,Closed,422,Credit/Financing,522291-Consumer Lending (includes Payday Lenders),,,Los Angeles,CA,49,49000548357
2014,Closed,301,Failure To Deliver/Perform,513310-Wired Telecommunications Carriers,Wired Telecommunications Carriers,6704 N Nevada St Ste #6,Spokane,WA,33,33000455194
2018,Open,999,Other/Miscellaneous,"233000-General Contracting, building, & developing",,,Auburn,WA,60,60000532643
2019,New,999,Other/Miscellaneous,441100-Automotive Dealers,,19804 Aurora Ave N,Seattle,WA,60,60000545799
2019,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,,Culver City,CA,60,60000551770
2020,Closed,22,Failure To Adjust/Refund,713940-Fitness & Recreational Industries,,12647 Alcosta Blvd Ste 500,San Ramon,CA,16,16000571280
2021,Closed,61,Phishing,990000-Unclassified Establishments,,,,  ,111,111000587485
2020,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,299 S Main St #1300,Salt Lake City,UT,27,27000564320
2015,Closed,22,Failure To Adjust/Refund,532299-Rental (Consumer Goods),Rental (Consumer Goods),2727 N Central Ave,Phoenix,AZ,16,16000469474
2016,Closed,316,Billing Issues,621300-Offices of Other Health Professionals,,PO Box 24366,Seattle,WA,107,107000483948
2013,Closed,7,Warranty,"444000-Building materials (incl. plumbing stores), garden",,,Chicago,IL,6,6000431680
2020,Closed,448,Student Loan Issue,522291-Consumer Lending (includes Payday Lenders),,220 Lasley Ave,Wilkes-Barre,PA,187,187000577588
2017,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,,15480 Laguna Canyon Rd Ste 100,Irvine,CA,155,155000519880
2017,Closed,222,Advance Fee Fraud,992000-Advance Fee Fraud,Advance Fee Fraud,,,  ,114,114000498032
2013,Closed,316,Billing Issues,"423450-Medical, Dental, Hospital Equipment Wholesalers ",,,Seattle,WA,107,107000439307
2018,New,999,Other/Miscellaneous,561720-Janitorial Services,,,Dover,DE,60,60000533052
2017,Closed,303,Questionable Quality Product/Service,524000-Insurance Carriers & Related Activities,,,Richardson,TX,35,35000512711
2014,Closed,13,Misrepresentation of product or service,812199-Dating Clubs and Social Networking,,,New York,NY,10,10000447878
2018,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,16201 E Indiana Ave #2150,Spokane Valley,WA,60,60000534420
2013,Closed,22,Failure To Adjust/Refund,441310-Automotive Parts & Access. Stores - Retail,,,Dayton,OH,16,16000423130
2018,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,,1000 Samoset Dr,Newark,DE,155,155000520416
2020,Closed,316,Billing Issues,811212-Computer & office machine system repair & maintena,,12 Desbrosses St 3rd Fl,New York,NY,107,107000579770
2021,Closed,203,Internet & Mobile device based transaction,561510-Travel Agents,,,New York,WA,27,27000588694
2021,Closed,22,Failure To Adjust/Refund,454100-Electronic Shopping & Mail Order Houses,,,McHenry,IL,16,16000591830
2017,Closed,61,Phishing,993000-Phishing,,This is the ALL Major,,  ,111,111000508750
2014,Closed,404,Collection Practices,561440-Collection Agencies,Collection Agencies,6565 Kimball Dr Ste 200,Gig Harbor,WA,46,46000449659
2014,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,Real Estate Loan Servicing,PO Box 619097,Dallas,TX,155,155000453484
2017,New,999,Other/Miscellaneous,522291-Consumer Lending (includes Payday Lenders),,220 Lasley Ave,Wilkes-Barre,PA,60,60000498753
2016,Closed,19,Inadequate Disclosure,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,PO Box 81226,Seattle,WA,13,13000478505
2020,Closed,22,Failure To Adjust/Refund,532000-Rental & leasing services,,2727 N Central Ave,Phoenix,AZ,16,16000574460
2013,Closed,19,Inadequate Disclosure,"560000-Admin. & support services (office admin., faciliti","Admin. & support services (office admin., faciliti",10554 Success Lane Ste A,Dayton,OH,13,13000432271
2020,New,999,Other/Miscellaneous,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,60,60000565477
2019,New,999,Other/Miscellaneous,531311-Residential property managers (includes landlords),,307 Orchard City Dr Ste 110,Campbell,CA,60,60000542514
2015,Closed,316,Billing Issues,561440-Collection Agencies,Collection Agencies,PO Box 272,Renton,WA,107,107000465260
2013,Closed,301,Failure To Deliver/Perform,990000-Unclassified Establishments,,,Tacoma,WA,33,33000434445
2020,New,999,Other/Miscellaneous,"336991-Motorcycle, bicycle, & parts Manufacturing",,,Murietta,CA,60,60000577379
2013,Closed,60,Unauthorized Debit,522320-Financial Transaction Processing,Financial Transaction Processing,1455 Market St Ste 600,San Francisco,CA,109,109000428670
2016,New,999,Other/Miscellaneous,513200,,PO Box 6550,Greenwood,CO,60,60000485133
2019,Closed,104,Non-Fulfillment,441100-Automotive Dealers,,7230 S Tacoma Way,Tacoma,WA,23,23000548854
2018,Closed,316,Billing Issues,513320-Telecommunications/Wireless,,PO Box 169014,Irving,TX,107,107000533595
2020,Closed,316,Billing Issues,511210-Software Publishers,,929 108th Ave NE #1800,Bellevue,WA,107,107000579795
2016,Closed,61,Phishing,993000-Phishing,Phishing,This is the ALL Major,,  ,111,111000479502
2020,New,999,Other/Miscellaneous,531130-Lessors of Miniwarehouse & Self-Storage Units,,,Kennewick,WA,60,60000564699
2014,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,39074 Webb Ct,Westland,MI,27,27000458646
2017,New,999,Other/Miscellaneous,452910-Warehouse Clubs & Superstores,,,Bentonville,AR,60,60000514586
2021,Closed,996,COVID-19,722000-Restaurants and Bars,,,Spokane,WA,216,216000587334
2013,Closed,320,Unsatisfactory Repair/Service,561620-Security Systems (including locksmiths),Security Systems (including locksmiths),508 W 800th N,Orem,UT,42,42000436377
2014,Closed,5,Bait & Switch,454100-Electronic Shopping & Mail Order Houses,,,Maple Valley,WA,4,4000445750
2013,Closed,316,Billing Issues,484100-General Freight Trucking,,,Seattle,WA,107,107000439603
2020,Closed,26,Advertising,454100-Electronic Shopping & Mail Order Houses,,,,  ,19,19000573304
2020,Closed,100,Misrepresentation of Terms,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,22,22000561975
2016,Closed,320,Unsatisfactory Repair/Service,811100-Automotive Repair & Maintenance,Automotive Repair & Maintenance,440 S Church St Ste 700,Charlotte,NC,42,42000487157
2014,Closed,444,Foreclosure Issue,522390-Real Estate Loan Servicing,Real Estate Loan Servicing,1000 Samoset Dr,Newark,DE,155,155000441884
2017,New,999,Other/Miscellaneous,561450-Credit Bureaus,,,Atlanta,GA,60,60000514681
2014,Closed,203,Internet & Mobile device based transaction,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,PO Box 9040,Littleton,CO,27,27000448408
2020,Closed,22,Failure To Adjust/Refund,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,16,16000574501
2020,Closed,316,Billing Issues,"423450-Medical, Dental, Hospital Equipment Wholesalers ",,1328 S Highland Ave,Jackson,TN,107,107000563315
2017,Closed,403,Collection Activity (Fraudulent or mistaken ID),561440-Collection Agencies,,24636 Ynez Rd Ste L7-342,Temecula,CA,177,177000516873
2019,New,999,Other/Miscellaneous,920000-Public Administration,,1125 Washington St SE,Olympia,WA,60,60000546962
2020,Closed,25,Refund Policies,513320-Telecommunications/Wireless,,575 Morosgo Dr NE 12th Fl,Atlanta,GA,18,18000567143
2021,Closed,203,Internet & Mobile device based transaction,523000-Securities,,85 Willow Rd,Menlo Park,CA,27,27000589265
2019,New,999,Other/Miscellaneous,441100-Automotive Dealers,,11800 124th Ave NE,Kirkland,WA,60,60000557358
2021,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,PO Box 29045,San Francisco,CA,60,60000587686
2014,Closed,222,Advance Fee Fraud,992000-Advance Fee Fraud,,,,WA,114,114000457790
2020,New,999,Other/Miscellaneous,"813219-Charities, Grantmaking, Civic & Giving Services",,,Battle Ground,WA,60,60000569576
2018,Closed,22,Failure To Adjust/Refund,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,16,16000530371
2013,Closed,999,Other/Miscellaneous,990000-Unclassified Establishments,,,Bremerton,WA,60,60000436032
2013,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,107,107000423800
2021,New,999,Other/Miscellaneous,454300-Direct Selling Establishments (including home fuel,,,Bellingham,WA,60,60000587588
2018,New,999,Other/Miscellaneous,"611310-Colleges, Universities & Professional Schools",,400 E University Way,Ellensburg,WA,60,60000525928
2017,Closed,320,Unsatisfactory Repair/Service,811100-Automotive Repair & Maintenance,,,Black Diamond,WA,42,42000508139
2013,Closed,999,Other/Miscellaneous,"115210-Breeders, Stables and Livestock Boarding","Breeders, Stables and Livestock Boarding",1021 Russell Rd,Forks,WA,60,60000440885
2018,New,999,Other/Miscellaneous,513310-Wired Telecommunications Carriers,,,Belluvue,WA,60,60000524913
2016,New,999,Other/Miscellaneous,990000-Unclassified Establishments,,2025 1st Ave STE 270,Seattle,WA,60,60000489041
2018,Closed,422,Credit/Financing,441100-Automotive Dealers,,16042 1st Ave S,Burien,WA,49,49000531206
2020,Closed,62,Price Gouging,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,116,116000569416
2021,Closed,316,Billing Issues,513320-Telecommunications/Wireless,,6955 S Morelos Pl,Chandler,AZ,107,107000586917
2021,Closed,301,Failure To Deliver/Perform,"235000-Special trade Contractors (includes plumbers, elec",,,Seattle,WA,33,33000590671
2020,Closed,998,Governement agency complaint,920000-Public Administration,,The White House,Washington,DC,179,179000578245
2021,New,999,Other/Miscellaneous,524000-Insurance Carriers & Related Activities,,PO Box 30712,Tampa,FL,60,60000587837
2014,Closed,320,Unsatisfactory Repair/Service,522390-Real Estate Loan Servicing,Real Estate Loan Servicing,Office of the Consumer Ombudsman,Orlando,FL,42,42000458470
2018,Closed,301,Failure To Deliver/Perform,513310-Wired Telecommunications Carriers,,1800 41st St Fl 5,Everett,WA,33,33000540155
2019,Closed,318,Charge:Service Not Performed/Product not delivered,"235000-Special trade Contractors (includes plumbers, elec",,8611 S 192nd St,Kent,WA,40,40000559189
2021,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,3022 S Proctor St,Tacoma,WA,27,27000586726
2016,Closed,22,Failure To Adjust/Refund,522130-Credit Unions,Credit Unions,PO Box WSECU,Olympia,WA,16,16000484745
2014,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000456368
2017,Closed,7,Warranty,441100-Automotive Dealers,,6112 River Rd E,Puyallup,WA,6,6000519407
2017,Closed,402,Collections - Threatening behavior includes arrest,561440-Collection Agencies,,,Huntington Beach,CA,184,184000503569
2017,Closed,448,Student Loan Issue,522291-Consumer Lending (includes Payday Lenders),,220 Lasley Ave,Wilkes-Barre,PA,187,187000498813
2015,Closed,206,Right To Cancel,454100-Electronic Shopping & Mail Order Houses,,,,NJ,30,30000467502
2016,New,999,Other/Miscellaneous,445110,Supermarkets,1121 124th Ave NE,Bellevue,WA,60,60000490459
2015,Closed,316,Billing Issues,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 37380,Albuquerque,NM,107,107000477012
2020,New,999,Other/Miscellaneous,920000-Public Administration,,PO Box 9046,Olympia,WA,60,60000571214
2014,Closed,316,Billing Issues,221000-Utilities,Utilities,3628 S 35th St,Tacoma,WA,107,107000448667
2020,Open,999,Other/Miscellaneous,531190-MHU Use Only - MH landlord,,18006 Sky Park Cir Ste 200,Irvine,CA,60,60000562365
2013,Closed,422,Credit/Financing,921190-Government (General),Government (General),PO Box 8043,Faribault,MN,49,49000432957
2017,Closed,316,Billing Issues,522220-Sales financing (installment or short-term business),,1 Cit Dr,Livingston,NJ,107,107000507815
2019,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,,18601 Hwy 99 Ste 230,Lynnwood,WA,33,33000559375
2021,Closed,203,Internet & Mobile device based transaction,522320-Financial Transaction Processing,,12312 Port Grace Blvd,Lavista,NE,27,27000590309
2013,Closed,320,Unsatisfactory Repair/Service,921190-Government (General),,PO Box 219,Friday Harbor,WA,42,42000427056
2021,New,999,Other/Miscellaneous,561450-Credit Bureaus,,PO Box 105139,Atlanta,GA,60,60000591552
2018,New,999,Other/Miscellaneous,920000-Public Administration,,,Edmonds,WA,60,60000524912
2017,Closed,5,Bait & Switch,812112-Beauty Salons,,,Renton,WA,4,4000503189
2015,Closed,640,Fees,920000-Public Administration,Public Administration,PO Box 42650,Olympia,WA,157,157000469759
2021,Closed,104,Non-Fulfillment,522320-Financial Transaction Processing,,9716 178th Pl NE Unit 103,Redmond,WA,23,23000589249
2013,Closed,404,Collection Practices,990000-Unclassified Establishments,Unclassified Establishments,,,  ,46,46000437834
2021,New,999,Other/Miscellaneous,523930-Financial Planning,,,,WA,60,60000594446
2021,Closed,22,Failure To Adjust/Refund,811200-Electronic & Precision Equip. Repair & Maintenance,,,Edmonds,WA,16,16000588465
2020,New,999,Other/Miscellaneous,513320-Telecommunications/Wireless,,6955 S Morelos Pl,Chandler,AZ,60,60000585316
2014,Closed,303,Questionable Quality Product/Service,812910-Pet Care Services (except Veterinary),,,Arlington,TX,35,35000451899
2013,Closed,304,Questionable Quality/Used,441100-Automotive Dealers,Automotive Dealers,12800 Aurora Ave N,Seattle,WA,36,36000429697
2018,New,999,Other/Miscellaneous,511210-Software Publishers,,One Microsoft Wy,Redmond,WA,60,60000535341
2016,Closed,100,Misrepresentation of Terms,"453000-Misc. Stores (incl. florists, office supplies, gif","Misc. Stores (incl. florists, office supplies, gif",Administration Office,Eagle,ID,22,22000486199
2018,Closed,100,Misrepresentation of Terms,811100-Automotive Repair & Maintenance,,20081 Viking Ave NW,Poulsbo,WA,22,22000532594
2014,Closed,320,Unsatisfactory Repair/Service,811100-Automotive Repair & Maintenance,Automotive Repair & Maintenance,105 Decker Ct Ste 900,Irving,TX,42,42000455996
2019,Closed,30,Data Breach,561450-Credit Bureaus,,PO Box 105139,Atlanta,GA,115,115000554142
2019,Closed,518,Unregistered or Unlicensed Business,"453000-Misc. Stores (incl. florists, office supplies, gif",,,,  ,55,55000554837
2019,Closed,316,Billing Issues,561510-Travel Agents,,1111 Expedia Group Way W,Seattle,WA,107,107000559103
2017,Closed,303,Questionable Quality Product/Service,541620-Legal Services- All other legal services,,,Connell,WA,35,35000519134
2018,Closed,414,Tech Support Scam,999000-Tech Support Scam,,This is the ALL major,,  ,202,202000541334
2014,Closed,303,Questionable Quality Product/Service,452100-Department Stores,Department Stores,3333 Beverly Rd B6-258A-B,Hoffman Estates,IL,35,35000450035
2017,New,999,Other/Miscellaneous,990000-Unclassified Establishments,,,,  ,60,60000503286
2013,Closed,58,Telemarketing,561422-Telemarketing,Telemarketing,,,CA,20,20000425446
2019,Closed,320,Unsatisfactory Repair/Service,621200-Offices of Dentists,,,Port Angeles,WA,42,42000548542
2020,New,999,Other/Miscellaneous,993000-Phishing,,,,  ,60,60000578820
2018,Closed,999,Other/Miscellaneous,522110-Commercial Banking,,200 S 6th St,Minneapolis,MN,60,60000527703
2013,Closed,320,Unsatisfactory Repair/Service,"235000-Special trade Contractors (includes plumbers, elec",,9502 NE 72nd Ave,Vancouver,WA,42,42000441505
2013,Closed,19,Inadequate Disclosure,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,Office of the President,Dallas,TX,13,13000432066
2020,Closed,318,Charge:Service Not Performed/Product not delivered,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,40,40000566339
2020,Closed,404,Collection Practices,561440-Collection Agencies,,5230 Las Virgenes Rd Ste 210,Calabasas,CA,46,46000578945
2021,Open,999,Other/Miscellaneous,713940-Fitness & Recreational Industries,,3161 Michelson Ste 600,Irvine,CA,60,60000591672
2015,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,1736 Bohanan Rd,Colville,WA,33,33000465910
