PlaceRef,PropDesc,RateableVal,AccountName,LiabStart,PropAddress1,PropAddress2,PropAddress3,PropAddress4,PropAddress5,PropPostCode,Address1,Address2,Address3,Address4,Address5,PostCode,MandRlfCd,DiscRlfCd,AddRlfCd,MandRlf,DiscRlf,AdditionalRlf,SBRRlf,TRDisc/SSBCd,TRDisc/SSBAmt
8507023039,SHOP AND PREMISES,17000,SOS SHOP LTD,01/04/2017,23 WOODFORD ROAD,BRAMHALL,STOCKPORT,,,SK7 1JN,C/O RATING AND VALUATION COMPANY,CHANCERY PLACE,50 BROWN STREET,10TH FLOOR,MANCHESTER,M2 2JT,,,RETDSC,0.0,0.0,8483.0,0.0,,0.0
3981075009,FUNERAL DIRECTORS AND PREMISES,17000,FUNERAL SERVICES LTD,11/11/2016,75 HIGH STREET,CHEADLE,,,,SK8 1AA,COOPERATIVE GROUP LTD,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,8483.0,0.0,,0.0
7394037009,BUILDING SOCIETY,10250,CHESHIRE BUILDING SOCIETY,01/04/2013,37 STOCKPORT ROAD,MARPLE,STOCKPORT,,,SK6 6BD,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,INTERCHANGE PLACE,151-165 EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0.0,0.0,0.0,0.0,,0.0
3981018009,SHOP AND PREMISES,20750,NATIONWIDE BUILDING SOCIETY,01/04/1990,18 HIGH STREET,CHEADLE,,,,SK8 1AL,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,INTERCHANGE PLACE,151-165 EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0.0,0.0,0.0,0.0,,0.0
3459055009,OFFICES AND PREMISES,25000,NATIONWIDE BUILDING SOCIETY,01/04/1990,53-55 GREAT UNDERBANK,STOCKPORT,,,,SK1 1NE,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,INTERCHANGE PLACE,151-165 EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0.0,0.0,0.0,0.0,,0.0
1095007009,SHOP AND PREMISES,11250,OXFAM,01/04/1990,7 THE BRAMHALL CENTRE,BRAMHALL,STOCKPORT,,,SK7 1AW,FINANCE OFFICE,LEVEL 3,CALE CROSS HOUSE,156 PILGRIM STREET,NEWCASTLE UPON TYNE,NE1 6SU,MAN,,RETDSC,4608.0,0.0,1152.0,0.0,,0.0
6550104009,SHOP AND PREMISES,15250,OXFAM,14/04/1998,104 PRINCES STREET,STOCKPORT,,,,SK1 1RJ,FINANCE OFFICE,LEVEL 3,CALE CROSS HOUSE,156 PILGRIM STREET,NEWCASTLE UP ON TYNE,NE1 6SU,MAN,,RETDSC,6246.4,0.0,1561.6,0.0,,0.0
5060000069,WAREHOUSE AND PREMISES,26500,SCREWFIX DIRECT LTD,31/01/2018,UNIT 1,SOUTHFIELD 25,LINGARD LANE,BREDBURY,STOCKPORT,SK6 2TG,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR - ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
2543000199,WAREHOUSE AND PREMISES,37000,SCREWFIX DIRECT LTD,05/12/2012,UNIT 4D,STANLEY GREEN TRADING ESTATE,DUKE AVENUE,CHEADLE HULME,CHEADLE,SK8 6QY,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR - ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3805005019,WAREHOUSE OFFICE AND PREMISES,50500,SCREWFIX DIRECT LTD,07/04/2006,UNIT 5,HAIGH AVENUE,REDDISH,STOCKPORT,,SK4 1NU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR - ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3990239009,WAREHOUSE OFFICES AND PREMISES,33750,SCREWFIX DIRECT LTD,07/12/2015,HILLGATE HOUSE,136 HIGHER HILLGATE,STOCKPORT,,,SK1 3QD,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR - ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
2499063039,SITE OF ATM,5900,CO-OPERATIVE GROUP  LTD,09/08/2016,ATM SITE AT,63 DIDSBURY ROAD,HEATON MERSEY,STOCKPORT,,SK4 2BA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR  ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3935076059,SITE OF ATM,8300,CO-OPERATIVE GROUP  LTD,01/04/2010,ATM SITE AT,76-80,HEATON MOOR ROAD,STOCKPORT,,SK4 4NZ,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR  ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359399699,SITE OF ATM,5950,CO-OPERATIVE GROUP  LTD,03/01/2017,ATM AT CO OP STORE,NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR  ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359399709,SHOP AND PREMISES,50500,CO-OPERATIVE GROUP  LTD,01/04/2017,CO OP STORE PT GND FLR,NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR  ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,25199.5,0.0,,0.0
3935076049,SHOP AND PREMISES,40000,CO-OPERATIVE GROUP  LTD,01/04/2010,76-80,HEATON MOOR ROAD,STOCKPORT,,,SK4 4NZ,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR  ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,19960.0,0.0,,0.0
3935206039,SITE OF ATM,900,CO-OPERATIVE GROUP LTD,01/03/2012,ATM SITE AT,206 HEATON MOOR ROAD,STOCKPORT,,,SK4 4DU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3988085009,FUNERAL PARLOUR AND PREMISES,9600,CO-OPERATIVE GROUP LTD,01/04/1990,85 HIGHER BENTS LANE,BREDBURY,STOCKPORT,,,SK6 2NA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,4790.4,0.0,,0.0
8359998029,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 49 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998039,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 50 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998049,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 51 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998059,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 52 NEWMANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998069,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 53 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998079,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 54 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998089,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 55 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998099,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 56 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
8359998109,CAR PARKING SPACE,350,CO-OPERATIVE GROUP LTD,01/04/2012,CAR SPACE 57 NEW MANSION HOUSE,WELLINGTON ROAD SOUTH,STOCKPORT,,,SK1 3UA,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3935206029,SHOP AND PREMISES,82000,CO-OPERATIVE GROUP LTD,01/03/2012,206 HEATON MOOR ROAD,STOCKPORT,,,,SK4 4DU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,41984.0,0.0,,0.0
981098009,CAR PARK AND PREMISES,6200,CO-OPERATIVE GROUP LTD,13/11/2007,CAR PARK,BULKELEY STREET,EDGELEY,STOCKPORT,,SK3 9HD,C/O RATE ACCOUNT MANAGMENT,COLLIERS INT PROPERTY ADVISERS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3387010039,SITE OF ATM,5900,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,10 GILLBENT ROAD,CHEADLE HULME,CHEADLE,,SK8 6NB,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
1681065069,SHOP AND PREMISES,35500,CO-OPERATIVE GROUP LTD,01/04/2010,NORWEST CO-OPERATIVE SOCIETY LTD,CHEADLE ROAD,CHEADLE HULME,CHEADLE,,SK8 5EU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,17714.5,0.0,,0.0
1681065079,SITE OF ATM,5900,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,NORWEST CO-OPERATIVE SOCIETY LTD,CHEADLE ROAD,CHEADLE HULME,CHEADLE,SK8 5EU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3816160029,SITE OF ATM,11250,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,156-160,HALL STREET,OFFERTON,STOCKPORT,SK1 4HR,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
2400059049,SITE OF ATM,5900,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,59 DAIRYGROUND ROAD,BRAMHALL,STOCKPORT,,SK7 2QW,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
1009355059,SITE OF ATM,11250,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,355-359,BUXTON ROAD,STOCKPORT,,SK2 7NL,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
7394151049,SITE OF ATM,5900,CO-OPERATIVE GROUP LTD,20/05/2011,ATM SITE AT,151 STOCKPORT ROAD,MARPLE,STOCKPORT,,SK6 6DQ,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3816160019,SHOP AND PREMISES,30000,CO-OPERATIVE GROUP LTD,01/04/2010,156-160,HALL STREET,OFFERTON,STOCKPORT,,SK1 4HR,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,14970.0,0.0,,0.0
688030029,SITE OF ATM,8300,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,30 BERRYCROFT LANE,ROMILEY,STOCKPORT,,SK6 3AU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3387010029,SHOP AND PREMISES,35250,CO-OPERATIVE GROUP LTD,01/04/2010,10 GILLBENT ROAD,CHEADLE HULME,CHEADLE,,,SK8 6NB,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,17589.75,0.0,,0.0
2400059039,SHOP AND PREMISES,34250,CO-OPERATIVE GROUP LTD,01/04/2010,59 DAIRYGROUND ROAD,BRAMHALL,STOCKPORT,,,SK7 2QW,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,17090.75,0.0,,0.0
1009355049,SHOP AND PREMISES,24500,CO-OPERATIVE GROUP LTD,01/04/2010,355-359,BUXTON ROAD,STOCKPORT,,,SK2 7NL,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,12225.5,0.0,,0.0
688030019,SHOP AND PREMISES,32750,CO-OPERATIVE GROUP LTD,01/04/2010,30 BERRYCROFT LANE,ROMILEY,STOCKPORT,,,SK6 3AU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INT PROPERTY ADVISORS UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,16342.25,0.0,,0.0
1734072029,SITE OF ATM,8300,CO-OPERATIVE GROUP LTD,01/04/2010,ATM SITE AT,72 CHURCH ROAD,GATLEY,CHEADLE,,SK8 4NQ,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3194099029,SHOP AND PREMISES,36500,CO-OPERATIVE GROUP LTD,23/12/1994,THE LATE SHOP,FULMAR DRIVE,OFFERTON,STOCKPORT,,SK2 5JL,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,18213.5,0.0,,0.0
1734072019,SHOP AND PREMISES,43750,CO-OPERATIVE GROUP LTD,01/04/2010,72 CHURCH ROAD,GATLEY,CHEADLE,,,SK8 4NQ,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,21831.25,0.0,,0.0
3933200719,CAR PARKING SPACE AND PREMISES,500,TRAVELODGE LIMITED,30/11/2016,CAR SPACE 62,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL  RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3933200709,CAR PARKING SPACES AND PREMISES,1000,TRAVELODGE LIMITED,14/12/2016,CAR SPACES 35 & 36,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL  RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3933201359,CAR PARKING SPACES,3500,TRAVELODGE LIMITED,05/12/2016,CAR SPACES 52-58,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL  RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
3933201339,HOTEL AND PREMISES,93500,TRAVELODGE LIMITED,12/12/2016,TRAVELODGE,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL  RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,RETDSC,0.0,0.0,46035.82,0.0,,0.0
8351002109,COMMUNICATION STATION AND PREMISES,12250,TELEFONICA UK LTD,17/04/2012,SITE REF 40691,CS17355 VF79283,WELKIN ROAD,BREDBURY,STOCKPORT,SK6 2EG,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
2849009009,COMMUNICATION STATION AND PREMISES,4800,TELEFONICA UK LTD,10/11/2006,SITE 37388,ETCHELLS ROAD,HEALD GREEN,CHEADLE,,SK8 3AU,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
715003149,COMMUNICATION STATION AND PREMISES,13000,TELEFONICA UK LTD,01/05/2004,SITE 11403,ON PHOENIX HOUSE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0RS,C/O RATE ACCOUNT MANAGEMENT,COLLIERS INTERNATIONAL RATING UK LLP,12TH FLOOR ELEVEN BRINDLEY PLACE,2 BRUNSWICK SQUARE,BIRMINGHAM,B1 2LP,,,,0.0,0.0,0.0,0.0,,0.0
