LocationDesc,HealthTopic,PolicyTopic,Title,Status,GeoLocation,DisplayOrder,PolicyTypeID
Texas,Obesity,Appropriations,Basic Care Requirements For Pre-kindergarten,Enacted,"(31.827240407, -99.426770206)",28,REG
Nebraska,Nutrition,Healthier Food Retail and Food Deserts,Healthy Food Choices Study,Dead,"(41.641040988001, -99.365720623)",12,LEG
Washington,Nutrition,Access to Healthy Foods,State Agency Food Purchasing Policy,Dead,"(47.522278629, -120.47001079)",1,LEG
Michigan,Nutrition,Trans Fats,Public Transit,Enacted,"(44.661319543001, -84.71439027)",24,LEG
District of Columbia,Obesity,Marketing Restrictions,Budget Support Congressional Review,Enacted,"(38.890371385, -77.031961127)",34,LEG
Washington,Nutrition,School Nutrition,Student Focused State Level Education Governance System,Dead,"(47.522278629, -120.47001079)",21,LEG
New Mexico,Obesity,Appropriations,Agriculture Rules,Dead,"(34.520880952, -106.240580985)",28,LEG
Missouri,Nutrition,Vending,Streamlined Sales and Use Tax Agreement,Dead,"(38.635790776, -92.566300053)",25,LEG
California,Nutrition,Fruits and Vegetables,Personal Agriculture,Enacted,"(37.638640123, -120.999999538)",15,OTH
Texas,Nutrition,Appropriations,Regulation of Food Sold at Farmers Markets.,Dead,"(31.827240407, -99.426770206)",2,LEG
New Jersey,Physical Activity,Disparities/Equity,Athletic Heart Protectors,Dead,"(40.130570048, -74.273691288)",53,LEG
Hawaii,Physical Activity,Built Environment and Street-Scale Design,Bicycles and Safety,Dead,"(21.304850435, -157.857749403)",68,LEG
New York,Nutrition,Trans Fats,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",24,LEG
Massachusetts,Obesity,Appropriations,Mandatory Physical Education,Dead,"(42.27687047, -72.082690675)",28,LEG
Oklahoma,Obesity,Appropriations,Driver License Examination,Enacted,"(35.472031356, -97.521070214)",28,LEG
Alabama,Nutrition,Healthier Food Retail and Food Deserts,Eliminate Food Deserts,Enacted,"(32.840571122, -86.631860762)",12,LEG
Texas,Nutrition,Task Forces/Councils,Early Childhood Health and Nutrition Council,Enacted,"(31.827240407, -99.426770206)",23,LEG
Wisconsin,Nutrition,Agriculture and Farming,Food Produced in This State,Dead,"(44.393191174, -89.816370742)",10,LEG
Iowa,Obesity,Appropriations,Adjacent Travel Lane,Dead,"(42.469400913, -93.816490556)",28,LEG
Texas,Nutrition,Incentives,Resolution,Introduced,"(31.827240407, -99.426770206)",17,LEG
Hawaii,Nutrition,Farm Direct Foods,Concession Contracts,Dead,"(21.304850435, -157.857749403)",8,LEG
Alabama,Nutrition,Fruits and Vegetables,Act to Make Appropriations <br>,Enacted,"(32.840571122, -86.631860762)",15,LEG
Maryland,Nutrition,Farm Direct Foods,Advertising Agricultural Products as Locally Grown,Enacted,"(39.290580964, -76.609260111)",8,REG
District of Columbia,Nutrition,Appropriations,Bellevue Small Area Action Plan,Enacted,"(38.890371385, -77.031961127)",2,LEG
Kansas,Nutrition,Farm Direct Foods,Extending the local food and farm task force,Enacted,"(38.3477403, -98.200781227)",8,LEG
Hawaii,Physical Activity,Disparities/Equity,State Property Usage,Dead,"(21.304850435, -157.857749403)",53,LEG
Missouri,Nutrition,Agriculture and Farming,Women Infants and Children Food Program,Dead,"(38.635790776, -92.566300053)",10,LEG
Tennessee,Nutrition,Appropriations,Education,Dead,"(35.68094058, -85.774490914)",2,LEG
Illinois,Physical Activity,Public Transportation,Housing and Transportation Affordability,Enacted,"(40.485010283, -88.997710178)",63,LEG
Illinois,Physical Activity,Public Transportation,River Edge Redevelopment Zone Act,Enacted,"(40.485010283, -88.997710178)",63,LEG
California,Nutrition,Agriculture and Farming,An Act Relating to Agricultural Products<br>,Dead,"(37.638640123, -120.999999538)",10,LEG
Maryland,Nutrition,Appropriations,An Act for the Purpose of Making Appropriations <br>,Enacted,"(39.290580964, -76.609260111)",2,LEG
Arizona,Nutrition,Appropriations,Temporary Soft Drink Tax,Dead,"(34.86597028, -111.763811277)",2,LEG
Nebraska,Nutrition,Healthier Food Retail and Food Deserts,Nebraska Healthy Food Financing Initiative Act,Dead,"(41.641040988001, -99.365720623)",12,LEG
California,Obesity,Access to Drinking Water,Schools: Pupil Nutrition: Availability of Tap Water,Enacted,"(37.638640123, -120.999999538)",33,LEG
New York,Nutrition,Trans Fats,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",24,LEG
California,Nutrition,Access to Healthy Foods,Taxation: Sweetened Beverage Tax: Children's Health,Dead,"(37.638640123, -120.999999538)",1,LEG
Washington,Obesity,Appropriations,Fiscal Matters for the 2007 2009 Biennium,Enacted,"(47.522278629, -120.47001079)",28,LEG
Hawaii,Nutrition,Incentives,Medicaid,Dead,"(21.304850435, -157.857749403)",17,LEG
Illinois,Nutrition,Liability and Indemnity,Student Physical Fitness Assessment Appropriation,Dead,"(40.485010283, -88.997710178)",18,LEG
Maryland,Nutrition,Farm Direct Foods,Department of Agriculture,Enacted,"(39.290580964, -76.609260111)",8,LEG
Texas,Nutrition,Appropriations,Programs to Improve Health of Public School Students,Dead,"(31.827240407, -99.426770206)",2,LEG
District of Columbia,Obesity,Appropriations,Fiscal Year 2012 Budget Support Emergency Act,Enacted,"(38.890371385, -77.031961127)",28,LEG
New York,Nutrition,Sodium,Trans fat reduction; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,"(42.827001032, -75.543970427)",22,LEG
Texas,Nutrition,Food Assistance Programs,Prohibiting the Purchase of Certain Food Items,Introduced,"(31.827240407, -99.426770206)",3,LEG
Iowa,Nutrition,Medical Care,Iowa Jobs Program,Enacted,"(42.469400913, -93.816490556)",16,REG
Arizona,Physical Activity,Incentives,Tax on Sweetened Beverages,Dead,"(34.86597028, -111.763811277)",55,LEG
Michigan,Physical Activity,Physical Activity Requirements,High School Sports,Dead,"(44.661319543001, -84.71439027)",60,LEG
Arkansas,Obesity,Appropriations,Economic Development Commission,Enacted,"(34.748650124, -92.274490743)",28,LEG
New York,Nutrition,Disparities/Equity,Food Retail Establishment Subsidization for Healthy Communities (FRESH Communities) Act,Introduced,"(42.827001032, -75.543970427)",7,LEG
Hawaii,Obesity,Food Restrictions,Agribusiness,Dead,"(21.304850435, -157.857749403)",35,LEG
North Carolina,Physical Activity,Physical Education Requirements,Physical Education Requirements,Dead,"(35.466220975, -79.159250463)",61,LEG
Texas,Physical Activity,"Parks, Recreation and Trails",Jefferson County Management District,Dead,"(31.827240407, -99.426770206)",59,LEG
New York,Physical Activity,Task Forces/Councils,Bicycle Access to Public Buildings,Dead,"(42.827001032, -75.543970427)",67,LEG
Oregon,Nutrition,Agriculture and Farming,State Finance,Dead,"(44.567449424, -120.155031326)",10,LEG
Minnesota,Physical Activity,Liability and Indemnity,Health,Dead,"(46.355648736, -94.794200503)",56,LEG
Missouri,Obesity,Appropriations,Property Tax Relief,Dead,"(38.635790776, -92.566300053)",28,LEG
New York,Nutrition,Disparities/Equity,Deficiency Budget,Dead,"(42.827001032, -75.543970427)",7,LEG
Vermont,Physical Activity,Built Environment and Street-Scale Design,Transportation Program,Enacted,"(43.625381239, -72.517640791)",68,LEG
Illinois,Physical Activity,Task Forces/Councils,Obesity Prevention Initiative Act,Enacted,"(40.485010283, -88.997710178)",67,LEG
Kentucky,Nutrition,School Nutrition,Legislative Task Force on Childhood Obesity,Enacted,"(37.645970271, -84.774971048)",21,LEG
Illinois,Nutrition,Appropriations,Specialized Healthcare Delivery Systems,Enacted,"(40.485010283, -88.997710178)",2,REG
Virginia,Nutrition,Agriculture and Farming,Agricultural Sales and Litter Tax,Enacted,"(37.542680674, -78.457890463)",10,LEG
Pennsylvania,Obesity,Health Insurance Coverage,Reduced Insurance Premiums,Dead,"(40.793730152, -77.860700294)",37,LEG
Michigan,Nutrition,Disparities/Equity,Food Desert Oasis Act,Enacted,"(44.661319543001, -84.71439027)",7,LEG
Oklahoma,Nutrition,Incentives,An Act Relating to Sales Tax,Introduced,"(35.472031356, -97.521070214)",17,LEG
Colorado,Nutrition,Medical Care,Safe Routes to School,Enacted,"(38.843840757, -106.133610921)",16,LEG
New York,Obesity,Appropriations,Task Force on Food and Physical Education,Dead,"(42.827001032, -75.543970427)",28,LEG
California,Obesity,Food Restrictions,Senate Concurrent resolution                 <br>,Enacted,"(37.638640123, -120.999999538)",35,LEG
New York,Nutrition,Disparities/Equity,An Act to Amend the Agriculture and Markets Law,Introduced,"(42.827001032, -75.543970427)",7,LEG
Nebraska,Physical Activity,Physical Education Requirements,School Accreditation,Enacted,"(41.641040988001, -99.365720623)",61,REG
New York,Nutrition,Sodium,Omnibus Obesity and Respiratory Illness Reduction Act,Introduced,"(42.827001032, -75.543970427)",22,LEG
Maryland,Physical Activity,Bicycling,Community Enhancement,Dead,"(39.290580964, -76.609260111)",50,LEG
Oregon,Obesity,Food Restrictions,Agricultural Products,Enacted,"(44.567449424, -120.155031326)",35,LEG
Rhode Island,Nutrition,Food Assistance Programs,Education,Dead,"(41.708280193, -71.522470314)",3,LEG
Arkansas,Physical Activity,Initiatives and Programs,Arkansas Department of Education Rules Governing Nutrition and Physical Activity Standards and Body Mass Index for Age Assessment Protocols in Arkansas Public Schools,Enacted,"(34.748650124, -92.274490743)",70,REG
Alabama,Nutrition,Appropriations,Government Appropriations,Dead,"(32.840571122, -86.631860762)",2,LEG
Florida,Obesity,Food Restrictions,School Food Service Programs,Enacted,"(28.932040377, -81.928960539)",35,LEG
Texas,Nutrition,Food Assistance Programs,Interagency Obesity Council,Dead,"(31.827240407, -99.426770206)",3,LEG
California,Nutrition,Access to Healthy Foods,Local Taxation: Counties: School Districts,Dead,"(37.638640123, -120.999999538)",1,LEG
Florida,Nutrition,Medical Care,Use of Wireless Communications Devices and Driving,Dead,"(28.932040377, -81.928960539)",16,LEG
Minnesota,Obesity,Appropriations,Financing of State and Local Government,Dead,"(46.355648736, -94.794200503)",28,LEG
Georgia,Nutrition,Appropriations,An Act Making Appropriations<br>,Enacted,"(32.839681093, -83.627580346)",2,LEG
Virginia,Obesity,Appropriations,Revenues of the Commonwealth,Dead,"(37.542680674, -78.457890463)",28,LEG
New Mexico,Nutrition,Appropriations,Study Children's Access to Proper Nutrition,Dead,"(34.520880952, -106.240580985)",2,LEG
Kentucky,Nutrition,Food Security,Budget Bill Amendments,Dead,"(37.645970271, -84.774971048)",14,LEG
Florida,Obesity,Menu Labeling,Neighborhood Improvement Districts,Dead,"(28.932040377, -81.928960539)",41,LEG
Maryland,Physical Activity,Built Environment and Street-Scale Design,Quiet Vehicles and Pedestrian Safety Task Force,Dead,"(39.290580964, -76.609260111)",68,LEG
Maine,Nutrition,Appropriations,Electronic Benefits Transfers and Farmers Markets,Dead,"(45.254228894001, -68.985031336)",2,LEG
Florida,Obesity,Appropriations,Growth Management,Dead,"(28.932040377, -81.928960539)",28,LEG
Rhode Island,Obesity,Appropriations,Motor and Other Vehicles,Dead,"(41.708280193, -71.522470314)",28,LEG
Missouri,Obesity,Food Restrictions,Agriculture and Local Foods,Dead,"(38.635790776, -92.566300053)",35,LEG
Illinois,Physical Activity,Bicycling,Resolution to designate Septembr 2012 as Childhood Obesity Awareness Month,Enacted,"(40.485010283, -88.997710178)",50,LEG
Hawaii,Nutrition,Appropriations,Agribusiness,Dead,"(21.304850435, -157.857749403)",2,LEG
Hawaii,Nutrition,Medical Care,Bicycle Operation,Dead,"(21.304850435, -157.857749403)",16,LEG
Mississippi,Obesity,Body Mass Index (BMI),Medicaid,Dead,"(32.745510099, -89.538030825)",29,LEG
Arkansas,Nutrition,Liability and Indemnity,Legislative Projects,Enacted,"(34.748650124, -92.274490743)",18,LEG
Massachusetts,Physical Activity,Physical Activity Requirements,An Act to Improve Quality Physical Education<br>,Dead,"(42.27687047, -72.082690675)",60,LEG
Massachusetts,Obesity,Food Restrictions,Governor Fiscal Year 2010 Budget,Dead,"(42.27687047, -72.082690675)",35,LEG
New York,Nutrition,Trans Fats,Trans fat reduction; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,"(42.827001032, -75.543970427)",24,LEG
Nevada,Physical Activity,Bicycling,Reckless Driving,Enacted,"(39.49324039, -117.071840564)",50,LEG
Tennessee,Nutrition,Medical Care,Traffic Safety,Enacted,"(35.68094058, -85.774490914)",16,LEG
Minnesota,Nutrition,Appropriations,Employment,Dead,"(46.355648736, -94.794200503)",2,LEG
Illinois,Physical Activity,Appropriations,Highway Code,Enacted,"(40.485010283, -88.997710178)",48,LEG
Ohio,Nutrition,School Nutrition,Standards for Vending Machine Foods in Schools,Dead,"(40.060210141, -82.404260056)",21,LEG
Kentucky,Nutrition,Appropriations,Agriculture,Enacted,"(37.645970271, -84.774971048)",2,LEG
New York,Nutrition,Farm Direct Foods,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",8,LEG
Hawaii,Obesity,Food Restrictions,Schools,Dead,"(21.304850435, -157.857749403)",35,LEG
Minnesota,Physical Activity,Bicycling,Environment,Dead,"(46.355648736, -94.794200503)",50,LEG
Oregon,Obesity,Appropriations,Adult Foster Homes for Individuals,Enacted,"(44.567449424, -120.155031326)",28,REG
Florida,Nutrition,Point of Purchase Promotion,School Food Services,Dead,"(28.932040377, -81.928960539)",20,LEG
Pennsylvania,Nutrition,Farm Direct Foods,House Resolution,Enacted,"(40.793730152, -77.860700294)",8,LEG
Massachusetts,Nutrition,Medical Care,Failing to Yield to Bicyclists,Dead,"(42.27687047, -72.082690675)",16,LEG
Massachusetts,Nutrition,Sodium,Transportation System Modernization,Dead,"(42.27687047, -72.082690675)",22,LEG
Oklahoma,Obesity,Body Mass Index (BMI),The RightTrack Act,Introduced,"(35.472031356, -97.521070214)",29,LEG
Virginia,Nutrition,Nutrition Standards,Competitive Foods,Dead,"(37.542680674, -78.457890463)",6,LEG
Pennsylvania,Physical Activity,Incentives,Healthy Living Committee Discount,Dead,"(40.793730152, -77.860700294)",55,LEG
Rhode Island,Nutrition,Correctional Facilities Farms Programs,State Affairs and Government,Enacted,"(41.708280193, -71.522470314)",11,LEG
Washington,Physical Activity,Public Transportation,An act allowing the use of lodging taxes for financing workforce housing.,Introduced,"(47.522278629, -120.47001079)",63,LEG
Washington,Nutrition,Agriculture and Farming,State Environmental Policy Act Process,Dead,"(47.522278629, -120.47001079)",10,LEG
New York,Nutrition,Disparities/Equity,Food Retail Establishment Subsidization for Healthy Communities Act<br>,Dead,"(42.827001032, -75.543970427)",7,LEG
California,Physical Activity,Access to Recreational Opportunities,Education: Physical Education,Dead,"(37.638640123, -120.999999538)",49,LEG
Maine,Nutrition,Farmers Markets,Farmers Market,Enacted,"(45.254228894001, -68.985031336)",9,LEG
Hawaii,Nutrition,Farmers Markets,Women and Infant Children,Dead,"(21.304850435, -157.857749403)",9,LEG
Texas,Physical Activity,Incentives,Specialty License Plates,Dead,"(31.827240407, -99.426770206)",55,LEG
Hawaii,Obesity,Appropriations,Real Property Blight,Dead,"(21.304850435, -157.857749403)",28,LEG
Iowa,Nutrition,Liability and Indemnity,Agriculture and Natural Resources,Enacted,"(42.469400913, -93.816490556)",18,LEG
Kentucky,Physical Activity,Incentives,State Employee Health Insurance<br>,Dead,"(37.645970271, -84.774971048)",55,LEG
Connecticut,Nutrition,Incentives,An act concerning seizure and custody of neglected or cruelly treated animals<br>,Enacted,"(41.56266102, -72.649840952)",17,LEG
Hawaii,Nutrition,Farm Direct Foods,School Programs,Dead,"(21.304850435, -157.857749403)",8,LEG
Florida,Nutrition,Appropriations,Healthy Lifestyles,Enacted,"(28.932040377, -81.928960539)",2,LEG
Texas,Physical Activity,Pedestrians/Walking,Department of Transportation Funding,Dead,"(31.827240407, -99.426770206)",69,LEG
New Hampshire,Nutrition,Appropriations,Soft Drinks Tax,Dead,"(43.655950113, -71.50036092)",2,LEG
New York,Obesity,Food Restrictions,School Districts Purchase of Food Products,Dead,"(42.827001032, -75.543970427)",35,LEG
Connecticut,Physical Activity,School Siting,Bicycle and Pedestrian Access,Enacted,"(41.56266102, -72.649840952)",65,LEG
Florida,Nutrition,Access to Healthy Foods,School Food Service Programs,Dead,"(28.932040377, -81.928960539)",1,LEG
Mississippi,Obesity,Disparities/Equity,Council on Combating Obesity,Dead,"(32.745510099, -89.538030825)",32,LEG
New York,Nutrition,Access to Healthy Foods,FRESH Communities Act,Dead,"(42.827001032, -75.543970427)",1,LEG
Illinois,Nutrition,Agriculture and Farming,Local Food and Farms and Jobs Act,Enacted,"(40.485010283, -88.997710178)",10,LEG
Alabama,Nutrition,Initiatives and Programs,Act to Make Appropriations <br>,Enacted,"(32.840571122, -86.631860762)",26,LEG
Michigan,Physical Activity,Bicycling,Bicyclists On the Road,Dead,"(44.661319543001, -84.71439027)",50,LEG
Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Smart Growth Zoning Overlay District,Enacted,"(42.27687047, -72.082690675)",68,REG
North Carolina,Physical Activity,Built Environment and Street-Scale Design,Bicycle Safety Changes,Dead,"(35.466220975, -79.159250463)",68,LEG
Colorado,Nutrition,Appropriations,Surface Transportation Funding,Dead,"(38.843840757, -106.133610921)",2,LEG
Kansas,Physical Activity,Built Environment and Street-Scale Design,Bicycle Traffic Laws,Dead,"(38.3477403, -98.200781227)",68,LEG
District of Columbia,Physical Activity,Public Transportation,Comprehensive Plan Amendment Act,Dead,"(38.890371385, -77.031961127)",63,LEG
New Jersey,Nutrition,Farmers Markets,"""Designates third week of September as """"New Jersey Gleaning Week."""" <br>""",Enacted,"(40.130570048, -74.273691288)",9,LEG
Connecticut,Nutrition,Appropriations,Community Investment Account,Enacted,"(41.56266102, -72.649840952)",2,LEG
South Carolina,Obesity,Sugar Sweetened Beverages,Sweetened Beverage Tax Act,Dead,"(33.998821303, -81.045371207)",43,LEG
New Mexico,Nutrition,Food Assistance Programs,Making an Appropriation to Provide New Mexico-grown Fresh Fruits and Vegetables for School Lunches<br>,Enacted,"(34.520880952, -106.240580985)",3,LEG
Ohio,Nutrition,Nutrition Standards,School Standards<br>,Dead,"(40.060210141, -82.404260056)",6,LEG
Vermont,Obesity,Food Restrictions,Economic Development,Enacted,"(43.625381239, -72.517640791)",35,LEG
Maine,Obesity,Incentives,Individual and Small Group Health Plans,Enacted,"(45.254228894001, -68.985031336)",38,LEG
Hawaii,Physical Activity,Incentives,Wellness,Dead,"(21.304850435, -157.857749403)",55,LEG
Washington,Nutrition,Sodium,State Agency Food Purchasing Policy,Dead,"(47.522278629, -120.47001079)",22,LEG
North Carolina,Obesity,TV/Screen Viewing,Appropriations Act of 2007,Enacted,"(35.466220975, -79.159250463)",45,LEG
Massachusetts,Nutrition,Medical Care,Student Nutrition and Wellness,Dead,"(42.27687047, -72.082690675)",16,LEG
Iowa,Obesity,Appropriations,Operation of Bicycles,Dead,"(42.469400913, -93.816490556)",28,LEG
Texas,Obesity,Front of Package Labeling,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",36,LEG
Oregon,Nutrition,Agriculture and Farming,Nutrition,Dead,"(44.567449424, -120.155031326)",10,LEG
Illinois,Nutrition,Appropriations,School Code,Dead,"(40.485010283, -88.997710178)",2,LEG
Rhode Island,Physical Activity,Physical Education Requirements,Regulations Governing the Education of Children with  Disabilities<br>,Enacted,"(41.708280193, -71.522470314)",61,REG
New York,Nutrition,Farm Direct Foods,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",8,LEG
Washington,Obesity,Body Mass Index (BMI),Supplemental Transportation Appropriation,Enacted,"(47.522278629, -120.47001079)",29,LEG
New Jersey,Nutrition,Appropriations,An act making appropriations for the support of the state government<br>,Enacted,"(40.130570048, -74.273691288)",2,LEG
Maine,Obesity,Appropriations,Future Bond Program,Enacted,"(45.254228894001, -68.985031336)",28,REG
Nebraska,Obesity,Task Forces/Councils,Childhood Obesity Study,Dead,"(41.641040988001, -99.365720623)",44,LEG
New York,Nutrition,Trans Fats,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",24,LEG
California,Nutrition,Farm Direct Foods,School District Governing Boards: Contracts,Enacted,"(37.638640123, -120.999999538)",8,LEG
Colorado,Nutrition,Sodium,Approved Foods and Beverages,Dead,"(38.843840757, -106.133610921)",22,LEG
Missouri,Obesity,Appropriations,Farm to Table Advisory Board,Dead,"(38.635790776, -92.566300053)",28,LEG
Texas,Obesity,Sugar Sweetened Beverages,Supplemental Nutrition Assistance Program,Dead,"(31.827240407, -99.426770206)",43,LEG
Georgia,Nutrition,School Nutrition,Farm to School Programs,Enacted,"(32.839681093, -83.627580346)",21,LEG
Oregon,Nutrition,School Nutrition,State Farm and Garden Programs in Schools,Enacted,"(44.567449424, -120.155031326)",21,LEG
North Carolina,Obesity,Disparities/Equity,Children's Health and Nutrition,Enacted,"(35.466220975, -79.159250463)",32,REG
South Carolina,Nutrition,Appropriations,Insurance Trade Practices,Dead,"(33.998821303, -81.045371207)",2,LEG
Maine,Physical Activity,Physical Education Requirements,An Act to Study Obesity and Methods to Reduce the Cost of Health Care and Increase the Public Health<br>,Enacted,"(45.254228894001, -68.985031336)",61,LEG
Florida,Nutrition,Medical Care,Metropolitan Planning Organizations,Dead,"(28.932040377, -81.928960539)",16,LEG
California,Nutrition,Medical Care,State Planning,Dead,"(37.638640123, -120.999999538)",16,LEG
Ohio,Nutrition,Fruits and Vegetables,Home-Delivered Meal Services,Enacted,"(40.060210141, -82.404260056)",15,REG
Louisiana,Nutrition,Appropriations,Agency Ancillary Funds,Enacted,"(31.312660644, -92.445680071)",2,LEG
Colorado,Obesity,Body Mass Index (BMI),Surface Transportation Funding,Dead,"(38.843840757, -106.133610921)",29,LEG
District of Columbia,Nutrition,Incentives,Food Environmental and Economic Development,Dead,"(38.890371385, -77.031961127)",17,LEG
Oklahoma,Nutrition,Disparities/Equity,Children's Health,Enacted,"(35.472031356, -97.521070214)",7,LEG
Texas,Physical Activity,Physical Education Requirements,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",61,LEG
Florida,Obesity,Appropriations,Bicycle Regulations,Dead,"(28.932040377, -81.928960539)",28,LEG
Pennsylvania,Nutrition,Agriculture and Farming,Agricultural Surplus System,Enacted,"(40.793730152, -77.860700294)",10,LEG
Rhode Island,Nutrition,Trans Fats,Sanitation in Food Service Establishments<br>,Dead,"(41.708280193, -71.522470314)",24,LEG
California,Obesity,Appropriations,CalFresh,Dead,"(37.638640123, -120.999999538)",28,LEG
New York,Nutrition,Medical Care,Bicycle Access to Public Office Buildings,Dead,"(42.827001032, -75.543970427)",16,LEG
Florida,Nutrition,School Nutrition,Healthy Lifestyles,Enacted,"(28.932040377, -81.928960539)",21,LEG
West Virginia,Physical Activity,Built Environment and Street-Scale Design,Child Safety,Dead,"(38.665510202, -80.712640135)",68,LEG
California,Nutrition,School Nutrition,Education,Enacted,"(37.638640123, -120.999999538)",21,LEG
New York,Nutrition,Incentives,Calcium Purchasing Preference Initiative,Dead,"(42.827001032, -75.543970427)",17,LEG
Nebraska,Nutrition,Incentives,Childhood Obesity Study,Dead,"(41.641040988001, -99.365720623)",17,LEG
Alaska,Nutrition,Correctional Facilities Farms Programs,An Act Making Appropriations <br>,Dead,"(64.845079957001, -147.722059036)",11,LEG
Texas,Nutrition,Food Assistance Programs,An Act Relating to Advertising by Retailers Participating in the Supplemental Nutrition Assistance Program,Introduced,"(31.827240407, -99.426770206)",3,LEG
New York,Physical Activity,Pedestrians/Walking,Pedestrian's Rights,Dead,"(42.827001032, -75.543970427)",69,LEG
Missouri,Nutrition,Agriculture and Farming,Relating to Agriculture,Dead,"(38.635790776, -92.566300053)",10,LEG
New York,Nutrition,Agriculture and Farming,Establishing a Community Garden Task Force<br>,Dead,"(42.827001032, -75.543970427)",10,LEG
Kentucky,Obesity,Liability and Indemnity,Healthy Lifestyles,Dead,"(37.645970271, -84.774971048)",39,LEG
Idaho,Obesity,Marketing Restrictions,Local Land Use Planning and Production,Enacted,"(43.682630005, -114.363730042)",34,LEG
Hawaii,Obesity,Appropriations,Housing and Infrastructure Development,Dead,"(21.304850435, -157.857749403)",28,LEG
Oklahoma,Nutrition,Incentives,Healthy Foods,Dead,"(35.472031356, -97.521070214)",17,LEG
Washington,Obesity,Body Mass Index (BMI),Supplemental Transportation Appropriations,Dead,"(47.522278629, -120.47001079)",29,LEG
Rhode Island,Obesity,Food Restrictions,Rules and Regulations for School Health Programs,Enacted,"(41.708280193, -71.522470314)",35,REG
New York,Nutrition,Disparities/Equity,Office for the Aging,Dead,"(42.827001032, -75.543970427)",7,LEG
Missouri,Nutrition,Vending,Provides Immunity from Liability for Landowners,Enacted,"(38.635790776, -92.566300053)",25,LEG
Oregon,Physical Activity,Access to Recreational Opportunities,Healthy Lifestyles for Children,Dead,"(44.567449424, -120.155031326)",49,LEG
