UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
1314,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01-Oct-15,36,60,31-Mar-21,Yes,31-Mar-21,30-Sep-20,"Â£300,000.00","Â£1,440,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01-Oct-15,36,60,31-Mar-21,Yes,31-Mar-21,30-Sep-20,"Â£300,000.00","Â£1,440,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01-Oct-15,36,60,31-Mar-21,Yes,31-Mar-21,30-Sep-20,"Â£120,000.00","Â£576,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,OJEU Tender,DPS (Dynamic Purchasing System),01-Aug-15,48,48,31-Jul-20,No,31-Jul-19,01-Jan-19,"Â£4,000,000.00","Â£16,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to Place
1367,Stockport Council,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01-Jan-16,36,60,01-Jan-21,,01-Jan-21,01-Aug-18,"Â£14,000.00","Â£70,000.00",Arthur J Gallagher ,Large,8887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.7 - Phase 5),Mini Competition (Internal),Contract,01-Dec-15,36,48,31-Dec-20,No,31-Dec-20,01-Jul-18,"Â£214,766.76","Â£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1578,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Carer Support Service (Supporting MH Recovery),OJEU Tender,Contract,01-Nov-15,29,53,31-Oct-20,Yes,31-Oct-20,31-Aug-20,"Â£74,000.00","Â£369,999.67",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
1579,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,LD Supported Living Contract (103.8 - Phase 6),Tender,Contract,09-May-16,36,48,08-May-20,Yes,08-May-20,01-Nov-19,"Â£320,924.25","Â£1,283,697.00",Fitzroy Support,VCSE,2699902,GU32 3JY,Stockport- Services to People
1580,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supported Employment,OJEU Tender,Contract,01-Apr-16,36,60,31-Mar-19,No,31-Mar-21,01-Nov-18,"Â£220,000.00","Â£1,100,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
1606,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Day Care Services,OJEU Tender,Framework Agreement,01-Apr-16,36,48,31-Mar-20,Yes,31-Mar-20,01-Apr-19,"Â£1,100,000.00","Â£4,400,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
1633,Stockport Council,361300-Public Transport : Passenger Transport : ,School Swimming Transport,Tender,Contract,01-Sep-16,36,48,31-Aug-20,Yes,31-Aug-20,01-Jun-19,"Â£103,409.02","Â£413,636.08",Belle Vue Manchester Ltd,Large,3272014,Sk4 5DZ,Stockport- Services to Place
2273,Stockport Council,340000-Stationery :  ,Stationery and Office Supplies,OJEU Tender,Framework Agreement,01-Mar-17,24,48,28-Feb-21,,28-Feb-21,01-Sep-18,"Â£250,000.00","Â£1,000,000.00",Lyreco UK Limited,SME,442696,TF2 7NB,Stockport- Corporate & Support Services
2304,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,Provision of an Education Management Information and Case Management System ,OJEU Tender,Contract,01-Apr-16,60,108,31-Mar-21,No,31-Mar-25,01-Oct-20,"Â£108,996.05","Â£980,964.45",Tribal Education Limited,Large,4163300,BS2 0HQ,Stockport- Corporate & Support Services
2329,Stockport Council,261100-Human Resources : Interpretation & Translation : ,British Sign Language,Tender,Contract,03-Oct-16,36,48,02-Oct-20,Yes,02-Oct-20,01-Jan-19,"Â£12,500.00","Â£50,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
2333,Stockport Council,191200-Facilities & Management Services : Document Archiving & Storage : ,Off Site Storage ,OJEU Tender,Contract,01-Jun-17,36,60,31-May-20,No,31-May-22,31-May-19,"Â£10,069.00","Â£50,346.00",DataSpace UK Limited,Small,3816685,CW9 6GB,Stockport- Corporate & Support Services
3013,Stockport Council,121000-Cemetery & Crematorium : Burial & Cremation : ,Public Funerals ,OJEU Tender,Contract,03-Apr-18,36,60,31-Mar-21,No,31-Mar-23,31-Oct-20,"Â£9,150.00","Â£40,920.00",Aidan Gaunt Funeral service,SME,,SK1 42SW,Stockport- Corporate & Support Services
3014,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,Call Off (External),Contract,01-Aug-17,36,48,31-Jul-20,No,31-Jul-21,01-May-18,"Â£50,000.00","Â£150,000.00",Wybone,SME,952455,S74 9TF,Stockport- Services to Place
3033,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.9 - Phase 7),Mini Competition (Internal),Contract,01-Aug-16,36,48,31-Jul-20,Yes,31-Jul-20,31-Jul-19,"Â£355,887.62","Â£1,423,550.48",Royal Mencap Society,VCSE,550457 comp no  222377 charity,EC1Y 0RT,Stockport- Services to People
3078,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.10 - Phase 8),Tender,Contract,16-Jan-17,36,48,15-Jan-21,Yes,15-Jan-21,01-Sep-20,"Â£880,584.00","Â£3,522,336.00",Royal Mencap  ,VCSE,"550457
222377",M16 9HU,Stockport- Services to People
3110,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Independent Travel Training 2016 - Stockport,Tender,Contract,01-Sep-16,24,36,31-Aug-20,Yes,31-Aug-20,31-Mar-19,"Â£130,000.00","Â£390,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
3163,Stockport Council,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,OJEU Tender,Contract,01-Oct-16,48,72,30-Sep-20,No,30-Sep-22,01-Sep-18,"Â£914,993.00","Â£5,489,958.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
3169,Stockport Council,310000-Healthcare :  ,"Sexual and Reproductive Health Services for the boroughs of Stockport, Tameside & Trafford",OJEU Tender,Contract,16-Sep-16,31,55,31-Mar-21,Yes,31-Mar-21,01-Oct-18,"Â£1,652,313.00","Â£7,435,408.50",Central Manchester University Hospitals NHS Foundation Trust,NHS,1049274,M13 0ZY,Stockport- Corporate & Support Services
3181,Stockport Council,379999-Utilities : Not Elsewhere Classified : ,"Water, Waste Water, and Ancillary Services",Local Services,Contract,01-Apr-74,539,539,30-Jun-20,,30-Jun-19,,"Â£1,973,000.00","Â£84,674,583.33",Water Plus,Large,4141390,ST1 4FD ,Stockport- Corporate & Support Services
3184,Stockport Council,271699-Information Communication Technology : Telecommunications : ,Unified Communications,Mini Competition (External),Contract,06-Apr-17,36,60,05-Apr-20,No,05-Apr-22,01-Jun-19,"Â£69,973.94","Â£500,895.25",Virgin Media Business,Large,1785381,S98 1HS,Stockport- Corporate & Support Services
3189,Stockport Council,209999-Financial Services : Not Elsewhere Classified : ,Early Payment Scheme - Early payment of suppliers ,Call Off (Internal),Concession,05-Apr-19,60,60,04-Apr-24,,04-Apr-24,01-Apr-22,Income,Income,Oxygen Finance Limited,Large,5288899,B2 5QB,Stockport- Corporate & Support Services
3233,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,Social Care Case Management System,Call Off (External),Contract,01-Dec-17,48,96,30-Nov-21,No,30-Nov-25,30-Nov-20,"Â£93,149.00","Â£1,446,773.00","Liquidlogic Ltd

",Large,40006349,ME14 1RF,Stockport- Services to People
3238,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,The Chest eProcurement Portal,Call Off (External),contract,01-Aug-15,48,96,31-Jul-23,Yes,31-Jul-23,06-Dec-21,"Â£2,250.00","Â£18,000.00",Proactis,SME,3182974,LS22 6LE,Stockport- Corporate & Support Services
3245,Stockport Council,"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing) ,OJEU Tender,Framework Agreement,01-Aug-17,24,48,31-Jul-19,No,31-Jul-21,01-Oct-18,"Â£9,000,000.00","Â£36,000,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
3246,Stockport Council,"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 2 (Mechanical & Electrical)   ,OJEU Tender,Framework Agreement,01-Aug-17,24,48,31-Jul-19,No,31-Jul-21,01-Jan-19,"Â£2,500,000.00","Â£10,000,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
3247,Stockport Council,"391111-Works - Construction, Repair & Maintenance : Buildings : Repair & Maintenance",Associated Building Contractor Framework 3 (Prefabricated Buildings) ,OJEU Tender,Framework Agreement,01-Aug-17,24,48,31-Jul-19,No,31-Jul-21,01-Jan-19,"Â£1,450,000.00","Â£5,800,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
3296,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Home Electronics Salary Sacrifice Scheme ,Call Off (External),Contract,01-Oct-16,48,48,30-Sep-20,,30-Sep-20,01-Jul-19,"Â£350,000.00","Â£1,400,000.00",Northumbria Healthcare NHS Foundation Trust,NHS,Supplier does not have company number,NE27 0QJ,Stockport- Corporate & Support Services
3314,Stockport Council,271200-Information Communication Technology : Hardware : ,Provision of the Councils laptop requirements,Mini Competition (External),Contract,01-Jul-16,24,48,30-Jun-20,Yes,30-Jun-20,01-Jan-19,"Â£30,000.00","Â£120,000.00",XMA Ltd,Large,2051703,NG11 7EP,Stockport- Corporate & Support Services
3316,Stockport Council,261600-Human Resources : Travel & Subsistence : ,Travel Rail Scheme ,Exemption,Contract,10-Aug-16,48,48,09-Aug-20,,09-Aug-20,01-Apr-19,"Â£158,000.00","Â£632,000.00",Northern Rail,Large,4619954,YO1 6HZ,Stockport- Corporate & Support Services
3317,Stockport Council,261600-Human Resources : Travel & Subsistence : ,Travel Bus Scheme ,Exemption,Contract,10-Aug-16,48,48,09-Aug-20,,09-Aug-20,01-Apr-19,"Â£316,800.00","Â£1,267,200.00",Stagecoach,Large,3092390,SK3 0DU,Stockport- Corporate & Support Services
3345,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection and Banking (Parking) ,OJEU Tender,Contract,01-Nov-17,36,72,31-Oct-20,No,31-Oct-23,01-Aug-19,"Â£161,000.00","Â£483,000.00",NSL Ltd,Medium,6033060,SL1 2BE,Stockport- Corporate & Support Services
3389,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Adoption Support FPS,OJEU Tender,DPS (Dynamic Purchasing System),25-Oct-17,48,48,24-Oct-21,No,24-Oct-21,24-Oct-20,"Â£11,250,000.00","Â£45,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to People
3397,Stockport Council,191100-Facilities & Management Services : Design & Photography : ,12 x bespoke images for use on banners and in promotional campaigns related to Stopfordia exhibition,Exemption,Contract,15-Sep-16,120,120,14-Sep-26,No,14-Sep-26,01-Apr-21,"Â£10,000.00","Â£10,000.00",Redacted,Sole Trader,Redacted,Redacted,Stockport- Corporate & Support Services
3416,Stockport Council,171111-Education : Audio Visual : ,GM Libraries eBooks and eAudiobooks ,Call Off (External),Contract,01-Jun-17,46,70,31-Mar-21,No,31-Mar-23,25-Apr-19,"Â£21,500.00","Â£129,000.00",Bolinda UK Ltd,Large,5086231,RG14 2PZ,Stockport- Services to People
3429,Stockport Council,201200-Financial Services : Banking : ,Stockport Bill Payment Service,Call Off (External),Contract,01-Jul-17,24,48,30-Jun-20,No,30-Jun-21,02-Jan-20,"Â£100,000.00","Â£400,000.00",allPay,Large,2933191,HR1 3SE,Stockport- Corporate & Support Services
3439,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.11 - Phase 9),Tender,Contract,10-Apr-17,36,48,09-Apr-20,No,09-Apr-21,01-Sep-19,"Â£1,262,143.00","Â£5,048,572.00",Creative Support,SME,27440R,SK1 3TS,Stockport- Services to People
3444,Stockport Council,151514-Healthcare : Public Health : Specialist Services,Stockport Provision of Community Based Adult Drug and Alcohol Services,OJEU Tender,Contract,01-Oct-15,60,84,30-Sep-20,No,30-Sep-22,01-Oct-19,"Â£1,605,000.00","Â£11,235,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
3494,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,ITSM Case Management System,Exemption,Contract,01-Oct-16,48,48,30-Sep-20,,30-Sep-20,01-Apr-20,"Â£16,235.00","Â£64,705.00",Freshservice,Large,9338697,W1F 9PP,Stockport- Corporate & Support Services
3516,Stockport Council,151514-Healthcare : Public Health : Specialist Services,Toxicology Services Framework,OJEU Tender (Light Touch),Framework Agreement,21-Jan-19,48,48,22-Jan-23,No,22-Jan-23,10-Jan-22,"Â£604,000.00","Â£604,000.00",Sheffield Teaching Hospitals NHS Foundation Trust,Large,232608476,S5 7AU,Stockport- Services to People
3522,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection  ,Call Off (External),Framework Agreement,01-Aug-17,29,41,31-Dec-19,No,31-Dec-20,01-Jun-19,"Â£27,200.00","Â£92,933.00",Security Plus ,Medium,1325489,ST14 7TQ,Stockport- Corporate & Support Services
3645,Stockport Council,201800-Financial Services : Insurance : ,"Insurance: Lot 1: Property Related, Lot 2: Property Owners, Lot 7: Motor - SMBS/SSK, Lot 8: Motor - SHL), Lot 9: Personal Accident, Lot 10: Engineering Combined, & Lot 11: Crime (FG)",OJEU Tender,Contract,01-Dec-17,36,60,30-Nov-20,No,29-Nov-22,11-Jan-19,"Â£589,442.21","Â£2,947,211.05",Zurich Insurance plc (UK Branch) t/a Zurich Municipal,Large,BR07985,PO15 7JZ,Stockport- Corporate & Support Services
3694,Stockport Council,271699-Information Communication Technology : Telecommunications : ,Mobile and Voice Data Aggregation (NFC60),Mini Competition (External),Contract,04-Jan-17,36,60,04-Jan-20,Yes,04-Jan-22,01-Jan-19,"Â£96,229.79","Â£481,148.95",Everything Everywhere (EE),Large,2382161,AL10 9BW,Stockport- Corporate & Support Services
3704,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,LD Supported Living Service (103.12 - phase 10),Call Off (Internal),Contract,03-Jul-17,36,48,02-Jul-20,No,02-Jul-21,01-Jan-20,"Â£610,017.00","Â£1,807,300.00",Creative Support,SME,27440R,SK1 3TS,Stockport- Services to People
3726,Stockport Council,201200-Financial Services : Banking : ,Pre Payment Cards ,Call Off (External),Contract,01-Aug-17,36,48,31-Jul-20,No,31-Jul-21,31-Jul-19,"Â£12,990.00","Â£45,000.00",Pre Paid Financial  Services,Large,6337638,W1B 3AT,Stockport- Corporate & Support Services
3822,Stockport Council,261400-Human Resources : Temporary & Agency Staff : ,Agency and Interim Arrangements,Mini Competition (External),Contract,20-Dec-16,37,49,28-Jan-20,No,28-Jan-21,28-Jan-18,"Â£1,400,000.00","Â£5,600,000.00",Reed Specialist Recruitment Limited,Large,6903140,WC2A 1DT,Stockport- Services to People
3915,Stockport Council,271501-Information Communication Technology : Services : ,Revenues & Benefits Outbound Mail Services,Call Off (External),Contract,01-Oct-17,24,48,30-Sep-21,Yes,30-Sep-21,01-Nov-18,"Â£104,012.00","Â£208,024.00",DSI Billing,Medium,3823171,RM9 6BF,Stockport- Corporate & Support Services
3924,Stockport Council,159999-Consultancy : Not Elsewhere Classified : ,AGMA: Civil and Structural Engineering Framework,OJEU Tender,Framework Agreement,18-Oct-18,24,48,12-Sep-20,No,12-Sep-22,18-Oct-19,"Â£4,280,000.00","Â£17,120,000,00",See Supplier Tab,See Supplier Tab,See Supplier Tab,See Supplier Tab,Stockport- Services to Place
4016,Stockport Council,151900-Consultancy : Management : ,Stockport Strategic Property Partnership Alliance Agreement,OJEU Tender,Contract,29-Jan-14,120,180,28-Jan-24,No,28-Jan-29,28-Jan-23,"Â£46,000,000.00","Â£695,000,000.00",Various,Large,20258,ML4 3FB,Stockport- Services to Place
4017,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,Multi-functional devices (MFDÂs) ,Mini Competition (External),Contract,18-Nov-17,60,84,17-Nov-22,No,17-Nov-24,01-Apr-22,"Â£215,000.00","Â£1,505,000.00",Xerox (UK) Ltd,Large,330754,UB8 1HS,Stockport- Corporate & Support Services
4087,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting Framework,Mini Competition (External),Contract,01-Apr-18,48,60,31-Mar-22,No,31-Mar-23,01-Oct-21,"Â£687,652.96","Â£3,438,264.80",See Supplier Tab,See Supplier Tab,See Supplier Tab,See Supplier Tab,Stockport- Services to Place
4091,Stockport Council,401603-Social Community Care Supplies & Services - Children : Youth Services : Transition Between Children & Adults,Appropriate Adult Service,Tender,Contract,01-Jun-18,34,58,31-Mar-21,No,31-Mar-23,01-Dec-20,-,-,Child Action North West,SME,820660,BB1 9LL,Stockport- Services to People
4096,Stockport Council,111200-Catering : Food & Beverages : ,Provision of Catering Services to Stockport Metropolitan Council,OJEU Tender,Contract,01-Oct-19,36,48,30-Sep-22,No,30-Sep-23,01-Oct-21,"Â£122,202.00","Â£488,808.00",Mosaic Event Catering Ltd,Small,10709043,SK7 3NX,Stockport- Corporate & Support Services
4143,Stockport Council,271440-Information Communication Technology : Software : ,Job Evaluation Software,Exemption,Contract,16-Sep-17,36,36,15-Sep-20,,15-Sep-20,14-Jun-20,"Â£12,620.00","Â£37,860.00",Northgate Human Resources (Northgate Arinso UK Ltd),Large,1587537,HP2 4NW,Stockport- Services to People
4147,Stockport Council,271501-Information Communication Technology : Services : ,OPENChannel Suite plus OPENPortal (API's),Exemption,Contract,02-Mar-18,60,60,01-Mar-23,No,30-Sep-18,01-Jan-23,"Â£12,750.00","Â£63,750.00",Civica UK Ltd,Large,1628868,SW15 6AR,Stockport- Services to Place
4150,Stockport Council,129999-Cemetery & Crematorium : Not Elsewhere Classified : ,Mortuary and Post Mortem Services,Exemption,Contract,29-Sep-17,36,132,28-Sep-20,No,28-Sep-28,28-Jun-20,"Â£1,074,014.00","Â£11,814,154.00",Tameside General Hospital (Tameside & Glossop NHS Foundation Trust),NHS,Trust - Not Required,OL6 9RW ,Stockport- Corporate & Support Services
4159,Stockport Council,271440-Information Communication Technology : Software : ,Taxi Driver Online Knowledge Test,Quote,Contract,01-Oct-17,12,48,30-Sep-21,Yes,30-Sep-21,01-Jun-21,"Â£12,000.00","Â£48,000.00",Personnel Checks Limited,medium,8101751,BB1 1FB,Stockport- Services to People
4170,Stockport Council,121300-Cemetery & Crematorium : Body Transport Service : ,Coroners' Body Removal Service (West and City Coronial Districts),OJEU Tender,Framework Agreement,01-Apr-18,48,48,31-Mar-22,,31-Mar-22,31-Mar-21,"Â£305,970.00","Â£1,223,880.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Corporate & Support Services
4181,Stockport Council,151000-Consultancy : Business : ,Management of Stockport Market,Tender,Contract,01-Sep-18,60,84,31-Aug-23,No,31-Aug-25,20-Feb-23,"Â£175,214.00","Â£1,226,500.00",Market Place Management ,Micro,6253601,Ol7 0JG,Stockport- Services to Place
4185,Stockport Council,199999-Facilities & Management Services : Not Elsewhere Classified : ,"Framework for Provision of Library Re-fit Works, Goods and Services",Mini Competition (External),Framework Agreement,01-Nov-17,35,35,30-Sep-20,No,30-Sep-20,01-Aug-18,"Â£50,000.00","Â£150,000.00",The Design Concept,SME,6482850,G72 8JJ,Stockport- Services to Place
4258,Stockport Council,271440-Information Communication Technology : Software : ,PMS System,Exemption,Contract,01-Feb-17,46,46,30-Nov-20,,30-Nov-20,29-Jul-20,"Â£13,345.00","Â£13,345.00",GuestLine Limited,Large,2661520,SY2 6LG,Stockport- Corporate & Support Services
4269,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Support at Home FPS (Homecare),OJEU Tender (Light Touch),Contract,01-Sep-18,120,120,31-Aug-28,No,31-Aug-28,01-Sep-27,"Â£35,000,000.00","Â£350,000,000.00",various,various,various,various,Stockport- Services to Place
4287,Stockport Council,419999-Social Community Care Supplies & Services : Not Elsewhere Classified : ,Support for Young Carers,Tender,Contract,01-Apr-18,36,60,31-Mar-21,No,31-Mar-23,01-Sep-20,"Â£108,761.00","Â£543,805.00",Signpost Stockport for Carers,Small,4176004,SK4 3LD,Stockport- Services to People
4317,Stockport Council,152050-Consultancy : Property : ,Housing Stock Modelling,Exemption,Contract,01-Jan-18,36,36,31-Dec-20,,31-Dec-20,30-Sep-20,"Â£10,837.00","Â£32,511.00",BRE (Building Research Establishment),Large,3548352,WD25 9XX,Stockport- Services to Place
4322,Stockport Council,271200-Information Communication Technology : Hardware : ,Replacement of RFID Kiosks,Call Off (External),Contract,15-Feb-18,60,60,14-Feb-23,,14-Feb-23,01-Jun-22,"Â£165,000.00","Â£165,000.00",Bibliotheca,SME,2983151,SK8 7BS,Stockport- Corporate & Support Services
