PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
30,Drs Baird & Stevens,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2914.0
31,Dr Callaghan & Partners,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7060.0
32,Dr McIlmoyle & Partners,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,3857.0
33,DR. RL MILLER AND PARTNERS,222 WOODSTOCK ROAD,BELFAST,,BT6 9DL,Belfast,4528.0
36,Dr McComb,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1909.0
37,,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,6699.0
38,Dr Morrison,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,1999.0
51,,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,2450.0
52,Dr Rea & Partners,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,2848.0
53,Dr B J Colgan,463 FALLS ROAD,BELFAST,,BT12 6DD,Belfast,3077.0
55,Dr D O'Kane,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1233.0
57,DR. JE CAMPBELL AND PARTNERS,THE CARRICKHILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,4844.0
58,DR B J FARNAN & PARTNERS,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5793.0
60,DR. GE BURNS AND PARTNER,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,2761.0
61,Dr Crossin & Partners,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9873.0
62,,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1310.0
63,Drs McMullan & O'Donnell,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2901.0
64,Drs Donaghy & Murphy,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4253.0
66,,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6913.0
68,Dr Crawford & Partners,136/138 SHANKILL ROAD,BELFAST,,BT13 2BD,Belfast,2615.0
69,Drs Tan & McGirr (1),FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,3101.0
70,Dr Rainey & Partners,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5513.0
71,,463 SPRINGFIELD ROAD,BELFAST,,BT12 7DP,Belfast,6319.0
72,Dr R H McKee,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1858.0
73,,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2310.0
74,Drs Ryan & Simpson,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,2857.0
75,Dr Lenfestey & Partners,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,10232.0
79,Dr Bready & Partners,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,9040.0
80,DR. KB SWAIN AND PARTNERS,460 OLDPARK ROAD,BELFAST,,BT14 6QG,Belfast,4627.0
81,Dr Giles & Partners,46 SPRINGFIELD ROAD,BELFAST,,BT12 7AH,Belfast,7839.0
83,,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6312.0
84,Drs Salters & Diamond,186 FALLS ROAD,BELFAST,,BT12 6AG,Belfast,3710.0
85,Dr MacSorley & Partners,515 ANTRIM ROAD,BELFAST,,BT15 3BS,Belfast,5476.0
86,Dr Brown & Partners,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,10508.0
92,,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,5015.0
93,Dr Sharma & Partners,61 CLIFTONVILLE ROAD,BELFAST,,BT14 6JN,Belfast,5920.0
94,Dr Cummings & Partners,115 FALLS ROAD,BELFAST,,BT12 6AA,Belfast,7042.0
95,Dr S J McHugh,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2660.0
96,,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,5578.0
98,Drs Wilson & McClure,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3788.0
101,Drs Toal & Watters,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast,4784.0
103,Dr Donnelly & Partners,15/17 CLIFTON STREET,BELFAST,,BT13 1AD,Belfast,9059.0
104,,17 BALLYGOMARTIN ROAD,BELFAST,,BT13 3BW,Belfast,7982.0
105,Dr Collins & Partners,OLD CHURCH PRACTICE,"2ND FLOOR, CORNERSTONE MEDICAL CENTRE","69 SHANKILL ROAD, BELFAST",BT13 1FD,Belfast,2530.0
111,,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast,2698.0
113,Dr Dugan,173 ANDERSONSTOWN ROAD,BELFAST,,BT11 9EA,Belfast,4489.0
114,,33 STEWARTSTOWN ROAD,BELFAST,,BT11 9FZ,Belfast,6920.0
116,Dr Mulholland & Partners,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast,4554.0
132,DR. S HOLMES AND PARTNERS,THE KELLY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,4026.0
136,,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast,6185.0
140,DR. R RODRIGUES AND PARTNERS,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,8313.0
143,Dr Rowan & Partners,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,5722.0
144,Dr A T Dawson,RAVENBANK SURGERY,113 RAVENHILL ROAD,BELFAST,BT6 8DR,Belfast,1549.0
145,,15A DONEGALL ROAD,BELFAST,,BT12 5JJ,Belfast,7900.0
146,Drs Boyd & Hamilton,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast,4018.0
147,Dr Dean & Partners,281 ORMEAU ROAD,BELFAST,,BT7 3GG,Belfast,7744.0
148,Drs Rutherford & McFarland,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast,9099.0
151,Dr Irwin & Partners,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast,13633.0
153,Dr McDonnell & Partners,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast,9475.0
154,Drs McCauley & Toland,142 - 144 UNIVERSITY STREET,BELFAST,,BT7 1HH,Belfast,4905.0
156,Dr Chakravarty & Partners,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,7275.0
157,,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast,10040.0
159,Dr Corkey & Partners,485 ORMEAU ROAD,BELFAST,,BT7 3GR,Belfast,5959.0
162,Drs Collier & Thompson,10/12 LISBURN ROAD,BELFAST,CO ANTRIM,BT9 6AA,Belfast,2550.0
164,Dr E Murdock,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast,3289.0
165,Dr Cashell & Partners,6 NORTH PARADE,BELFAST,,BT7 2GG,Belfast,8329.0
166,Dr E Cullen,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast,2599.0
191,DR R T S HARRISON  PARTNERS,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern,9821.0
192,Dr J McGill,KILLYLEAGH SURGERY,14 DOWNPATRICK ROAD,"KILLYLEAGH, DOWNPATRICK",BT30 9RG,South Eastern,4821.0
193,Dr Greer & Partners,14 CHURCH VIEW,DUNDRUM,NEWCASTLE,BT33 0NA,South Eastern,9214.0
194,Drs Hyland & Denvir,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,2010.0
195,Dr J M Kyle,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,1751.0
196,DR. M MURPHY,THE HEALTH CENTRE,DOWNPATRICK ROAD,ARDGLASS,BT30 7SF,South Eastern,3153.0
198,Dr Ross & Partners,THE HEALTH CENTRE,FAIRVIEW,"SAINTFIELD, BALLYNAHINCH",BT24 7AD,South Eastern,8628.0
201,Dr Bready & Partners,DONARD FAMILY PRACTICE,56 MAIN STREET,"NEWCASTLE, CO DOWN",BT33 0AE,South Eastern,11715.0
202,Drs Moore & Small,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,3782.0
204,Drs Mulhall & Deeny,THE SURGERY,12 THE GREEN,"IRISH STREET, DOWNPATRICK",BT30 6BE,South Eastern,4792.0
205,Dr Phillips & Partners,THE SURGERY,JAMES STREET,"CROSSGAR, DOWNPATRICK",BT30 9JU,South Eastern,4814.0
206,Drs Hannah & McGoldrick,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,4769.0
207,Drs Harney & Harney,STREAM STREET SURGERY,40 STREAM STREET,DOWNPATRICK,BT30 6DE,South Eastern,4880.0
221,DR. A SMYLIE AND PARTNERS,HEALTH CENTRE,BALLYNAHINCH ST,HILLSBOROUGH,BT26 6AW,South Eastern,9516.0
222,Dr Bradley & Partners,WOODBROOK MEDICAL PRACTICE,STEWARTSTOWN ROAD,DUNMURRY  BELFAST,BT17 0FB,South Eastern,8671.0
223,Drs Walmsley & Carson,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,3757.0
224,Dr Cowan & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,7008.0
226,Dr Hicks & Partners,THE SURGERY,BEGNEY HILL ROAD,DROMARA,BT25 2AT,South Eastern,8067.0
227,Dr Jefferson & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,11610.0
228,Drs Forde & Doherty,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,4230.0
229,Dr Greene & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,8650.0
230,DR. JS HENRY AND PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,5198.0
231,DR. G M WILSON & PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,9771.0
232,Dr Dick & Partners,192 KINGSWAY,DUNMURRY,BELFAST,BT17 9AL,South Eastern,7785.0
233,DR. OT GALLAGHER AND PARTNER,GLENAVY FAMILY PRACTICE,47 MAIN STREET,"GLENAVY, CRUMLIN",BT29 4LN,South Eastern,4645.0
234,Drs Patterson & Vaughan,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,1855.0
252,Dr Lavery & Partners,PRIORY SURGERY,26 HIGH STREET,HOLYWOOD,BT18 9AD,South Eastern,14641.0
253,DR. WJS BAIRD AND PARTNERS,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7723.0
254,Dr Donaldson & Partners,24 LISBARNETT ROAD,LISBANE,NEWTOWNARDS,BT23 6AW,South Eastern,4055.0
255,Dr H C Johnston & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5384.0
256,,140 GROOMSPORT ROAD,BANGOR,CO DOWN,BT20 5PE,South Eastern,5595.0
257,Dr Kane & Partners,THE SURGERY,BROOK STREET,HOLYWOOD,BT18 9DA,South Eastern,7903.0
258,Drs Drew & Nicol,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,4968.0
259,DR. D COMPTON AND PARTNER,CUAN FAMILY PRACTICE,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,3814.0
260,Dr Douglas & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7279.0
261,,KILLYNETHER PRACTICE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,6100.0
263,Dr J Bissett,DR ROBERT HENRY SURGERY,7A NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5AU,South Eastern,1806.0
264,Dr N Majury,SILVERBIRCH MEDICAL PRACTICE,39A SILVERBIRCH ROAD,BANGOR,BT19 6EU,South Eastern,2794.0
265,,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4171.0
267,,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,2599.0
271,Dr Lees & Partners,OLD MILL SURGERY,CHURCH STREET,NEWTOWNARDS,BT23 4AS,South Eastern,10413.0
272,Dr G F B Horner & Partners,16 A THE SQUARE,COMBER,NEWTOWNARDS,BT23 5DT,South Eastern,6502.0
273,Drs Leonard & McMillan,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,3002.0
274,Dr  Laird & Partners,BLOOMFIELD SURGERY,95 BLOOMFIELD ROAD,BANGOR,BT20 4XA,South Eastern,10377.0
275,Drs McCarthy & Webb,REGENCY MEDICAL CENTRE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,4687.0
276,Dr J Miller & Partners,DONAGHADEE HEALTH CENTRE,3 KILLAUGHEY ROAD,DONAGHADEE,BT21 0BU,South Eastern,8943.0
278,,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4430.0
279,Dr Peacock & Partners,WINDMILL SURGERY,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,2462.0
280,Drs Thompson & McMinn,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5235.0
281,,CLELAND PARK SURGERY,2 CLELAND PARK,BANGOR,BT20 3EB,South Eastern,5570.0
282,Drs Steele & Hughes,THE HEALTH CENTRE,FOWLER WAY,"BALLYWALTER, NEWTOWNARDS",BT22 2PY,South Eastern,5212.0
283,Dr Steele & Partners,LOUGH VIEW SURGERY,2 MAIN STREET,"KIRCUBBIN, NEWTOWNARDS",BT22 2SP,South Eastern,5655.0
284,Drs Armstrong & Stelfox,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,3018.0
285,,GREEN ROAD MEDICAL CENTRE,5 GREEN ROAD,"CONLIG, NEWTOWNARDS",BT23 7PZ,South Eastern,3251.0
302,Dr Green & Partners,THE SURGERY,80 CASTLETON,"TEMPLEPATRICK, BALLYCLARE",BT39 0AZ,Northern,8909.0
303,Dr Hyndman & Partners,1 GLENAVY ROAD,CRUMLIN,CO ANTRIM,BT29 4LA,Northern,7386.0
304,,"MAINE MEDICAL, THE HEALTH CENTRE",PORTGLENONE ROAD,"AHOGHILL, BALLYMENA",BT42 1LE,Northern,4891.0
305,,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,3613.0
307,DR W HOGG AND PARTNER,"CASTLE MEDICAL PRACTICE, ANTRIM HEALTH CENTRE",32A STATION ROAD,ANTRIM,BT41 4BS,Northern,4078.0
308,DR. HUNTER AND PARTNERS,ORIEL SURGERY,31 ORIEL ROAD,ANTRIM,BT41 4HR,Northern,5747.0
310,Dr Allen & Partners,CULLYBACKEY HEALTH CENTRE,TOBER PARK,"CULLYBACKEY, BALLYMENA",BT42 1NW,Northern,7374.0
311,Drs Magowan & Magowan,THE SURGERY,77 GALGORM ROAD,BALLYMENA,BT42 1AA,Northern,2458.0
312,,SLEMISH VIEW MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,2553.0
313,Drs Russell & Simms,THE GABLES,45 WAVENEY ROAD,BALLYMENA,BT43 5BA,Northern,3564.0
314,,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4444.0
315,,CUSHENDALL ROAD,BALLYMENA,CO ANTRIM,BT43 6HQ,Northern,3190.0
317,Dr Redmond & Partners,THE HEALTH CENTRE,76 MAIN STREET,BROUGHSHANE BALLYMENA,BT42 4JA,Northern,6652.0
319,DR. W.J.C.WILSON AND PARTNERS,PORTGLENONE HEALTH CENTRE,17 TOWNHILL ROAD,"PORTGLENONE, BALLYMENA",BT44 8AD,Northern,6714.0
321,,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4306.0
323,Dr J D Simpson,SMITHFIELD MEDICAL CENTRE,7 SMITHFIELD PLACE,"GALGORM ROAD, BALLYMENA",BT43 5HB,Northern,2445.0
325,Dr R H Bill,KELLS & CONNOR MEDICAL CENTRE,36 CHURCH ROAD,"KELLS, BALLYMENA",BT42 3JU,Northern,3622.0
326,DR. MCCUSKER AND PARTNERS,THE FAMILY PRACTICE,THE HEALTH CENTRE,"STATION ROAD, ANTRIM",BT41 4BS,Northern,5686.0
327,Drs Leggett & Kidd,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3478.0
328,,MAINE MEDICAL PRACTICE,"OLD MILL PARK, MAIN STREET","CULLYBACKEY, BALLYMENA",BT42 1GP,Northern,5059.0
329,DR. HUTCHINSON & PARTNER,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3643.0
330,Drs Turk & McKenna,THE HEALTH CENTRE,STATION ROAD, ANTRIM,BT41 4BS,Northern,4773.0
331,Drs Huey & Khanna,BRAID FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4180.0
333,DR D S RAINEY,THE SURGERY,"TOOME HOUSE, 55 MAIN STREET","TOOMEBRIDGE, ANTRIM",BT41 3TF,Northern,3378.0
334,Dr McIlroy & Partners,THE HEALTH CENTRE,5 NEILLSBROOK ROAD,"RANDALSTOWN, ANTRIM",BT41 3AE,Northern,10343.0
336,Dr Hegan & Partners,2 MALLUSK ROAD,NEWTOWNABBEY,,BT36 4PP,Northern,8477.0
337,DR KYLE AND PARTNERS,GLENGORMLEY PRACTICE,324 ANTRIM ROAD,NEWTOWNABBEY,BT36 5EQ,Northern,8488.0
341,DR. BECK AND PARTNERS,THE HEALTH CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5037.0
344,,KILLOWEN MEDICAL CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5540.0
345,Dr Johnston & Partners,BALLYMONEY FAMILY PRACTICE,BALLYMONEY HEALTH CENTRE,"21B NEWAL ROAD, BALLYMONEY",BT53 6HB,Northern,12386.0
346,Dr Shannon & Partners,LODGE HEALTH,20 LODGE MANOR,COLERAINE,BT52 1JX,Northern,10236.0
349,Dr Lynch &  Partners,THE COUNTRY MEDICAL PRACTICE,122 BALLINLEA ROAD,"ARMOY, BALLYMONEY",BT53 8TY,Northern,6114.0
350,Drs Wee & Brown,6 PRIESTLAND ROAD,BUSHMILLS,,BT57 8QP,Northern,2950.0
351,DR. JS BAILIE AND PARTNERS,PORTRUSH MEDICAL CENTRE,17 DUNLUCE AVENUE,PORTRUSH,BT56 8DW,Northern,7378.0
352,Dr Kerr & Partners,GARVAGH HEALTH CENTRE,110 MAIN STREET,"GARVAGH, COLERAINE",BT51 5AE,Northern,5789.0
354,Drs J Harley & D Harley,THE FAMILY PRACTICE,6 LEVER ROAD,PORTSTEWART,BT55 7EF,Northern,3199.0
355,Dr McGurk & Partners,THE HEALTH CENTRE,36 GARVAGH ROAD,"KILREA, COLERAINE",BT51 5QP,Northern,6811.0
356,Dr Turner &  Partners,4 MOUNTSANDEL ROAD,COLERAINE,CO LONDONDERRY,BT52 1JB,Northern,11361.0
357,Dr McSparran & Partners,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD,"CUSHENDALL, BALLYMENA",BT44 0TE,Northern,5121.0
358,Drs Nutt & Siberry,LIFFOCK,69 SEA ROAD,"CASTLEROCK, COLERAINE",BT51 4TW,Northern,2700.0
360,Drs Henderson & Young,THE HEALTH CENTRE,10 MONEYLECK ROAD,"RASHARKIN, BALLYMENA",BT44 8QB,Northern,4350.0
361,Dr Fannin & Partners,THE HEALTH CENTRE,ROBINSON MEMORIAL HOSPITAL,BALLYMONEY,BT53 6HH,Northern,5358.0
366,,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,3954.0
367,Drs McCurdy & Armstrong,THE FROCESS MEDICAL CENTRE,56 MAIN STREET,"CLOUGHMILLS, BALLYMENA",BT44 9LF,Northern,4485.0
368,Dr Bell & Partners,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,4741.0
369,Dr Carlin & Partners,PORTSTEWART MEDICAL CENTRE,MILL ROAD,PORTSTEWART,BT55 7SW,Northern,4161.0
382,Dr Esler & Partners,MEADOWBRIDGE SURGERY,SLAUGHTERFORD ROAD,"WHITEHEAD, CARRICKFERGUS",BT38 9TG,Northern,9051.0
385,Dr Gamble & Partners,OLD SCHOOL SURGERY,54 STATION ROAD,"GREENISLAND, CARRICKFERGUS",BT38 8TP,Northern,9791.0
386,Dr B D Glover,CLONEY,GLENARM,BALLYMENA CO ANTRIM,BT44 0AB,Northern,2022.0
387,DR. FERGUSON AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,7291.0
388,Dr Dunn & Partners,INVER SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5023.0
389,Dr McIlroy & Partners,CORRAN SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,7914.0
390,DR. BRADLEY AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,14840.0
391,Dr Crory & Partners,VICTORIA SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5599.0
393,Dr Craig & Partners,THE HEALTH CENTRE,GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern,2984.0
394,Drs Howie & Carlisle,"LARNE FAMILY PRACTICE, LARNE HEALTH CENTRE",GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern,4198.0
395,,ROCKFIELD MEDICAL CENTRE,BALLYMENA,,BT43 6JD,Northern,4258.0
396,,OLD BANK SURGERY,97 MILL STREET,BALLYMENA,BT43 5AF,Northern,3741.0
401,Dr Smyth & Partners,THE HEALTH CENTRE,52 ORRITOR ROAD,COOKSTOWN,BT80 8BN,Northern,6422.0
402,Dr White & Partners,DRAPERSTOWN SURGERY,6 TOBERMORE ROAD,"DRAPERSTOWN, MAGHERAFELT",BT45 7AG,Northern,8349.0
404,Dr Finch & Partners,67 URBAL ROAD,COAGH,COOKSTOWN,BT80 0DP,Northern,5155.0
405,Drs McKeever &Flanigan,LOY MEDICAL CENTRE,8 LOY STREET,COOKSTOWN,BT80 8PE,Northern,5585.0
406,Dr Glancy & Partners,29 GARDEN STREET,MAGHERAFELT,CO LONDONDERRY,BT45 5DD,Northern,9103.0
407,Dr O'Kane & Partners,OAKS FAMILY PRACTICE CENTRE,48 ORRITOR ROAD,COOKSTOWN,BT80 8BH,Northern,7602.0
409,Drs McCoy & McCammon,THE HEALTH CENTRE,50 HILLHEAD,"STEWARTSTOWN, DUNGANNON",BT71 5HY,Northern,5512.0
