Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1977,"Millard, Howard M.",Allegany,BOLIVAR,WAUGH & PORTER,0,0,OB
1984,"Tellinghuisen, George",Chautauqua,BUSTI,GLADE,0,0,OB
1996,"Lenape Resources, Inc.",Wyoming,COVINGTON,MEDINA,10,0,GK
1990,"Galliford, J. Daniel & Clara R.",Genesee,BETHANY,MEDINA,1,0,
1987,"Empire Exploration, Inc.",Chautauqua,GERRY,ONONDAGA-BASS ISLAND,1,0,"GK,GX"
1986,Joyce Management Corp.,Allegany,WIRT,RICHBURG,0,0,
1970,"Neely, Sophie Mrs.",Allegany,,,0,0,OB
1998,"Desert Gas Exploration, Inc.",Cattaraugus,,,0,1,
1998,Fault Line Oil Corporation,Erie,SARDINIA,MEDINA,1,1,GX
1973,Iroquois Gas Corp.,Erie,HAMBURG,MEDINA,4,0,
1995,"Lenape Resources, Inc.",Livingston,CALEDONIA,MEDINA,37,0,GI
1988,"Eastern States Energy, Inc.",Erie,CONCORD,MEDINA,2,0,GK
1989,Miller Brewing Co.,Cayuga,OWASCO,QUEENSTON,1,0,
1993,Perry Central Schools,Wyoming,PERRY,MEDINA,1,0,
1995,Seneca Resources Corporation,Erie,EDEN,MEDINA,2,0,GK
1990,"Ebenezer Oil Co., Inc.",Allegany,ANDOVER,PENNY & FULMER VALLEY,0,0,OB
1997,Villafrank & Wells,Chautauqua,CHAUTAUQUA,MEDINA,1,0,GK
1998,"Weil Resources, Inc.",Erie,MARILLA,MEDINA,6,0,GK
1997,"Solomons Resources, LLC",Cattaraugus,OLEAN,BRADFORD,0,0,
1991,"Rose State Custom Service, Inc",Cayuga,SPRINGPORT,QUEENSTON,1,0,
1984,"Clearwater Systems, Inc.",Chautauqua,CHAUTAUQUA,MEDINA,1,0,GK
1992,"Sinclairville Petroleum, Inc.",Cattaraugus,NEW ALBION,MEDINA,4,6,GK
1990,"Midwest Exploration, Inc.",Erie,NORTH COLLINS,MEDINA,1,0,GK
1980,"Desert Gas Exploration, Inc.",Chautauqua,HANOVER,MEDINA,5,0,GK
1988,"Dudar, John",Allegany,ALMA,RICHBURG,0,0,OB
1973,D & D Oil,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1979,National Fuel Gas Supply Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1982,"Hanes,  Merlin",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,GK
1979,"Young, Douglas V.",Allegany,SCIO,RICHBURG,0,0,OB
1998,"Lee Oil Company, Inc.",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,
1967,"Wilcox,Wilcox & Wilcox",Chautauqua,,,0,0,
1988,"Josela Enterprises, Inc.",Erie,LANCASTER,MEDINA,0,3,
1996,"Howe, Leon",Livingston,PORTAGE,MEDINA,1,0,
1989,"Envirogas, Inc.",Chautauqua,NORTH HARMONY,MEDINA,5,0,GH
1999,Eastern American Energy Corp.,Cattaraugus,RANDOLPH,ONONDAGA,0,0,"GH,OD"
1980,"Celestial Realty Co., Inc.",Erie,ELMA,MEDINA,3,1,
1983,Mitchell Exploration Corp.,Cattaraugus,FARMERSVILLE,MEDINA,0,2,
1971,Iroquois Gas Corp.,Ontario,BRISTOL,MEDINA,3,0,GX
1987,Miller Brewing Co.,Cayuga,AURELIUS,QUEENSTON,46,0,
1986,"Templeton Energy,  Inc.",Chautauqua,PORTLAND,MEDINA,13,0,GK
1991,U S Energy Development Corp.,Chautauqua,GERRY,ONONDAGA-BASS ISLAND,0,0,"GH,GK"
1993,"Otis Eastern Service, Inc.",Allegany,ANDOVER,PENNY & FULMER VALLEY,0,0,OC
1988,M. J. McCaffery Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,1,OA
1997,"Eastern States Energy, Inc.",Erie,NORTH COLLINS,MEDINA,2,0,GK
1989,"Kidder Exploration, Inc.",Chautauqua,BUSTI,MEDINA,4,0,"GK,GX"
1986,"Chautauqua Energy, Inc.",Chautauqua,WESTFIELD,MEDINA,4,0,GK
1975,Consolidated Gas Supply Corp.,Wyoming,COVINGTON,MEDINA,0,1,
1994,"Subsea Oil & Gas, Inc.",Erie,EDEN,MEDINA,7,0,GK
1984,"Marieff Petroleum, Inc.",Chautauqua,WESTFIELD,MEDINA,1,0,GH
1978,Coakley-Pizza Oil & Gas,Steuben,HOWARD,,0,0,
1991,"Frey Well Drilling, Inc.",Genesee,PEMBROKE,MEDINA,1,0,GX
1971,"Cleveland, L.J. Estate",Allegany,ALMA,,0,0,OB
1984,Richardson Petroleum Corp.,Steuben,WEST UNION,FULMER VALLEY,0,0,"GK,OB"
1985,"Adamson, Bill",Chautauqua,NORTH HARMONY,MEDINA,0,0,
1986,"Reserve Gas Company, Inc.",Erie,NEWSTEAD,MEDINA,3,0,GN
1986,"Consolidated Exploration  & Gathering, Inc.",Erie,NORTH COLLINS,MEDINA,3,0,GU
1974,"Ford, Herald",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,OB
1998,"Ardent Resources, Inc.",Allegany,GENESEE,ONONDAGA,0,1,
1996,"Forster, Richard R. & Cheryl M",Chemung,VAN ETTEN,ORISKANY,1,0,
1971,"McCray, Maurice A. Est.",Cattaraugus,CARROLLTON,BRADFORD,0,0,"OA,OC"
1989,"J M Resources, Inc.",Chautauqua,ARKWRIGHT,MEDINA,1,0,GK
1993,"Vandermark Exploration, Inc.",Allegany,SCIO,ORISKANY,6,0,GH
1979,"Church, Walter L",Chautauqua,GERRY,MEDINA,0,1,
1989,"Mosher, Victoria N.",Cattaraugus,DAYTON,MEDINA,0,1,
1994,"Eastern States Energy, Inc.",Erie,BRANT,MEDINA,20,0,GK
1988,"Engx, Inc.",Chautauqua,ELLICOTT,MEDINA,2,0,GK
1981,Oilmark & Co.,Chautauqua,RIPLEY,MEDINA,3,0,GK
1985,Interco Energy Development Corp,Erie,SARDINIA,MEDINA,0,1,
1999,"Zerkowski, David A. & Carrie A",Erie,WEST SENECA,MEDINA,1,0,
1988,U S Energy Development Corp.,Chautauqua,GERRY,MEDINA,16,10,"GH,GK"
1999,Belden & Blake Corporation,Erie,SARDINIA,MEDINA,7,1,GK
1996,"Cotton Well Drilling Company,  Inc.",Erie,NORTH COLLINS,AKRON,1,0,
1986,Clover Oil & Gas Co.,Genesee,DARIEN,MEDINA,1,0,"GK,GN"
1988,Libra Petroleum Company,Chautauqua,BUSTI,GLADE,0,0,OB
1986,Fitzgerald Brothers,Ontario,RICHMOND,ORISKANY,2,0,GK
1974,National Fuel Gas Supply Corp.,Steuben,WEST UNION,ORISKANY,0,1,
1991,"Taber, Grover E. Jr.",Oswego,WEST MONROE,TRENTON,0,1,
1998,"Chautauqua Energy, Inc.",Chautauqua,SHERMAN,MEDINA,18,0,GK
1981,New York Natural Gas Co.,Erie,ELMA,MEDINA,8,0,GK
1983,"Envirogas, Inc.",Chautauqua,WESTFIELD,MEDINA,61,1,
1975,"Huntington, Barbara A.",Cattaraugus,CARROLLTON,BRADFORD,0,0,OA
1995,"Nornew, Inc.",Chautauqua,POLAND,MEDINA,14,0,GH
1995,"Mills, Richard E.",Genesee,PAVILION,MEDINA,1,0,
1999,"B.C.R. Development, Inc.",,,,0,0,
1982,"Johnson, Daniel H",Chautauqua,BUSTI,MEDINA,0,0,
1986,"Doran & Associates, Inc.",Chautauqua,HARMONY,MEDINA,1,0,GH
1998,"Clark, Ernest",Erie,WALES,MEDINA,1,0,
1992,Quaker State Corp.,Tioga,NICHOLS,HELDERBERG,4,0,GZ
1986,"Alden Aurora Gas Co.,  Inc.",Erie,ALDEN,MEDINA,1,5,GK
1990,"Empire Exploration, Inc.",Erie,EDEN,MEDINA,1,0,GK
1974,"Harriger, Signe",Allegany,BOLIVAR,RICHBURG,0,0,OB
1986,Walker Exploration & Production Corp.,Chautauqua,CHAUTAUQUA,MEDINA,63,0,"GH,GK"
1987,"Eastern States Energy, Inc.",Erie,BRANT,MEDINA,16,0,"GK,GX"
1994,Seneca Resources Corporation,Chautauqua,GERRY,MEDINA,1,0,GH
1994,"Bunnell, Herbert F.",Allegany,ANDOVER,FULMER VALLEY,0,0,OC
1995,"Evinczik, Paul M.",Chautauqua,BUSTI,GLADE,0,0,
1995,"Energy Control Unlimited, Inc.",Erie,BRANT,MEDINA,7,2,GK
1991,"Weil Resources, Inc.",Erie,ORCHARD PARK,MEDINA,2,0,GK
1992,"O'Connor, James M.",Allegany,GENESEE,RICHBURG,0,0,OC
1985,Joyce Western Corp.,Allegany,ANDOVER,FULMER VALLEY,3,3,
1990,National Fuel Gas Supply Corp.,Cattaraugus,OTTO,MEDINA,1,0,GK
1997,"Desert Gas Exploration, Inc.",Chautauqua,CARROLL,MEDINA,4,0,GK
1986,"R. W. Taylor & Sons, Inc.",Wyoming,COVINGTON,MEDINA,1,0,
1994,"Jennings, Edward M.",Allegany,ALMA,RICHBURG,0,0,OC
1981,Gypsum Energy Management Co.,Genesee,OAKFIELD,MEDINA,3,0,
1987,"Alden Aurora Gas Co.,  Inc.",Wyoming,BENNINGTON,MEDINA,1,3,GN
1998,"Brown, Edward J. and Anne D.",Seneca,FAYETTE,QUEENSTON,1,0,
1976,Templeton & Woods,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,"OA,OC"
1978,"Consolidated Exploration  & Gathering, Inc.",Chautauqua,CLYMER,MEDINA,0,2,
1984,"Wormley, Fred K",Allegany,ALMA,RICHBURG,0,0,OB
1974,National Fuel Gas Supply Corp.,Chautauqua,SHERIDAN,MEDINA,1,0,
1987,"Texas Brine Company, LLC",Cattaraugus,PORTVILLE,BRADFORD,0,0,
1994,"Basic Energy Producers, Inc.",Chautauqua,CHAUTAUQUA,MEDINA,3,0,GK
1997,"GFS Energy, Inc.",Erie,MARILLA,MEDINA,10,0,GK
1989,CNG Transmission Corp.,Wyoming,COVINGTON,MEDINA,1,0,GX
1977,Pine Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OB
1995,"Walchli, John W. Jr.",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,"GK,OC"
1998,"Lenape Resources, Inc.",Chautauqua,ELLERY,UPPER DEVONIAN,1,0,GK
1992,National Fuel Gas Supply Corp.,Genesee,DARIEN,MEDINA,7,0,GK
1999,"20 Bliss Street, Inc.",Chautauqua,SHERIDAN,MEDINA,3,1,GX
1990,"Di Cerbo, Nicholas A.",Cattaraugus,OLEAN,BRADFORD,0,0,OB
1987,Miller Brewing Co.,Cayuga,SENNETT,QUEENSTON,1,0,
1983,"Wilkinson, Keith",Erie,LANCASTER,,0,0,
1998,"Gier's Farm Service, Inc.",Chautauqua,CHERRY CREEK,MEDINA,2,0,
1985,"Buffalo Block Company, Inc.",Erie,BUFFALO,MEDINA,1,0,
1979,"Kayak Gas & Oil Co.,  Inc.",Erie,CHAUTAUQUA,MEDINA,7,0,GK
1972,Vulcan Oil Co,Allegany,ALMA,RICHBURG,0,0,OB
1999,"Cotton Well Drilling Company,  Inc.",Erie,CONCORD,MEDINA,3,0,GX
1994,Seneca Resources Corporation,Chautauqua,POMFRET,MEDINA,7,0,GK
1972,"Garr, Grace",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1984,Houghton College,Allegany,CANEADEA,DEVONIAN SHALE,2,0,
1986,"Eclipse Energy Company, LLC",Chautauqua,SHERIDAN,MEDINA,9,0,GK
1993,Perkins & Gondree,Erie,BRANT,MEDINA,3,1,GK
1980,"Deptuch, Michael Estate",Cayuga,LOCKE,QUEENSTON,1,0,
1982,"Arapaho Ventures of NY, Inc.",Wyoming,WARSAW,QUEENSTON,4,0,GH
1991,Dan Gernatt Farms,Erie,NORTH COLLINS,MEDINA,0,1,
1984,"Clark, Donald C",Wyoming,PERRY,MEDINA,1,0,
1992,T.M. Quaintance Crude Oil Production,Allegany,ALMA,RICHBURG,0,0,OC
1995,"Linn, Conrad W. Jr.",Cattaraugus,PORTVILLE,BRADFORD,0,0,OC
1968,Iroquois Gas Corp.,Erie,BRANT,MEDINA,4,1,GX
1979,Wasson/Regis Oil Company,Allegany,BOLIVAR,RICHBURG,0,0,OB
1993,Evans-Brant (Lake Shore) Central School District,Erie,EVANS,MEDINA,4,0,
1997,"Brown, Edward J. and Anne D.",Seneca,FAYETTE,QUEENSTON,1,0,
1984,Miller Brewing Co.,Cayuga,AURELIUS,QUEENSTON,57,0,
1988,"20 Bliss Street, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,GK
1994,"Givens Estate, Norman L.",Allegany,INDEPENDENCE,FULMER VALLEY,0,0,OC
1980,"Spaulding Fibre Co., Inc.",Erie,TONAWANDA,MEDINA,3,0,
1990,"Frey Well Drilling, Inc.",Erie,ELMA,MEDINA,1,1,GK
1968,Thropp Oil & Gas Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OC
1999,Dunkirk Int'l Glass & Ceramics,Chautauqua,DUNKIRK,MEDINA,0,1,
1986,"Empire Exploration, Inc.",Genesee,BETHANY,MEDINA,3,0,"GK,GX"
1988,Gerald M. & Jewell F. Mooney Revoc. Living Trust,Chautauqua,RIPLEY,MEDINA,1,0,
1986,Libra Petroleum Company,Chautauqua,BUSTI,GLADE,0,0,OB
1993,"Intoil, Inc.",Wyoming,PERRY,MEDINA,7,6,GP
1989,"20 Bliss Street, Inc.",Chautauqua,SHERIDAN,MEDINA,3,0,GK
1982,Arco Metals Co-American Brass,Erie,BUFFALO,MEDINA,0,1,
1985,Iroquois Central School District,Erie,ELMA,MEDINA,1,0,
1998,"GFS Energy, Inc.",Chautauqua,VILLENOVA,MEDINA,1,1,GK
1985,"Young, Douglas V.",Allegany,SCIO,RICHBURG,0,0,OB
1982,Maynard Oil Co.,Erie,ORCHARD PARK,MEDINA,5,0,GK
1994,"Spurr, Ruth E.",Chautauqua,HANOVER,MEDINA,1,0,
1987,"Eastern States Energy, Inc.",Erie,NORTH COLLINS,MEDINA,2,0,"GK,GX"
1998,Seneca Resources Corporation,Chautauqua,BUSTI,GLADE,1,0,GK
1987,"Stedman Energy, Inc.",Chautauqua,HARMONY,MEDINA,1,0,GX
1994,U S Energy Development Corp.,Cattaraugus,OTTO,MEDINA,1,0,GK
1974,"Kabel, Ruth, G.",Erie,ORCHARD PARK,MEDINA,3,0,GX
1990,"O'Shanter Resources,  Inc.",Chautauqua,NORTH HARMONY,MEDINA,2,0,"GH,GX"
1986,"P S C Resources, Inc.",Erie,EVANS,MEDINA,2,0,GX
1995,Potter & Childs,Allegany,INDEPENDENCE,FULMER VALLEY,0,0,OC
1988,"Chautauqua Energy, Inc.",Chautauqua,WESTFIELD,MEDINA,34,5,GX
1994,Cunningham Natural Gas Corp.,Steuben,ADDISON,,0,1,
1972,West Brothers,Genesee,PEMBROKE,MEDINA,6,0,GX
1998,"Bkg Truck Repair, LLC",Cattaraugus,COLD SPRING,UPPER DEVONIAN,0,5,
1990,"Venture Technology, Inc.",Chautauqua,POMFRET,MEDINA,1,1,GK
1990,Mitchell Exploration Corp.,Allegany,GRANGER,MEDINA,0,1,
1995,"Meeder, Clinton C.",Chautauqua,RIPLEY,MEDINA,1,0,
1980,Joyce Management Corp.,Allegany,ANDOVER,FULMER VALLEY,0,0,OB
1994,Buchanan & Hatch Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OA
1995,"North American Petroleum, Inc.",Chautauqua,CHAUTAUQUA,MEDINA,1,0,GK
1988,TGX Corp.,Erie,HAMBURG,MEDINA,2,2,GK
1988,"Friendship Dairies, Inc.",Allegany,FRIENDSHIP,MEDINA,1,0,
1992,"Crowell, Walter R.",Chautauqua,VILLENOVA,MEDINA,1,0,
1987,Miller Brewing Co.,Cayuga,OWASCO,QUEENSTON,0,1,
1996,"Becker, John",Erie,ALDEN,MEDINA,1,0,
1975,"Stevenson, Scott R Jr",Cattaraugus,CARROLLTON,BRADFORD,0,0,OA
1995,CEI 1992-93 Joint Venture,Chautauqua,NORTH HARMONY,,1,0,
1989,"Spur Petroleum, Inc.",Erie,ALDEN,MEDINA,0,4,
1996,"B.C.R. Development, Inc.",Cattaraugus,ALLEGANY,RICHBURG,0,0,
1973,Iroquois Gas Corp.,Erie,NORTH COLLINS,MEDINA,2,0,
1997,"Chautauqua Energy, Inc.",Chautauqua,GERRY,ONONDAGA,1,0,"GK,OA"
1998,Falconer Central School District,Chautauqua,ELLICOTT,MEDINA,1,0,
1985,J & L Oil & Gas Corp.,Chautauqua,DUNKIRK,MEDINA,7,0,GK
1977,J.V.P. Resources,Steuben,HOWARD,,0,2,
1977,"Gorton, Leonette",Allegany,ALMA,RICHBURG,0,0,
1981,Seis-Ex Geophysical Ltd,Steuben,ERWIN,DEVONIAN SHALE,0,1,
1985,"Henry W. Agle and Sons, Inc.",Erie,EDEN,MEDINA,1,0,
1989,"Westmin Resources,  Inc.",Livingston,SPARTA,MEDINA,0,1,
1998,Seneca Resources Corporation,Erie,ELMA,MEDINA,1,0,GK
1983,"Hitchcock, Glen",Cattaraugus,ALLEGANY,BRADFORD,0,0,
1989,Woodmere Energy 1982 Drilling Program,Genesee,ALEXANDER,MEDINA,6,1,GK
1985,"Fink, Richard J., II",Genesee,BERGEN,MEDINA,0,0,
1990,"Abarta Oil & Gas, Inc.",Erie,EVANS,MEDINA,1,4,GK
1986,"Templeton Energy,  Inc.",Chautauqua,PORTLAND,MEDINA,2,0,"GK,GX"
1997,"Warren, Malcolm",Genesee,PEMBROKE,MEDINA,1,0,
1994,Fluvanna Community Church,Chautauqua,ELLICOTT,MEDINA,1,0,
1995,"Woodward Pipeline, Inc.",Erie,EDEN,MEDINA,22,0,GK
1988,"Miller, Connie S.",Erie,HAMBURG,MEDINA,1,0,
1993,Lackawanna City School District,Erie,LACKAWANNA,MEDINA,0,1,
1996,"Renold, Inc.",Chautauqua,WESTFIELD,MEDINA,2,0,
1999,"Fink, Richard J., II",Genesee,BERGEN,MEDINA,1,0,
1993,D-Y-M Corp.,Steuben,WEST UNION,FULMER VALLEY,0,0,
1999,Great Lakes Energy Partners,Chautauqua,RIPLEY,MEDINA,55,3,GK
1979,"Shaner, Ray C.",Allegany,GENESEE,RICHBURG,0,0,
1996,"Trahan Petroleum, Inc.",Chautauqua,ELLINGTON,WHIRLPOOL,2,0,"GH,GK"
1984,Knapp Gas Co.,Erie,MARILLA,MEDINA,1,0,GK
1980,Dunning & Barnes Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OB
1974,"Boswell, Estate of James B.",Chautauqua,BUSTI,GLADE,8,0,OA
1983,"Gleason, Charlotte",Allegany,ANDOVER,FULMER VALLEY,0,0,
1999,"Conti, John A.",Chautauqua,BUSTI,GLADE,0,0,OD
1999,"Large, William C. & Mary B.",Cayuga,FLEMING,QUEENSTON,1,0,
1999,"Shelex Drilling, Inc.",Chautauqua,GERRY,MEDINA,7,0,"GK,GX"
1995,"Kayak Gas & Oil Co.,  Inc.",Erie,EVANS,MEDINA,3,3,GK
1999,"Howard, Patrick M.",Allegany,EDEN,MEDINA,0,1,
1996,"H. Olsen & Sons Contractors, Inc.",Chautauqua,SHERIDAN,MEDINA,1,0,GK
1987,Douglas Oil & Gas Limited Partnership,Allegany,GENESEE,,0,0,
1991,"Chautauqua Energy, Inc.",Chautauqua,RIPLEY,MEDINA,6,0,GX
1998,Seneca Resources Corporation,Erie,BRANT,MEDINA,4,0,GK
1991,"F & G Exploration, LLC",Cayuga,SPRINGPORT,QUEENSTON,15,0,GX
1974,Bruce Ingalls & Son,Allegany,BOLIVAR,RICHBURG,0,0,OB
1977,"Martiny, Charles",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1996,Belden & Blake Corporation,Chautauqua,RIPLEY,MEDINA,73,15,GK
1995,"Day, James W",Allegany,BOLIVAR,RICHBURG,0,0,OC
1985,"S & M Resources,  Inc.",Chautauqua,ELLERY,ONONDAGA,0,0,"GH,OB"
1999,R & C Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,"OA,OD"
1980,Miller Drilling Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1997,"Johnson, Norman G.",Genesee,BATAVIA,MEDINA,1,0,
1993,"Envirogas, Inc.",Erie,NEWSTEAD,MEDINA,1,0,GK
1984,"Desert Gas Exploration, Inc.",Chautauqua,PORTLAND,MEDINA,1,0,GK
1967,"Ebenezer Oil Co., Inc.",Allegany,ALMA,RICHBURG,0,0,OB
1981,Mountain Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,OB
1992,Miller Oil Co.,Cattaraugus,OLEAN,BRADFORD,0,0,OA
1999,"Yahn & Yahn, Inc.",Steuben,WEST UNION,FULMER VALLEY,0,0,OA
1982,"Bounty Holdings, Incorporated",Chautauqua,CARROLL,MEDINA,0,1,
1997,"Clark, Donald C",Wyoming,PERRY,MEDINA,1,0,
1992,"Lenape Resources Corp., The",Chautauqua,CLYMER,MEDINA,1,0,GH
1996,"Otis Eastern Service, Inc.",Allegany,ANDOVER,PENNY & FULMER VALLEY,0,0,OC
1993,"Sheshunoff, Alex",Wyoming,ARCADE,MEDINA,2,0,GK
1997,"Pefley Oil & Gas, Inc.",Cattaraugus,NEW ALBION,MEDINA,6,4,GK
1971,"Glass,  Theodore G.",Chautauqua,,GLADE,0,0,OB
1982,Potter Oil Co.,Allegany,INDEPENDENCE,FULMER VALLEY,0,0,"GK,OB"
1992,"Universal Resources Holdings, Incorporated",Chautauqua,ELLINGTON,MEDINA,1,0,GK
1986,"Templeton Energy,  Inc.",Chautauqua,SHERIDAN,MEDINA,1,0,GK
1988,"Jennings, Earl",Allegany,ALMA,RICHBURG,0,0,OB
1997,"East Resources, Inc.",Cattaraugus,CARROLLTON,BRADFORD,0,0,OA
1983,Maple Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,
1980,"20 Bliss Street, Inc.",Chautauqua,POMFRET,MEDINA,3,0,GK
1994,"F & G Exploration, LLC",Cayuga,AURELIUS,QUEENSTON,2,0,GB
1978,West Brothers,Wyoming,,MEDINA,6,0,GX
1975,Underlayer & Co.,Chautauqua,,MEDINA,0,1,
1999,"Lenape Resources, Inc.",Chautauqua,ARKWRIGHT,MEDINA,14,6,GK
