Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 364,31.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 190,56.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 366,63.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,TricityB,ethib 195,65.08,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Seton,Maurice 358,66.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Seton,yjohn326,66.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 367,70.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 363,79.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,Cromwell,ethib 193,83.71,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,Nisbets,ethib 196,85.72,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Total Filtration,yjohn310,114.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,NJ Sanders Electrical Installation Ltd,1695,118.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,yjohn325,119.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 365,165.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Total Filtration,yjohn314,168.29,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Ideal Standard,Maurice 360,175.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,yjohn312,239.96,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 369,248.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Newey&E,ethib 197,444.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Airdale,yjohn324,455.13,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,CPD ,Maurice 359,504.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,CPD ,Maurice 368,504.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 362,634.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Minor Building Works & Maintenance,Business Support Directorate,Besam Ltd,CON/23710,836.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Ordnance Survey,Maurice 371,7.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Asda,yjohn319,8.46,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Southwales Locksmith,yjohn318,9.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Office Supplies,Business Support Directorate,HW,ethib 194,25.85,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Note top,yjohn317,32.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Ridge Hill,yjohn320,54.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Tesco,yjohn313,59.92,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Notetop,yjohn311,65.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Office Supplies,Business Support Directorate,Scan International,JHOW903101338,139.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Office Supplies,Business Support Directorate,Seton,Maurice 350,152.36,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Office Supplies,Business Support Directorate,Speech Empowered Computing,68,165.67,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Office Supplies,Business Support Directorate,StJohn's,ethib 191,180.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Office Supplies,Business Support Directorate,Healthy Workstations Ltd,18704,1217.78,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Finance Directorate,Ryman Stationery,DHUM,14.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Patents Directorate,Buy-Stationery,ANBEC105,19.19,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Business Support Directorate,Techstore,ANBEC109,75.42,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Trade Marks Directorate,Label Planet,ANBEC107,82.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Finance Directorate,McNaughtons,ANBEC041,89.06,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Finance Directorate,Toner Ink Carts,ROMOU226,108.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Other Stationery & General Supplies,Finance Directorate,ABT,Maurice 361,528.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Other Stationery & General Supplies,Finance Directorate,Computacenter,RMOUTONERS,5523.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Paper,Business Support Directorate,Amazon,PSENE,13.45,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Paper,Business Support Directorate,Amazon,PSENE,18.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Paper,Business Support Directorate,Amazon,PSENE,35.39,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Paper,Business Support Directorate,Currys,PSENE,55.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Paper,Trade Marks Directorate,McNaughtons,ANBEC103,59.04,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Postage,Business Support Directorate,Royal Mail,1104868335,197.17,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Postage,Business Support Directorate,Neopost Ltd,N1207751/01/04/10,10000.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,47677,1278.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Research Projects,Chief Executive's Office,Meetingzone,ROMOU227,9.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Seminars and Conferences,Patents Directorate,The Royal Horseguards,EDWY LONRHG,200.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,47682,42.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,47686,123.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,Nildram Ltd,SCI-00013555,-376.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,Nildram Ltd,SCI-02551270,-193.23,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,Nildram Ltd,SCI-02550352,-152.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,Nildram Ltd,SCI-02554123,-14.51,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0898,100.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0899,100.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0900,100.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,02 Rentals,TTHOM0901,100.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,T-Mobile,ROMOU225,148.13,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Telephone Rentals and Call Charges,Business Support Directorate,Nildram Ltd,SCI-02573480,1740.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,TOTAL MISCELLANEOUS EXPENSES - GENERAL,Trade Marks Directorate,Event Supplies,SLURV014,24.03,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,TOTAL MISCELLANEOUS EXPENSES - GENERAL,Business Support Directorate,ChocolateButtons.co.uk,ANBEC106,65.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,TOTAL MISCELLANEOUS EXPENSES - GENERAL,Innovation Directorate,Earls Caterers Ltd,25556,107.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,TOTAL MISCELLANEOUS EXPENSES - GENERAL,Patents Directorate,Caf̩ Gusto,JWIL,326.06,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Amazon,ss025,14.22,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Amazon,ss023,32.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Amazon,ss024,33.72,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Newport Council,ss022,35.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Finance Directorate,Uni of Glamorgan,ANBEC111,42.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Capital Law LLP,20012569,75.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Amazon,ss021,80.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,LEXISNEXIS UK,NACOL26,145.08,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Finance Directorate,CIPS,ANBEC110,210.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Palladium Training & Consultancy,56/10,285.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Patents Directorate,Highgate House,33631,355.6,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Chief Executive's Office,National School of Government,F436211,405.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,LEXISNEXIS UK,NACOL27,500.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,Business Support Directorate,Speech Empowered Computing,68,695.65,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Training,International Policy Directorate,National School of Government,F436666,1010.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Patents Directorate,Central house hotel,JWIL,-59.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,EasyJet,SHOWL012,14.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Patents Directorate,Heathrow Express,JWIL,32.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e2,81.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e5,98.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e5,118.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e4,144.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e5,154.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e5,155.87,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47662,196.12,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Business Support Directorate,KLM,TARTH022,237.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,TARTH021,243.12,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Business Support Directorate,Worldhotels,TARTH025,258.93,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Business Support Directorate,KLM,TARTH024,262.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e1,275.92,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,CMUND est y/e3,280.02,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47659,282.18,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Business Support Directorate,KLM,TARTH023,289.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47661,332.58,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47689,358.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47663,364.57,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,TARTH020,393.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47660,416.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,47655,695.61,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,International Policy Directorate,Belgavetravel,MHUMP12,867.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence Overseas,International Policy Directorate,Belgrave travel,nrega058,3087.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Expotel,NIILE23,-491.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Holiday Inn Slough,TARTH014,-75.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47473CN,-8.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Bristolairport.co.uk,NIILE12,6.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,International Policy Directorate,Personal expenses name witheld,47672,8.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Ebookers,NIILE28,10.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Amazon,NI20,10.74,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,47669,12.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,47670,12.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47667,14.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47668,14.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,47687,15.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,International Policy Directorate,Personal expenses name witheld,47671,15.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Travelodge.com,NIILE30,25.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Days,dprob21,32.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Easyjet.com,NIILE16,46.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Trade Marks Directorate,Leasedrive Velo Rental Management Ltd,RHI00371744,56.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Flybe.com,NIILE11,62.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,47654,67.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Expotel,NIILE25,71.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Innovation Directorate,Expotel,NIILE26,71.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,40275,Travel and subsistence UK,Innovation Directorate,Easyjet,EBREN est y/e2,77.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,47679,78.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,47683,79.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,47657,94.55,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/04/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,                                     StationeryOfficeBook  Ad for CT in Ed Gazette,NVALL8525315,95.83,Not recorded
