scientific name,family name,common name
podophyllum peltatum,berberidaceae,mayapple
euphorbia commutata,euphorbiaceae,wood spurge
boehmeria cylindrica,urticaceae,false nettle
leucothoe fontanesiana,ericaceae,dog hobble
scutellaria parvula,lamiaceae,small skullcap
nolina microcarpa,liliaceae,beargrass
asarum canadense,aristolochiaceae,canadian wild ginger
polystichum acrostichoides,dryopteridaceae,christmas fern
antennaria solitaria,asteraceae,singlehead pussytoes
verbascum blattaria,scrophulariaceae,moth mullein
packera obovata,asteraceae,roundleaf ragwort
euphorbia corollata,euphorbiaceae,flowering spurge
polygonum bistortoides,polygonaceae,american bistort
parthenium integrifolium,asteraceae,wild quinine
hypoxis hirsuta,iridaceae,yellow stargrass
cardamine hirsuta,brassicaceae,hairy bittercress
ophioglossum engelmannii,ophioglossaceae,limestone adderstongue
magnolia ï¿½soulangiana,magnoliaceae,saucer magnolia
spiranthes cernua,orchidaceae,nodding ladies'-tresses
carya laciniosa,juglandaceae,shellbark hickory
myosotis macrosperma,boraginaceae,large seed forget-me-not
monarda citriodora,lamiaceae,lemon beebalm
drosera sp.,droseraceae,sundew
camassia scilloides,liliaceae,wild hyacinth
acer pensylvanicum,aceraceae,striped maple
rhizophora mangle,rhizophoraceae,american mangrove
thalictrum revolutum,ranunculaceae,skunk meadow rue
potentilla recta,rosaceae,sulfur cinquefoil
lagerstroemia indica,lythraceae,crapemyrtle
rubus occidentalis,rosaceae,black raspberry
chamaecrista fasciculata,fabaceae,partridge pea
agrimonia pubescens,rosaceae,downy agrimony
astragalus bibullatus,fabaceae,pyne's ground plum
scutellaria elliptica,lamiaceae,hairy skullcap
lycopodiella alopecuroides,lycopodiaceae,foxtail clubmoss
osmorhiza claytonii,apiaceae,clayton's sweet cicely
liriodendron tulipifera,magnoliaceae,tuliptree
dioscorea villosa,dioscoreaceae,wild yam
malus sylvestris,rosaceae,apple
verbesina alternifolia,asteraceae,yellow wingstem
platanthera nivea,orchidaceae,snowy orchid
bouteloua curtipendula,poaceae,sideoats grama
ruellia caroliniensis,acanthaceae,carolina wild petunia
quercus phellos,fagaceae,willow oak
eleocharis compressa,cyperaceae,flatstem spikerush
cornus obliqua,cornaceae,silky dogwood
isothecium myosuroides,brachytheciaceae,isothecium moss
obolaria virginica,gentianaceae,virginia pennywort
paulownia tomentosa,bignoniaceae,princess-tree
kallstroemia grandiflora,zygophyllaceae,arizona caltrop
dioscorea oppositifolia,dioscoreaceae,cinnamon vine
yucca flaccida,agavaceae,adam's needle
packera glabella,asteraceae,butterweed
arbutus menziesii,ericaceae,pacific madrone
evolvulus nuttallianus,convolvulaceae,shaggy dwarf morning-glory
clematis virginiana,ranunculaceae,virgin's bower
rhododendron macrophyllum,ericaceae,pacific rhododendron
trillium cuneatum,liliaceae,little sweet betsy
porteranthus stipulatus,rosaceae,indian physic
arisaema dracontium,araceae,green dragon
rhus trilobata,anacardiaceae,skunk bush
erythronium americanum,liliaceae,trout lily
lobelia puberula,campanulaceae,downy lobelia
passiflora lutea,passifloraceae,yellow passion flower
pachycereus pringlei,cactaceae,cardon
pinus contorta,pinaceae,lodgepole pine
ceratopteris richardii,parkeriaceae,triangle waterfern
penstemon smallii,scrophulariaceae,small's beardtongue
verbesina virginica,asteraceae,white crownbeard
pinus resinosa,pinaceae,red pine
magnolia grandiflora,magnoliaceae,southern magnolia
halesia tetraptera,styracaceae,mountain silverbell
kalmia latifolia,ericaceae,mountain laurel
viola pubescens,violaceae,downy yellow violet
asparagus officinalis,liliaceae,garden asparagus
calycanthus floridus,calycanthaceae,eastern sweetshrub
stenanthium gramineum,liliaceae,eastern featherbells
datura stramonium,solanaceae,jimsonweed
geranium maculatum,geraniaceae,wild geranium
erigenia bulbosa,apiaceae,harbinger of spring
scutellaria ovata,lamiaceae,heart leaf skullcap
acacia angustissima,fabaceae,white ball acacia
euonymus fortunei,celastraceae,winter creeper
leavenworthia stylosa,brassicaceae,long styled glade cress
rhododendron maximum,ericaceae,rosebay rhododendron
valerianella umbilicata,valerianaceae,navel cornsalad
fothergilla major,hamamelidaceae,mountain witch alder
thuja occidentalis,cupressaceae,arborvitae
viola sororia,violaceae,common blue violet
sassafras albidum,lauraceae,sassafras
hemerocallis fulva,liliaceae,orange daylily
lactuca canadensis,asteraceae,wild lettuce
picea rubens,pinaceae,red spruce
erigeron philadelphicus,asteraceae,philadelphia fleabane
matelea carolinensis,asclepiadaceae,maroon carolina milkvine
euonymus americanus,celastraceae,strawberry bush
erysimum capitatum,brassicaceae,sand dune wallflower
acer glabrum var. douglasii,aceraceae,douglas maple
cerastium fontanum ssp. vulgare,caryophyllaceae,mouse eared chickweed
carya illinoinensis,juglandaceae,pecan
botrychium jenmanii,ophioglossaceae,dixie grapefern
nymphaea odorata,nymphaeaceae,fragrant water lily
quercus garryana,fagaceae,oregon white oak
calystegia sepium,convolvulaceae,hedge false bindweed
metrosideros sp.,myrtaceae,o'hia lehua
lachnocaulon sp.,eriocaulaceae,bogbutton
trifolium repens,fabaceae,white clover
rhododendron periclymenoides,ericaceae,pink azalea
pinus clausa,pinaceae,sand pine
quercus gambelii,fagaceae,gambel oak
lonicera morrowii,caprifoliaceae,morrow's honeysuckle
itea virginica,grossulariaceae,virginia sweetspire
trillium stamineum,liliaceae,twisted petal trillium
hepatica nobilis ssp. acuta,ranunculaceae,sharplobe hepatica
quercus myrtifolia,fagaceae,myrtle oak
staphylea trifolia,staphyleaceae,american bladdernut
thelypteris palustris var. pubescens,thelypteridaceae,eastern marsh fern
saponaria officinalis,caryophyllaceae,bouncing bet
asclepias exaltata,asclepiadaceae,poke milkweed
lepidium campestre,brassicaceae,field pepperweed
juniperus communis,cupressaceae,common juniper
phlox pilosa,polemoniaceae,downy phlox
