Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (Â£),Payscale Maximum (Â£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Department for Transport,Trinity House,Business Services,TH04,F,44952,52589,Payroll & HR System Manager,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Payroll Officer,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Purchasing Administrator,3.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Receptionist,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,Senior Buyer,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,D,27246,33737,Senior Procurement Administrator,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,Supplies Manager,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Supplies Officer,5.0,Finance
Department for Transport,Trinity House,Business Services,TH04,C,23208,27245,Supplies Supervisor,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,F,44952,52589,Supply Chain Manager,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,B,20952,23207,Trainee Buyer,2.0,Finance
Department for Transport,Trinity House,Business Services,TH04,E,33738,44951,Training Co-ordinator,1.0,Finance
Department for Transport,Trinity House,Navigation Directorate,TH02,SM2,61170,75000,Head of Research,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Principal Radionavigation Engineer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Principal Research & Development Engineer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Principal Systems Engineer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,SM1,52590,61169,Principal Visual Signalling Engineer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,C,23208,27245,Project Support Officer,1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,E,33738,44951,Research & Innovation Engineer (Computer Systems),1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,E,33738,44951,Research & Innovation Engineer (Lights),1.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,E,33738,44951,Research & Innovation Engineer (RNAV),3.0,Other
Department for Transport,Trinity House,Navigation Directorate,TH02,B,20952,23207,Research & Innovation Techinician (Lights),1.0,Other
Department for Transport,Trinity House,Business Services,TH04,SM1,52590,61169,GLF Accountant,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,D,27246,33737,Light Dues Team Leader,1.0,Finance
Department for Transport,Trinity House,Business Services,TH04,A,19188,20951,Lightdues Administrator,5.0,Finance
