OpenedYear,Status,PracticeCode,PracticeName,NAICS,NAICS Name,BusinessStreetLine1,BusinessCity,BusinessState,PracticeId,id
2015,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,PO Box 2148,Auburn,WA,27,27000474411
2021,New,999,Other/Miscellaneous,336213-Motor home Manufacturing,,2642 Hackberry Dr,Goshen,IN,60,60000590263
2020,Closed,22,Failure To Adjust/Refund,452100-Department Stores,,10401 NE 8th St Ste 500,Bellevue,WA,16,16000567037
2017,Closed,104,Non-Fulfillment,454100-Electronic Shopping & Mail Order Houses,,2000 University Ctr,Palo Alto,CA,23,23000510184
2020,Closed,316,Billing Issues,514191-Internet service providers/info. services (doesn't,,,,WA,107,107000574439
2017,Closed,22,Failure To Adjust/Refund,441100-Automotive Dealers,,1601 18th Ave NW,Issaquah,WA,16,16000510261
2019,Closed,999,Other/Miscellaneous,522291-Consumer Lending (includes Payday Lenders),,351 W Opportunity Way,Draper,UT,60,60000554674
2013,Closed,301,Failure To Deliver/Perform,441100-Automotive Dealers,Automotive Dealers,1401 S Blain St,Moscow,ID,33,33000427519
2018,New,999,Other/Miscellaneous,441100-Automotive Dealers,,15026 1st Ave S,Burien,WA,60,60000528759
2015,Closed,320,Unsatisfactory Repair/Service,"235000-Special trade Contractors (includes plumbers, elec",,,Woodinville,WA,42,42000467268
2013,Closed,19,Inadequate Disclosure,513200-Cable Networks & Program Distribution,Cable Networks & Program Distribution,Office of the President,Dallas,TX,13,13000433554
2013,Closed,513,Bushing,811100-Automotive Repair & Maintenance,Automotive Repair & Maintenance,6411 20th St E,Fife,WA,52,52000429559
2019,Closed,203,Internet & Mobile device based transaction,"560000-Admin. & support services (office admin., faciliti",,1916 Pike Pl Ste 12 #56,Seattle,WA,27,27000551495
2020,Closed,316,Billing Issues,621300-Offices of Other Health Professionals,,1145 Broadway Plaza Ste 1150,Tacoma,WA,107,107000570107
2020,Closed,996,COVID-19,561510-Travel Agents,,,Miami,FL,216,216000569292
2013,Closed,22,Failure To Adjust/Refund,441100-Automotive Dealers,Automotive Dealers,500 3rd St SE,East Wenatchee,WA,16,16000423412
2019,New,999,Other/Miscellaneous,920000-Public Administration,,PO Box 45131,Olympia,WA,60,60000550075
2019,Closed,301,Failure To Deliver/Perform,531390-Timeshare exchange services,,6277 Sea Harbor Dr,Orlando,FL,33,33000546289
2013,Closed,58,Telemarketing,994000-ADAD,ADAD,,,  ,20,20000433415
2020,Closed,301,Failure To Deliver/Perform,"235000-Special trade Contractors (includes plumbers, elec",,,,WA,33,33000582977
2018,Closed,104,Non-Fulfillment,441100-Automotive Dealers,,1208 W 3rd Ave,Spokane,WA,23,23000538059
2020,Closed,999,Other/Miscellaneous,541511-Website Design,,9701 Wilshire Blvd 10th Fl,Beverly Hills,CA,60,60000583976
2016,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000491292
2020,New,999,Other/Miscellaneous,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,60,60000574089
2021,Closed,203,Internet & Mobile device based transaction,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,27,27000588691
2016,Closed,104,Non-Fulfillment,561720-Janitorial Services,,,Kennewick,WA,23,23000494819
2019,Closed,61,Phishing,993000-Phishing,,,,  ,111,111000552605
2018,New,999,Other/Miscellaneous,541920-Photographic Services,,13110 NE 177th Pl #535,Woodinville,WA,60,60000541541
2013,Closed,318,Charge:Service Not Performed/Product not delivered,990000-Unclassified Establishments,Unclassified Establishments,,,  ,40,40000425261
2014,Closed,301,Failure To Deliver/Perform,541511-Website Design,,,Spokane,WA,33,33000457943
2015,Closed,320,Unsatisfactory Repair/Service,454100-Electronic Shopping & Mail Order Houses,,,Roswell,GA,42,42000473524
2017,Closed,22,Failure To Adjust/Refund,"532100-Automotive Rental & Leasing (includes cars, trucks",,3000 S 176th St Ste B,SeaTac,WA,16,16000515235
2014,Closed,26,Advertising,522210-Credit Card Issuing,Credit Card Issuing,1327 Empire Central Ste 130,Dallas,TX,19,19000445162
2017,New,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,Wells Fargo Bank ,Charlotte,NC,60,60000511230
2019,Closed,422,Credit/Financing,522130-Credit Unions,,PO Box 3000,Merrifield,VA,49,49000543831
2017,New,999,Other/Miscellaneous,722000-Restaurants and Bars,,,Bellevue,WA,60,60000516821
2019,Closed,104,Non-Fulfillment,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,23,23000552732
2015,Closed,61,Phishing,993000-Phishing,Phishing,This is the ALL Major,,  ,111,111000459974
2019,Closed,203,Internet & Mobile device based transaction,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,27,27000558247
2020,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,c/o Vital Records Direct SL,Barcelona Spain,  ,60,60000560130
2017,Closed,203,Internet & Mobile device based transaction,993000-Phishing,,,,  ,27,27000505723
2016,Closed,61,Phishing,993000-Phishing,Phishing,,,  ,111,111000483562
2021,Open,303,Questionable Quality Product/Service,233110-Land Subdivisions & Land Development,,,Everett,WA,35,35000592662
2019,New,999,Other/Miscellaneous,990000-Unclassified Establishments,,,,  ,60,60000556050
2017,Closed,999,Other/Miscellaneous,221000-Utilities,,2320 California St,Everett,WA,60,60000506352
2014,Closed,320,Unsatisfactory Repair/Service,511210-Software Publishers,Software Publishers,One Microsoft Wy,Redmond,WA,42,42000446946
2021,New,999,Other/Miscellaneous,452100-Department Stores,,3333 Beverly Rd B6-258A-B,Hoffman Estates,IL,60,60000589572
2019,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,60,60000559356
2016,Closed,998,Governement agency complaint,921190-Government (General),Government (General),243 Israel Rd SE,Tumwater,WA,179,179000480082
2014,Closed,322,Failure To provide estimate,811100-Automotive Repair & Maintenance,Automotive Repair & Maintenance,3213 S 38th St,Tacoma,WA,44,44000452395
2021,Closed,410,Discrimination,622000-Hospitals,,Department of Legal Affairs,Seattle,WA,47,47000590271
2017,Closed,650,Title of MH,531190-MHU Use Only - MH landlord,,,Spokane Valley,WA,171,171000517642
2020,New,999,Other/Miscellaneous,522210-Credit Card Issuing,,2500 Westfield Dr IL1-6215,Elgin,IL,60,60000580443
2014,Closed,521,Business Failure or Bankruptcy,812100-Personal Care Services,Personal Care Services,,,WA,56,56000449719
2020,Closed,18,Service Representation,524000-Insurance Carriers & Related Activities,,11222 Quail Roost Dr,Miami,FL,12,12000583899
2017,Closed,59,Automatic Dialing,"813219-Charities, Grantmaking, Civic & Giving Services",,,,  ,21,21000506144
2013,Closed,206,Right To Cancel,522320-Financial Transaction Processing,Financial Transaction Processing,11805 NE 99th St Ste1300,Vancouver,WA,30,30000435409
2016,Closed,645,LL/T personality conflicts,531311-Residential property managers (includes landlords),,1014 Parkside Dr,Bremerton,WA,162,162000491018
2019,Closed,13,Misrepresentation of product or service,441100-Automotive Dealers,,13733 Aurora Ave N,Seattle,WA,10,10000546577
2020,Closed,996,COVID-19,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,216,216000583166
2020,Closed,320,Unsatisfactory Repair/Service,514191-Internet service providers/info. services (doesn't,,11717 Exploration Ln,Germantown,MD,42,42000579029
2017,Closed,448,Student Loan Issue,522291-Consumer Lending (includes Payday Lenders),,220 Lasley Ave,Wilkes-Barre,PA,187,187000499157
2020,Closed,303,Questionable Quality Product/Service,621300-Offices of Other Health Professionals,,2300 Main St,Irvine,CA,35,35000562055
2020,Closed,320,Unsatisfactory Repair/Service,"233000-General Contracting, building, & developing",,,Lynden,WA,42,42000583758
2018,Closed,317,Charge Above Estimate,531390-Timeshare exchange services,,6277 Sea Harbor Dr,Orlando,FL,39,39000537399
2021,New,999,Other/Miscellaneous,812199-Dating Clubs and Social Networking,,PO Box 25458,Dallas,TX,60,60000587171
2014,Closed,19,Inadequate Disclosure,561590-Other Travel  services (includes travel clubs),Other Travel  services (includes travel clubs),333 108th Ave Ste 300,Bellevue,WA,13,13000456943
2020,Closed,62,Price Gouging,452910-Warehouse Clubs & Superstores,,702 SW 8th St,Bentonville,AR,116,116000576556
2016,New,999,Other/Miscellaneous,513200,Cable Networks & Program Distribution,1323 34th Ave,Fife,WA,60,60000489583
2013,Closed,405,Credit Reporting Error,561440-Collection Agencies,Collection Agencies,1130 140th Ave NE Ste 100A,Bellevue,WA,108,108000441519
2013,Closed,410,Discrimination,621300-Offices of Other Health Professionals,,,Yakima,WA,47,47000428579
2019,New,999,Other/Miscellaneous,452100-Department Stores,,PO Box 52184,Phoenix,AZ,60,60000545454
2020,Closed,204,Unsolicited E-mail,484210-Moving Companies,,,Youngstown,OH,28,28000561741
2018,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,60,60000531933
2021,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,,Corydon,IN,27,27000593987
2021,Closed,301,Failure To Deliver/Perform,"453000-Misc. Stores (incl. florists, office supplies, gif",,3022 S Proctor St,Tacoma,WA,33,33000586603
2016,Closed,203,Internet & Mobile device based transaction,"560000-Admin. & support services (office admin., faciliti",,,,WA,27,27000493637
2014,Closed,320,Unsatisfactory Repair/Service,"444000-Building materials (incl. plumbing stores), garden","Building materials (incl. plumbing stores), garden",1605 Curtis Bridge Rd,Wilkesboro,NC,42,42000449466
2018,Closed,550,International/Cross Border,561510-Travel Agents,,601 S King St,Seattle,WA,59,59000524530
2019,New,999,Other/Miscellaneous,488400-Motor Vehicle Towing,,3834 4th Ave S,Seattle,WA,60,60000544385
2013,Closed,22,Failure To Adjust/Refund,511210-Software Publishers,Software Publishers,One Microsoft Wy,Redmond,WA,16,16000423982
2017,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,27,27000505315
2017,Closed,61,Phishing,993000-Phishing,,,,  ,111,111000515262
2020,Closed,301,Failure To Deliver/Perform,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,33,33000583060
2018,Closed,19,Inadequate Disclosure,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,13,13000530063
2017,Closed,13,Misrepresentation of product or service,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,10,10000514205
2018,New,999,Other/Miscellaneous,812930-Parking Lots & Garages,,505 5th Ave S Ste P1,Seattle,WA,60,60000524682
2014,Closed,203,Internet & Mobile device based transaction,993000-Phishing,Phishing,,,  ,27,27000448179
2019,Closed,301,Failure To Deliver/Perform,"235000-Special trade Contractors (includes plumbers, elec",,,Auburn,WA,33,33000551287
2019,Open,999,Other/Miscellaneous,441100-Automotive Dealers,,15317 Meridian Ave,Puyallup,WA,60,60000556367
2017,Closed,300,Excessive Price or Charge,454100-Electronic Shopping & Mail Order Houses,,12802 Capricorn St,Strafford,TX,32,32000501018
2016,Closed,300,Excessive Price or Charge,561620-Security Systems (including locksmiths),,,Renton,WA,32,32000479363
2021,Closed,303,Questionable Quality Product/Service,"233000-General Contracting, building, & developing",,3655 N Government Wy #5,Coeur d'Alene,ID,35,35000586386
2019,Closed,203,Internet & Mobile device based transaction,514191-Internet service providers/info. services (doesn't,,1800 41st St Fl 5,Everett,WA,27,27000553487
2020,New,999,Other/Miscellaneous,"560000-Admin. & support services (office admin., faciliti",,,St Petersburg,FL,60,60000562775
2019,Closed,22,Failure To Adjust/Refund,561520-Tour Operators,,450 3rd Ave W,Seattle,WA,16,16000543769
2015,Closed,58,Telemarketing,994000-ADAD,ADAD,THIS IS THE ALL MAJOR,,  ,20,20000466364
2020,Closed,404,Collection Practices,561440-Collection Agencies,,1349 Washington Blvd,Ogden,UT,46,46000561184
2021,New,999,Other/Miscellaneous,513320-Telecommunications/Wireless,,308 S Akard St Rm 1110,Dallas,TX,60,60000593067
2013,Closed,999,Other/Miscellaneous,990000-Unclassified Establishments,Unclassified Establishments,,,  ,60,60000440152
2019,Closed,316,Billing Issues,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,107,107000544561
2021,Open,999,Other/Miscellaneous,452100-Department Stores,,PO Box 52184,Phoenix,AZ,60,60000586749
2014,Closed,448,Student Loan Issue,611000-Educational Services,Educational Services,121 S 13th St,Lincoln,NE,187,187000443289
2019,Closed,404,Collection Practices,"511100-Newspaper, Periodicals, Book & Database Publishers",,PO Box 70,Seattle,WA,46,46000555314
2018,Closed,104,Non-Fulfillment,522110-Commercial Banking,,200 S 6th St,Minneapolis,MN,23,23000531847
2017,Closed,26,Advertising,531390-Timeshare exchange services,,1335 E Republic Rd #A,Springfield,MO,19,19000505756
2014,Closed,641,Failed communication attempts,561440-Collection Agencies,Collection Agencies,PO Box C-90006,Bellevue,WA,158,158000458547
2018,Closed,301,Failure To Deliver/Perform,481000-Air Transportation,,2200 Post Oak Blvd,Houston,TX,33,33000540389
2021,Closed,999,Other/Miscellaneous,443120-Computer & Computer Software Stores,,,,  ,60,60000595009
2013,Closed,320,Unsatisfactory Repair/Service,481000-Air Transportation,Air Transportation,PO Box 68900,Seattle,WA,42,42000440283
2014,Closed,301,Failure To Deliver/Perform,488400-Motor Vehicle Towing,,,Seattle,WA,33,33000446906
2016,Closed,518,Unregistered or Unlicensed Business,"233000-General Contracting, building, & developing",,,Everett,WA,55,55000487797
2014,Closed,12,Price or Savings Claim,514191-Internet service providers/info. services (doesn't,,,Madison,WI,9,9000449801
2018,Closed,999,Other/Miscellaneous,812100-Personal Care Services,,,Battle Ground,WA,60,60000539003
2017,New,999,Other/Miscellaneous,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,60,60000502010
2020,Closed,214,Crowdfunding,511210-Software Publishers,,1567 Highlands Dr NE Ste 1,Issaquah,WA,185,185000564761
2019,Closed,316,Billing Issues,561450-Credit Bureaus,,PO Box 105139,Atlanta,GA,107,107000552393
2021,New,999,Other/Miscellaneous,522210-Credit Card Issuing,,2500 Westfield Dr IL1-6215,Elgin,IL,60,60000590539
2020,Closed,22,Failure To Adjust/Refund,"711300-Promoters of performing arts, sports & similar eve",,1000 Corporate Landing,Charleston,WV,16,16000573986
2013,Closed,320,Unsatisfactory Repair/Service,713940-Fitness & Recreational Industries,Fitness & Recreational Industries,3161 Michelson Ste 600,Irvine,CA,42,42000440880
2018,Closed,61,Phishing,993000-Phishing,,This is the ALL Major,,  ,111,111000533429
2013,Closed,61,Phishing,561590-Other Travel  services (includes travel clubs),Other Travel  services (includes travel clubs),119 S Main Ste 500,Memphis,TN,111,111000439152
2013,Closed,22,Failure To Adjust/Refund,561510-Travel Agents,Travel Agents,1111 Expedia Group Way W,Seattle,WA,16,16000437842
2018,New,999,Other/Miscellaneous,721100-Travel Accomodations,,111 Wright Ave N #D,Cle Elum,WA,60,60000538893
2020,New,999,Other/Miscellaneous,990000-Unclassified Establishments,,4 Campus Dr 2nd Fl,South Parsippany,NJ,60,60000572942
2015,Closed,203,Internet & Mobile device based transaction,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,17560 Rowland St,City of Industry,CA,27,27000467428
2018,Closed,206,Right To Cancel,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,30,30000524446
2014,Closed,19,Inadequate Disclosure,441100-Automotive Dealers,Automotive Dealers,PO Box 25177,Seattle,WA,13,13000459033
2016,Closed,316,Billing Issues,621200-Offices of Dentists,,,Longview,WA,107,107000490085
2014,Closed,59,Automatic Dialing,994000-ADAD,ADAD,THIS IS THE ALL MAJOR,,  ,21,21000449527
2021,New,19,Inadequate Disclosure,721100-Travel Accomodations,,,,  ,13,13000594904
2017,Closed,2,Charitable Solicitation Issue,"813219-Charities, Grantmaking, Civic & Giving Services",,,,WA,1,1000519849
2020,Closed,997,Employment Issue,990000-Unclassified Establishments,,,Seattle,WA,183,183000560885
2020,Closed,104,Non-Fulfillment,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,23,23000561948
2017,Closed,206,Right To Cancel,523930-Financial Planning,,1605 Woodridge Drive SE,Port Orchard,WA,30,30000503089
2014,Closed,404,Collection Practices,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 37380,Albuquerque,NM,46,46000451501
2020,Closed,301,Failure To Deliver/Perform,445110-Supermarkets,,1121 124th Ave NE,Bellevue,WA,33,33000576649
2020,New,999,Other/Miscellaneous,452910-Warehouse Clubs & Superstores,,702 SW 8th St,Bentonville,AR,60,60000564242
2014,Closed,301,Failure To Deliver/Perform,"541600-Management, scientific & technical services","Management, scientific & technical services",595 Alpha Dr,Pittsburgh,PA,33,33000446950
2019,New,999,Other/Miscellaneous,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,60,60000546810
2014,Closed,303,Questionable Quality Product/Service,513320-Telecommunications/Wireless,Telecommunications/Wireless,PO Box 169014,Irving,TX,35,35000457213
2013,Closed,320,Unsatisfactory Repair/Service,811100-Automotive Repair & Maintenance,,,Vancouver,WA,42,42000430567
2019,New,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,3043 Townsgate Rd Ste 200,Westlake Village,CA,60,60000545491
2014,Closed,320,Unsatisfactory Repair/Service,336214-Travel Trailer & Camper Manufacturing,Travel Trailer & Camper Manufacturing,23051 Military Rd S,Kent,WA,42,42000458256
2013,Closed,18,Service Representation,511140-Database & Directory Publishers,Database & Directory Publishers,8160 Maple Lawn Blvd Ste 200,Fulton,MD,12,12000426507
2020,Closed,996,COVID-19,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,216,216000580839
2018,Closed,206,Right To Cancel,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,30,30000529740
2021,New,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,PO Box 8068,Virginia Beach,VA,60,60000591195
2014,Closed,18,Service Representation,"453000-Misc. Stores (incl. florists, office supplies, gif","Misc. Stores (incl. florists, office supplies, gif",1407 Puyallup Ave,Tacoma,WA,12,12000451038
2021,Closed,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,PO Box 10826,Greenville,SC,60,60000586519
2015,Closed,206,Right To Cancel,561620-Security Systems (including locksmiths),Security Systems (including locksmiths),1125 Middle St #201,Middletown,CT,30,30000460999
2021,Closed,13,Misrepresentation of product or service,990000-Unclassified Establishments,,702 SW 8th St,Bentonville,AR,10,10000586897
2017,New,999,Other/Miscellaneous,921190-Government (General),,9611 SE 36th St,Mercer Island,WA,60,60000498877
2019,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,107,107000542584
2013,Closed,58,Telemarketing,561422-Telemarketing,,,,  ,20,20000433064
2020,Closed,22,Failure To Adjust/Refund,"711300-Promoters of performing arts, sports & similar eve",,220 Nickerson St,Seattle,WA,16,16000569621
2017,Closed,998,Governement agency complaint,561440-Collection Agencies,,6565 Kimball Dr Ste 200,Gig Harbor,WA,179,179000507965
2014,Closed,318,Charge:Service Not Performed/Product not delivered,513200-Cable Networks & Program Distribution,,,Colfax,WA,40,40000449420
2020,New,999,Other/Miscellaneous,"453000-Misc. Stores (incl. florists, office supplies, gif",,300 Phillipi Rd,Columbus,OH,60,60000572632
2019,Closed,422,Credit/Financing,441100-Automotive Dealers,,2121 Auburn Way N,Auburn,WA,49,49000554186
2015,Closed,301,Failure To Deliver/Perform,562000-Waste Management Services,,2812 1/2 Terr Heights Dr,Yakima,WA,33,33000477147
2020,New,999,Other/Miscellaneous,522390-Real Estate Loan Servicing,,3415 Vision Dr,Columbus,OH,60,60000570766
2020,Closed,22,Failure To Adjust/Refund,454100-Electronic Shopping & Mail Order Houses,,PO Box 81226,Seattle,WA,16,16000561127
2020,Closed,303,Questionable Quality Product/Service,"235000-Special trade Contractors (includes plumbers, elec",,1519 E Decatur Ave,Spokane,WA,35,35000571805
2018,New,999,Other/Miscellaneous,524000-Insurance Carriers & Related Activities,,PO Box 1628,Grand Rapids,MI,60,60000529925
2020,Closed,22,Failure To Adjust/Refund,561510-Travel Agents,,3726 Pierce St,Wheatridge,CO,16,16000566935
2021,New,301,Failure To Deliver/Perform,990000-Unclassified Establishments,,,,  ,33,33000590283
2017,Closed,19,Inadequate Disclosure,513320-Telecommunications/Wireless,,308 S Akard St Rm 1110,Dallas,TX,13,13000522343
2015,Closed,318,Charge:Service Not Performed/Product not delivered,452000-General Merchandise Stores,,,Bohemia,NY,40,40000466790
2016,Closed,100,Misrepresentation of Terms,441100-Automotive Dealers,Automotive Dealers,325 SW 12th St,Renton,WA,22,22000477473
2019,Closed,301,Failure To Deliver/Perform,481000-Air Transportation,,PO Box 68900,Seattle,WA,33,33000548597
2013,Closed,320,Unsatisfactory Repair/Service,454100-Electronic Shopping & Mail Order Houses,Electronic Shopping & Mail Order Houses,701 Main St,Vancouver,WA,42,42000441092
2017,Closed,303,Questionable Quality Product/Service,441210-RV Dealers,,23051 Military Rd S,Kent,WA,35,35000508861
2020,Closed,995,Non-Essential Business Open ,920000-Public Administration,,City of Wenatchee Public Services Ctr,Wenatchee,WA,217,217000564602
2015,Closed,13,Misrepresentation of product or service,454300-Direct Selling Establishments (including home fuel,Direct Selling Establishments (including home fuel,17928 Bothell Everett Hwy Ste E,Bothell,WA,10,10000470261
2014,Closed,18,Service Representation,541800-Advertising & Related Services (includes coupon bo,Advertising & Related Services (includes coupon bo,3350 161st Ave SE,Bellevue,WA,12,12000452371
2018,Closed,999,Other/Miscellaneous,990000-Unclassified Establishments,,,,  ,60,60000540138
2017,New,999,Other/Miscellaneous,561450-Credit Bureaus,,,Atlanta,GA,60,60000514818
2020,Closed,316,Billing Issues,513200-Cable Networks & Program Distribution,,1323 34th Ave,Fife,WA,107,107000578971
2015,Closed,206,Right To Cancel,561620-Security Systems (including locksmiths),,,Covington,WA,30,30000466524
2017,Closed,208,Partial Performance,"235000-Special trade Contractors (includes plumbers, elec",,2305 Columbia Heights Rd,Longview,WA,31,31000503269
2016,Closed,998,Governement agency complaint,"922000-Justice, Public Order & Safety","Justice, Public Order & Safety",200 S 3rd St,Yakima,WA,179,179000484225
2018,Closed,301,Failure To Deliver/Perform,441100-Automotive Dealers,,22730 Hwy 99 ,Edmonds,WA,33,33000532298
2020,Closed,25,Refund Policies,713940-Fitness & Recreational Industries,,,Seattle,WA,18,18000572786
2021,Open,610,"Health, safety or sanitation",531190-MHU Use Only - MH landlord,,,Bellevue,WA,126,126000594827
2020,New,999,Other/Miscellaneous,"541200-Accounting, Tax Preparation Bookkeeping & Payroll ",,701 5th Ave Fl 42,Seattle,WA,60,60000582186
2020,Closed,26,Advertising,532000-Rental & leasing services,,1111 Expedia Group Way W,Seattle,WA,19,19000581913
2017,Closed,303,Questionable Quality Product/Service,524000-Insurance Carriers & Related Activities,,2775 Sanders Rd,Northbrook,IL,35,35000522674
2020,New,999,Other/Miscellaneous,522320-Financial Transaction Processing,,12312 Port Grace Blvd,Lavista,NE,60,60000561911
2018,Open,999,Other/Miscellaneous,621200-Offices of Dentists,,,Spokane Valley,WA,60,60000531961
2018,Closed,104,Non-Fulfillment,"335000-Electronic Equip., Appliance & Component Mfg'ring ",,308 Occidental Ave S 3rd Fl,Seattle,WA,23,23000526605
2018,Closed,26,Advertising,441100-Automotive Dealers,,6411 20th St E,Fife,WA,19,19000542201
2020,Closed,19,Inadequate Disclosure,441100-Automotive Dealers,,3401 Auburn Way N,Auburn,WA,13,13000574809
2018,Closed,623,Rental agreements,531190-MHU Use Only - MH landlord,,4611 NW Fruit Valley Rd #102,Vancouver,WA,138,138000533216
2016,Closed,300,Excessive Price or Charge,"813900-Business, professional, labor, political & other organizations including PACs",,,Auburn,WA,32,32000490941
2019,Closed,412,Alleged criminal activity,513310-Wired Telecommunications Carriers,,6704 N Nevada St Ste #6,Spokane,WA,196,196000547177
