Production Year,Operator,County,Town,Producing Formation,Active Gas Wells,Inactive Gas Wells,Purchaser Codes
1991,Potter & Childs,Allegany,INDEPENDENCE,FULMER VALLEY,0,0,OB
1983,"Edler, John L. & John W.",Cattaraugus,PERRYSBURG,AKRON,1,0,
1992,T. E. McCaffery Oil Co.,Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OA
1996,CEI 1991-1 Joint Venture,Chautauqua,HARMONY,MEDINA,1,0,GK
1992,Estate of Donald O. Lewis,Erie,HOLLAND,MEDINA,0,1,
1985,Gugino Greenhouses,Chautauqua,POMFRET,MEDINA,1,0,
1993,"Nerreter, Eleanor G",Erie,HAMBURG,MEDINA,2,0,GK
1985,"Nocek, Leo & Veronica",Chautauqua,SHERIDAN,MEDINA,1,0,GK
1993,"Patterson, Robert",Chautauqua,PORTLAND,MEDINA,1,0,
1975,Dan Gernatt Farms,Erie,NORTH COLLINS,MEDINA,1,0,
1992,"Barnes, Gertrude",Cattaraugus,ALLEGANY,BRADFORD,0,0,
1996,"Loch Exploration, Inc.",Wyoming,JAVA,MEDINA,19,0,GR
1983,"Spaulding Fibre Co., Inc.",Erie,TONAWANDA,MEDINA,3,0,
1977,"Joyce, Genevieve",Allegany,ANDOVER,FULMER VALLEY,0,0,OB
1998,"Lutgen, John R.",Cattaraugus,ELLICOTTVILLE,BRADFORD & CHIPMUNK,3,0,
1984,"Trahan Petroleum, Inc.",Cattaraugus,LEON,MEDINA,0,1,
1984,"Sloan, John",Allegany,BOLIVAR,RICHBURG,0,0,OB
1996,Schreiner Oil and Gas Inc.,Chautauqua,HANOVER,MEDINA,10,1,GX
1975,"Studd,  Paul E.",Cattaraugus,,CHIPMUNK,0,0,
1984,"Buffalo Wire Works Co., Inc.",Erie,BUFFALO,MEDINA,1,0,
1986,Columbia Gas Transmission Corp.,Chautauqua,CHERRY CREEK,MEDINA,1,0,GH
1990,"Envirogas, Inc.",Erie,EVANS,MEDINA,2,1,GK
1984,National Fuel Gas Supply Corp.,Erie,EVANS,MEDINA,1,0,
1969,K-Arcy Corp.,Allegany,ALMA,RICHBURG,0,0,OB
1995,"Woodward Pipeline, Inc.",Erie,EDEN,MEDINA,22,0,GK
1986,Walker Exploration & Production Corp.,Chautauqua,FRENCH CREEK,MEDINA,3,5,GH
1996,"Trahan Petroleum, Inc.",Chautauqua,HARMONY,MEDINA,18,4,"GH,GK"
1994,"Jennings, Alfred",Allegany,AMITY,SCIO,0,0,OC
1993,U S Energy Development Corp.,Chautauqua,WESTFIELD,MEDINA,9,0,GH
1982,"Carlson,  Roger M.",Chautauqua,BUSTI,GLADE,0,0,
1993,"Copper Ridge Oil, Inc.",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1982,"Consolidated Exploration  & Gathering, Inc.",Cayuga,SPRINGPORT,MEDINA,4,0,GX
1993,"Bouquin, Fred C Jr",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1987,Silver Creek Drilling Corp.,Livingston,AVON,MEDINA,14,2,GX
1994,"Jennings, Edward M.",Allegany,SCIO,RICHBURG,0,0,
1995,"Lenape Resources, Inc.",Livingston,CALEDONIA,MEDINA,37,0,GI
1972,Consolidated Gas Supply Corp.,Wyoming,COVINGTON,MEDINA,1,0,GX
1988,"American Penn Energy,  Inc.",Erie,NORTH COLLINS,MEDINA,2,0,GK
1996,"J & J Realty, Inc.",Erie,NORTH COLLINS,MEDINA,1,0,GK
1984,Estate of Edward Eckstrom,Chautauqua,JAMESTOWN,GLADE,0,0,OB
1983,Nuwest Venture Capital Ltd,Allegany,WIRT,RICHBURG,0,0,
1984,Gypsum Energy Management Co.,Wyoming,BENNINGTON,MEDINA,22,0,"GH,GR"
1972,"Hopkins, Angela",Allegany,BOLIVAR,RICHBURG,0,0,OB
1986,"Subsea Oil & Gas, Inc.",Erie,BRANT,MEDINA,1,0,"GK,GX"
1979,"W.H. Larson, Inc.",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,"GT,OA"
1987,"Frey Well Drilling, Inc.",Erie,ELMA,MEDINA,1,0,GK
1968,Iroquois Gas Corp.,Allegany,INDEPENDENCE,ORISKANY,2,4,GX
1988,"Kayak Gas & Oil Co.,  Inc.",Erie,EVANS,MEDINA,5,2,GK
1998,"Bottita, Benny A. Jr. & Bottita, Sharon A.",Chautauqua,VILLENOVA,MEDINA,1,0,
1999,Symbol Oil Corp.,Genesee,PEMBROKE,MEDINA,4,0,GK
1995,"Stedman Energy, Inc.",Chautauqua,BUSTI,MEDINA,13,0,"GH,GK"
1997,"Joyce, Christine M.",Allegany,ANDOVER,FULMER VALLEY,0,0,OD
1986,"Torrey, Richard",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,OC
1991,"Chloride Power Electronic, Inc.",Livingston,CALEDONIA,MEDINA,2,0,
1996,"Nagel, Arthur F. & Elaine L.",Chautauqua,VILLENOVA,MEDINA,0,1,
1975,National Fuel Gas Supply Corp.,Erie,NORTH COLLINS,MEDINA,3,0,
1986,Gypsum Energy Management Co.,Genesee,OAKFIELD,MEDINA,1,0,"GR,GX"
1986,"Envirogas, Inc.",Cattaraugus,EAST OTTO,MEDINA,1,0,"GK,GX"
1995,Belden & Blake Corporation,Erie,BRANT,MEDINA,6,0,GX
1999,"Niefergold, Martin L.& Suzanne",Erie,NORTH COLLINS,MEDINA,1,0,
1972,"Cusimano, Sam",Chautauqua,BUSTI,GLADE,0,0,OB
1995,"Ruch, Jack E.",Chautauqua,WESTFIELD,MEDINA,1,0,
1990,"Hess, Lester H",Allegany,INDEPENDENCE,FULMER VALLEY,2,0,
1997,Perry Energy II,Wyoming,PERRY,MEDINA,1,0,
1996,"Hogan Energy, Inc.",Allegany,GENESEE,RICHBURG,0,0,
1996,"Tenpas, Harold R.",Chautauqua,SHERMAN,MEDINA,1,0,
1998,"Thompson, Stanley",Chautauqua,BUSTI,GLADE,0,0,OD
1992,"Blanke, Richard L",Wyoming,PAVILION,MEDINA,1,0,
1994,"Griffith, Alvin H",Chautauqua,ELLICOTT,ONONDAGA,1,0,
1982,"Eclipse Management Assoc., Inc",Chautauqua,MINA,MEDINA,5,0,GK
1983,"Tony's, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,
1969,"Hodges, Michael W.",Cayuga,CATO,TRENTON,0,1,
1994,Alden Central School District,Erie,ALDEN,MEDINA,1,0,
1996,"Oil, Gas & Land Services, Inc.",Chautauqua,CHARLOTTE,MEDINA,4,1,GH
1979,National Fuel Gas Supply Corp.,Cattaraugus,OLEAN,BRADFORD,0,0,OA
1977,"Cline, Willard M",Cattaraugus,CARROLLTON,BRADFORD,0,0,
1990,"Empire Exploration, Inc.",Cattaraugus,OTTO,MEDINA,0,1,
1997,Perry Energy II,Wyoming,PERRY,MEDINA,1,0,GP
1995,"Gorveland Drilling, Inc.",Livingston,WEST SPARTA,MEDINA,1,0,
1983,"Fairmont Oil Co., Inc.",Allegany,RUSHFORD,MEDINA,0,2,
1994,"Ebenezer Oil Co., Inc.",Allegany,ANDOVER,FULMER VALLEY,0,0,OC
1988,Petroleum Security Corp.,Genesee,DARIEN,MEDINA,38,17,"GK,GN"
1989,Arcata Graphics Buffalo,Erie,LANCASTER,MEDINA,0,3,
1994,"Pan Energy Company, Inc.",Erie,ORCHARD PARK,MEDINA,1,0,GK
1981,Alumax  Inc.,Chautauqua,DUNKIRK,MEDINA,1,0,
1973,"Ebenezer Oil Co., Inc.",Allegany,BOLIVAR,RICHBURG,0,0,OB
1996,"Crist, George",Allegany,SCIO,RICHBURG,0,0,OC
1986,"White, William J",Allegany,BOLIVAR,BRADFORD,0,0,OB
1984,"Doran & Associates, Inc.",Chautauqua,WESTFIELD,MEDINA,1,0,GK
1989,"Van Dette,  Albert",Chautauqua,STOCKTON,MEDINA,0,1,
1980,Annex Oil Co.,Allegany,CLARKSVILLE,CLARKSVILLE,0,0,
1984,"Suozzi, Daniel",Erie,AURORA,MEDINA,3,0,GK
1997,"Weil Resources, Inc.",Cattaraugus,EAST OTTO,MEDINA,0,2,
1986,"Templeton Energy,  Inc.",Chautauqua,POMFRET,MEDINA,67,0,GK
1990,"Envirogas, Inc.",Chautauqua,ELLINGTON,MEDINA,32,0,GH
1989,Fault Line Oil Corporation,Cattaraugus,YORKSHIRE,MEDINA,10,8,GX
1973,"Conkling, Robert A.",Cattaraugus,ALLEGANY,,0,0,
1976,Kinley Oil & Gas Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,0,"OA,OB"
1996,"Ardent Resources, Inc.",Yates,TORREY,QUEENSTON,1,0,GZ
1992,"Evinczik, Paul M.",Chautauqua,BUSTI,GLADE,0,0,
1985,"Envirogas, Inc.",Chautauqua,FRENCH CREEK,MEDINA,50,3,"GH,GQ"
1994,Meridian Exploration Corp.,Seneca,FAYETTE,QUEENSTON,42,0,GC
1998,"Wightman, Gerald",Allegany,WIRT,RICHBURG,0,0,OA
1987,Estate of Thomas G. Louser,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1997,"Harriger, Earl",Allegany,BOLIVAR,RICHBURG,0,0,OX
1991,"Emke, Diane",Chautauqua,VILLENOVA,MEDINA,1,0,
1984,Villafrank & Wells,Chautauqua,CHAUTAUQUA,MEDINA,2,0,GK
1995,Seneca Resources Corporation,Chautauqua,STOCKTON,UPPER DEVONIAN,1,0,GK
1994,Columbia Natural Resources  LLC,Steuben,PULTENEY,BLACK RIVER,0,1,
1982,Le Roy Central School,Genesee,LE ROY,MEDINA,2,0,
1993,"GH Graf Realty Corp., Inc.",Chautauqua,DUNKIRK,MEDINA,0,1,
1999,Penn York Drilling Co.,Delaware,HANCOCK,,0,1,
1979,Wyckoff Development Co.,Steuben,JASPER,ORISKANY,1,1,GK
1997,"Dust Bowl Oil Company, Inc.",Allegany,WIRT,RICHBURG,0,0,
1997,"Industrial Patterns, Inc.",Allegany,GENESEE,RICHBURG,1,0,
1992,"Chautauqua Energy, Inc.",Chautauqua,WESTFIELD,MEDINA,35,0,GA
1981,National Fuel Gas Supply Corp.,Erie,WALES,MEDINA,1,0,
1974,Lenco Drilling Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OC
1994,"Subsea Oil & Gas, Inc.",Erie,BRANT,MEDINA,12,0,GK
1995,Degitz-Stevenson Financial Security Partnership,Cattaraugus,CARROLLTON,BRADFORD,0,0,OA
1988,Escolarite & Co.,Chautauqua,POMFRET,MEDINA,2,0,GK
1978,"Jennings, Earl",Allegany,WIRT,RICHBURG,0,0,OB
1972,"Allen, Lillian B",Allegany,,FULMER VALLEY,0,0,OX
1990,"Kidder Exploration, Inc.",Chautauqua,POLAND,MEDINA,10,0,GK
1969,"Zink,  Howard H.",Cattaraugus,,CHIPMUNK,0,0,OA
1981,D & D Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,
1993,"Texas Keystone, Inc.",Cattaraugus,DAYTON,MEDINA,1,0,GK
1990,"Carls, Kevin D",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1973,Bucher Brothers,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1999,Seneca Resources Corporation,Cattaraugus,PERSIA,MEDINA,5,2,GK
1981,"Dedrick, Douglas",Erie,AURORA,MEDINA,1,1,GK
1986,"Union Drilling,  Inc.",Seneca,VARICK,QUEENSTON,3,0,GX
1997,"Oil, Gas & Land Services, Inc.",Chautauqua,ELLERY,MEDINA,13,1,GH
1978,Columbia Gas Transmission Corp.,Allegany,SCIO,ORISKANY,1,1,
1986,"Templeton Energy,  Inc.",Chautauqua,ARKWRIGHT,MEDINA,2,0,"GK,GX"
1977,"Christman, Raymond L.",Allegany,,FULMER VALLEY,0,0,OB
1990,TGX Corp.,Chautauqua,HANOVER,MEDINA,32,0,GK
1985,Clarion Oil & Gas Corp.,Chautauqua,DUNKIRK,MEDINA,3,0,GK
1996,"BDH Oil, Inc.",Cattaraugus,OLEAN,BRADFORD THIRD,0,0,OC
1976,United States Gypsum Co.,Genesee,BATAVIA,MEDINA,0,1,
1990,National Fuel Gas Supply Corp.,Ontario,WEST BLOOMFIELD,MEDINA,1,0,GK
1995,"Matrix Energy Development, Inc.",Erie,ELMA,MEDINA,1,0,GK
1998,Lundberg-Gilmore Delores,Cattaraugus,OLEAN,BRADFORD,0,0,OA
1985,"American Penn Energy,  Inc.",Chautauqua,ELLERY,MEDINA,6,2,GH
1997,Seneca Resources Corporation,Chautauqua,CLYMER,ONONDAGA,0,0,OA
1982,Flanigan Brothers,Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1973,Norris Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1992,"Weil Resources, Inc.",Erie,AURORA,MEDINA,5,0,GK
1999,"Overbagh, Malcolm & Sharon",Chautauqua,SHERMAN,MEDINA,1,0,
1986,"Union Drilling,  Inc.",Seneca,VARICK,QUEENSTON,2,0,GX
1983,"Envirogas, Inc.",Cattaraugus,COLD SPRING,MEDINA,0,2,
1982,Trison Petroleum Corp.,Erie,ORCHARD PARK,MEDINA,1,0,GK
1988,"Eastern States Energy, Inc.",Erie,HAMBURG,MEDINA,2,0,"GK,GX"
1996,"Nerreter, Eleanor G",Erie,ORCHARD PARK,MEDINA,0,2,
1984,Chautauqua Lake Central School District,Chautauqua,CHAUTAUQUA,MEDINA,1,0,
1989,"Thompson, Stanley",Chautauqua,WESTFIELD,MEDINA,5,0,GX
1992,"Engx, Inc.",Chautauqua,ELLICOTT,MEDINA,2,0,GK
1985,"Winter's Railroad Service, Inc",Erie,NORTH COLLINS,MEDINA,2,0,
1990,"Kayak Gas & Oil Co.,  Inc.",Erie,EVANS,MEDINA,4,2,GK
1984,"Eclipse Energy Company, LLC",Erie,EDEN,MEDINA,3,0,GK
1995,Seneca Resources Corporation,Allegany,INDEPENDENCE,PENNY & FULMER VALLEY,0,4,
1981,Van Scoter & Van Scoter,Cattaraugus,CARROLLTON,BRADFORD,0,0,OB
1996,Benson Oil Co.,Allegany,GENESEE,RICHBURG,0,1,
1986,Shawnee Operating Co.,Erie,BRANT,MEDINA,18,1,GU
1984,"Templeton Energy,  Inc.",Cattaraugus,OTTO,MEDINA,6,0,GK
1999,Collins Oil Co.,Allegany,BOLIVAR,RICHBURG,0,0,
1999,"Davis, Roy C. Jr.",Steuben,CAMERON,ORISKANY,1,0,
1985,"Eliskim, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,
1975,"Flint Oil & Gas, Inc.",Chautauqua,ELLERY,MEDINA,3,0,GK
1988,Akron Energy,Erie,NEWSTEAD,MEDINA,1,0,GX
1976,N.Y. Petro-Min Corp.,Cattaraugus,,,0,0,
1985,Dominion Energy Corp.,Erie,HAMBURG,MEDINA,2,0,GK
1996,"Yotpolis, Paul J.",Chautauqua,MINA,MEDINA,1,0,
1984,Hopewell Oil Co.,Allegany,WIRT,,0,0,OB
1989,"Newman, Edgar F",Yates,BENTON,QUEENSTON,0,1,
1992,"Buss, Morton K.",Chautauqua,WESTFIELD,MEDINA,1,0,
1986,"Lenape Resources Corp., The",Wyoming,PERRY,MEDINA,13,0,GK
1995,Messer Oil Corp.,Cattaraugus,ALLEGANY,BRADFORD,0,1,
1995,Pine Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OC
1985,"Jennings, Earl",Allegany,WIRT,RICHBURG,0,0,OB
1990,"Lischer, Donald A",Erie,ELMA,MEDINA,1,0,GK
1993,Columbia Natural Resources  LLC,Chautauqua,CARROLL,MEDINA,1,0,GH
1990,"Bath, Village of",Steuben,BATH,MARCELLUS,3,0,
1990,Cabot Oil & Gas Corp.,Cattaraugus,SOUTH VALLEY,MEDINA,1,0,GX
1997,Emerald Oil Company,Cattaraugus,FARMERSVILLE,UPPER DEVONIAN,0,0,OD
1974,National Fuel Gas Supply Corp.,Erie,NORTH COLLINS,AKRON,20,2,
1974,National Fuel Gas Supply Corp.,Chautauqua,PORTLAND,MEDINA,1,0,
1970,"Madison,  Neil F.",Cattaraugus,ALLEGANY,BRADFORD,0,0,OA
1989,"SCG Gas Quest, Inc.",Erie,EDEN,MEDINA,33,0,"GK,GQ"
1987,"Mansour, Robert L",Cattaraugus,OLEAN,BRADFORD,0,0,OA
1984,"Exchange Oil & Gas,  Inc.",Cattaraugus,ALLEGANY,BRADFORD,0,0,OB
1992,"Texas Keystone, Inc.",Cattaraugus,OTTO,MEDINA,40,0,GK
1991,Texas Meridian Operating Co.,Chautauqua,HANOVER,MEDINA,3,0,GX
1986,"Doran & Associates, Inc.",Chautauqua,CLYMER,MEDINA,18,0,GH
1972,"Birtcil, Harold W.",Allegany,,RICHBURG,0,0,
1994,"Bounty Holdings, Incorporated",Chautauqua,BUSTI,MEDINA,4,3,GK
1987,"Vossler, Merritt",Allegany,ALMA,RICHBURG,0,0,
1992,Waste Water Treatment Plant,Chautauqua,DUNKIRK,MEDINA,1,0,
1982,"Thompson, Kenneth L",Erie,CLARENCE,MEDINA,1,0,
1993,"Weil Resources, Inc.",Erie,AURORA,ONONDAGA,3,0,GK
1997,"McCool, John E.",Chautauqua,CARROLL,MEDINA,10,0,GH
1995,"Chase, Ronald E. & Karen V.",Cattaraugus,DAYTON,MEDINA,1,0,
1995,"Coats, Quentin I,DurwoodDEC'd",Allegany,ALMA,RICHBURG,0,0,
1977,Millar Supply Co.,Cayuga,,,0,0,
1979,"Fords Brook, Inc.",Allegany,ALMA,RICHBURG,0,0,GX
1971,Iroquois Gas Corp.,Genesee,PAVILION,MEDINA,1,1,GX
1974,National Fuel Gas Supply Corp.,Steuben,WEST UNION,ORISKANY,0,1,
1986,"Lenape Resources Corp., The",Wyoming,COVINGTON,MEDINA,5,0,GK
1977,"Kabel, Ruth, G.",Erie,ORCHARD PARK,MEDINA,0,16,GK
1990,"Chautauqua Natural Gas Co., Inc",Chautauqua,VILLENOVA,MEDINA,3,1,GK
1999,Schreiner Oil and Gas Inc.,Chautauqua,WESTFIELD,MEDINA,15,0,GX
1973,Pennzoil Products Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,
1980,Fea Gas Co.,Chautauqua,SHERIDAN,MEDINA,1,0,GK
1996,"GFS Energy, Inc.",Chautauqua,GERRY,BASS ISLAND,0,0,"GK,OC"
1996,Benson Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1999,CNG Transmission Corp.,Seneca,WATERLOO,NIAGARA,1,0,
1991,CNG Transmission Corp.,Livingston,LEICESTER,MEDINA,1,2,GX
1986,"Dunkirk, City School District",Chautauqua,DUNKIRK,MEDINA,1,0,
1975,"Sherwood, Helen",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OB
1994,"Cordova Resources, Inc.",Chautauqua,DUNKIRK,MEDINA,0,1,
1986,Walker Exploration & Production Corp.,Chautauqua,WESTFIELD,MEDINA,3,0,GK
1997,"Harris, William",Genesee,PAVILION,MEDINA,1,0,
1989,Union Springs School District,Cayuga,SPRINGPORT,QUEENSTON,2,0,
1996,"Subsea Oil & Gas, Inc.",Erie,EVANS,MEDINA,6,0,GK
1994,"Rochez, Mary B.",Cattaraugus,PERRYSBURG,AKRON,1,0,
1974,Estate of George M. Lynch,Allegany,,FULMER VALLEY,1,0,
1981,"Aurelius Gas Company, Inc.",Cayuga,AURELIUS,MEDINA,15,4,GX
1969,"Pecora, Stanley E. Jr.",Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OC
1986,"Templeton Energy,  Inc.",Chautauqua,ARKWRIGHT,MEDINA,25,0,"GK,GX"
1996,"Perry, Gerald W",Allegany,ANDOVER,PENNY,1,0,
1982,"Edwards, Nathan B Jr",Steuben,WEST UNION,FULMER VALLEY,0,0,OB
1999,"J M Resources, Inc.",Chautauqua,ARKWRIGHT,MEDINA,0,1,
1990,Greene Oil Co.,Allegany,BOLIVAR,,0,0,
1984,National Fuel Gas Supply Corp.,Cattaraugus,DAYTON,MEDINA,4,1,
1995,L. W. Resources,Chautauqua,BUSTI,MEDINA,0,1,
1983,Empex Natural Gas Corp.,Steuben,HORNBY,,0,1,
1991,Pennsylvania General Energy,Cattaraugus,OLEAN,CHIPMUNK,0,0,OB
1999,"Stiegler, Daniel M.",Erie,CHEEKTOWAGA,MEDINA,1,0,
1982,National Fuel Gas Supply Corp.,Ontario,RICHMOND,MEDINA,1,1,
1982,P & G Oil Co.,Allegany,WILLING,RICHBURG,0,2,OB
1995,"Dunbar, Helen A.",Seneca,VARICK,QUEENSTON,1,0,
1987,"Heintz Gas & Oil Co., Inc.",Chautauqua,SHERIDAN,MEDINA,3,0,GK
1997,"Alden Aurora Gas Co.,  Inc.",Genesee,DARIEN,MEDINA,1,0,GX
1986,"Campbell, Mott",Allegany,SCIO,RICHBURG,0,0,OB
1986,"Eclipse Management Assoc., Inc",Chautauqua,HARMONY,MEDINA,3,0,GH
1996,"Universal Resources Holdings, Incorporated",Chautauqua,RIPLEY,MEDINA,11,0,GK
1984,"Slater, Patricia A.",Erie,ALDEN,MEDINA,0,1,
1973,"Seaport Natural Gas Co., Inc.",Erie,EVANS,MEDINA,2,0,GX
1994,"Thompson, Kenneth L",Erie,CLARENCE,MEDINA,1,0,
1988,U S Energy Development Corp.,Chautauqua,GERRY,MEDINA,16,10,"GH,GK"
1978,Oilmark & Co.,Chautauqua,DUNKIRK,MEDINA,0,7,
1996,"Johnston, Robert, A.",Cattaraugus,DAYTON,MEDINA,2,0,GX
1982,"Chautauqua Energy, Inc.",Chautauqua,SHERMAN,MEDINA,0,9,
1979,Sprague Oil Co.,Allegany,,,0,0,
1980,Dunning Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OB
1987,"Slater, Patricia A.",Erie,ALDEN,MEDINA,0,1,
1993,Altimus & Associates,Chautauqua,HANOVER,MEDINA,5,0,GK
1994,"Trahan Petroleum, Inc.",Cattaraugus,CONEWANGO,MEDINA,3,1,GH
1996,"Ardent Resources, Inc.",Wyoming,COVINGTON,MEDINA,1,2,GI
1987,"O'Shanter Resources,  Inc.",Chautauqua,HARMONY,MEDINA,2,0,GH
1984,"Densmore, Winfield F. & Debra",Chautauqua,BUSTI,MEDINA,1,0,
1975,"Cady, Merle E.",Chautauqua,SHERMAN,MEDINA,0,0,
1990,Benson Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1988,Villafrank & Wells,Chautauqua,CHAUTAUQUA,MEDINA,3,0,GX
1991,"Eclipse Management Assoc., Inc",Chautauqua,SHERIDAN,MEDINA,8,0,GK
1984,Goldenrod Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,
1980,Aurora Gas Drilling Associates,Genesee,DARIEN,MEDINA,3,0,GN
1995,Cunningham Natural Gas Corp.,Onondaga,CAMILLUS,,0,1,
1986,"St Columbans On The Lake, Inc.",Chautauqua,HANOVER,MEDINA,1,0,
1993,National Fuel Gas Supply Corp.,Genesee,DARIEN,MEDINA,7,0,GK
1990,"Leroy, Village of",Genesee,PAVILION,MEDINA,1,0,
1972,Knapps Creek Oil Co.,Cattaraugus,,BRADFORD,0,0,OA
1991,Meridian Exploration Corp.,Chautauqua,POMFRET,MEDINA,2,1,GX
1988,Norris Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1997,Belden & Blake Corporation,Chautauqua,CHARLOTTE,BASS ISLAND,2,0,GH
1998,Panama Central School District,Chautauqua,HARMONY,MEDINA,1,0,
1980,"Amarex, Inc.",Cattaraugus,OTTO,MEDINA,8,0,GK
1988,Columbia Natural Resources  LLC,Steuben,PULTENEY,BLACK RIVER,0,1,
1982,K G Gas Co.,Erie,MARILLA,MEDINA,1,0,GK
1983,"Bellows, Herbert & Nellie",Allegany,WELLSVILLE,FULMER VALLEY,0,0,
1997,Symbol Oil Corp.,Erie,HAMBURG,MEDINA,1,0,GK
1993,"Country Side Sand & Gravel, Inc",Cattaraugus,DAYTON,MEDINA,1,0,
1988,"Elcoex, Inc.",Madison,LEBANON,OSWEGO,0,1,
1994,"Fitzgerald, Thomas J.",Allegany,CLARKSVILLE,RICHBURG,1,3,GX
1990,"J M Resources, Inc.",Chautauqua,RIPLEY,MEDINA,2,0,GK
1986,"Lenape Resources Corp., The",Livingston,CALEDONIA,MEDINA,10,0,GK
1987,A. J. Lease Account,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,
1992,"Matrix Energy Development, Inc.",Chautauqua,POMFRET,MEDINA,0,2,
1993,"Burley, Clair I.",Wyoming,WARSAW,MEDINA,1,0,
1997,"Stephan, Phillip D.",Cattaraugus,ALLEGANY,BRADFORD,0,0,OD
1989,D & C Energy Iv,Chautauqua,WESTFIELD,MEDINA,3,0,GK
1987,National Fuel Gas Supply Corp.,Erie,ELMA,MEDINA,1,0,GK
1987,"Frey Well Drilling, Inc.",Erie,ALDEN,MEDINA,2,0,"GK,GX"
1997,Sherman Oil Co.,Allegany,GENESEE,RICHBURG,0,0,OD
1991,Texas Meridian Operating Co.,Chautauqua,ELLERY,MEDINA,1,1,GX
1982,C L Haines Mfg Co.,Steuben,AVOCA,MARCELLUS,2,0,
1985,Ginell Oil & Gas Association.,Erie,HAMBURG,MEDINA,4,0,GK
1986,Norris Oil Co.,Cattaraugus,ALLEGANY,CHIPMUNK,0,0,OA
1995,Libra Petroleum Company,Chautauqua,BUSTI,GLADE,68,6,OC
1990,"Tony's, Inc.",Chautauqua,DUNKIRK,MEDINA,1,0,
1989,"Appalachian Energy, Inc.",Chautauqua,BUSTI,MEDINA,5,8,GH
1999,National Fuel Gas Supply Corp.,Chautauqua,HANOVER,MEDINA,0,1,
1983,"Call Farms, Inc.",Genesee,BATAVIA,MEDINA,2,3,
1984,Thomas A Miller Oil Co.,Cattaraugus,ALLEGANY,BRADFORD,0,0,OB
1995,"Preferred Products, Inc",Cattaraugus,CARROLLTON,CHIPMUNK,0,0,
