OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
04/09/2020,2020,999,Other/Miscellaneous,Books/Magazines & Directory Publishers,Angie's List,Indianapolis,IN,46202    
08/11/2014,2014,19,Inadequate Disclosure,Retail Sales,,Tukwila,WA,98118    
01/17/2020,2020,999,Other/Miscellaneous,Telecommunications,Sprint Executive Services,Irving,TX,75016    
02/13/2018,2018,999,Other/Miscellaneous,Educational Services,,Mercer Island,WA,98040    
08/17/2016,2016,999,Other/Miscellaneous,Telecommunications,Frontier Communications,Everett,WA,98201    
12/13/2019,2019,999,Other/Miscellaneous,Telecommunications,CenturyLink,Spokane,WA,99208    
08/30/2016,2016,318,Charge:Service Not Performed/Product not delivered,Contractors, Unknown,,  ,         
01/28/2015,2015,444,Foreclosure Issue,Mortgage Lending,Ocwen Loan Servicing LLC / Ocwen Financial Corporation,Orlando,FL,32878-5061
11/06/2020,2020,203,Internet & Mobile device based transaction,"Electronic Equip., Appliance & Component Mfg'ring ",Dyson Inc,Chicago,IL,60607    
05/24/2018,2018,999,Other/Miscellaneous,Electronic Shopping,,Wilmington,DE,19809    
05/03/2013,2013,641,Failed communication attempts,MHU Use Only - MH landlord,Robin Lane Mobile Home Park,Mercer Island,WA,98040    
08/22/2018,2018,203,Internet & Mobile device based transaction,"Admin. & support services (office admin., faciliti",GNR Media LLC dba driverslicenseassistance.org,Greenville,SC,29615    
03/15/2013,2013,301,Failure To Deliver/Perform,Auto Sales,Gilbert Ford,Moscow,ID,83843    
03/27/2020,2020,999,Other/Miscellaneous,Retail Sales,"Soulbound Studios, LLC",Issaquah,WA,98029-6245
05/20/2013,2013,320,Unsatisfactory Repair/Service,Government Agencies,Washington State Department of Social and Health Services,Olympia,WA,98504-4513
07/02/2020,2020,13,Misrepresentation of product or service,Contractors,Renewal by Andersen Window Replacement,Seattle,WA,98108    
05/23/2016,2016,317,Charge Above Estimate,Security Systems (including locksmiths),ADT Security/Protection One Alarm Services,Boca Raton,FL,33431    
05/17/2018,2018,203,Internet & Mobile device based transaction,Electronic Shopping,,Olympia,WA,98501    
04/07/2014,2014,404,Collection Practices,Financing,Santander Consumer USA,North Richland Hills,TX,76180    
09/19/2018,2018,320,Unsatisfactory Repair/Service,Auto Sales,Rairdon's Subaru of Auburn,Auburn,WA,98002    
03/22/2019,2019,642,Landlord/Tenant - Residential,Residential Landlord,,Sumner,WA,98390    
08/20/2018,2018,999,Other/Miscellaneous,Electronic Shopping,,New York,NY,10001    
09/14/2020,2020,301,Failure To Deliver/Perform,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
04/18/2014,2014,316,Billing Issues,Utilities,Public Utility District 1 - Jefferson County,Port Hadlock,WA,98339    
11/08/2019,2019,22,Failure To Adjust/Refund,Auto Sales,TractorCo,Thorp,WA,98946    
11/18/2020,2020,999,Other/Miscellaneous,Auto Sales,Car Craft Auto Sales,Lynnwood,WA,98036    
07/20/2020,2020,516,Failure To Provide Title/Registration,Auto Repair,LSK Auto Repair & Sales,Seattle,WA,98118    
03/27/2018,2018,303,Questionable Quality Product/Service,Insurance,Ambetter from Coordinated Care,Tacoma,WA,98402    
12/11/2014,2014,316,Billing Issues,Broadband Providers,Comcast,Fife,WA,98424    
06/30/2020,2020,301,Failure To Deliver/Perform,Electronic Shopping,,Wixom,MI,48393-2099
08/25/2016,2016,320,Unsatisfactory Repair/Service,Broadband Providers,Comcast,Fife,WA,98424    
06/22/2016,2016,206,Right To Cancel,Security Systems (including locksmiths),ADT Security/Protection One Alarm Services,Boca Raton,FL,33431    
04/25/2016,2016,998,Governement agency complaint,Government Agencies,Social Security Administration,Baltimore,MD,21235    
10/29/2014,2014,61,Phishing,Spyware and Malware,Windows Service Center,,  ,         
02/28/2013,2013,104,Non-Fulfillment,Credit Counseling,,Irvine,CA,92606    
05/08/2013,2013,303,Questionable Quality Product/Service,Retail Sales,Sleep Train fka Sleep Country USA,,WA,         
06/04/2014,2014,7,Warranty,"Electronic Equip., Appliance & Component Mfg'ring ",Day and Night/Discount Heating and Cooling,Spanaway,WA,98387    
03/11/2015,2015,446,Third-Party Loan Modification Issue,Mortgage Lending,PHH Mortgage,Mount Laurel,NJ,08054-4637
04/01/2021,2021,13,Misrepresentation of product or service,Broadband Providers,"Online Marketing Pros, LLC dba OMP",West Linn,OR,97068-9676
04/29/2019,2019,638,Utilities,MHU Use Only - MH landlord,Cascade Park Village,Vancouver,WA,98660    
02/06/2013,2013,58,Telemarketing,Telemarketing,"CALLERID4U, Inc",Seattle,WA,98104    
03/15/2016,2016,26,Advertising,Health Care,,Batle Ground,WA,98604    
11/20/2020,2020,13,Misrepresentation of product or service,Auto Sales,Burien Nissan,Burien,WA,98148    
04/17/2017,2017,100,Misrepresentation of Terms,Broadband Providers,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
06/24/2016,2016,999,Other/Miscellaneous,Collections,MCM / Midland Credit Management,San Diego,CA,92123    
07/09/2015,2015,320,Unsatisfactory Repair/Service,Broadband Providers,Comcast,Fife,WA,98424    
12/02/2013,2013,303,Questionable Quality Product/Service,Computer Manufacturing,Hewlett Packard/HP,Palo Alto,CA,94304-1185
08/14/2014,2014,61,Phishing,Phishing,Unknown - IRS Phishing,,  ,         
05/06/2019,2019,999,Other/Miscellaneous,Auto Sales,Northwest Motorsports,Puyallup,WA,98371    
12/02/2020,2020,203,Internet & Mobile device based transaction,Broadband Providers,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
08/19/2013,2013,61,Phishing,Commercial Banking,MetaBank / Meta-Bank,Sioux Falls,SD,57101    
05/26/2015,2015,316,Billing Issues,Travel,Expedia,Bellevue,WA,98004    
02/06/2017,2017,443,Foreclosure Escalation,Mortgage Lending,Bank of America NA,Newark,DE,19713    
09/25/2014,2014,7,Warranty,Auto Repair,Aamco Transmission,Horsham,PA,19044    
09/01/2020,2020,612,Duties of Landlord,MHU Use Only - MH landlord,Rain Forest Mobile Home Park,Sequim,WA,98382    
05/16/2016,2016,999,Other/Miscellaneous,Broadband Providers,Kreative LLC,Redmond,WA,98052    
08/18/2016,2016,999,Other/Miscellaneous,Health Care,UW Medicine,Seattle,WA,98145-5095
07/20/2020,2020,999,Other/Miscellaneous,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
12/19/2017,2017,316,Billing Issues,Health Care,,Tacoma,WA,98405    
09/12/2019,2019,316,Billing Issues,Telecommunications,AT&T Mobility,Dallas,TX,75202    
02/08/2013,2013,320,Unsatisfactory Repair/Service,"Automotive Rental & Leasing (includes cars, trucks",,,WA,         
10/06/2016,2016,316,Billing Issues,Telecommunications,CenturyLink,Spokane,WA,99208    
05/14/2015,2015,61,Phishing,Phishing,Unknown - IRS Phishing,,  ,         
07/26/2013,2013,316,Billing Issues,"Electric Power Generation, Transmission & Distribu",Puget Sound Energy,Bellevue,WA,98009-9269
09/12/2017,2017,999,Other/Miscellaneous,Credit Reporting & Related Activities,,Atlanta,GA,30348    
08/02/2016,2016,999,Other/Miscellaneous,Telecommunications,YP.com,Pasadena,CA,91189-1141
01/06/2020,2020,999,Other/Miscellaneous,Contractors,Puget Sound Restoration Inc,Arlington,WA,98223    
06/13/2018,2018,998,Governement agency complaint,Insurance,Medicare,Lawrence,KS,66044    
10/23/2015,2015,316,Billing Issues,Broadband Providers,DIRECTV,Dallas,TX,75202    
11/14/2018,2018,222,Advance Fee Fraud,Unclassified Establishments, Unknown,,  ,         
01/14/2013,2013,508,Unordered/Unsolicited Merchandise,Collections,,Cleveland,OH,44122-5662
11/19/2015,2015,998,Governement agency complaint,Government Agencies,Department of Fish & Wildlife,Olympia,WA,98501-1091
03/09/2016,2016,444,Foreclosure Issue,Mortgage Lending,PHH Mortgage fka Ocwen Loan Servicing LLC,Mount Laurel,NJ,08054    
11/03/2014,2014,320,Unsatisfactory Repair/Service,Auto Sales,Alan Webb Auto Group,Vancouver,WA,98662    
12/10/2020,2020,999,Other/Miscellaneous,Website Design,,La Jolla,CA,92037    
04/03/2020,2020,301,Failure To Deliver/Perform,Software Publishers,"Soulbound Studios, LLC",Issaquah,WA,98029-6245
10/14/2015,2015,58,Telemarketing,Telemarketing, Unknown,,  ,         
03/06/2020,2020,996,COVID-19,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
03/07/2016,2016,316,Billing Issues,Telecommunications,CenturyLink,Spokane,WA,99208    
09/28/2017,2017,999,Other/Miscellaneous,Credit Reporting & Related Activities,,Chester,PA,19022    
05/16/2013,2013,58,Telemarketing,Telemarketing,"CALLERID4U, Inc",Seattle,WA,98104    
01/22/2021,2021,999,Other/Miscellaneous,"Admin. & support services (office admin., faciliti",WA Certificate Service,Lacey,WA,98516    
07/23/2013,2013,316,Billing Issues,Telecommunications,T-Mobile,Albuquerque,NM,87176    
08/24/2016,2016,214,Crowdfunding,Electronic Shopping,Sqigle Inc,Seattle,WA,98104    
06/20/2017,2017,999,Other/Miscellaneous,Broadband Providers,Comcast,Fife,WA,98424    
08/07/2018,2018,999,Other/Miscellaneous,Telecommunications,Sprint Executive Services,Irving,TX,75016    
08/02/2016,2016,999,Other/Miscellaneous,Broadband Providers,Comcast,Fife,WA,98424    
11/07/2013,2013,320,Unsatisfactory Repair/Service,Credit Counseling,,Atlanta,GA,30328    
09/25/2015,2015,13,Misrepresentation of product or service,Automobile Manufacturing,Volkswagen of America,Auburn Hills,MI,48309    
06/22/2018,2018,999,Other/Miscellaneous,Auto Repair,Meineke Car Care Corporate,Charlotte,NC,28202    
05/12/2021,2021,999,Other/Miscellaneous,Contractors,Master Pool & Spa,Saint Louis Park,MN,55426    
03/21/2014,2014,28,Other Vulnerable Audience Exploitation,Retail Sales,Rhino Distributing,Kirkland,WA,98034    
02/04/2013,2013,26,Advertising,Broadband Providers,Dish Network,Littleton,CO,80120    
10/19/2016,2016,100,Misrepresentation of Terms,Telecommunications,AT&T Mobility,Dallas,TX,75202    
12/26/2014,2014,203,Internet & Mobile device based transaction,Educational Services,,Saratoga Springs,UT,84045-8431
08/24/2020,2020,999,Other/Miscellaneous,Contractors,US Air Ducts & Sky Builders Inc/Ducts Tigers/DLM Services,Lynnwood,WA,98036    
02/03/2017,2017,999,Other/Miscellaneous,Consumer Lending & Transfer Agents,Navient fka Sallie Mae,Wilkes-Barre,PA,18706    
02/04/2015,2015,320,Unsatisfactory Repair/Service,Telecommunications,Sprint Executive Services,Irving,TX,75016    
08/27/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,eBay,San Jose,CA,95125-9855
07/25/2017,2017,998,Governement agency complaint,Government Agencies,,Cle Elum,WA,98922    
08/21/2020,2020,999,Other/Miscellaneous,"Motorcycle, bicycle, & parts Manufacturing",,Murietta,CA,92563    
06/12/2018,2018,206,Right To Cancel,Insurance,Delta Dental,Stevens Point,WI,54481-0103
07/31/2020,2020,999,Other/Miscellaneous,Mortgage Lending,,Kansas City,MO,64131    
11/15/2013,2013,320,Unsatisfactory Repair/Service,Contractors,,San Diego,CA,92101    
10/01/2015,2015,320,Unsatisfactory Repair/Service,Broadband Providers,Impact Rankings dba Direct Web Solutions,Tukwila,WA,98168-4654
04/13/2018,2018,60,Unauthorized Debit,Electronic Shopping,,Walla Walla,WA,99362    
05/04/2016,2016,999,Other/Miscellaneous,Commercial Banking,Boeing Employees Credit Union/BECU,Seattle,WA,98124-9750
07/16/2020,2020,999,Other/Miscellaneous,Electronic & Precision Equip. Repair & Maintenance,,Hayden,ID,83835    
07/24/2020,2020,999,Other/Miscellaneous,Tech Support Scam,Unknown - Technical Support,,  ,         
08/21/2018,2018,999,Other/Miscellaneous,Contractors,,Arlington,WA,98223    
10/21/2020,2020,999,Other/Miscellaneous,Credit Card Issuers,Chase Bankcard Services Inc,Elgin,IL,60123    
04/09/2020,2020,999,Other/Miscellaneous,Couriers & Express Delivery Services,UPS/United Parcel Service,Atlanta,GA,30328    
07/16/2014,2014,516,Failure To Provide Title/Registration,Auto Sales,Tacoma Auto Outlet,Tacoma,WA,98409    
08/06/2020,2020,303,Questionable Quality Product/Service,Travel,Quality Inn & Suites - Kent,Kent,WA,98032    
04/16/2013,2013,320,Unsatisfactory Repair/Service,Water Transportation,Holland America Lines,Seattle,WA,98119    
