County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Erie,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,S3B,G5
Clinton,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,S5,G5
Dutchess,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald's Sedge,S2S3,G5
Hamilton,Animal,Birds,Crows and Jays,Perisoreus canadensis,Gray Jay,S3,G5
Onondaga,Plant,Flowering Plants,Sedges,Carex cryptolepis,Small Yellow Sedge,S3,G4
Wayne,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,S5B,G5
Niagara,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,S5B,G5
Schenectady,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,S5,G5
Genesee,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,S5,G5
Fulton,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Onondaga,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet,S3B,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Vitis vulpina,Winter Grape,S1,G5
Clinton,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,S5B,G5
Cattaraugus,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,S5,G5
Madison,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,S5B,G5
Ontario,Plant,Flowering Plants,Other Flowering Plants,Chaerophyllum procumbens var. procumbens,Spreading Chervil,S1,G5T5
Oswego,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Polygonum tenue,Slender Knotweed,S3,G5
St. Lawrence,Plant,Flowering Plants,Other Flowering Plants,Gentianopsis virgata ssp. virgata,Lesser Fringed Gentian,S1,G5TNRQ
Jefferson,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus olor,Mute Swan,SNA,G5
Livingston,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,S5,G5
Kings,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum concolor var. concolor,Eastern Silvery Aster,SH,G5T5
Rockland,Plant,Flowering Plants,Other Flowering Plants,Ptilimnium capillaceum,Mock Bishopweed,S3,G5
Clinton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,S5B,G5
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,S4,G5
Jefferson,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,S2,G5
Essex,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Allegany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Bronx,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Cirsium altissimum,Tall Thistle,SX,G5
Franklin,Plant,Flowering Plants,Other Flowering Plants,Betula pumila,Swamp Birch,S2,G5
Lewis,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,S5B,G5
Albany,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,S2,G4
Schoharie,Animal,Birds,Owls,Asio otus,Long-eared Owl,"S2S3B,SNRN",G5
Greene,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Putnam,Plant,Flowering Plants,Other Flowering Plants,Endodeca serpentaria,Virginia Snakeroot,S2,G4
Erie,Plant,Flowering Plants,Other Flowering Plants,Angelica venenosa,Hairy Angelica,S1,G5
Rensselaer,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,S5,G5
Warren,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed,S2S3,G5
Cortland,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,S5,G5
Onondaga,Plant,Flowering Plants,Orchids,Cypripedium candidum,Small White Lady's Slipper,S1,G4
Richmond,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen,S3S4,G5
Warren,Animal,Reptiles,Snakes,Thamnophis sirtalis,Common Gartersnake,S5,G5
Ulster,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,S3,G5
St. Lawrence,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Livingston,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Kings,Animal,Reptiles,Lizards,Sceloporus undulatus,Fence Lizard,S1,G5
Otsego,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,S5B,G5
St. Lawrence,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,S5B,G5
Warren,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,S3S4B,G5
Greene,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,S3,G3
Livingston,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,S5,G5
Tompkins,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Fulton,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,S5B,G5
Chenango,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,SNA,GU
Suffolk,Plant,Flowering Plants,Sedges,Eleocharis robbinsii,Robbins Spike Rush,S3,G4G5
Wyoming,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,SNA,G5
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates septentrionalis,Mink Frog,S5,G5
Nassau,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,S1S2,G5
Greene,Animal,Fish,Sturgeons and Paddlefish,Acipenser oxyrinchus,Atlantic Sturgeon,S1,G3
Montgomery,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Warren,Natural Community,Uplands,Barrens and Woodlands,Spruce-fir rocky summit,Spruce-Fir Rocky Summit,S3,G4
Jefferson,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,S5,G5
Washington,Animal,Birds,Larks,Eremophila alpestris,Horned Lark,S3S4B,G5
Columbia,Animal,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake,S4,G5
Queens,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,S5,G5
Oswego,Animal,Reptiles,Snakes,Nerodia sipedon,Northern Watersnake,S5,G5
Queens,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Tompkins,Animal,"Bees, Wasps, and Ants",Bees,Bombus auricomus,Black and Gold Bumble Bee,S1,G4G5
Suffolk,Natural Community,Marine,Marine Subtidal,Marine eelgrass meadow,Marine Eelgrass Meadow,S3,G5
Albany,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler,S4B,G5
Onondaga,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,S5,G5
Chemung,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Limosella australis,Mudwort,S3,G4G5
Washington,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Erie,Plant,Flowering Plants,Sedges,Carex garberi,Elk Sedge,S1,G5
Livingston,Plant,Conifers,Conifers,Juniperus horizontalis,Creeping Juniper,S1,G5
Wayne,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,S5,G5
Tompkins,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Corydalis aurea ssp. aurea,Golden Corydalis,S2,G5T5
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,S3,G4T4
Ulster,Plant,Ferns and Fern Allies,Ferns,Asplenium bradleyi,Bradley's Spleenwort,SH,G4
Chenango,Animal,Reptiles,Snakes,Storeria dekayi,Dekay's Brownsnake,S5,G5
Essex,Plant,Flowering Plants,Other Flowering Plants,Hippuris vulgaris,Mare's Tail,S1,G5
Schuyler,Plant,Flowering Plants,Other Flowering Plants,Rhodiola integrifolia ssp. leedyi,Leedy's Roseroot,S1,G5T1
Allegany,Animal,Birds,Owls,Tyto alba,Barn Owl,S1S2,G5
Sullivan,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,S5B,G5
Schenectady,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,S5B,G5
Monroe,Plant,Flowering Plants,Other Flowering Plants,Sisyrinchium mucronatum,Sharp-tipped Blue-eyed Grass,S1,G5
Washington,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Chautauqua,Plant,Flowering Plants,Other Flowering Plants,Hydrocotyle ranunculoides,Floating Pennywort,S1,G5
Columbia,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,S5,G5
Madison,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,S5,G5
Jefferson,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,S5B,G5
Dutchess,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,S2S3,G3G4
Cayuga,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail,S1B,G4
Lewis,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,S5B,G5
Suffolk,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Egretta thula,Snowy Egret,S2S3,G5
Bronx,Plant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,S3,G5
Ulster,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,S5,G5
Nassau,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,S5B,G5
Tompkins,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. parviflorum,Small Southern Yellow Lady's Slipper,SH,G5T3T5
Monroe,Animal,Birds,Crows and Jays,Corvus ossifragus,Fish Crow,S4,G5
Queens,Animal,Reptiles,Turtles,Graptemys geographica,Common Map Turtle,S3,G5
Orange,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,S5,G5
Genesee,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,S5B,G5
Jefferson,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,S5,G5
Steuben,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,S2S3B,G5
Clinton,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,S3,G3
Richmond,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade,S1,G5
Columbia,Plant,Flowering Plants,Other Flowering Plants,Trichostema brachiatum,False Pennyroyal,S3,G5
Suffolk,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,S5B,G5
Ulster,Plant,Flowering Plants,Other Flowering Plants,Lemna turionifera,Turion Duckweed,S1S3,G5
Saratoga,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,S5,G5
Ulster,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,S5B,G5
Seneca,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,S2S3,G5
Tompkins,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,S5B,G5
Chemung,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,S3B,G5
Monroe,Natural Community,Uplands,Open Uplands,Sand beach,Sand Beach,S3,G5
Rensselaer,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,S1,G2G3
Oneida,Plant,Flowering Plants,Other Flowering Plants,Utricularia minor,Lesser Bladderwort,S3,G5
Schenectady,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,SNA,GNA
Rockland,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,S4,G5
Ulster,Plant,Flowering Plants,Grasses,Digitaria filiformis var. filiformis,Slender Crab Grass,S1,G5TNR
Westchester,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Chamaelirium luteum,Fairywand,S1S2,G5
Putnam,Plant,Flowering Plants,Other Flowering Plants,Lycopus rubellus,Stalked Bugleweed,S1,G5
Delaware,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Tioga,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,S5B,G5
Oneida,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,S3S4B,G5
Westchester,Animal,Reptiles,Lizards,Sceloporus undulatus,Fence Lizard,S1,G5
Broome,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,S5B,G5
Westchester,Animal,Birds,Owls,Strix varia,Barred Owl,S5,G5
Otsego,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlands,Black spruce-tamarack bog,Black Spruce-Tamarack Bog,S3,G4G5
Ontario,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,S5,G5
Westchester,Natural Community,Uplands,Barrens and Woodlands,Acidic talus slope woodland,Acidic Talus Slope Woodland,S3,G4?
New York,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,S5B,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginicum,Culver's Root,S2,G4
Rockland,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,S2,G4
Cayuga,Plant,Flowering Plants,Sedges,Carex amphibola,Ambiguous Sedge,S3,G5
Wayne,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Ontario,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich shrub fen,Rich Shrub Fen,S1S2,G3G4
Cortland,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,S5B,G5
Chenango,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Montgomery,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,S2?B,G5
Steuben,Animal,Amphibians,Salamanders,Eurycea longicauda,Longtail Salamander,S2S3,G5
Ontario,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum,Jefferson Salamander,S4,G4
Ulster,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,S2,G5
Dutchess,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,S3S4B,G5
Fulton,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,S4,G5
Essex,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,S5B,G5
Cayuga,Animal,Amphibians,Frogs and Toads,Pseudacris triseriata,Western Chorus Frog,S2S3,G5
Yates,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,S5,G5
Steuben,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Schoharie,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,S5B,G5
Erie,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,S5B,G5
Ontario,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,S5B,G5
Greene,Plant,Flowering Plants,Other Flowering Plants,Lemna turionifera,Turion Duckweed,S1S3,G5
Tompkins,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,S5B,G5
Seneca,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Nassau,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,S5,G5
Yates,Plant,Flowering Plants,Sedges,Carex decomposita,Cypress-knee Sedge,SH,G3G4
Orleans,Animal,Birds,"Ducks, Geese, Waterfowl",Anas acuta,Northern Pintail,"S1B,S3N",G5
Hamilton,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,S5B,G5
Orange,Animal,Dragonflies and Damselflies,Dragonflies,Cordulegaster obliqua,Arrowhead Spiketail,S3,G4
Columbia,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,S5,G5
Rensselaer,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,S5B,G5
Wyoming,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,S5B,G5
Queens,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Franklin,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,"S3B,S1N",G5
Westchester,Plant,Flowering Plants,Grasses,Bouteloua curtipendula var. curtipendula,Side-oats Grama,S2,G5T5
