CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50051278,SAN FENG RESTAURANT,Queens,4171,BOWNE ST,11355.0,7188869668,Chinese,E,05H,Pre-permit (Non-operational) / Initial Inspection,QN22
40741967,TONG HAI TUNG BAKERY,Queens,4112,MAIN STREET,11355.0,7183588878,Chinese,O,,Cycle Inspection / Reopening Inspection,QN22
41293635,NO. 1 CHINESE KITCHEN,Staten Island,209,PORT RICHMOND AVENUE,10302.0,7188161836,Chinese,F,02G,Cycle Inspection / Initial Inspection,SI28
41238204,LINCOLN TOWERS CAFE,Bronx,234,EAST  149 STREET,10451.0,7182928146,American,U,02B,Cycle Inspection / Re-inspection,BX34
41643671,JING LUNG CHINESE RESTAURANT,Brooklyn,1242,NOSTRAND AVENUE,11225.0,7184628854,Chinese,F,06C,Cycle Inspection / Initial Inspection,BK60
50047806,DING,Manhattan,234,WEST   48 STREET,10036.0,2122650828,Chinese,U,22G,Cycle Inspection / Re-inspection,MN17
50011758,LOS PRIMOS RESTAURANT,Brooklyn,704,GRAND STREET,11211.0,7184868449,Latin American,F,02B,Cycle Inspection / Initial Inspection,BK90
50045782,OLLIE'S CHINESE RESTAURANT,Manhattan,2705,BROADWAY,10025.0,2129323300,Chinese,F,02B,Cycle Inspection / Initial Inspection,MN12
41627484,BAGEL EXPRESS,Manhattan,347,LEXINGTON AVENUE,10016.0,2122868887,Bagels/Pretzels,F,06A,Cycle Inspection / Initial Inspection,MN20
41507617,MR. TANG,Brooklyn,7521,3 AVENUE,11209.0,7187483131,Chinese,F,08C,Cycle Inspection / Initial Inspection,BK31
50076470,TARTINERY,Manhattan,90,PARK AVENUE,10016.0,2123005838,American,D,10H,Cycle Inspection / Initial Inspection,MN20
50008918,HAHM JI BACH,Queens,40-11,149 PLACE,11354.0,6466102622,Korean,F,04L,Cycle Inspection / Re-inspection,QN51
40373937,SHUN LEE,Manhattan,37,WEST   65 STREET,10023.0,2125958895,Chinese,U,04L,Cycle Inspection / Initial Inspection,MN14
50074814,ST NICHOLAS FOOD & CAFE,Manhattan,285,SAINT NICHOLAS AVENUE,10027.0,2128663354,Sandwiches,F,05D,Pre-permit (Operational) / Re-inspection,MN09
41644068,THE LIGHTS OF BAKU,Brooklyn,2707,86 STREET,11223.0,7182669191,Russian,D,10F,Cycle Inspection / Re-inspection,BK29
40372426,DAZIES RESTAURANT,Queens,3941,QUEENS BOULEVARD,11104.0,7187867013,Italian,F,04L,Cycle Inspection / Initial Inspection,QN31
50106592,POPEYES LOUISIANA KITCHEN,Manhattan,39,1 AVENUE,10003.0,7184271387,,,,,MN22
50058046,MAR MAR RESTAURANT,Staten Island,370,FOREST AVENUE,10301.0,7185562220,Mediterranean,F,04N,Cycle Inspection / Initial Inspection,SI35
41653879,LENOX SAPHIRE,Manhattan,341,LENOX AVENUE,10027.0,2128669700,African,F,10B,Cycle Inspection / Initial Inspection,MN03
50051582,Q & N FOOD,Manhattan,107,EAST  125 STREET,10035.0,2128602021,Sandwiches,D,02B,Cycle Inspection / Initial Inspection,MN34
50003211,OLMA CAVIAR BOUTIQUE & BAR ( @ THE PLAZA FOOD HALL),Manhattan,1,WEST   58 STREET,10019.0,2123718525,Seafood,D,04A,Cycle Inspection / Initial Inspection,MN17
50045370,LIN BAKERY & CAFE,Brooklyn,5713,4 AVENUE,11220.0,7187859981,Bakery Products/Desserts,D,08A,Cycle Inspection / Re-inspection,BK32
50007212,THE LOFT STEAKHOUSE,Brooklyn,1306,40 STREET,11218.0,7184755600,Jewish/Kosher,D,06C,Cycle Inspection / Re-inspection,BK88
50103171,,Manhattan,373,BROADWAY,10013.0,9492579008,,,,,MN24
41682994,YUE LAI BAKERY,Manhattan,137,EAST BROADWAY,10002.0,9172572263,Bakery Products/Desserts,F,04M,Cycle Inspection / Re-inspection,MN28
41471348,PINKERTON WINE BAR,Brooklyn,263,NORTH    6 STREET,11211.0,9734203402,American,D,04L,Cycle Inspection / Initial Inspection,BK73
50011229,PELOTON LOUNGE,Manhattan,140,WEST   23 STREET,10011.0,6462774497,Coffee/Tea,P,10E,Cycle Inspection / Initial Inspection,MN13
40763881,GNOCCO,Manhattan,337,EAST   10 STREET,10009.0,2126771913,Italian,D,04L,Cycle Inspection / Initial Inspection,MN22
50009794,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1516,MERMAID AVENUE,11224.0,7182653669,Caribbean,F,16E,Calorie Posting / Initial Inspection,BK21
50072743,DALLAS CHICKEN & BISCUIT,Manhattan,2027,LEXINGTON AVENUE,10035.0,7182246030,Chicken,D,09B,Pre-permit (Operational) / Re-inspection,MN34
41006765,DOS CAMINOS,Manhattan,675,HUDSON STREET,10014.0,2126992400,Mexican,D,10F,Cycle Inspection / Initial Inspection,MN23
50077057,TIPSY SHANGHAI RESTAURANT,Manhattan,228,THOMPSON STREET,10012.0,2127630877,Chinese,D,06E,Pre-permit (Operational) / Initial Inspection,MN23
50045820,MIGHTY BOWL,Manhattan,120,MACDOUGAL STREET,10012.0,2127775750,Asian/Asian Fusion,D,02G,Pre-permit (Operational) / Initial Inspection,MN23
40727750,UTSAV FESTIVE INDIA RESTAURANT,Manhattan,1185,AVENUE OF AMERICAS,10036.0,2125752525,Indian,D,10F,Cycle Inspection / Re-inspection,MN17
50000587,CHIPOTLE MEXICAN GRILL,Manhattan,2298,BROADWAY,10024.0,6464126237,Tex-Mex,D,10F,Cycle Inspection / Initial Inspection,MN12
41558918,ROGER WILLIAMS HOTEL,Manhattan,131,MADISON AVENUE,10016.0,2124487000,American,D,10B,Cycle Inspection / Re-inspection,MN17
50035684,VSPOT ORGANIC,Manhattan,12,SAINT MARKS PLACE,10003.0,2122543693,Latin American,G,04H,Cycle Inspection / Initial Inspection,MN22
50059273,TASTI D-LITE,Manhattan,523,AMSTERDAM AVENUE,10024.0,2124961466,Frozen Desserts,D,06C,Pre-permit (Operational) / Re-inspection,MN12
41710976,SWEET MAMA'S SOUL FOOD,Manhattan,689,LENOX AVENUE,10037.0,2129399383,Soul Food,G,04L,Cycle Inspection / Re-inspection,MN03
40944945,Stage 42,Manhattan,422,WEST   42 STREET,10036.0,2125867610,American,D,06C,Cycle Inspection / Re-inspection,MN15
41625593,CRISPY PIZZA,Staten Island,782,RICHMOND TERRACE,10301.0,7184206050,Italian,U,04N,Cycle Inspection / Re-inspection,SI22
40650407,LA SORRENTINA RISTORANTE,Brooklyn,6522,11 AVENUE,11219.0,7186809299,Italian,D,10F,Cycle Inspection / Initial Inspection,BK30
50044182,HINTERLANDS,Brooklyn,739,CHURCH AVENUE,11218.0,7186330550,American,D,10F,Cycle Inspection / Initial Inspection,BK40
50000005,LA RUBIA RESTAURANT,Manhattan,3517,BROADWAY,10031.0,2126941616,Latin American,P,02H,Cycle Inspection / Initial Inspection,MN04
41632866,CITY CAFE,Manhattan,35,WEST   43 STREET,10036.0,2127640444,Sandwiches,F,04N,Cycle Inspection / Initial Inspection,MN17
40661232,BELMORA PIZZA & RESTAURANT,Manhattan,139,EAST   57 STREET,10022.0,2129352080,Pizza,P,02B,Cycle Inspection / Initial Inspection,MN19
40399955,SCHICK'S MANOR,Brooklyn,4901,12 AVENUE,11219.0,7188536329,Jewish/Kosher,F,08A,Cycle Inspection / Initial Inspection,BK88
50008551,SAINT VITUS,Brooklyn,1120,MANHATTAN AVENUE,11222.0,9173310331,American,U,06D,Cycle Inspection / Initial Inspection,BK76
41380245,RED LOTUS BAKERY & CAFE,Queens,255-07,NORTHERN BOULEVARD,11362.0,7188190288,Bakery Products/Desserts,P,06D,Cycle Inspection / Initial Inspection,QN45
50056803,ABURI SUSHI BAR,Brooklyn,769,GRAND STREET,11211.0,7183878815,Japanese,F,06F,Pre-permit (Operational) / Re-inspection,BK90
41168098,HORUS CAFE,Manhattan,293,EAST   10 STREET,10009.0,2122284774,Mediterranean,P,02G,Cycle Inspection / Initial Inspection,MN22
50067756,KING WOK,Bronx,63,EAST KINGSBRIDGE ROAD,10468.0,7183296121,Chinese,D,08A,Cycle Inspection / Re-inspection,BX28
41499169,THE LAMBS CLUB,Manhattan,130,WEST   44 STREET,10036.0,2129975262,American,F,03A,Cycle Inspection / Initial Inspection,MN17
40831475,ROSARIO DELI,Queens,22-55,31 STREET,11105.0,7187282920,Sandwiches,P,02B,Cycle Inspection / Initial Inspection,QN72
41487281,GOLDEN TERRACE BANQUET HALL,Queens,12023,ATLANTIC AVENUE,11418.0,7188505300,Indian,F,02H,Cycle Inspection / Initial Inspection,QN54
50005295,LIVING ROOM RESTAURANT AND LOUNGE,Brooklyn,178,AVENUE U,11223.0,7189968700,Middle Eastern,U,10B,Cycle Inspection / Re-inspection,BK26
50019119,FOUNTAIN OF SPA,Queens,3202,LINDEN PL,11354.0,7184451231,"Juice, Smoothies, Fruit Salads",D,06A,Cycle Inspection / Initial Inspection,QN22
50069070,KEILLY CHINESE RESTAURANT,Queens,13211B,14TH AVE,11356.0,7187466796,Chinese,D,10F,Pre-permit (Operational) / Initial Inspection,QN49
40398532,PAVILLION CATERERS,Brooklyn,1478,39 STREET,11218.0,7188511162,Jewish/Kosher,P,04L,Cycle Inspection / Initial Inspection,BK88
41564170,LIDO,Manhattan,2168,FREDERICK DOUGLAS BOULEVARD,10026.0,6464908575,Italian,U,04L,Cycle Inspection / Initial Inspection,MN11
41180292,STARBUCKS,Manhattan,455,MAIN STREET,10044.0,2123711290,Coffee/Tea,D,10F,Cycle Inspection / Initial Inspection,MN31
40376718,PJ BERNSTEIN DELI & RESTAURANT,Manhattan,1215,THIRD AVENUE,10021.0,2128790914,Sandwiches,P,06D,Cycle Inspection / Initial Inspection,MN31
50044225,DISTRICT SAIGON,Queens,3715,BROADWAY,11103.0,7189560007,Asian/Asian Fusion,U,02G,Cycle Inspection / Initial Inspection,QN70
50060346,MAISON KAYSER,Manhattan,1377,6 AVENUE,10019.0,2126021700,Bakery Products/Desserts,D,10F,Cycle Inspection / Initial Inspection,MN17
40873138,WIMPY'S RESTAURANT,Manhattan,1822,AMSTERDAM AVENUE,10031.0,2122818989,American,U,08A,Cycle Inspection / Initial Inspection,MN04
41300926,CHIPOTLE MEXICAN GRILL,Manhattan,464,PARK AVENUE SOUTH,10016.0,2126890305,Tex-Mex,D,10F,Cycle Inspection / Initial Inspection,MN17
40970385,SOFIA,Brooklyn,8406,3 AVENUE,11209.0,7186804242,Italian,D,10F,Cycle Inspection / Initial Inspection,BK31
50011304,LA TRONCALENA RESTAURANT,Queens,10210,37TH AVE,11368.0,3476171957,Latin American,U,08A,Cycle Inspection / Re-inspection,QN26
50008252,BOCCONCINI,Queens,254-19,NORTHERN BOULEVARD,11362.0,7184231192,Pizza,D,10F,Cycle Inspection / Re-inspection,QN45
40729264,PLAYWRIGHT TAVERN,Manhattan,27,WEST   35 STREET,10001.0,2122688868,Irish,D,04L,Cycle Inspection / Initial Inspection,MN17
41628099,LLOYD'S CARROT CAKE,Manhattan,1553,LEXINGTON AVENUE,10029.0,2128319156,Bakery Products/Desserts,U,08A,Cycle Inspection / Re-inspection,MN33
50070353,ROCCO'S PIZZERIA,Brooklyn,7818,5 AVENUE,11209.0,7182387658,Pizza,U,06E,Cycle Inspection / Initial Inspection,BK31
50081562,HAHA! DELI,Queens,15209,ROCKAWAY BLVD,11434.0,7189785219,Sandwiches,F,04N,Pre-permit (Operational) / Re-inspection,QN02
50044841,DUNKIN BASKIN ROBBINS,Manhattan,57,EAST  125 STREET,10035.0,6463402446,Donuts,F,09B,Cycle Inspection / Initial Inspection,MN34
50043779,CAFFE BENE,Manhattan,208,AVENUE A,10009.0,2125107957,Coffee/Tea,P,10F,Cycle Inspection / Initial Inspection,MN22
50000849,MILK RIVER CAFE,Brooklyn,960,ATLANTIC AVENUE,11238.0,7186368600,Caribbean,F,02B,Cycle Inspection / Initial Inspection,BK64
40396927,MANHATTAN ESPRESSO,Manhattan,146,EAST   49 STREET,10017.0,2128323010,Coffee/Tea,D,06C,Cycle Inspection / Re-inspection,MN19
50018726,HUI WEI CHINESE FOOD,Brooklyn,706,56 STREET,11220.0,9178685780,Chinese,8,05F,Cycle Inspection / Reopening Inspection,BK34
41722899,MI CANDILEJAS RESTAURANT,Brooklyn,1509,MERMAID AVENUE,11224.0,7182666161,Latin American,U,02G,Cycle Inspection / Re-inspection,BK21
50000538,BISTRO PUNTA SAL,Queens,4551,46 STREET,11377.0,7183928141,Peruvian,F,02B,Cycle Inspection / Initial Inspection,QN31
50009665,POCKET BAR NYC,Manhattan,455,WEST   48 STREET,10036.0,6466829062,American,P,10H,Cycle Inspection / Initial Inspection,MN15
50091626,BUND,Queens,2508,BROADWAY,11106.0,7189715465,Asian/Asian Fusion,F,09C,Cycle Inspection / Initial Inspection,QN70
41643117,JEAN CLAUDE FRENCH BISTRO,Manhattan,1343,2 AVENUE,10021.0,2122493400,French,U,08A,Cycle Inspection / Initial Inspection,MN31
50088588,SAMESA,Brooklyn,495,LORIMER STREET,11211.0,7185991154,Middle Eastern,D,10F,Pre-permit (Operational) / Re-inspection,BK73
50072323,YUMMY TACO,Queens,48-14,BROADWAY,11103.0,7189320002,Tex-Mex,D,10F,Pre-permit (Operational) / Re-inspection,QN70
50034739,ELLINGTON IN THE PARK,Manhattan,W105,HUDSON BEACH,,9176805280,American,O,10B,Cycle Inspection / Reopening Inspection,
50095719,MEXICOMA,Manhattan,1633,2 AVENUE,10028.0,2127177800,Mexican,F,06D,Cycle Inspection / Initial Inspection,MN32
41410066,LOCKSMITH WINE & BURGER BAR,Manhattan,4463,BROADWAY,10040.0,2123049463,American,F,08C,Cycle Inspection / Re-inspection,MN35
41690476,BAIT & HOOK,Manhattan,231,2 AVENUE,10003.0,2122608015,Seafood,F,05D,Cycle Inspection / Initial Inspection,MN21
41476227,TANDOOR PALACE,Manhattan,88,FULTON STREET,10038.0,2123497643,Indian,D,02B,Cycle Inspection / Re-inspection,MN25
50079898,SUBWAY,Queens,10206,ATLANTIC AVE,11416.0,7184415340,Sandwiches,D,10F,Pre-permit (Operational) / Initial Inspection,QN54
41561855,MARCELLINO,Manhattan,178,MULBERRY STREET,10012.0,6465590640,Italian,P,10F,Cycle Inspection / Initial Inspection,MN24
50062803,FRESH & CO,Manhattan,1381,6 AVENUE,10019.0,2128737374,Salads,D,06F,Cycle Inspection / Initial Inspection,MN17
41511660,EL ECONOMICO RESTAURANT,Bronx,5589,BROADWAY,10463.0,7186015577,Latin American,F,04H,Cycle Inspection / Initial Inspection,BX29
50048152,DOSA ROYALE,Brooklyn,258,DEKALB AVENUE,11205.0,7185763800,Indian,U,04L,Cycle Inspection / Re-inspection,BK69
50048235,LOTTE NEW YORK PALACE-VILLARD,Manhattan,455,MADISON AVENUE,10022.0,2128918100,French,F,22E,Administrative Miscellaneous / Initial Inspection,MN17
50099621,BRODO,Manhattan,1246,LEXINGTON AVENUE,10028.0,6468442996,Soups,D,10I,Pre-permit (Operational) / Initial Inspection,MN40
41448021,PIER 76,Staten Island,76,BAY STREET,10301.0,7184477437,Italian,U,04M,Cycle Inspection / Re-inspection,SI22
50060011,AMPLE HILLS CREAMERY,Brooklyn,305,NEVINS STREET,11215.0,3477254061,Frozen Desserts,F,06D,Cycle Inspection / Initial Inspection,BK37
40529979,ROMEO'S PIZZERIA,Queens,18808,UNION TURNPIKE,11366.0,7184544223,Pizza,U,04L,Cycle Inspection / Initial Inspection,QN06
41514395,ESMERALDO BAKERY,Manhattan,538,WEST  181 STREET,10033.0,2125432250,Bakery Products/Desserts,D,10F,Cycle Inspection / Initial Inspection,MN35
50059002,NEGRIL BK,Brooklyn,254,5 AVENUE,11215.0,3033329905,Caribbean,F,08A,Cycle Inspection / Initial Inspection,BK37
40934594,POPEYES,Bronx,360,BAYCHESTER AVENUE,10475.0,7183203600,Chicken,D,10F,Cycle Inspection / Re-inspection,BX13
50076733,JIA XIANG WEI,Queens,13335,ROOSEVELT AVE,11354.0,9173486877,Chinese,G,04L,Cycle Inspection / Initial Inspection,QN22
41671538,TABLE GREEN,Manhattan,0,BATTERY PARK,10004.0,2127419174,Sandwiches/Salads/Mixed Buffet,D,06D,Cycle Inspection / Re-inspection,MN99
50074755,LITTLE CAESARS,Brooklyn,4202,5 AVENUE,11232.0,3474220658,Pizza,D,10F,Pre-permit (Operational) / Initial Inspection,BK32
41280104,NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,7189334420,Chinese,G,10I,Cycle Inspection / Re-inspection,BX06
40806208,PAUL WEISS RIFKIN WHARTON,Manhattan,1285,6 AVENUE,10019.0,2123732423,American,D,02G,Cycle Inspection / Initial Inspection,MN17
50064654,ANPANMAN BAKERY CAFE,Manhattan,83,CANAL STREET,10002.0,2123438077,Chinese,F,04L,Cycle Inspection / Re-inspection,MN27
41561022,99 CENTS FRESH HOT PIZZA,Brooklyn,51D,WILLOUGHBY STREET,11201.0,7187973841,Pizza,P,10B,Cycle Inspection / Initial Inspection,BK38
50051344,EL BURRITO NACHO & LA NOVA PIZZA,Brooklyn,1636,BROADWAY,11207.0,3474258390,Mexican,O,08A,Cycle Inspection / Reopening Inspection,BK79
40374277,MOLLY WEE PUB,Manhattan,402,8 AVENUE,10001.0,2129672627,Irish,P,02B,Cycle Inspection / Initial Inspection,MN17
50076098,NAMASTE,Manhattan,1448,1 AVENUE,10021.0,2128611448,Indian,F,04L,Cycle Inspection / Initial Inspection,MN31
40732416,VARENICHNAYA - PELMINI VARENICHKY,Brooklyn,3086,BRIGHTON    2 STREET,11235.0,7183329797,Russian,D,06D,Cycle Inspection / Initial Inspection,BK19
50078319,HUA CHENG RESTAURANT,Queens,4119,KISSENA BLVD,11355.0,9297533301,Chinese,G,04M,Cycle Inspection / Initial Inspection,QN22
41043103,THE MICHELANGELO,Manhattan,152,WEST   51 STREET,10019.0,2127651900,American,F,08A,Cycle Inspection / Initial Inspection,MN17
50057655,SILVER PALACE CHINESE RESTAURANT,Manhattan,3846,BROADWAY,10032.0,2129278000,Chinese,D,04H,Cycle Inspection / Initial Inspection,MN36
41426339,PIAZZA PIZZA & GRILL,Manhattan,1530,3 AVENUE,10028.0,2128795566,Pizza,P,06D,Cycle Inspection / Initial Inspection,MN40
50018555,CARVEL,Queens,189,BEACH  116 STREET,11694.0,7189455877,Frozen Desserts,E,16D,Calorie Posting / Initial Inspection,QN10
50050528,BLKYN BURRO,Brooklyn,922,FULTON STREET,11238.0,7186228776,Mexican,F,04A,Cycle Inspection / Initial Inspection,BK69
50077232,Helado De Coco By Alyssa,Brooklyn,1124,SURF AVENUE,11224.0,9175779739,Frozen Desserts,G,05E,Pre-permit (Operational) / Initial Inspection,BK21
50055399,MCDONALD'S,Manhattan,490,8 AVENUE,10001.0,9142774800,Hamburgers,P,06D,Cycle Inspection / Initial Inspection,MN17
50074198,TUSCANY GRILL,Brooklyn,8620,3 AVENUE,11209.0,7189215633,Italian,F,05D,Cycle Inspection / Initial Inspection,BK31
41273072,ACE PIZZA,Queens,6104,MYRTLE AVENUE,11385.0,7184180038,Pizza,D,02B,Cycle Inspection / Initial Inspection,QN20
41703865,SAFFRON,Queens,44-04,BROADWAY,11103.0,7182556310,Indian,D,06D,Cycle Inspection / Re-inspection,QN70
41176037,HAREFIELD ROAD PUB,Brooklyn,769,METROPOLITAN AVENUE,11211.0,7183886870,American,F,08A,Cycle Inspection / Initial Inspection,BK90
40388818,YAMA JAPANESE RESTAURANT,Manhattan,122,EAST   17 STREET,10003.0,2124750969,Japanese,E,06D,Cycle Inspection / Reopening Inspection,MN21
50068505,SERAFINA 105,Manhattan,2735-2737,BROADWAY,10025.0,2123010664,Italian,F,04N,Cycle Inspection / Re-inspection,MN12
41548213,61 LOCAL,Brooklyn,61,BERGEN STREET,11201.0,3477636624,American,F,04L,Cycle Inspection / Initial Inspection,BK38
50070791,"CARVEL, CINNABON",Brooklyn,8612,3 AVENUE,11209.0,7186759543,Frozen Desserts,F,06E,Pre-permit (Operational) / Initial Inspection,BK31
41271454,KATSUHAMA 47,Manhattan,11,EAST   47 STREET,10017.0,2127585909,Japanese,U,08C,Cycle Inspection / Initial Inspection,MN17
40424515,PASTICCERIA LA TORRE,Queens,158-12,CROSSBAY BOULEVARD,11414.0,7188432306,Bakery Products/Desserts,D,04H,Cycle Inspection / Initial Inspection,QN57
50042642,KOGANE,Brooklyn,76,HENRY STREET,11201.0,7188752828,Asian/Asian Fusion,F,06C,Cycle Inspection / Initial Inspection,BK09
41305161,KENNEDY FRIED CHICKEN,Bronx,726,EAST  152 STREET,10455.0,7182053638,Chicken,D,10F,Cycle Inspection / Initial Inspection,BX34
50058788,IKINARI STEAK,Manhattan,90,EAST   10 STREET,10003.0,9173883546,Japanese,F,10F,Cycle Inspection / Initial Inspection,MN22
50095961,GRAND SULTAN,Brooklyn,1712,AVENUE M,11230.0,7187585135,Eastern European,G,06A,Pre-permit (Operational) / Compliance Inspection,BK43
40571128,THE HEIGHTS BAR & GRILL,Manhattan,2867,BROADWAY,10025.0,2128667035,Tex-Mex,U,04L,Cycle Inspection / Re-inspection,MN09
41573305,WOK & ROLL,Queens,0,JFK INT'L AIRPORT,11430.0,7187511999,Chinese,U,10F,Cycle Inspection / Initial Inspection,QN98
41464143,VYBES KITCHEN,Bronx,1296,EAST GUNHILL ROAD,10469.0,3473466500,Caribbean,F,04A,Cycle Inspection / Initial Inspection,BX31
41554812,MI PEQUENA CHOLULA DELI RESTAURANTE,Brooklyn,1481,MYRTLE AVENUE,11237.0,7184974982,Mexican,G,02G,Cycle Inspection / Initial Inspection,BK77
40643680,KENT THEATRE,Brooklyn,1170,CONEY ISLAND AVENUE,11230.0,7183383376,American,U,06C,Cycle Inspection / Initial Inspection,BK43
50085171,BENSONHURST CAFE CORP,Brooklyn,211,KINGS HIGHWAY,11223.0,7185304806,American,E,08A,Pre-permit (Non-operational) / Re-inspection,BK29
50089663,DOMENICKS PIZZA RESTARUANT,Queens,8774,SUTPHIN BLVD,11435.0,9175488956,Pizza,E,08A,Pre-permit (Non-operational) / Initial Inspection,QN61
