UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,12-Sep-13,36,72,30-Sep-19,Yes,30-Sep-19,01-Apr-19,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
862,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Parking Payments by Phone ,Tender,Contract,02-Jul-12,60,84,01-Jul-19,Yes,01-Jul-19,01-Jan-19,"Â£16,000.00","Â£112,000.00",Cobalt (Ringo) Telephone Technologies,Large,3151938,RG24 8NE,Stockport- Services to Place
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01-Sep-13,95,95,20-Jul-21,Yes,20-Jul-21,01-Jan-20,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,321313-Social Community Care Supplies & Services : Supplies : Non Fitted Equipment,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01-Oct-15,30,54,31-Mar-20,Yes,31-Mar-20,10-Jan-19,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1194,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01-Oct-16,34,46,31-Jul-19,No,31-Jul-20,01-Dec-18,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Alliance for Positive Relationships,OJEU Tender,Contract,01-Aug-15,36,60,31-Jul-20,Yes,31-Jul-20,30-Jan-18,"Â£280,000.00","Â£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Targeted Prevention Alliance,OJEU Tender,Contract,01-Jun-15,36,60,31-May-20,Yes,31-May-20,31-May-19,"Â£1,500,000.00","Â£7,500,000.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1205,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Stockport Advocacy Services ,Tender,Contract,01-Apr-15,36,60,31-Mar-20,Yes,31-Mar-20,30-Nov-17,"Â£200,000.00","Â£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 3DL,Stockport- Services to People
1214,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Mini comp supported living (103.6 -Phase 4),Mini Competition (Internal),Contract,30-Jul-15,36,48,29-Jul-19,Yes,29-Jul-19,15-Apr-18,"Â£287,542.00","Â£1,150,168.00",United Response,VCSE,265249,WN7 3XJ,Stockport- Services to People
1255,Stockport Council,321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,Tender,Contract,01-Apr-16,36,36,31-Mar-19,No,31-Mar-19,31-Mar-18,"Â£39,896.00","Â£119,688.00",Remedi,SME,1063359,S1 4FW,Stockport- Services to People
1263,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,OJEU Tender,Contract,06-Jan-10,84,122,31-Mar-20,Yes,31-Mar-20,01-Mar-19,"Â£75,000.00","Â£750,000.00",Midland HR&Payroll Solutions,SME,08099611,B79 9DZ,Stockport- Corporate & Support Services
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18-Jan-16,48,84,17-Jan-20,No,17-Jan-23,01-Jul-19,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
1314,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,30-Mar-19,"Â£300,000.00","Â£1,855,861.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"Â£300,000.00","Â£1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"Â£120,000.00","Â£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,OJEU Tender,DPS (Dynamic Purchasing System),01-Aug-15,48,48,31-Jul-19,No,31-Jul-19,01-Jan-19,"Â£4,000,000.00","Â£16,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to Place
1327,Stockport Council,191000-Facilities & Management Services : Advertising : ,Management & Promotion of Stockport Town Centre Managed Sites,Tender,Concession,12-Feb-16,48,48,12-Feb-20,Yes,12-Feb-20,15-Apr-19,"Â£40,000.00","Â£80,000.00",PinPointer Ltd ,SME,5196344,M3 5EJ,Stockport- Corporate & Support Services
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,OJEU Tender,Framework Agreement,04-Jan-16,24,48,03-Jan-20,Yes,03-Jan-20,01-Jun-19,"Â£50,000.00","Â£100,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,Firesec North West Ltd,Small,6702659,CH65 3EY,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,The Oakleaf  Surveying Ltd,Medium,6151373,NN3 6WL,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,Fire Protection Association,Small,3806681,GL56 ORH,Stockport- Services to Place
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,BB7 Fire Limited,Small,7088332,ME1 1XF,Stockport- Services to Place
1367,Stockport Council,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01-Jan-16,36,60,01-Jan-21,Yes,01-Jan-21,01-Aug-18,"Â£14,000.00","Â£70,000.00",Arthur J Gallagher ,Large,08887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Supported Living Services (103.7 - Phase 5),Mini Competition (Internal),Contract,01-Dec-15,36,48,30-Nov-18,No,30-Nov-19,01-Jul-18,"Â£214,766.76","Â£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1408,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,"Stockport Information, advice and support",Tender,Contract,01-Apr-16,36,36,31-Mar-19,Yes,31-Mar-19,31-Oct-18,"Â£50,000.00","Â£150,000.00",KIDS,VCSE,1346252,B72 1EA,Stockport- Services to People
1415,Stockport Council,191000-Facilities & Management Services : Advertising : ,Provision of an Advertising Service on agreed sites in the Borough of Trafford and/or Stockport,Tender,Concession,08-Dec-15,48,48,07-Dec-19,Yes,07-Dec-19,30-Nov-18,Income,Income,Marketing Force Limited,Large,3744053,SL9 7PZ,Stockport- Corporate & Support Services
1578,Stockport Council,261410-Human Resources : Temporary & Agency Staff : Accountancy,Carer Support Service (Supporting MH Recovery),OJEU Tender,Contract,01-Nov-15,29,53,31-Mar-20,Yes,31-Mar-20,01-Sep-19,"Â£57,245.00","Â£252,832.08",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
1579,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,LD Supported Living Contract (103.8 - Phase 6),Tender,Contract,09-May-16,36,48,08-May-20,Yes,08-May-20,01-Nov-19,"Â£320,924.25","Â£1,283,697.00",Fitzroy Support,VCSE,2699902,GU32 3JY,Stockport- Services to People
1580,Stockport Council,Social Care Services: Adults,Supported Employment,OJEU Tender,Contract,01-Apr-16,36,60,31-Mar-19,No,31-Mar-21,01-Nov-18,"Â£220,000.00","Â£1,100,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,OJEU Tender,Framework Agreement,01-Apr-16,36,48,31-Mar-20,Yes,31-Mar-20,01-Apr-19,"Â£1,100,000.00","Â£4,400,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Altruistic Care t/a plane tree,SME,2916556,UB3 2RR,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Disability Stockport,VCSE,1133529,SK1 1EG,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Indian Senior Citizen Centre,SME,1040167,M16 8AB,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Lifeline Project Ltd,SME,1842240,M1 1JF,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,NAS Services Ltd,SME,269425,EC1V 1NG,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Pure Innovations Limited ,Medium,05241249,SK3 0RF,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Step Out Stockport,SME,8881836,SK1 3AQ,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Stockport CP Society,SME,1009768,SK4 4JZ,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,The Weekend Day Centre,SME,1009768,SK2 5EA,Stockport- Services to People
1606,Stockport Council,321013-Social Community Care Supplies & Services - Adult : Day Care : ,Day Care Services,-,-,-,-,-,-,-,-,-,-,-,Together Trust ,SME,301722,SK8 1JE,Stockport- Services to People
1633,Stockport Council,361300-Public Transport : Passenger Transport : ,School Swimming Transport,Tender,Contract,01-Sep-16,36,48,31-Aug-19,No,31-Aug-20,01-Jun-19,"Â£103,409.02","Â£413,636.08",Belle Vue Manchester Ltd,Large,3272014,Sk4 5DZ,Stockport- Services to Place
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01-Nov-14,48,60,31-Oct-19,Yes,31-Oct-19,31-Oct-16,nil,nil,Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,Equita,SME,316 8371,NN1 4BZ,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,Jacobs,Large,07923864,CH414PE,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,Phoenix,Large,3753408,CR0 2LX,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,-,-,-,-,-,-,-,-,-,-,-,Rossendales,Large,05070065,BB4 4NB,Stockport- Corporate & Support Services
2268,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,SAP Maintenance & Support,Exemption,Contract,01-Jan-16,12,36,31-Dec-19,Yes,31-Dec-19,01-Jun-19,"Â£88,904.07","Â£88,904.07",SAP UK Ltd,Large,2152073,TW14 8HD,Stockport- Corporate & Support Services
2273,Stockport Council,340000-Stationery :  ,Stationery and Office Supplies,OJEU Tender,Framework Agreement,01-Mar-17,24,48,28-Feb-21,Yes,28-Feb-21,01-Sep-18,"Â£250,000.00","Â£1,000,000.00",Lyreco UK Limited,SME,442696,TF2 7NB,Stockport- Corporate & Support Services
2279,Stockport Council,181810-Environmental Services : Technical Equipment : Laboratory,COMA - High voltage Transformers,Quote,Contract,01-Mar-16,48,48,28-Feb-20,No,28-Feb-20,01-Oct-19,"Â£2,929.20","Â£11,716.80",SPEC,SME,GB759355684,WF20XW,Stockport- Services to Place
2293,Stockport Council,401102-Social Community Care Supplies & Services - Children : Disabled Children : Short Overnight Breaks,Respite Services for Children with Disabilities - Lot 1 ,OJEU Tender,Framework Agreement,01-Apr-16,24,42,30-Sep-19,Yes,30-Sep-19,31-Oct-18,"Â£500,000.00","Â£1,500,000.00",EAM - 07910045   Birtenshaw - 02978546 Seashell - 4216714 Fairfield - 03607854 Together Trust - 0301722,VCSE,EAM - 07910045   Birtenshaw - 02978546 Seashell - 4216714 Fairfield - 03607854 Together Trust - 0301722,EAM - M31 4DJ              Together Trust - SK8 1JE Seahsell Trust SK8 6RQ,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,OJEU Tender,Framework Agreement,01-Apr-16,24,36,31-Mar-19,Yes,31-Mar-19,31-Oct-18,"Â£500,000.00","Â£1,500,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,-,-,-,-,-,-,-,-,-,-,-,Crossroads Fairfield ,Large,NI030717,M34 5GB,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,-,-,-,-,-,-,-,-,-,-,-,HG Care,SME,04626258,SK43GN,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,-,-,-,-,-,-,-,-,-,-,-,INDEPENDENT OPTIONS (NORTH WEST),SME,"Company: 02560910
Charity: 1022680
",SK75PE,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,-,-,-,-,-,-,-,-,-,-,-,Rainbow Trust,VCSE,1070532,OL8 4QQ,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,-,-,-,-,-,-,-,-,-,-,-,Stockport CP ,VCSE,209782,SK8 1JE,Stockport- Services to People
2302,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,"Provision of a System for Public Safety and Protection, Planning, Building Control and Land ChargesÂ (Divided into 2 Lots) Utilising the CCS Framework RM1059 Lot 3",Mini Competition (External),Framework Agreement,01-Apr-16,36,48,31-Mar-20,Yes,31-Mar-20,01-Oct-19,"Â£42,000.00","Â£168,000.00",Idox Group,Large,2933889,G2 7JZ,Stockport- Corporate & Support Services
2304,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,Provision of an Education Management Information and Case Management System ,OJEU Tender,Contract,01-Apr-16,60,108,31-Mar-21,No,31-Mar-25,01-Oct-20,"Â£108,996.05","Â£980,964.45",Tribal Education Limited,Large,04163300,BS2 0HQ,Stockport- Corporate & Support Services
2329,Stockport Council,261100-Human Resources : Interpretation & Translation : ,British Sign Language,Tender,Contract,03-Oct-16,36,48,02-Oct-19,No,02-Oct-20,01-Jan-19,"Â£12,500.00","Â£50,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
2329,Stockport Council,261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,Action on Hearing Loss ,Large,207720,EC1Y 8SL,Stockport- Services to People
2329,Stockport Council,261100-Human Resources : Interpretation & Translation : ,British Sign Language,-,-,-,-,-,-,-,-,-,-,-,Manchester Deaf School ,Large,1110373,M13 9GH,Stockport- Services to People
2333,Stockport Council,191200-Facilities & Management Services : Document Archiving & Storage : ,Off Site Storage ,OJEU Tender,Contract,01-Jun-17,36,60,31-May-20,No,31-May-22,31-May-19,"Â£10,069.00","Â£50,346.00",DataSpace UK Limited,Small,03816685,CW9 6GB,Stockport- Corporate & Support Services
3013,Stockport Council,121000-Cemetery & Crematorium : Burial & Cremation : ,Public Funerals ,OJEU Tender,Contract,03-Apr-18,36,60,31-Mar-21,No,31-Mar-23,31-Oct-20,"Â£9,150.00","Â£40,920.00",Aidan Gaunt Funeral service,SME,,SK1 42SW,Stockport- Corporate & Support Services
3014,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,Call Off (External),Contract,01-Aug-17,36,48,31-Jul-20,No,31-Jul-21,01-May-18,"Â£50,000.00","Â£150,000.00",Wybone,SME,952455,S74 9TF,Stockport- Services to Place
3021,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Occupational Health Service,Call Off (External),Contract,01-Mar-16,48,48,29-Feb-20,No,29-Feb-20,31-Oct-19,"Â£100,000.00","Â£400,000.00",Health Management Ltd,Large,4369949,BN8 5NN,Stockport- Corporate & Support Services
3022,Stockport Council,Animals : Dogs : ,Collection of stray dogs,OJEU Tender,Framework Agreement,01-Oct-15,36,48,30-Sep-19,Yes,30-Sep-19,30-Apr-18,"Â£17,000.00","Â£51,000.00",Animal Wardens,SME,3078092,BL1 4RA,Stockport- Services to Place
3033,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Supported Living Services (103.9 - Phase 7),Mini Competition (Internal),Contract,01-Aug-16,36,48,31-Jul-20,Yes,31-Jul-20,31-Jul-19,"Â£355,887.62","Â£1,423,550.48",Royal Mencap Society,VCSE,550457 comp no  222377 charity,EC1Y 0RT,Stockport- Services to People
3059,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Physiotherapy services for Stockport Council ,Tender,Contract,01-Aug-16,36,36,31-Jul-19,No,31-Jul-19,01-Feb-19,"Â£42,000.00","Â£126,000.00", Physio.co.uk ,SME,Partnership,M3 4DN,Stockport- Corporate & Support Services
3060,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Counselling Services to Stockport Council ,Tender,Contract,05-Sep-16,36,36,04-Sep-19,Yes,04-Sep-19,01-Feb-19,"Â£47,000.00","Â£141,000.00",Beacon Counselling,SME,5429473,SK7 1BA,Stockport- Corporate & Support Services
3078,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Supported Living Services (103.10 - Phase 8),Tender,Contract,16-Jan-17,36,48,15-Jan-21,Yes,15-Jan-21,01-Sep-20,"Â£880,584.00","Â£3,522,336.00",Royal Mencap  ,VCSE,"550457
222377",M16 9HU,Stockport- Services to People
3110,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Independent Travel Training 2016 - Stockport,Tender,Contract,01-Sep-16,24,36,31-Aug-19,Yes,31-Aug-19,31-Mar-18,"Â£130,000.00","Â£390,000.00",Pure Innovations Limited,Medium,5241249,SK3 0RF,Stockport- Services to People
3163,Stockport Council,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,OJEU Tender,Contract,01-Oct-16,36,72,30-Sep-19,No,30-Sep-22,01-Sep-18,"Â£914,993.00","Â£5,489,958.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
3163,Stockport Council,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,ABL HEALTH LIMITED,Medium,7074944,BL4 0JL ,Stockport- Services to People
3163,Stockport Council,151514-Healthcare : Public Health : Specialist Services,TENDER FOR THE PROVISION OF COMMUNITY BASED LIFESTYLE SERVICES,-,-,-,-,-,-,-,-,-,-,-,STOCKPORT SPORTS TRUST t/a LIFE LEISURE,Large,4304674,SK8 7BS   ,Stockport- Services to People
3169,Stockport Council,310000-Healthcare :  ,"Sexual and Reproductive Health Services for the boroughs of Stockport, Tameside & Trafford",OJEU Tender,Contract,16-Sep-16,31,55,31-Mar-21,Yes,31-Mar-21,01-Oct-18,"Â£1,652,313.00","Â£7,435,408.50",Central Manchester University Hospitals NHS Foundation Trust,NHS,1049274,M13 0ZY,Stockport- Corporate & Support Services
3181,Stockport Council,379999-Utilities : Not Elsewhere Classified : ,"Water, Waste Water, and Ancillary Services",Local Services,Contract,01-Apr-74,539,539,30-Jun-19,No,30-Jun-19,,"Â£1,973,000.00","Â£84,674,583.33",Water Plus,Large,04141390,ST1 4FD ,Stockport- Corporate & Support Services
3184,Stockport Council,271699-Information Communication Technology : Telecommunications : ,Unified Communications,Mini Competition (External),Contract,06-Apr-17,36,60,05-Apr-20,No,05-Apr-22,01-Jun-19,"Â£69,973.94","Â£500,895.25",Virgin Media Business,Large,01785381,S98 1HS,Stockport- Corporate & Support Services
3188,Stockport Council,271420-Information Communication Technology : Services : Online Services,Governors Hub,Quote,Contract,01-Apr-16,48,48,31-Mar-20,No,31-Mar-20,01-Oct-19,"Â£12,372.00","Â£43,872.00",Ortoo Technologies,SME,8142817,NR28 ODX,Stockport- Services to People
3189,Stockport Council,209999-Financial Services : Not Elsewhere Classified : ,Early Payment Scheme - Early payment of suppliers ,Call Off (Internal),Concession,05-Apr-19,60,60,04-Apr-24,No,04-Apr-24,01-Apr-22,Income,Income,Oxygen Finance Limited,Large,5288899,B2 5QB,Stockport- Corporate & Support Services
3192,Stockport Council,379999-Utilities : Not Elsewhere Classified : ,Demand Side Response Schemes,Mini Competition (External),Concession,01-Nov-16,36,36,31-Oct-19,No,31-Oct-19,31-Oct-18,Income,Income,KiWi Power Limited,Large,07104653 ,N3 1XW ,Stockport- Services to Place
