Account Holder1,Liable From,Rateable Value,Mandatory relief (%) ,Discretionary relief (%),Small Business Rate Relief (%),Retail Relief (£),Local Discount (£),Empty Property?,Exempt Empty?,Empty From,Address 1,Addr2,Addr3,Addr4,Postcode,VOA Description code,Description,B A Reference
BHE (ST JAMES) LIMITED,10/09/2014,5900.0,0.0,0.0,0.0,£0.00,,Y,N,10/09/2014,UNIT 8 GLEDHOW WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,SHOP AND PREMISES,2010116497278.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,21750.0,0.0,0.0,0.0,£0.00,,N,N,,"UNITS 1 & 2, GLEDHOW WING",ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622052.0
BHE ST JAMES LTD,07/02/2014,9500.0,0.0,0.0,0.0,£0.00,,Y,N,07/02/2014,UNIT 3 GLEDHOW WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622063.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,9700.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 7 GLEDHOW WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622074.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,14250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 9 GLEDHOW WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622085.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,71500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 12 GLEDHOW WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622096.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,8300.0,0.0,0.0,0.0,£0.00,,N,N,,"RETAIL UNIT, BEXLEY WING",ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622118.0
COMPASS CONTRACT SERVICES (UK)LTD,07/02/2014,30000.0,0.0,0.0,0.0,£0.00,,N,N,,"CAFE UNIT, BEXLEY WING",ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CS,Shop and Premises,2010116622129.0
LEEDS TEACHING HOSPITALS NHSTRUST,01/04/2010,5120000.0,0.0,0.0,0.0,£0.00,,N,N,,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,,LS9 7LP,MH2,Hospital and Premises,2010116622272.0
UNIVERSITY OF LEEDS,01/04/2010,29500.0,80.0,0.0,0.0,£0.00,,N,N,,LABRATORIES AT ST JAMES UNIVERSITY,HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,EX,Labratories and Premises,2010116622283.0
COMPASS CONTRACT SERVICES (UK)LTD,01/04/2010,3400.0,0.0,0.0,0.0,£0.00,,N,N,,CAFE UNIT CHANCELLOR WING,ST JAMES UNIVERSITY HOSPITAL,BECKETT STREET,LEEDS,LS9 7TF,CR1,Cafe and Premises,2010116622294.0
UNIVERSITY OF LEEDS,01/12/2005,590000.0,80.0,0.0,0.0,£0.00,,N,N,,BIOMEDICAL RESEARCH AND,CLINICAL SCIENCES,ST JAMES HOSPITAL BECKETT STREET,LEEDS,LS9 7LP,EU,UNIVERSITY AND PREMISES,2010116632299.0
ARTLINK WEST YORKSHIRE,01/04/2000,6100.0,80.0,0.0,0.0,£0.00,,N,N,,191 BELLE VUE ROAD,WOODHOUSE,LEEDS,,LS3 1HG,LC,COMMUNITY CENTRE AND PREMISES,2010145322608.0
FALCON ELECTRICAL WHOLESALERSLTD,01/04/2000,22750.0,0.0,0.0,0.0,£0.00,,N,N,,12 BENSON STREET,SHEEPSCAR,LEEDS,,LS7 1AG,CW,WAREHOUSE AND PREMISES,2010148306122.0
ITEKS TEKSTIL (UK) LTD,01/09/2015,29500.0,0.0,0.0,0.0,£0.00,,Y,N,01/09/2015,SHAWELD HOUSE,BENSON STREET,SHEEPSCAR,LEEDS,LS7 1AG,CW,WAREHOUSE AND PREMISES,2010148323379.0
WOLSELEY UK LIMITEDT/A PLUMB CENTRE,01/04/2000,96500.0,0.0,0.0,0.0,£0.00,,N,N,,PLUMB CENTRE,BENSON STREET,SHEEPSCAR,LEEDS,LS7 1AG,CW,WAREHOUSE AND PREMISES,2010148353165.0
THE TILE COMPANY LTD,04/12/2013,96000.0,0.0,0.0,0.0,£0.00,,N,N,,18/20 BENSON STREET,SHEEPSCAR,LEEDS,,LS7 1AG,CS7,Showroom and Premises,2010148520070.0
RIYAT ASSOCIATES LTD,01/10/2012,8300.0,0.0,0.0,62.0,£0.00,,N,N,,RIYAT ASSOCIATES LTD,BENSON HOUSE,14 BENSON STREET,LEEDS,LS7 1BL,CW,Warehouse and Premises,2010148619984.0
BIZNES INTERNET LTD,01/04/2012,13250.0,0.0,0.0,0.0,£0.00,,Y,N,01/04/2012,2 BEULAH MOUNT,LEEDS,,,LS6 2JZ,CW3O,"Store, Office and Premises",2010154655080.0
PLACES FOR PEOPLE GROUP LTD,27/06/2005,2150.0,0.0,0.0,0.0,£0.00,,Y,Y,27/06/2005,15 BEXLEY ROAD,HAREHILLS,LEEDS,,LS8 5LG,CO,OFFICES AND PREMISES,2010156334690.0
TESCO STORES LTD,14/12/2007,122000.0,0.0,0.0,0.0,£0.00,,N,N,,SHEEPSCAR SERVICE STATION,98 ROUNDHAY ROAD,LEEDS,,LS7 1QR,CG,PETROL FILLING STATION AND PREMISES,2010159100855.0
JCDECAUX (UK) LTD,01/04/2000,1525.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERTISING RIGHT NO 012701 AT,116 ROUNDHAY ROAD,LEEDS,,LS8 5NA,CA,Advertising Right and Premises,2010159312765.0
ALI BABA CARPETS LTD,01/07/2015,13750.0,0.0,0.0,0.0,£0.00,,Y,N,01/07/2015,120/122 ROUNDHAY ROAD,LEEDS,,,LS8 5NA,CS,SHOP AND PREMISES,2010159320098.0
AFROLATINO,31/07/2006,10500.0,80.0,0.0,0.0,"-£1,035.30",,N,N,,142 ROUNDHAY ROAD,LEEDS,,,LS8 5NA,CR,RESTAURANT AND PREMISES,2010159320117.0
OPEN ALL HOURS IN LEEDS LTD,01/04/2010,7200.0,0.0,0.0,80.0,-£691.20,,N,N,,128 ROUNDHAY ROAD,LEEDS,,,LS8 5NA,CS,SHOP AND PREMISES,2010159320423.0
FIRST RESPONSE GROUP LTD,01/01/2010,8200.0,0.0,0.0,63.0,£0.00,,N,N,,UNIT A5,UNITY BUSINESS CENTRE,ROUNDHAY ROAD,LEEDS,LS7 1AB,CO,Offices and Premises,2010159345054.0
LEEP 1 CIC LTD,01/12/2014,8000.0,0.0,0.0,67.0,£0.00,,N,N,,UNIT A1,UNITY BUSINESS CENTRE,ROUNDHAY ROAD,LEEDS,LS7 1AB,CO,Offices and Premises,2010159345056.0
ADVONET LTD,01/04/2014,7700.0,0.0,0.0,72.0,£0.00,,N,N,,UNIT A3,UNITY BUSINESS CENTRE,ROUNDHAY ROAD,LEEDS,LS7 1AB,CO,Offices and Premises,2010159345058.0
MOHAMMED RASHEEDT/A GREEN DEAL BOILERS,01/08/2014,6100.0,0.0,0.0,98.0,£0.00,,N,N,,UNIT A2,UNITY BUSINESS CENTRE,ROUNDHAY ROAD,LEEDS,LS7 1AB,CO,Offices and Premises,2010159345060.0
ADVONET,01/04/2015,7600.0,80.0,0.0,0.0,£0.00,,N,N,,UNIT A4,UNITY BUSINESS CENTRE,ROUNDHAY ROAD,LEEDS,LS7 1AB,CO,Offices and Premises,2010159345061.0
TELEFONICA UK LTD,01/01/2002,4850.0,0.0,0.0,0.0,£0.00,,N,N,,TELECOMMUNICATION MAST SITE 16907,ROUNDHAY ROAD,LEEDS,,LS7 3BG,MT1,COMMUNICATION STATION AND PREMISES,2010159367308.0
CLEAR CHANNEL UK LIMITED,01/04/2002,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 0704 0355 O/S,THOMAS DANBY COLLEGE,ROUNDHAY ROAD,LEEDS,LS7 3BG,CA,ADVERTISING RIGHT AND PREMISES,2010159367561.0
CLEAR CHANNEL UK LIMITED,01/02/2003,10250.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 6506 01-04,OPP THOMAS DANBY COLLEGE,ROUNDHAY ROAD,LEEDS,LS7 3HG,CA,ADVERTISING RIGHT AND PREMISES,2010159369531.0
LEEDS CITY COUNCIL,02/11/2007,192000.0,0.0,0.0,0.0,£0.00,,N,N,,TRIBECA HOUSE,ROUNDHAY ROAD,LEEDS,,LS7 3BG,CO,OFFICES AND PREMISES,2010159428725.0
YCS SKILLS CENTRE,04/05/2010,7000.0,0.0,50.0,83.0,£0.00,,N,N,,124 ROUNDHAY ROAD,LEEDS,,,LS8 5NA,CS,Shop and Premises,2010159496112.0
SOLACE SURVIVING EXILE ANDPERSECUTION,01/11/2013,6500.0,80.0,0.0,0.0,£0.00,,N,N,,SUITE 2 AT,150 ROUNDHAY ROAD,LEEDS,,LS8 5LJ,CO,Offices and Premises,2010159517969.0
COMMUNITY LINKS (NORTHERN) LTD,01/11/2013,5800.0,80.0,0.0,0.0,£0.00,,N,N,,SUITE 3 AT,150 ROUNDHAY ROAD,LEEDS,,LS8 5LJ,CO,Offices and Premises,2010159517980.0
COMMUNITY LINKS (NORTHERN) LTD,20/02/2007,33250.0,80.0,0.0,0.0,£0.00,,N,N,,SUITES 1 AND 4 AT,150 ROUNDHAY ROAD,LEEDS,,LS8 5LJ,CO,OFFICES AND PREMISES,2010159650737.0
COMMUNITY LINKS (NORTHERN) LTD,20/02/2007,14750.0,80.0,0.0,0.0,£0.00,,N,N,,SUITE 5 AT,150 ROUNDHAY ROAD,LEEDS,,LS8 5LJ,CO,OFFICES AND PREMISES,2010159650759.0
PRIMESIGHT LTD,01/09/2009,2800.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 101 09 0041,OPP OLD BLENHEIM BAPTIST SCHOOL,BLACKMAN LANE,LEEDS,LS2 9AP,CA,Advertising Right and Premises,2010164313379.0
HK&CO LTD,01/12/2013,4300.0,0.0,0.0,100.0,£0.00,,N,N,,31 BLACKMAN LANE,WOODHOUSE,LEEDS,,LS7 1LW,CS,SHOP AND PREMISES,2010165315001.0
FOUNDATION HOUSING,01/04/2001,89000.0,80.0,0.0,0.0,£0.00,,N,N,,TENNANT HALL,BLENHEIM GROVE,WOODHOUSE,LEEDS,LS7 1HR,CO,OFFICES AND PREMISES,2010170337256.0
LANGDALE CLOSE PROPERTIES LTD,01/04/2000,2300.0,0.0,0.0,0.0,£0.00,,Y,Y,01/04/2003,6 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HZ,CG1,GARAGE AND PREMISES,2010172312130.0
BARCLAYS BANK PLC,01/04/2000,30750.0,0.0,0.0,0.0,£0.00,,N,N,,25 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CS1,BANK AND PREMISES,2010172314882.0
BLACKWELL RETAIL LTD,01/04/2000,69000.0,0.0,0.0,0.0,£0.00,,N,N,,21 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CS,SHOP AND PREMISES,2010172314978.0
HSBC BANK PLC,01/04/2000,28500.0,0.0,0.0,0.0,£0.00,,N,N,,27 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CS1,BANK AND PREMISES,2010172314999.0
TESCO STORES LTD,23/02/2010,57000.0,0.0,0.0,0.0,£0.00,,N,N,,19/20 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CS,Shop and Premises,2010172321919.0
LANDMARK PROPERTIES LTD,28/09/2005,12000.0,0.0,0.0,0.0,£0.00,,Y,Y,28/09/2005,UPPER GROUND FLOOR,16 BLENHEIM TERRACE,WOODHOUSE,LEEDS,LS2 9HN,CO,OFFICES AND PREMISES,2010172348668.0
HIGH GATES INVESTMENTS LTD,25/09/2014,6900.0,0.0,0.0,0.0,£0.00,,Y,Y,25/09/2014,2ND FLOOR,8 BLENHEIM TERRACE,WOODHOUSE,LEEDS,LS2 9HZ,CO,OFFICES AND PREMISES,2010172360789.0
LANDMARK PROPERTIES LTD,23/12/2010,39750.0,0.0,0.0,0.0,£0.00,,Y,Y,23/12/2010,16 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HN,CO,OFFICES AND PREMISES,2010172361468.0
UNIVERSITY OF LEEDS,17/01/2003,45750.0,80.0,0.0,0.0,£0.00,,N,N,,15 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HN,CO,OFFICES AND PREMISES,2010172362345.0
UNIVERSITY OF LEEDS,01/04/2000,118000.0,80.0,0.0,0.0,£0.00,,N,N,,11/14 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CO,OFFICES AND PREMISES,2010172362346.0
VOLANS LEACH AND SCHOFIELD,01/04/2003,27500.0,0.0,0.0,0.0,£0.00,,N,N,,10 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HX,CO,OFFICES AND PREMISES,2010172369266.0
HIGH GATES INVESTMENTS LTD,25/09/2014,22000.0,0.0,0.0,0.0,£0.00,,Y,Y,01/04/2015,GND & 1ST FLOORS,8 BLENHEIM TERRACE,WOODHOUSE,LEEDS,LS2 9HZ,CO,OFFICES AND PREMISES,2010172370048.0
LANDMARK PROPERTIES LTD,23/12/2010,22000.0,0.0,0.0,0.0,£0.00,,Y,Y,23/12/2010,2ND FLOOR,16 BLENHEIM TERRACE,LEEDS,,LS2 9HN,CO,OFFICES AND PREMISES,2010172425095.0
TELEFONICA UK LTD,01/04/2005,2250.0,0.0,0.0,0.0,£0.00,,N,N,,O2 SITE REF 12431,BLENHEIM TERRACE,LEEDS,,LS2 9HE,MT1,COMMUNICATION STATION AND PREMISES,2010172436942.0
TESCO PERSONAL FINANCE PLC,01/04/2010,5900.0,0.0,0.0,0.0,£0.00,,N,N,,ATM SITE AT 19/20 BLENHHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HD,CX,SITE OF ATM AND PREMISES,2010172628333.0
YORKSHIRE PROSPERITY PLC,30/06/2014,26250.0,0.0,0.0,0.0,£0.00,,N,N,,BSMT GROUND 1ST & 2ND FLOORS,6 BLENHEIM TERRACE,WOODHOUSE,LEEDS,LS2 9HD,CO,Offices and Premises,2010172630852.0
THE LIBERTINE BAR (LEEDS) LTD,20/08/2014,9800.0,0.0,0.0,37.0,"-£1,500.00",,N,N,,GROUND FLOOR,7 BLENHEIM TERRACE,LEEDS,,LS2 9HZ,CR,Restaurant and Premises,2010172632073.0
THE LIBERTINE CAFE (LEEDS) LTD,20/08/2014,6400.0,0.0,0.0,93.0,-£204.80,,N,N,,BASEMENT FLOOR,7 BLENHEIM TERRACE,LEEDS,,LS2 9HZ,CR1,Cafe and Premises,2010172632084.0
YORKSHIRE PROSPERITY PLC,10/09/2014,15000.0,0.0,0.0,0.0,£0.00,,Y,Y,10/09/2014,GROUND FLOOR & BASEMENT,22 BLENHEIM TERRACE,LEEDS,,LS2 9HD,CS,Shop and Premises,2010172633899.0
YORKSHIRE PROSPERITY PLC,10/09/2014,15500.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,GROUND FLOOR & BASEMENT,23 BLENHEIM TERRACE,LEEDS,,LS2 9HD,CS,Shop and Premises,2010172633910.0
ACTION ENGLISH LANGUAGETRAINING LLP,22/02/2010,27000.0,0.0,0.0,0.0,£0.00,,N,N,,9 BLENHEIM TERRACE,WOODHOUSE,LEEDS,,LS2 9HZ,CO,Classrooms and Premises,2010172659251.0
TESCO STORES LTD,22/06/2012,26000.0,0.0,0.0,0.0,£0.00,,N,N,,TESCO EXPRESS,102 BURLEY ROAD,BURLEY,LEEDS,LS3 1JP,CS,SHOP AND PREMISES,2010244101566.0
M. B. LOCKING LOGISTICS GROUPLTD,01/04/2000,17250.0,0.0,0.0,0.0,£0.00,,N,N,,ST ANDREWS HOUSE,42/44 BURLEY ROAD,BURLEY,LEEDS,LS3 1JX,CW,WAREHOUSE AND PREMISES,2010244305751.0
OILGEAR TOWLER LTD,07/02/2006,143000.0,0.0,0.0,0.0,£0.00,,N,N,,37 BURLEY ROAD,BURLEY,LEEDS,,LS3 1JT,IF,FACTORY AND PREMISES,2010244305760.0
LEEDS (NORTH) FOODBANK,06/11/2014,5100.0,0.0,0.0,100.0,£0.00,,N,N,,62A BURLEY ROAD,BURLEY,LEEDS,,LS3 1JX,IF3,WORKSHOP AND PREMISES,2010244307139.0
AMAAD AFZALMOTORITE AUTOCENTRES LTD,24/10/2014,19000.0,0.0,0.0,0.0,£0.00,,N,N,,58 BURLEY ROAD,LEEDS,,,LS3 1JX,CG2,Garage and Premises,2010244311276.0
BEDSIDE MANOR LTD,21/11/2003,29000.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,108/112 BURLEY ROAD,BURLEY,LEEDS,,LS3 1JP,CS,SHOP AND PREMISES,2010244314923.0
RADIO AIRE LTD,01/04/2000,61000.0,0.0,0.0,0.0,£0.00,,N,N,,RADIO AIRE,51 BURLEY ROAD,BURLEY,LEEDS,LS3 1JP,CX,STUDIO AND PREMISES,2010244328960.0
ABACUS EXPRESS LTD,01/04/2000,11000.0,0.0,0.0,0.0,£0.00,,N,N,,114 BURLEY ROAD,BURLEY,LEEDS,,LS3 1JP,CO,OFFICES AND PREMISES,2010244331640.0
FIRSURE LTD,01/06/2015,25250.0,0.0,0.0,0.0,£0.00,,Y,N,01/06/2015,1 ANGEL COURT,BURLEY ROAD,LEEDS,,LS3 1BS,IF3O,"Workshop, Office and Premises",2010244359651.0
SLEEK NETWORKS LTD,23/02/2009,23750.0,0.0,0.0,0.0,£0.00,,N,N,,4 ANGEL COURT,BURLEY ROAD,LEEDS,,LS3 1BS,CW,Warehouse and Premises,2010244360517.0
NANOCOAT UK LTD,14/08/2015,9100.0,0.0,0.0,0.0,£0.00,,N,N,,116 BURLEY ROAD,BURLEY,LEEDS,,LS3 1JP,CO,OFFICES AND PREMISES,2010244361996.0
LAHORE CAFE BAR (LEEDS) LIMITED,05/08/2011,14750.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,84-90 BURLEY ROAD,BURLEY,LEEDS,,LS3 1JP,CR,RESTAURANT AND PREMISES,2010244365406.0
PRIMESIGHT LTD,01/09/2009,1025.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 4404 GABLE,112 BURLEY ROAD,BURLEY,LEEDS,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244368352.0
NANOCOAT UK LTD,14/08/2015,6400.0,0.0,0.0,0.0,£0.00,,N,N,,118 BURLEY ROAD,LEEDS,,,LS3 1JP,CO,OFFICES AND PREMISES,2010244412017.0
VOXTECH LTD,01/01/2005,245.0,0.0,0.0,0.0,£0.00,,N,N,,STREET SITE NO 137,OPP 90 BURLEY ROAD,LEEDS,,LS3 1JP,CA,Advertising Right and Premises,2010244418926.0
VOXTECH LTD,01/01/2005,245.0,0.0,0.0,0.0,£0.00,,N,N,,STREET SITE NO 138 OPP,118/120 BURLEY ROAD,LEEDS,,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244418937.0
VOXTECH LTD,01/01/2005,245.0,0.0,0.0,0.0,£0.00,,N,N,,STREET SITE O/S,138 BURLEY ROAD,LEEDS,,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244418948.0
VOXTECH LTD,01/01/2005,245.0,0.0,0.0,0.0,£0.00,,N,N,,STREET SITE OPP,231 BURLEY ROAD,BURLEY,LEEDS,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244418989.0
DOT100 LTD,06/05/2015,15000.0,0.0,0.0,0.0,"-£1,356.56",,N,N,,UNIT 3 AT THE TRIANGLE,2 BURLEY ROAD,LEEDS,,LS3 1JP,CS,SHOP AND PREMISES,2010244454795.0
J G BARBERS LTD,31/10/2014,13250.0,0.0,0.0,0.0,£0.00,,N,N,,RETAIL UNIT 2 AT THE TRIANGLE,2 BURLEY ROAD,LEEDS,,LS3 1JP,CS,SHOP AND PREMISES,2010244459954.0
TECHNET SALES LTDT/A UNIT ONE BAR,18/08/2014,36250.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,UNIT 1 AT THE TRIANGLE,2 BURLEY ROAD,LEEDS,,LS3 1JP,CR1,CAFE AND PREMISES,2010244459965.0
CLEAR CHANNEL UK LIMITED,17/03/2008,400.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 0704 1110,BURLEY ROAD,BURLEY,LEEDS,LS4 2EU,CA,Advertising Right and Premises,2010244474958.0
CLEAR CHANNEL UK LIMITED,17/03/2008,400.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERT RIGHT 0704 1100 AT,222 BURLEY ROAD,BURLEY,LEEDS,LS4 2EU,CA,ADVERTISING RIGHT AND PREMISES,2010244474969.0
SMART TUTORING LTD,30/11/2012,11750.0,0.0,0.0,0.0,£0.00,,N,N,,OFFICES 1ST FLOOR,70 BURLEY ROAD,LEEDS,,LS3 1JP,CO,OFFICES AND PREMISES,2010244477235.0
TOLENT CONSTRUCTION LIMITED,29/07/2014,4300.0,0.0,0.0,0.0,£0.00,,N,N,,STORES 1ST FLOOR,70 BURLEY ROAD,LEEDS,,LS3 1JP,CW3,STORE AND PREMISES,2010244477246.0
CLEAR CHANNEL UK LIMITED,22/12/2008,400.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERTISING RIGHT SITE NO 0704 1128,BURLEY ROAD,BURLEY,LEEDS,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244483296.0
CLEAR CHANNEL UK LIMITED,15/01/2009,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERTISING RIGHT SITE REF 0704 113,OPP 160 BURLEY ROAD,LEEDS,,LS4 2EU,CA,ADVERTISING RIGHT AND PREMISES,2010244486575.0
CLEAR CHANNEL UK LIMITED,09/06/2008,800.0,0.0,0.0,0.0,£0.00,,N,N,,ADSHEL REF 0704 1120,OUTSIDE ROSEBANK PRIMARY SCHOOL,BURLEY ROAD,LEEDS,LS3 1JP,CA,ADVERTISING RIGHT AND PREMISES,2010244486586.0
SLEEK NETWORK LTD,01/08/2011,34250.0,0.0,0.0,0.0,£0.00,,N,N,,3 ANGEL COURT,BURLEY ROAD,LEEDS,,LS3 1BS,CW,Warehouse and Premises,2010244506540.0
PARKLANE PROPERTIES LTD,03/12/2006,106000.0,0.0,0.0,0.0,£0.00,,N,N,,ROOMZZZ,2 BURLEY ROAD,LEEDS,,LS3 1JU,CH,SERVICED APARTMENTS AND PREMISES,2010244610121.0
SOI ASIA LTD,14/08/2014,12250.0,0.0,0.0,0.0,£0.00,,Y,N,14/08/2014,70A BURLEY ROAD,LEEDS,,,LS3 1JP,CS,Shop and Premises,2010244628388.0
CLEAR CHANNEL UK LIMITED,01/04/2000,2350.0,0.0,0.0,0.0,£0.00,,N,N,,ADVERTISING RIGHT 6030 01/02,BURLEY STREET,BURLEY,LEEDS,LS3 1LD,CA,ADVERTISING RIGHT AND PREMISES,2010248313506.0
BURLEY STREET BREWHOUSE LTD,01/06/2010,9000.0,0.0,0.0,50.0,"-£1,500.00",,N,N,,FOX AND NEWT,BURLEY STREET,BURLEY,LEEDS,LS3 1LB,CL,PUBLIC HOUSE AND PREMISES,2010248317045.0
CROWN CASTLE UK LTD,01/08/2002,14500.0,0.0,0.0,0.0,£0.00,,Y,Y,01/04/2010,TELECOM MAST SITE REF 165990,TELEPHONE EXCHANGE,BURLEY STREET,LEEDS,LS3 1AB,MT1,COMMUNICATION STATION AND PREMISES,2010248429242.0
