PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
51.0,Dr. ROSS & PARTNERS                 ,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,2455.0
52.0,Dr Rea & Partners,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast,2851.0
53.0,Dr B J Colgan,463 FALLS ROAD,BELFAST,,BT12 6DD,Belfast,3107.0
55.0,Dr D O'Kane,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast,1221.0
57.0,DR. JE CAMPBELL AND PARTNERS,THE CARRICKHILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,4902.0
58.0,DR B J FARNAN & PARTNERS,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast,5804.0
60.0,DR. GE BURNS AND PARTNER,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast,2801.0
61.0,Dr Crossin & Partners,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast,9865.0
62.0,Dr. GARDINER                        ,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,1313.0
63.0,Drs McMullan & O'Donnell,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2946.0
64.0,Drs Donaghy & Murphy,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast,4276.0
66.0,Dr. MCAUGHEY & PARTNERS             ,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6972.0
68.0,Dr Crawford & Partners,136/138 SHANKILL ROAD,BELFAST,,BT13 2BD,Belfast,2614.0
69.0,Drs Tan & McGirr (1),FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast,3083.0
70.0,Dr Rainey & Partners,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast,5505.0
71.0,Dr. LEAVY & PARTNERS                ,463 SPRINGFIELD ROAD,BELFAST,,BT12 7DP,Belfast,6347.0
72.0,Dr R H McKee,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast,1856.0
73.0,Dr. CLULOW & PARTNER                ,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast,2288.0
74.0,Drs Ryan & Simpson,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast,2842.0
75.0,Dr Lenfestey & Partners,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast,10203.0
79.0,Dr Bready & Partners,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast,9092.0
80.0,DR. KB SWAIN AND PARTNERS,460 OLDPARK ROAD,BELFAST,,BT14 6QG,Belfast,4675.0
81.0,Dr Giles & Partners,46 SPRINGFIELD ROAD,BELFAST,,BT12 7AH,Belfast,7803.0
83.0,Dr. CARROLL & PARTNERS              ,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast,6304.0
84.0,Drs Salters & Diamond,186 FALLS ROAD,BELFAST,,BT12 6AG,Belfast,3692.0
85.0,Dr MacSorley & Partners,515 ANTRIM ROAD,BELFAST,,BT15 3BS,Belfast,5497.0
86.0,Dr Brown & Partners,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast,10550.0
92.0,Dr. MCFERRAN & PARTNERS             ,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,5005.0
93.0,Dr Sharma & Partners,61 CLIFTONVILLE ROAD,BELFAST,,BT14 6JN,Belfast,5837.0
94.0,Dr Cummings & Partners,115 FALLS ROAD,BELFAST,,BT12 6AA,Belfast,7041.0
95.0,Dr S J McHugh,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,2674.0
96.0,Dr. BROWN & PARTNERS                ,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast,5552.0
98.0,Drs Wilson & McClure,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast,3745.0
101.0,Drs Toal & Watters,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast,4744.0
103.0,Dr Donnelly & Partners,15/17 CLIFTON STREET,BELFAST,,BT13 1AD,Belfast,9086.0
104.0,Dr. WRIGHT & PARTNERS               ,17 BALLYGOMARTIN ROAD,BELFAST,,BT13 3BW,Belfast,8005.0
105.0,Dr Collins & Partners,OLD CHURCH PRACTICE,"2ND FLOOR, CORNERSTONE MEDICAL CENTRE","69 SHANKILL ROAD, BELFAST",BT13 1FD,Belfast,2527.0
111.0,Dr. MCKENNA & PARTNER               ,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast,2734.0
113.0,Dr Dugan,173 ANDERSONSTOWN ROAD,BELFAST,,BT11 9EA,Belfast,4486.0
114.0,Dr. BONNAR & PARTNERS               ,33 STEWARTSTOWN ROAD,BELFAST,,BT11 9FZ,Belfast,6956.0
116.0,Dr Mulholland & Partners,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast,4514.0
132.0,DR. S HOLMES AND PARTNERS,THE KELLY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,4069.0
136.0,Dr. HAIGNEY & PARTNERS              ,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast,6384.0
140.0,DR. R RODRIGUES AND PARTNERS,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,8259.0
143.0,Dr Rowan & Partners,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast,5682.0
144.0,Dr A T Dawson,RAVENBANK SURGERY,113 RAVENHILL ROAD,BELFAST,BT6 8DR,Belfast,1567.0
145.0,Dr. KILLINER & PARTNERS             ,15A DONEGALL ROAD,BELFAST,,BT12 5JJ,Belfast,7996.0
146.0,Drs Boyd & Hamilton,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast,4115.0
147.0,Dr Dean & Partners,281 ORMEAU ROAD,BELFAST,,BT7 3GG,Belfast,7781.0
148.0,Drs Rutherford & McFarland,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast,9091.0
151.0,Dr Irwin & Partners,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast,13353.0
153.0,Dr McDonnell & Partners,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast,9546.0
154.0,Drs McCauley & Toland,142 - 144 UNIVERSITY STREET,BELFAST,,BT7 1HH,Belfast,4906.0
156.0,Dr Chakravarty & Partners,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast,7203.0
157.0,Dr. FAIR & PARTNERS                 ,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast,10377.0
159.0,Dr Corkey & Partners,485 ORMEAU ROAD,BELFAST,,BT7 3GR,Belfast,5961.0
162.0,Drs Collier & Thompson,10/12 LISBURN ROAD,BELFAST,CO ANTRIM,BT9 6AA,Belfast,2584.0
164.0,Dr E Murdock,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast,3320.0
165.0,Dr Cashell & Partners,6 NORTH PARADE,BELFAST,,BT7 2GG,Belfast,8391.0
166.0,Dr E Cullen,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast,2656.0
191.0,DR R T S HARRISON  PARTNERS,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern,9788.0
192.0,Dr J McGill,KILLYLEAGH SURGERY,14 DOWNPATRICK ROAD,"KILLYLEAGH, DOWNPATRICK",BT30 9RG,South Eastern,4875.0
193.0,Dr Greer & Partners,14 CHURCH VIEW,DUNDRUM,NEWCASTLE,BT33 0NA,South Eastern,9386.0
194.0,Drs Hyland & Denvir,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,2006.0
195.0,Dr J M Kyle,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern,1732.0
196.0,DR. M MURPHY,THE HEALTH CENTRE,DOWNPATRICK ROAD,ARDGLASS,BT30 7SF,South Eastern,3175.0
198.0,Dr Ross & Partners,THE HEALTH CENTRE,FAIRVIEW,"SAINTFIELD, BALLYNAHINCH",BT24 7AD,South Eastern,8672.0
201.0,Dr Bready & Partners,DONARD FAMILY PRACTICE,56 MAIN STREET,"NEWCASTLE, CO DOWN",BT33 0AE,South Eastern,11725.0
202.0,Drs Moore & Small,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,3796.0
204.0,Drs Mulhall & Deeny,THE SURGERY,12 THE GREEN,"IRISH STREET, DOWNPATRICK",BT30 6BE,South Eastern,4803.0
205.0,Dr Phillips & Partners,THE SURGERY,JAMES STREET,"CROSSGAR, DOWNPATRICK",BT30 9JU,South Eastern,4782.0
206.0,Drs Hannah & McGoldrick,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern,4801.0
207.0,Drs Harney & Harney,STREAM STREET SURGERY,40 STREAM STREET,DOWNPATRICK,BT30 6DE,South Eastern,4897.0
221.0,DR. A SMYLIE AND PARTNERS,HEALTH CENTRE,BALLYNAHINCH ST,HILLSBOROUGH,BT26 6AW,South Eastern,9659.0
222.0,Dr Bradley & Partners,WOODBROOK MEDICAL PRACTICE,STEWARTSTOWN ROAD,DUNMURRY  BELFAST,BT17 0FB,South Eastern,8755.0
223.0,Drs Walmsley & Carson,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,3782.0
224.0,Dr Cowan & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,7033.0
226.0,Dr Hicks & Partners,THE SURGERY,BEGNEY HILL ROAD,DROMARA,BT25 2AT,South Eastern,8080.0
227.0,Dr Jefferson & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,11700.0
228.0,Drs Forde & Doherty,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,4249.0
229.0,Dr Greene & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,8635.0
230.0,DR. JS HENRY AND PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,5188.0
231.0,DR. G M WILSON & PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,9838.0
232.0,Dr Dick & Partners,192 KINGSWAY,DUNMURRY,BELFAST,BT17 9AL,South Eastern,7821.0
233.0,DR. OT GALLAGHER AND PARTNER,GLENAVY FAMILY PRACTICE,47 MAIN STREET,"GLENAVY, CRUMLIN",BT29 4LN,South Eastern,4660.0
234.0,Drs Patterson & Vaughan,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern,1853.0
252.0,Dr Lavery & Partners,PRIORY SURGERY,26 HIGH STREET,HOLYWOOD,BT18 9AD,South Eastern,14675.0
253.0,DR. WJS BAIRD AND PARTNERS,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7714.0
254.0,Dr Donaldson & Partners,24 LISBARNETT ROAD,LISBANE,NEWTOWNARDS,BT23 6AW,South Eastern,4060.0
255.0,Dr H C Johnston & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5396.0
256.0,Dr. CRAIG & PARTNERS                ,140 GROOMSPORT ROAD,BANGOR,CO DOWN,BT20 5PE,South Eastern,5625.0
257.0,Dr Kane & Partners,THE SURGERY,BROOK STREET,HOLYWOOD,BT18 9DA,South Eastern,7979.0
258.0,Drs Drew & Nicol,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,4909.0
259.0,DR. D COMPTON AND PARTNER,CUAN FAMILY PRACTICE,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,3815.0
260.0,Dr Douglas & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,7275.0
261.0,Dr. NEOH & PARTNERS                 ,KILLYNETHER PRACTICE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,6111.0
263.0,Dr J Bissett,DR ROBERT HENRY SURGERY,7A NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5AU,South Eastern,1774.0
264.0,Dr N Majury,SILVERBIRCH MEDICAL PRACTICE,39A SILVERBIRCH ROAD,BANGOR,BT19 6EU,South Eastern,2778.0
265.0,Dr. HYLAND & PARTNER                ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4144.0
267.0,Dr. SEMPLE & PARTNERS               ,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,2605.0
271.0,Dr Lees & Partners,OLD MILL SURGERY,CHURCH STREET,NEWTOWNARDS,BT23 4AS,South Eastern,10490.0
272.0,Dr G F B Horner & Partners,16 A THE SQUARE,COMBER,NEWTOWNARDS,BT23 5DT,South Eastern,6559.0
273.0,Drs Leonard & McMillan,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern,3032.0
274.0,Dr  Laird & Partners,BLOOMFIELD SURGERY,95 BLOOMFIELD ROAD,BANGOR,BT20 4XA,South Eastern,10371.0
275.0,Drs McCarthy & Webb,REGENCY MEDICAL CENTRE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern,4703.0
276.0,Dr J Miller & Partners,DONAGHADEE HEALTH CENTRE,3 KILLAUGHEY ROAD,DONAGHADEE,BT21 0BU,South Eastern,9061.0
278.0,Dr. KENNEDY & PARTNERS              ,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,4435.0
279.0,Dr Peacock & Partners,WINDMILL SURGERY,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern,2486.0
280.0,Drs Thompson & McMinn,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern,5223.0
281.0,Dr. ABRAHAM & PARTNERS              ,CLELAND PARK SURGERY,2 CLELAND PARK,BANGOR,BT20 3EB,South Eastern,5576.0
282.0,Drs Steele & Hughes,THE HEALTH CENTRE,FOWLER WAY,"BALLYWALTER, NEWTOWNARDS",BT22 2PY,South Eastern,5249.0
283.0,Dr Steele & Partners,LOUGH VIEW SURGERY,2 MAIN STREET,"KIRCUBBIN, NEWTOWNARDS",BT22 2SP,South Eastern,5690.0
284.0,Drs Armstrong & Stelfox,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern,3045.0
285.0,Dr. JACKSON & PARTNER               ,GREEN ROAD MEDICAL CENTRE,5 GREEN ROAD,"CONLIG, NEWTOWNARDS",BT23 7PZ,South Eastern,3382.0
302.0,Dr Green & Partners,THE SURGERY,80 CASTLETON,"TEMPLEPATRICK, BALLYCLARE",BT39 0AZ,Northern,8955.0
303.0,Dr Hyndman & Partners,1 GLENAVY ROAD,CRUMLIN,CO ANTRIM,BT29 4LA,Northern,7432.0
304.0,Dr. BUTLER & PARTNERS               ,"MAINE MEDICAL, THE HEALTH CENTRE",PORTGLENONE ROAD,"AHOGHILL, BALLYMENA",BT42 1LE,Northern,4909.0
305.0,Dr. HARPER & PARTNERS               ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,3639.0
307.0,DR W HOGG AND PARTNER,"CASTLE MEDICAL PRACTICE, ANTRIM HEALTH CENTRE",32A STATION ROAD,ANTRIM,BT41 4BS,Northern,4087.0
308.0,DR. HUNTER AND PARTNERS,ORIEL SURGERY,31 ORIEL ROAD,ANTRIM,BT41 4HR,Northern,5764.0
310.0,Dr Allen & Partners,CULLYBACKEY HEALTH CENTRE,TOBER PARK,"CULLYBACKEY, BALLYMENA",BT42 1NW,Northern,7389.0
311.0,Drs Magowan & Magowan,THE SURGERY,77 GALGORM ROAD,BALLYMENA,BT42 1AA,Northern,2448.0
312.0,Dr. PURCE & PARTNERS                ,SLEMISH VIEW MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,2570.0
313.0,Drs Russell & Simms,THE GABLES,45 WAVENEY ROAD,BALLYMENA,BT43 5BA,Northern,3603.0
314.0,Dr. MCFARLAND & PARTNERS            ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4496.0
315.0,Dr. O'HARA & PARTNER                ,CUSHENDALL ROAD,BALLYMENA,CO ANTRIM,BT43 6HQ,Northern,3241.0
317.0,Dr Redmond & Partners,THE HEALTH CENTRE,76 MAIN STREET,BROUGHSHANE BALLYMENA,BT42 4JA,Northern,6679.0
319.0,DR. W.J.C.WILSON AND PARTNERS,PORTGLENONE HEALTH CENTRE,17 TOWNHILL ROAD,"PORTGLENONE, BALLYMENA",BT44 8AD,Northern,6732.0
321.0,Dr. MCQUILLAN & PARTNERS            ,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern,4340.0
323.0,Dr J D Simpson,SMITHFIELD MEDICAL CENTRE,7 SMITHFIELD PLACE,"GALGORM ROAD, BALLYMENA",BT43 5HB,Northern,2491.0
325.0,Dr R H Bill,KELLS & CONNOR MEDICAL CENTRE,36 CHURCH ROAD,"KELLS, BALLYMENA",BT42 3JU,Northern,3673.0
326.0,DR. MCCUSKER AND PARTNERS,THE FAMILY PRACTICE,THE HEALTH CENTRE,"STATION ROAD, ANTRIM",BT41 4BS,Northern,5712.0
327.0,Drs Leggett & Kidd,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3458.0
328.0,Dr. JOHNSTON & PARTNERS             ,MAINE MEDICAL PRACTICE,"OLD MILL PARK, MAIN STREET","CULLYBACKEY, BALLYMENA",BT42 1GP,Northern,5058.0
329.0,DR. HUTCHINSON & PARTNER,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern,3712.0
330.0,Drs Turk & McKenna,THE HEALTH CENTRE,STATION ROAD, ANTRIM,BT41 4BS,Northern,4759.0
331.0,Drs Huey & Khanna,BRAID FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern,4164.0
333.0,DR D S RAINEY,THE SURGERY,"TOOME HOUSE, 55 MAIN STREET","TOOMEBRIDGE, ANTRIM",BT41 3TF,Northern,3426.0
334.0,Dr McIlroy & Partners,THE HEALTH CENTRE,5 NEILLSBROOK ROAD,"RANDALSTOWN, ANTRIM",BT41 3AE,Northern,10350.0
336.0,Dr Hegan & Partners,2 MALLUSK ROAD,NEWTOWNABBEY,,BT36 4PP,Northern,8533.0
337.0,DR KYLE AND PARTNERS,GLENGORMLEY PRACTICE,324 ANTRIM ROAD,NEWTOWNABBEY,BT36 5EQ,Northern,8517.0
341.0,DR. BECK AND PARTNERS,THE HEALTH CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5000.0
344.0,Dr. TRACEY & PARTNERS               ,KILLOWEN MEDICAL CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern,5603.0
345.0,Dr Johnston & Partners,BALLYMONEY FAMILY PRACTICE,BALLYMONEY HEALTH CENTRE,"21B NEWAL ROAD, BALLYMONEY",BT53 6HB,Northern,12414.0
346.0,Dr Shannon & Partners,LODGE HEALTH,20 LODGE MANOR,COLERAINE,BT52 1JX,Northern,10226.0
349.0,Dr Lynch &  Partners,THE COUNTRY MEDICAL PRACTICE,122 BALLINLEA ROAD,"ARMOY, BALLYMONEY",BT53 8TY,Northern,6138.0
350.0,Drs Wee & Brown,6 PRIESTLAND ROAD,BUSHMILLS,,BT57 8QP,Northern,2959.0
351.0,DR. JS BAILIE AND PARTNERS,PORTRUSH MEDICAL CENTRE,17 DUNLUCE AVENUE,PORTRUSH,BT56 8DW,Northern,7378.0
352.0,Dr Kerr & Partners,GARVAGH HEALTH CENTRE,110 MAIN STREET,"GARVAGH, COLERAINE",BT51 5AE,Northern,5740.0
354.0,Drs J Harley & D Harley,THE FAMILY PRACTICE,6 LEVER ROAD,PORTSTEWART,BT55 7EF,Northern,3224.0
355.0,Dr McGurk & Partners,THE HEALTH CENTRE,36 GARVAGH ROAD,"KILREA, COLERAINE",BT51 5QP,Northern,6843.0
356.0,Dr Turner &  Partners,4 MOUNTSANDEL ROAD,COLERAINE,CO LONDONDERRY,BT52 1JB,Northern,11370.0
357.0,Dr McSparran & Partners,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD,"CUSHENDALL, BALLYMENA",BT44 0TE,Northern,5126.0
358.0,Drs Nutt & Siberry,LIFFOCK,69 SEA ROAD,"CASTLEROCK, COLERAINE",BT51 4TW,Northern,2700.0
360.0,Drs Henderson & Young,THE HEALTH CENTRE,10 MONEYLECK ROAD,"RASHARKIN, BALLYMENA",BT44 8QB,Northern,4374.0
361.0,Dr Fannin & Partners,THE HEALTH CENTRE,ROBINSON MEMORIAL HOSPITAL,BALLYMONEY,BT53 6HH,Northern,5349.0
366.0,Dr. MCLISTER & PARTNERS             ,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,3979.0
367.0,Drs McCurdy & Armstrong,THE FROCESS MEDICAL CENTRE,56 MAIN STREET,"CLOUGHMILLS, BALLYMENA",BT44 9LF,Northern,4535.0
368.0,Dr Bell & Partners,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern,4740.0
369.0,Dr Carlin & Partners,PORTSTEWART MEDICAL CENTRE,MILL ROAD,PORTSTEWART,BT55 7SW,Northern,4281.0
382.0,Dr Esler & Partners,MEADOWBRIDGE SURGERY,SLAUGHTERFORD ROAD,"WHITEHEAD, CARRICKFERGUS",BT38 9TG,Northern,9128.0
385.0,Dr Gamble & Partners,OLD SCHOOL SURGERY,54 STATION ROAD,"GREENISLAND, CARRICKFERGUS",BT38 8TP,Northern,9869.0
386.0,Dr B D Glover,ANTRIM COAST MEDICAL PRACTICE,7 THE CLONEY,"GLENARM, BALLYMENA",BT44 0AB,Northern,2018.0
387.0,DR. FERGUSON AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,7272.0
388.0,Dr Dunn & Partners,INVER SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5051.0
