artist,title,album
jewel,gloria,joy: a holiday collection
live,the dolphin's cry,the distance to here
michael mclean,together forever,the collection volume 1
hootie and the blowfish,show me your heart,hootie and the blowfish
jack johnson,constellations,in between dreams
weird al yankovic,weasel stomping day,straight outta lynwood
aquabats,the story of nothing!,the fury of the aquabats
sheryl crow,perfect lie,wildflower
corrs,when the stars go blue,live in dublin
hootie and the blowfish,tucker's town,fairweather johnson
shakira,ciega sordomuda,&iquest;d&oacute;nde est&aacute;n los ladrones?
weezer,my best friend,make believe
simon and garfunkel,homeward bound,parsley sage rosemary and thyme
journey,open arms,escape
barenaked ladies,leave,stunt
cake,comfort eagle,comfort eagle
green day,give me novacaine,american idiot
weird al yankovic,wanna b ur lovr,poodle hat
inxs,never tear us apart,kick
john williams,jurassic park theme,jurassic park soundtrack
they might be giants,hopeless bleak despair,mink car
u2,in a little while,all that you can't leave behind
cure,boys don't cry,boys don't cry
weezer,el scorcho,pinkerton
u2,i will follow,boy
puddle of mudd,blurry,come clean
madonna,american pie,music
counting crows,sundays,saturday nights &amp; sunday mornings
julie de azevedo,shine on me,treasure the truth - especially for youth 1997
alanis morissette,all i really want,jagged little pill
counting crows,goodnight l.a.,hard candy
tony toni tone,feels good,the revival
aquabats,look at me (i'm a winner)!,charge!!
michael jackson,remember the time,dangerous
weezer,glorious day,weezer (2001)
counting crows,hanging tree,saturday nights &amp; sunday mornings
weird al yankovic,the brady bunch,in 3-d
they might be giants,prevenge,the spine
jack johnson,sitting waiting wishing,in between dreams
alabama,song of the south,southern star
les mis&eacute;rables,night of anguish,les mis&eacute;rables soundtrack
nickelback,how you remind me,silver side up
the simpsons,can i borrow a feeling?,go simpsonic with the simpsons
beatles,a hard day's night,a hard day's night
sarah mclachlan,i will remember you,the brothers mcmullen soundtrack
natalie merchant,the letter,tigerlily
beach boys,fun fun fun,shut down vol. 2
deep blue something,done,home
michael hicks,as sisters in zion &amp; we'll bring the world his truth,
heart,these dreams,heart
smashing pumpkins,here is no why,mellon collie and the infinite sadness - dawn to dusk
peter schilling,major tom (coming home),error in the system
enigma,return to innocence,the cross of changes
cranberries,dreaming my dreams,no need to argue
norah jones,creepin' in,feels like home
beach boys,man with all the toys,the beach boys' christmas album
the simpsons,who wants an haircut? (feat. baha man),testify
they might be giants,mink car,mink car
jack johnson,the horizon has been defeated,on and on
the simpsons,cut every corner,go simpsonic with the simpsons
shakira,antolog&iacute;a,pies descalzos
cure,lovesong,disintegration
the simpsons,the very reason that i live,testify
take that,back for good,nobody else
tony bennett,the way you look tonight,my best friend's wedding soundtrack
jekyll &amp; hyde,someone like you,jekyll &amp; hyde soundtrack
bobby helms,jingle bell rock,jingle bell rock
finger eleven,one thing,finger eleven
aerosmith,hole in my soul,nine lives
alannah myles,black velvet,alannah myles
deep blue something,wouldn't change a thing,home
kurt bestor,my soul hungered,book of mormon soundtrack
dave matthews band,ants marching,under the table &amp; dreaming
norah jones,above ground,feels like home
general public,i'll take you there,threesome soundtrack
phil collins,you can't hurry love,hello i must be going!
omc,how bizarre,how bizarre
all-4-one,i can love you like that,and the music speaks
smashing pumpkins,stumbleine,mellon collie and the infinite sadness - twilight to starlight
metallica,the day that never comes,death magnetic
david cook,the music of the night,
aquabats,i felll asleep on my arm!,myths legends and other amazing adventures vol. 2
cake,stickshifts and safetybelts,fashion nugget
modest mouse,horn intro,good news for people who love bad news
no doubt,just a girl,tragic kingdom
david barrus,come thou fount of every blessing,beautiful savior
weird al yankovic,trigger happy,off the deep end
suede,my insatiable one,so i married an axe murderer soundtrack
goo goo dolls,you never know,gutterflower
collective soul,when the water falls,collective soul
they might be giants,why does the sun shine? (the sun is a mass of incandescent gas),why does the sun shine?
christina aguilera,ven conmigo (solamente t&uacute;),mi reflejo
ohio express,yummy yummy yummy,
man&aacute;,c&oacute;mo te deseo (vivo),en vivo
stone temple pilots,interstate love song,purple
nirvana,on a plain,nevermind
enya,boadicea,paint the sky with stars:  the best of enya
they might be giants,finished with lies,mink car
live,i alone,throwing copper
jackson 5,i want you back,diana ross presents the jackson 5
weird al yankovic,she drives like crazy,uhf soundtrack
the simpsons,the president wore pearls medley,testify
aquabats,red sweater!,the fury of the aquabats
smash mouth,can't get enough of you baby,astro lounge
they might be giants,no one knows my plan,john henry
barenaked ladies,sound of your voice,are me
aquabats,super rad!,the fury of the aquabats
andrew lloyd webber,all i ask of you (reprise),phantom of the opera
john mellencamp,death letter,trouble no more
red hot chili peppers,this is the place,by the way
andy williams,the first noel,the andy williams christmas album
they might be giants,she's an angel,they might be giants
they might be giants,stomp box,john henry
selena,i could fall in love,dreaming of you
jackson 5,i'll be there,third album
ben folds,losing lisa,rockin' the suburbs
the simpsons,jellyfish,testify
man&aacute;,vivir sin aire (vivo),en vivo
michael mclean,give a little bit of yourself,celebrating the light
les mis&eacute;rables,the runaway cart,les mis&eacute;rables soundtrack
they might be giants,ana ng,lincoln
modest mouse,blame it on the tetons,good news for people who love bad news
bon jovi,always,cross road
collective soul,sister don't cry,hints allegations and things left unsaid
madonna,santa baby,a very special christmas
lisa loeb,firecracker,firecracker
weird al yankovic,ricky,weird al yankovic
lisa loeb,furious rose,firecracker
itayp&uacute;,la adelita,folklore latinamericano vol. ii
stereo mc's,connected,connected
weird al yankovic,angry white boy polka,poodle hat
natasha bedingfield,pocketful of sunshine,pocketful of sunshine
red hot chili peppers,under the bridge,blood sugar sex magik
counting crows,time and time again,august and everything after
factoria,todav&iacute;a,
hootie and the blowfish,i will wait,musical chairs
madonna,lucky star,madonna
hootie and the blowfish,a smile,looking for lucky
three dog night,black and white,seven separate fools
moby,machete,play
weezer,surf wax america,weezer (1994)
smashing pumpkins,tonight tonight,mellon collie and the infinite sadness - dawn to dusk
la mosca ts&eacute; ts&eacute;,para no verte m&aacute;s,visperas de carnaval
killers,bling (confessions of a king),sam's town
madonna,la isla bonita,true blue
strauss,also sprach zarathrustra,
hootie and the blowfish,i go blind,friends soundtrack
byu men's chorus,lead kindly light,shout with glory
queen,under pressure,hot space
modest mouse,bukowski,good news for people who love bad news
u2,please,pop
sheryl crow,it don't hurt,globe sessions
jos&eacute; luis carrascal,como duele el frio,
coldplay,we never change,parachutes
they might be giants,cage &amp; aquarium,lincoln
huey lewis and the news,do you believe in love,picture this
pat benatar,love is a battlefield,live from earth
christina aguilera,genie in a bottle,christina aguilera - genie in a bottle
alejandro sanz,el alma al aire,el alma al aire
counting crows,insignificant,saturday nights &amp; sunday mornings
live,all over you,throwing copper
natalie imbruglia,wishing i was there,left of the middle
elton john,i guess that's why they call it the blues,too low for zero
u2,pride (in the name of love),the unforgettable fire
the simpsons,tv sucks!,songs in the key of springfield
rob zombie,dragula,hellbilly deluxe
guns n' roses,sweet child o' mine,appetite for destruction
garth brooks,two pina coladas,sevens
doobie brothers,listen to the music,toulouse street
smash mouth,why can't we be friends,fush yu mang
natalie merchant,beloved wife,tigerlily
sergio mendes,m&aacute;s que nada,herb alpert presents sergio mendes &amp; brasil '66
n sync,it's gonna be me,no strings attached
no doubt,ex-girlfriend,return of saturn
the simpsons,all singing all dancing (medley),go simpsonic with the simpsons
killers,on top,hot fuss
squirrel nut zippers,my drag,perennial favorites
ben folds,still fighting it,rockin' the suburbs
dixie chicks,ready to run,fly
sister hazel,all for you,somewhere more familiar
brian setzer orchestra,hoodoo voodoo doll,guitar slinger
baltimora,tarzan boy,living in the background
simple plan,happy together,freaky friday soundtrack
beatles,can't buy me love,a hard day's night
santana,smooth,supernatural
weezer,crab,weezer (2001)
hootie and the blowfish,let it breathe,fairweather johnson
sarah mclachlan,hold on,mirrorball
george michael,faith,faith
jack johnson,middle man,brushfire fairytales
jerry goldsmith,welcome aboard,star trek first contact soundtrack
ben folds five,brick,whatever and ever amen
u2,stuck in a moment you can't get out of,all that you can't leave behind
aquabats,powdered milk man!,the fury of the aquabats
aquabats,the baker!,myths legends and other amazing adventures vol. 2
alanis morissette,hands clean,under rug swept
beastie boys,body movin',hello nasty
sarah mclachlan,possession,mirrorball
michael jackson,rockin' robin,got to be there
limp bizkit,rollin' (clean),chocolate starfish and the hot dog flavored water
aquabats,nerd alert!,charge!!
journey,faithfully,frontiers
prince,the most beautiful girl in the world,the gold experience
billy joel,the river of dreams,river of dreams
norah jones,lonestar,come away with me
the simpsons,ode to branson,testify
james taylor,carolina in my mind,greatest hits (james taylor)
collective soul,hollywood,afterwords
james horner,highland's execution,patriot games soundtrack
les mis&eacute;rables,empty chairs at empty tables,les mis&eacute;rables soundtrack
big bad voodoo daddy,maddest kind of love,big bad voodoo daddy
u2,twilight,boy
jack johnson,flake,brushfire fairytales
dan hartman,i can dream about you,streets of fire soundtrack
chumbawamba,amnesia,tubthumper
red hot chili peppers,venice queen,by the way
lisa loeb,truthfully,firecracker
jack johnson,no other way,in between dreams
enya,flora's secret,a day without rain
tracy chapman,goodbye,let it rain
little shop of horrors,suddenly seymour,little shop of horrors soundtrack
everclear,wonderful,songs from an american movie vol. 1: learning how to smile
ray charles,what'd i say,what'd i say
amy grant,have yourself a merry little christmas,home for christmas
steve miller band,fly like an eagle,fly like an eagle
beatles,ob-la-di ob-la-da,the beatles (the white album)
weezer,the other way,make believe
elvis crespo,wow flash,wow flash
ben folds,zak and sara,rockin' the suburbs
space ghost,i love you baby,space ghost's musical bar-b-que
michelle branch,everywhere,the spirit room
counting crows,omaha,august and everything after
pachelbel,canon in d,
huey lewis and the news,the heart of rock &amp; roll,sports
bangles,hero takes a fall,all over the place
meat loaf,i would do anything for love,bat out of hell ii: back into hell
chopin,polonaise no. 6 op.53 (heroic),
jewel,amen,pieces of you
linkin park,what i've done,minutes to midnight
green day,ha ha your dead,shenanigans
they might be giants,the statue got me high,apollo 18
itayp&uacute;,sin ti,folklore latinamericano vol. i
gershwin,an american in paris,
indigo girls,devotion,retrospective
james horner,attempt on the royals,patriot games soundtrack
dave matthews band,don't drink the water,before these crowded streets
natalie merchant,the ballad of henry darger,motherland
they might be giants,number three,they might be giants
they might be giants,(she was a) hotel detective,they might be giants
carly smithson,the show must go on,
smashing pumpkins,galapagos,mellon collie and the infinite sadness - dawn to dusk
barenaked ladies,home,are me
doors,hello i love you,waiting for the sun
tracy chapman,at this point in my life,new beginning
goo goo dolls,here is gone,gutterflower
james horner,electronic battlefield,patriot games soundtrack
dvorak,humoresque no. 7,
will smith,gettin' jiggy wit it,big willie style
beastie boys,sabotage,ill communication
u2,love comes tumbling,the unforgettable fire
red hot chili peppers,minor thing,by the way
weird al yankovic,syndicated inc.,bad hair day
andrew lloyd webber,angel of music,phantom of the opera
the simpsons,happy birthday lisa,songs in the key of springfield
mozart,romance,
andrew lloyd webber,think of me,phantom of the opera
billy joel,new york state of mind,turnstiles
les mis&eacute;rables,the attack on rue plumet,les mis&eacute;rables soundtrack
beach boys,catch a wave,surfer girl
aquabats,the thing on the bass amp,the floating eye of death
simon and garfunkel,bridge over troubled water,bridge over troubled water
moby,the sky is broken,play
motet o mitissima,virgo - haec dies,
billy joel,goodnight saigon,the nylon curtain
jewel,till we run out of road,this way
weird al yankovic,don't download this song,straight outta lynwood
smash mouth,i'm a believer,shrek soundtrack
hootie and the blowfish,look away,cracked rear view
indigo girls,kid fears,indigo girls
creed,with arms wide open,human clay
the simpsons,glove slap (feat. the b-52s),testify
clash,rock the casbah,combat rock
shawn colvin,polaroids,fat city
red hot chili peppers,don't forget me,by the way
ace of base,don't turn around,the sign
simple minds,don't you (forget about me),the breakfast club soundtrack
seven mary three,cumbersome,american standard
they might be giants,piece of dirt,lincoln
saigon kick,love is on the way,the lizard
chumbawamba,smalltown,tubthumper
creed,one last breath,weathered
dvorak,new world symphony 1st movement,
stray cats,rock this town,stray cats
soup dragons,divine thing,hotwired
weird al yankovic,like a surgeon,dare to be stupid
enya,lazy days,a day without rain
sarah mclachlan,good enough,mirrorball
charlie daniels band,the devil went down to georgia,urban cowboy soundtrack
jimmy durante,make someone happy,jimmy durante's way of life
bon jovi,in these arms,keep the faith
smashing pumpkins,x.y.u.,mellon collie and the infinite sadness - twilight to starlight
counting crows,on almost any sunday morning,saturday nights &amp; sunday mornings
michael bolton,can i touch you...there,greatest hits (1985-1995)
paulina rubio,el &uacute;ltimo adios,paulina
jason castro,i don't wanna cry,
phil collins,another day in paradise,but seriously
they might be giants,i am a grocery bag,no!
weezer,pink triangle,pinkerton
james horner,closing credits,patriot games soundtrack
itayp&uacute;,tiempo al tiempo,folklore latinamericano vol. ii
tonic,if you could only see,lemon parade
avril lavigne,don't tell me,under my skin
they might be giants,letterbox,flood
les mis&eacute;rables,drink with me,les mis&eacute;rables soundtrack
weezer,pardon me,make believe
nirvana,smells like teen spirit,nevermind
prince,i would die 4 u,purple rain
michael mclean,arise &amp; shine forth,the forgotten carols
counting crows,i'm not sleeping,recovering the satellites
maroon 5,harder to breathe,songs about jane
moby,run on,play
reel big fish,everything sucks (clean),turn the radio off
pm dawn,looking through patient eyes,the bliss album...?
hootie and the blowfish,wishing,musical chairs
the simpsons,homer &amp; apu (who needs the kwik-e-mart),songs in the key of springfield
coldplay,everything's not lost,parachutes
cranberries,twenty-one,no need to argue
aquabats,monsters wedding,the floating eye of death
sheryl crow,steve mcqueen,c'mon c'mon
john mellencamp,lafayette,trouble no more
les mis&eacute;rables,turning,les mis&eacute;rables soundtrack
collective soul,wasting time,hints allegations and things left unsaid
they might be giants,toddler hiway,they might be giants
aquabats,demolition rickshaw!,charge!!
the simpsons,a boozehound named barney,go simpsonic with the simpsons
big bad voodoo daddy,mambo swing,big bad voodoo daddy
they might be giants,lucky ball and chain,flood
weird al yankovic,she never told me she was a mime,alapalooza
david archuleta,sweet caroline,
dashboard confessional,morning calls,a mark a mission a brand a scar
311,love song,50 first dates soundtrack
modest mouse,bury me with it,good news for people who love bad news
big bad voodoo daddy,so long farewell goodbye,big bad voodoo daddy
diomedes diaz,ilusiones,
cake,perhaps perhaps perhaps,fashion nugget
killers,exitlude,sam's town
david cook,the truth,analog heart
they might be giants,everything right is wrong again,they might be giants
weird al yankovic,jerry springer,running with scissors
celine dion,when i fall in love,the colour of my love
aquabats,tiny pants,the floating eye of death
they might be giants,fibber island,no!
they might be giants,wearing a raincoat,the spine
harry connick jr.,it had to be you,when harry met sally soundtrack
jon secada,&aacute;ngel,jon secada
norah jones,turn me on,come away with me
itayp&uacute;,es para ti,folklore latinamericano vol. i
beach boys,kokomo,cocktail soundtrack
smashing pumpkins,farewell and goodnight,mellon collie and the infinite sadness - twilight to starlight
jamiroquai,virtual insanity,travelling without moving
they might be giants,pencil rain,lincoln
they might be giants,s-e-x-x-y,factory showroom
they might be giants,the bells are ringing,factory showroom
steve miller band,the joker,the joker
mormon tabernacle choir,consider the lilies,consider the lilies
journey,when you love a woman,trial by fire
deep blue something,the kandinsky prince,home
mandy moore,only hope,a walk to remember soundtrack
jack johnson,cookie jar,on and on
enya,storms in africa,paint the sky with stars:  the best of enya
cake,let me go,prolonging the magic
sheryl crow,am i getting through (part i &amp; ii),globe sessions
jewel,i wonder as i wander,joy: a holiday collection
barenaked ladies,the humour of the situation,maroon
harold faltermeyer,axel f.,beverly hills cop soundtrack
wilson phillips,release me,wilson phillips
no mercy,where do you go,no mercy
eagles,please come home for christmas,christmas of hope
beck,loser,mellow gold
forever plaid,lady of spain,forever plaid soundtrack
brian setzer orchestra,jump jive and wail,dirty boogie
aerosmith,cryin',get a grip
bowling for soup,1985,a hangover you don't deserve
wallflowers,i wish i felt nothing,bringing down the horse
mulan,honor to us all,mulan soundtrack
sheryl crow,good is good,wildflower
cake,italian leather sofa,fashion nugget
les mis&eacute;rables,encore 2 - one day more,les mis&eacute;rables soundtrack
queen,the show must go on,innuendo
diomedes diaz,por un beso de amor,
aerosmith,jaded,just push play
reel big fish,i'll never be,turn the radio off
green day,do da da,shenanigans
norah jones,be here to love me,feels like home
linkin park,in the end,hybrid theory
mormon tabernacle choir,my shepherd will supply my need,consider the lilies
blessid union of souls,i wanna be there,blessid union of souls
sheryl crow,the difficult kind,globe sessions
counting crows,hard candy,hard candy
they might be giants,the house at the top of the tree,no!
aquabats,meltdown!,charge!!
big mountain,baby i love your way,reality bites soundtrack
collective soul,heaven's already here,hints allegations and things left unsaid
g. love and special sauce,cold beverage,g. love and special sauce
squirrel nut zippers,evening at lafitte's,perennial favorites
michael mclean,let him in (the innkeeper),the forgotten carols
faith hill,breathe,breathe
sister sledge,we are family,we are family
billy joel,she's always a woman,the stranger
blink 182,the rock show (clean),take off your pants and jacket
cathy dennis,too many walls,move to this
rem,it's the end of the world as we know it,document
hootie and the blowfish,can i see you,looking for lucky
paulina rubio,y yo sigo aqu&iacute;,paulina
harry nilsson,everybody's talkin',aerial ballet
dada,dizz knee land,puzzle
collective soul,december,collective soul
weezer,pork &amp; beans,weezer (2008)
john lennon,instant karma (we all shine on),instant karma (we all shine on)
collective soul,bleed,collective soul
harry simeone chorale,the little drummer boy,
u2,seconds,war
michael mclean,the dance,the forgotten carols
they might be giants,if i wasn't shy,apollo 18
no doubt,hella good,rock steady
weird al yankovic,i'll sue ya',straight outta lynwood
mariah carey,sweetheart,#1's
billy joel,a matter of trust,the bridge
all-4-one,so much in love,all-4-one
queen,crazy little thing called love,the game
billy joel,the entertainer,streetlife serenade
goo goo dolls,stay with you,let love in
rem,nightswimming,automatic for the people
les mis&eacute;rables,dog eats dog,les mis&eacute;rables soundtrack
byu men's chorus,dry bones,shout with glory
u2,indian summer sky,the unforgettable fire
byrds,turn! turn! turn! (to everything there is a season),turn! turn! turn!
squirrel nut zippers,memphis exorcism,hot
aquabats,dear spike!,myths legends and other amazing adventures vol. 2
sarah mclachlan,do what you have to do,mirrorball
alanis morissette,hand in my pocket,jagged little pill
garth brooks (as chris gaines),lost in you,the life of chris gaines
deniece williams,let's hear it for the boy,let's hear it for the boy
u2,unchained melody,best of 1980-1990
arrested development,mr. wendal,3 years 5 months &amp; 2 days in the life of--
chumbawamba,creepy crawling,tubthumper
chumbawamba,the big issue,tubthumper
ella fitzgerald,it's only a paper moon,ella and her fellas
seether and amy lee,broken,the punisher soundtrack
weezer,my name is jonas,weezer (1994)
bing crosby,it's beginning to look a lot like christmas,
3 doors down,the road i'm on,away from the sun
indigo girls,reunion,swamp ophelia
counting crows,come around,saturday nights &amp; sunday mornings
arlen l. card,emily,book of mormon soundtrack
foo fighters,my hero,the colour and the shape
cake,opera singer,comfort eagle
enya,fallen embers,a day without rain
mariah carey,hero,music box
inquietos,perd&oacute;name la vida,
michael mclean,i cry the day i take the tree down,the forgotten carols
chumbawamba,scapegoat,tubthumper
britney spears,don't let me be the last to know,oops! i did it again
police,de do do do de da da da,zenyatta mondatta
dave matthews band,stay (wasting time),before these crowded streets
jason castro,memory,
john williams,theme from close encounters of the third kind,close encounters of the third kind soundtrack
tracy chapman,give me one reason,new beginning
barenaked ladies,off the hook,maroon
billy joel,she's got a way,cold spring harbor
huey lewis and the news,workin' for a livin',picture this
celine dion,beauty and the beast,beauty and the beast soundtrack
phil collins,easy lover,hits
gorillaz,feel good inc,demon days
green day,jesus of suburbia (clean),american idiot
the simpsons,cool,songs in the key of springfield
barenaked ladies,who needs sleep,stunt
the simpsons,treehouse of horror v,songs in the key of springfield
beethoven,moonlight 3rd movement,
u2,mysterious ways,achtung baby
beach boys,barbara ann,beach boys' party
starship,we built this city,knee deep in the hoopla
john williams,star wars - imperial march,the empire strikes back soundtrack
they might be giants,man it's so loud in here,mink car
squirrel nut zippers,fat cat keeps getting fatter,perennial favorites
weezer,the angel and the one,weezer (2008)
shawn colvin,if i were brave,a few small repairs
all-american rejects,swing swing,all-american rejects
drifters,white christmas,
live,lightning crashes,throwing copper
sheryl crow,gasoline,detours
macy gray,i try,on how life is
debussy,la fille aux cheveux de lin,
weird al yankovic,money for nothing,uhf soundtrack
ub40,red red wine,labour of love
club nouveau,lean on me,life love &amp; pain
311,all mixed up,311
jewel,words get in the way,goodbye alice in wonderland
michael mclean,from god's arms to my arms to yours,one heart in the right place
eminem,without me (clean),the marshall mathers lp
3 doors down,this time,away from the sun
incubus,drive,make yourself
they might be giants,hypnotist of ladies,apollo 18
they might be giants,no!,no!
matthew wilder,break my stride,i don't speak the language
david barrus,lead kindly light,beautiful savior
metallica,through the never,metallica
kristy lee cook,anyway,
madonna,like a prayer,like a prayer
selena,amor prohibido,amor prohibido
alanis morissette,head over feet,jagged little pill
train,calling all angels,my private nation
natalie merchant,the house is on fire,motherland
hootie and the blowfish,leaving,looking for lucky
merril jenson,the whole armor of god,new testament soundtrack
led zepplin,stairway to heaven,led zeppelin iv
caramelos de cianuro,asunto sexual,miss mujerzuela
natalie merchant,cowboy romance,tigerlily
squirrel nut zippers,got my own thing now,hot
bach,toccata and fugue in d minor,
collective soul,over tokyo,blender
weezer,say it ain't so,weezer (1994)
kansas,dust in the wind,point of know return
jerry goldsmith,main title - locutus,star trek first contact soundtrack
train,free,train
the simpsons,like father like clown (medley),go simpsonic with the simpsons
sheryl crow,sweet child o' mine,globe sessions
weezer,sweet adeline (my evaline),weezer (1996)
michael andrews,mad world,donnie darko soundtrack
weezer,smile,weezer (2001)
corrs,breathless,in blue
third eye blind,good for you,third eye blind
bobby mcferrin,don't worry be happy,simple pleasures
moby,inside,play
they might be giants,where do they make balloons?,no!
the simpsons,baby stink breath,testify
aquabats,adventure today!,myths legends and other amazing adventures vol. 2
offspring,self esteem,smash
tlc,no scrubs,fanmail
evanescence,call me when you're sober,the open door
killers,this river is wild,sam's town
aquabats,cd repo man,the return of the aquabats!
sheryl crow,now that you're gone,detours
corrs,what can i do,talk on corners
byu men's chorus,cindy,shout with glory
simon and garfunkel,i am a rock,sounds of silence
good charlotte,hold on,the young and the hopeless
metallica,don't tread on me,metallica
john mcvey,love will find you there,especially for youth - joy in the journey (1998)
chumbawamba,drip drip drip,tubthumper
felicia sorensen,joy will be my reward,especially for youth - joy in the journey (1998)
collective soul,shine,hints allegations and things left unsaid
coldplay,trouble,parachutes
they might be giants,you'll miss me,lincoln
juanes,nada,fijate bien
