UID,Client,Category,Status,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
402,Stockport Council,Place,Live (Ongoing),"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,31-Mar-18,"Â£122,222.22","Â£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,Professional,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01-Mar-12,48,96,28-Feb-20,Yes,28-Feb-20,01-Aug-19,"Â£19,466.50","Â£155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,Place,Live (Ongoing),231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01-Apr-09,60,120,31-Mar-20,Yes,31-Mar-20,01-Aug-16,"Â£427,777.78","Â£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Abacus Homecare,Large,8766697,SK5 7BB,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,A-Best Nursing and Care Limited,Medium,6314762,SK1 3RU,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Absolute care & support,Medium,8326687,SK6 1NB,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Absolute care at home,Medium,5583427,WA14 2PL,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Angel Home Care,SME,9972858,M22 8LP,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Assured Care (Stockport) Ltd,Medium,7288112,SK1 3LG,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Bridge Care Services Ltd,Medium,3911926,SK6 7AD,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care 24 (UK) LTD,Medium,8700852,M19 1WA,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care Mark Cheshire,SME,1088367,SK9 3HQ,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care Need LTD Stockport,Medium,4125024,SK4 1AS,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Carers Trust (Crossroads),SME,7697170,M33 3HP,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Choice Care,SME,10543928,BB1 3HQ,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Creative support - Extra care housing,SME,IP27440R,L34 1BH,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,CRG - Castlerock Recruitment Group,SME,6357982,WA9 1UA,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Cynosure Health Care,Medium,9279415,M5 3EB,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Elite Homecare,SME,5732794,M35 9BD,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Enterprise Care Group,SME,4547846,M14 6ZT,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Equality Homecare Service Ltd,SME,6144289,M22 4US,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Harbex Nursing & Care,Medium,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Herbex Nursing & Care,SME,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,HG Care Services Ltd,Medium,4626258,SK4 3GN,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Homecare Northwest,SME,8253010,SK10 2BB,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Homecare4u,SME,7455354,SK2 6NG,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Human Support (Homecare Support),Large,3513906,M203JG,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,I-Care Solutions Manchester,SME,10628642,M21 0XN,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Independent Care,Medium,4746104,SK42LP,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Laurel Bank Support at Home,SME,2423368,Sk14 5HZ,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Medacs Healthcare Old Trafford,SME,3120991,M17 1HH,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,MRL Healthcare Limited Stockport,SME,SC441634 ,Sk6 6BD,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Prime Support Service LTD,SME,8590998,SK5 6DA,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Pro Life Healthcare Services,SME,10068822,WA14 5PA,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Quality Care of Cheadle,SME,,Sk2 6QS,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
596,Stockport Council,People,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
596,Stockport Council,People,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,True Homecare Ltd,SME,7912253,SK1 2HP,Stockport- Services to People
650,Stockport Council,Professional,Live (Ongoing),271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,10-Oct-16,60,60,09-Oct-21,Yes,09-Oct-21,01-Oct-20,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Alternative Futures Group Ltd,",Large,1008587,L34 1BN,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Autism Care UK,",Large,3997337,LN4 3JD,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Cherrytree Vale Ltd (t/a Home Focus), ",Large,3079096,M30 0DL,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"CHOICE SUPPORT,",Large,298149,SE1 7XA,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"CHOICE SUPPORT,",VCSE,298149,SK56DA,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Community Integrated Care,VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Craegmoor Supporting You,",Large,7480152,WR3 7NW,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Creative Support Ltd,",VCSE,27440R,M1 2HF,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Future Directions CIC,",Large,8041420,BB7 9PE,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069",BS16 7FL,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Independent Options (North West), ",SME,"company: 02560910
charity:  1022680",SK7 5PE,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"KeyRing  Living Support Networks , ",VCSE,1054234,E8 2NG,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"MacIntyre,",VCSE,250840,MK9 2JA,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Mears Care Limited,",VCSE,3232863,GL3 4AH,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"North West Community Services Ltd,",Large,2068130,PR2 9ZG,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Perthyn, ",Large,"Company: 3017158
Charity: 1046763",SA7 9FG,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Respite North West Ltd,SME,4186179,OL10 1JP,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Royal Mencap Society,SME,889191,PE7 8HP,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Sevacare (UK) Ltd,",Large,3615347,WV9 5HD,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Stockport, East Cheshire, High Peak , Urmston and District Cerebral Palsy Society,",VCSE,1009768,SK7 5BW,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,"Thera North,",Large,"company: 03593418
charity: 1090163",NG31 7XT,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,ubu,Large,1867042,M28 3LY,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,United Response,Large,"company: 01133776
charity: 265249",SW19 8UX,Stockport- Services to People
661,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Voyage Care,Large,9141139,WS13 6QD,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Alliance Care & Education LtdÂ ,SME,5556312,LA2 0QW,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Aspire Childcare Ltd,SME,5412343,OL11 5DP,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,BetterCare Keys LimitedÂ ,SME,NI053253 ,WA2 0LF,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Birtenshaw,SME,2978546,BL7 9AB,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Brookfield HouseÂ ,SME,OC301963,SK7 5AQ,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Bryn Melyn,SME,"

04030222",TF1 6QJ,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Cambian childcare ,SME,4280519,"SK8 3SB
",Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Care today Parallel Parents,SME,4311745,SK2 6LR,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Cherry Cottage,SME,5864035,WN1 9PD,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Dalepeak Ltd,SME,219279,PR56QE,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Family Care Associates,SME,5855509,PR56QE,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Harmony Children's Services,SME,7350725,HD5 8NP,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Horizon Care,SME,4049112,WS11 0LG,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Inspire Childrens Services,SME,6968122,WA10 1AJ,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Meadows Care,SME,"

05087886",OL12 0EN,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,New Horizons (stockport) Ltd,SME,3431532,SK7 3DQ,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Oracle Care ,SME,5618803,CW12 2AH,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Pathfinders childcare LTD,SME,4780606,OL12 7TX,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Prestige Care,SME,3025072,ST6 4BF,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Prospects for young people,SME,"

02927657",LL13 9UG,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Quality Protects Children,SME,"04001248
 ",L36 9XB,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Shared-Care,SME,"06977604
 ",SK15 3DW,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Social Care Services Group,SME,2428089,SK41NL,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Timeout Childrens Homes,SME,5690483,HX6 4DH,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Together Trust,SME,301722,SK81JE,Stockport- Services to People
670,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Whistledawn TA Northerncare,SME,4278167,FY39JL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Able Care Services (Northern) Ltd,SME,7490736,NR14 8TZ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Acorn House Fostering Services Ltd,SME,280852,OL9 9XA,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Action for Children,SME,2332388,WD18 8AG,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Advanced Childcare Ltd,SME,4280519,SK6 2SR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Alliance Care & Education LtdÂ ,SME,5556312,LA2 0QW,Stockport- Services to People
