scientific name,family name,common name
ipomoea hederacea,convolvulaceae,ivyleaf morning glory
rhus hirta,anacardiaceae,staghorn sumac
thuja plicata,cupressaceae,western red cedar
rhododendron catawbiense,ericaceae,catawba rhododendron
rhododendron macrophyllum,ericaceae,pacific rhododendron
populus tremuloides,salicaceae,quaking aspen
geranium molle,geraniaceae,dove's foot cranes-bill
erythronium americanum,liliaceae,trout lily
commelina dianthifolia,commelinaceae,western dayflower
ferocactus cylindraceus ssp. cylindraceus,cactaceae,california fire barrel cactus
dicentra eximia,fumariaceae,bleeding heart
silene stellata,caryophyllaceae,starry campion
lonicera sempervirens,caprifoliaceae,coral honeysuckle
echinacea tennesseensis,asteraceae,tennessee purple coneflower
cerastium fontanum ssp. vulgare,caryophyllaceae,mouse eared chickweed
cuphea viscosissima,lythraceae,blue waxweed
arctostaphylos sp.,ericaceae,manzanita
abies magnifica,pinaceae,california red fir
cedrus deodara,pinaceae,deodar cedar
lobelia spicata,campanulaceae,palespike lobelia
mentha piperita,lamiaceae,peppermint
quercus lyrata,fagaceae,overcup oak
stenocereus thurberi,cactaceae,organpipe cactus
croton capitatus,euphorbiaceae,hogwort
helenium amarum,asteraceae,fine leaved sneezeweed
betula nigra,betulaceae,river birch
rumex crispus,polygonaceae,curly dock
acacia angustissima,fabaceae,white ball acacia
euphorbia commutata,euphorbiaceae,wood spurge
magnolia virginiana,magnoliaceae,sweetbay
metrosideros sp.,myrtaceae,o'hia lehua
linum usitatissimum,linaceae,common flax
magnolia macrophylla,magnoliaceae,bigleaf magnolia
robinia  pseudoacacia,fabaceae,black locust
valerianella radiata,valerianaceae,beaked corn salad
epifagus virginiana,orobanchaceae,beechdrops
pueraria montana,fabaceae,kudzu
tillandsia usneoides,bromeliaceae,spanish moss
carya cordiformis,juglandaceae,bitternut hickory
cornus sericea ssp. sericea,cornaceae,red osier dogwood
fragaria virginiana,rosaceae,virginia strawberry
eupatorium altissimum,asteraceae,tall thoroughwort
desmodium perplexum,fabaceae,perplexed ticktrefoil
tiarella trifoliata,saxifragaceae,threeleaf foamflower
narcissus pseudonarcissus,liliaceae,daffodil
veronica hederifolia,scrophulariaceae,ivy leaf speedwell
trillium cuneatum,liliaceae,little sweet betsy
phlox pilosa,polemoniaceae,downy phlox
enemion biternatum,ranunculaceae,eastern false rue anemone
heliotropium tenellum,boraginaceae,slender heliotrope
hydrophyllum appendiculatum,hydrophyllaceae,great waterleaf
betula occidentalis,betulaceae,water birch
monarda bradburiana,lamiaceae,eastern beebalm
ambrosia trifida,asteraceae,giant ragweed
helianthus angustifolius,asteraceae,narrow leaf sunflower
albizia julibrissin,mimosaceae,mimosa
encelia farinosa,asteraceae,brittlebush
malus sylvestris,rosaceae,apple
agave ocahui,agavaceae,century plant
conoclinium coelestinum,asteraceae,blue mistflower
diodia virginiana,rubiaceae,virginia buttonweed
eryngium yuccifolium,apiaceae,rattlesnake master
lesquerella globosa,brassicaceae,short's bladderpod
silene virginica,caryophyllaceae,fire pink
fothergilla major,hamamelidaceae,mountain witch alder
ailanthus altissima,simaroubaceae,tree of heaven
triticum aestivum,poaceae,common wheat
tussilago farfara,asteraceae,coltsfoot
thuja occidentalis,cupressaceae,arborvitae
plantago rugelii,plantaginaceae,blackseed plantain
pinus flexilis,pinaceae,limber pine
betula papyrifera,betulaceae,paper birch
vicia caroliniana,fabaceae,wood vetch
pinus leiophylla var. chihuahuana,pinaceae,chihuahuan pine
bidens frondosa,asteraceae,devil's beggartick
oxalis stricta,oxalidaceae,yellow wood-sorrel
conocephalum conicum,conocephalaceae,liverwort
taraxacum officinale,asteraceae,common dandelion
goodyera pubescens,orchidaceae,downy rattlesnake plantain
eupatorium fistulosum,asteraceae,hollow joe pye weed
asclepias syriaca,asclepiadaceae,common milkweed
cladrastis  kentukea,fabaceae,yellowwood
eupatorium serotinum,asteraceae,late flowering throughwort
picea rubens,pinaceae,red spruce
matelea obliqua,asclepiadaceae,climbing milkvine
ilex vomitoria,aquifoliaceae,yaupon
phragmites australis,poaceae,common reed
leavenworthia stylosa,brassicaceae,long styled glade cress
asimina triloba,anonaceae,pawpaw
quercus garryana,fagaceae,oregon white oak
populus grandidentata,salicaceae,bigtooth aspen
aralia spinosa,araliaceae,devil's walkingstick
dalea purpurea,fabaceae,purple prairie clover
oxalis violacea,oxalidaceae,violet wood-sorrel
myosotis macrosperma,boraginaceae,large seed forget-me-not
philadelphus inodorus,hydrangeaceae,scentless mock orange
solanum carolinense,solanaceae,carolina horsenettle
cheilanthes lanosa,pteridaceae,hairy lipfern
cornus alternifolia,cornaceae,alternateleaf dogwood
quercus pagoda,fagaceae,cherrybark oak
lilium superbum,liliaceae,turk's cap lily
ulmus americana,ulmaceae,american elm
magnolia ï¿½soulangiana,magnoliaceae,saucer magnolia
fagus sylvatica,fagaceae,european beech
arabis laevigata,brassicaceae,smooth rock cress
stenocereus eruca,cactaceae,creeping devil cactus
polygonum scandens,polygonaceae,climbing false buckwheat
penthorum sedoides,saxifragaceae,ditch stonecrop
galearis spectabilis,orchidaceae,showy orchis
larix occidentalis,pinaceae,western larch
bouteloua curtipendula,poaceae,sideoats grama
asarum canadense,aristolochiaceae,canadian wild ginger
phryma leptostachya,verbenaceae,american lopseed
lamium amplexicaule,lamiaceae,henbit deadnettle
pinus cembroides,pinaceae,mexican pinyon
brickellia eupatorioides,asteraceae,false boneset
sapindus saponaria ssp. drummondii,sapindaceae,western soapberry
trillium stamineum,liliaceae,twisted petal trillium
populus deltoides,salicaceae,cottonwood
oplopanax horridus,araliaceae,devil's club
arisaema triphyllum,araceae,jack in the pulpit
larrea tridentata,zygophyllaceae,creosote bush
commelina erecta,commelinaceae,slender dayflower
trifolium repens,fabaceae,white clover
veronica serpyllifolia,scrophulariaceae,thymeleaf speedwell
fraxinus quadrangulata,oleaceae,blue ash
dipsacus fullonum,dipsacaceae,teasel
hydrangea quercifolia,hydrangeaceae,oakleaf hydrangea
gaillardia pulchella,asteraceae,firewheel
ilex decidua,aquifoliaceae,possumhaw
quercus palustris,fagaceae,pin oak
agave palmeri,agavaceae,palmer's century plant
prosopis velutina,fabaceae,velvet mesquite
diplazium pycnocarpon,dryopteridaceae,glade fern
magnolia tripetala,magnoliaceae,umbrella magnolia
silene vulgaris,caryophyllaceae,bladder campion
prunus pensylvanica,rosaceae,pin cherry
mahonia aquifolium,berberidaceae,mahonia
gaura filipes,onagraceae,slender gaura
arbutus arizonica,ericaceae,arizona madrone
rudbeckia hirta,asteraceae,black eyed susan
smilax rotundifolia,smilacaceae,common greenbrier
silphium perfoliatum,asteraceae,cup plant
ephedra sp.,ephedraceae,ephedra
carya laciniosa,juglandaceae,shellbark hickory
prunus munsoniana,rosaceae,munson's plum
helianthus eggertii,asteraceae,eggert's sunflower
oxalis montana,oxalidaceae,northern wood sorrel
fagus grandifolia,fagaceae,american beech
cryptotaenia canadensis,apiaceae,canadian honewort
cirsium altissimum,asteraceae,tall thistle
chamaebatiaria  millefolium,rosaceae,fernbush
carnegiea gigantea,cactaceae,saguaro
angelica triquinata,apiaceae,mountain angelica
manfreda virginica,agavaceae,false aloe
cercis canadensis,fabaceae,eastern redbud
quercus michauxii,fagaceae,swamp chestnut oak
vaccinium arboreum,ericaceae,farkleberry
hibiscus syriacus,malvaceae,rose of sharon
veronica persica,scrophulariaceae,birdeye speedwell
clintonia uniflora,liliaceae,queen's cup
cimicifuga racemosa,ranunculaceae,black cohosh
packera aurea,asteraceae,golden ragwort
ceanothus velutinus,rhamnaceae,snowbrush ceanothus
lespedeza cuneata,fabaceae,chinese lespedeza
passiflora lutea,passifloraceae,yellow passion flower
desmodium nudiflorum,fabaceae,naked flowered ticktrefoil
viola bicolor,violaceae,field pansy
lindera benzoin,lauraceae,spicebush
allium canadense,liliaceae,meadow garlic
jeffersonia diphylla,berberidaceae,twinleaf
chamaelirium luteum,liliaceae,fairywand
rosa carolina,rosaceae,carolina rose
pinus resinosa,pinaceae,red pine
hypericum punctatum,clusiaceae,spotted st. johnswort
amelanchier alnifolia,rosaceae,saskatoon serviceberry
ruellia caroliniensis,acanthaceae,carolina wild petunia
obolaria virginica,gentianaceae,virginia pennywort
spiraea prunifolia,rosaceae,bridalwreath spirea
pyrus communis,rosaceae,common pear
aristida stricta,poaceae,wiregrass
populus balsamifera ssp. trichocarpa,salicaceae,black cottonwood
phacelia dubia ssp. interior,hydrophyllaceae,glade phacelia
erythronium albidum,liliaceae,white trout lily
pyrrhopappus carolinianus,asteraceae,false dandelion
celtis laevigata,ulmaceae,sugarberry
senna marilandica,fabaceae,southern wild senna
geranium dissectum,geraniaceae,red cranesbill
desmanthus illinoensis,fabaceae,prairie mimosa
glechoma hederacea,lamiaceae,ground ivy
echinacea purpurea,asteraceae,eastern purple coneflower
elaeagnus umbellata,elaeagnaceae,autumn olive
osmorhiza claytonii,apiaceae,clayton's sweet cicely
abies grandis,pinaceae,grand fir
datura stramonium,solanaceae,jimsonweed
galium aparine,rubiaceae,cleavers
iris cristata,iridaceae,dwarf crested iris
erigeron strigosus,asteraceae,lesser daisy fleabane
opuntia clavata,cactaceae,club cholla
silphium pinnatifidum,asteraceae,cutleaf praire dock
fraxinus americana,oleaceae,white ash
tragopogon dubius,asteraceae,yellow goatsbeard
ambrosia artemisiifolia,asteraceae,common ragweed
heracleum maximum,apiaceae,common cowparsnip
conyza canadensis,asteraceae,horseweed
draba verna,brassicaceae,spring draba
tsuga canadensis,pinaceae,eastern hemlock
verbena urticifolia,verbenaceae,white vervain
acer glabrum var. douglasii,aceraceae,douglas maple
nolina microcarpa,liliaceae,beargrass
asclepias incarnata,asclepiadaceae,swamp milkweed
smilax glauca,smilacaceae,cat greenbrier
leucothoe fontanesiana,ericaceae,dog hobble
polygonum bistortoides,polygonaceae,american bistort
