Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,0-17,Chautauqua,County,165,4,
3AP,18+,Schenectady,County,766,5,NO
2AP,18+,Brooklyn,County,12037,1304,
2AP,0-17,Erie,"MID-ERIE MENTAL HEALTH SERVICES, INC. DBA EHS",39,0,
2AP,18+,Manhattan,"CREATE, INC.",24,3,
2AP,0-17,Westchester,County,1138,58,
2AP,0-17,Clinton,County,103,2,
2AP,0-17,Suffolk,County,632,30,
2AP,18+,Franklin,County,391,31,
3AP,18+,Rensselaer,WHITNEY M YOUNG HEALTH CENTER,38,0,
2AP,0-17,Dutchess,VASSAR BROTHERS MED CTR,33,2,
2AP,0-17,Wyoming,County,39,1,
2AP,0-17,Rensselaer,County,146,3,
2AP,18+,Tioga,County,52,12,
3AP,18+,Franklin,County,457,1,
3AP,18+,Staten Island,YMCA OF GREATER NEW YORK,25,0,
2AP,0-17,Orleans,County,16,1,
3AP,0-17,Oneida,County,508,0,
3AP,0-17,Suffolk,"FAMILY SERVICE LEAGUE, INC.",107,0,
3AP,18+,Manhattan,"ARGUS COMMUNITY, INC.",345,5,NO
2AP,18+,Tompkins,County,1,0,
2AP,18+,Saratoga,County,602,61,
3AP,18+,Hamilton,County,5,0,
3AP,18+,Rockland,County,1071,4,
2AP,18+,Otsego,BASSETT HEALTHCARE,149,10,NO
2AP,18+,Bronx,"PROMESA, INC.",827,61,
2AP,18+,Nassau,County,1368,173,NO
2AP,18+,Westchester,"FOUR WINDS, INC.",23,1,NO
2AP,18+,Otsego,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,49,3,
2AP,18+,Chenango,County,163,10,
2AP,18+,Schoharie,County,111,12,
3AP,0-17,Sullivan,County,97,1,
3AP,18+,Onondaga,DIGESTIVE DISEASE CTR CNTRL NY LLC,29,0,
3AP,0-17,Suffolk,OMH STATE PC NETWORK,60,0,NO
2AP,18+,Chemung,ARNOT OGDEN MEDICAL CENTER,184,9,
3AP,18+,Ulster,County,1108,8,
3AP,0-17,Oswego,NORTHERN OSWEGO CNTY HLTH SVC,31,0,
2AP,18+,Broome,MONROE PLAN FOR MEDICAL CARE,28,0,NO
2AP,18+,Nassau,County,5459,650,
3AP,18+,Rockland,"POSTGRADUATE CENTER FOR MENTAL HEALTH, INC.",44,1,NO
2AP,18+,Putnam,County,505,40,
3AP,18+,Broome,CORNERSTONE FAMILY HEALTHCARE,40,0,
2AP,18+,Monroe,County,4263,350,
2AP,18+,Columbia,County,218,20,
3AP,0-17,Yates,County,41,0,
3AP,18+,Wayne,County,205,0,
2AP,18+,Allegany,County,174,15,
2AP,18+,Greene,County,263,18,
2AP,0-17,Nassau,SOUTH SHORE CHILD GUIDANCE CENTER,28,0,
2AP,18+,Niagara,"FAMILY & CHILDREN'S SERVICES OF NIAGARA, INC.",71,2,
3AP,0-17,Nassau,MERCYFIRST,25,0,
2AP,18+,Bronx,MARTIN LUTHER KING HLTH CTR,434,38,NO
2AP,0-17,Delaware,County,37,3,
2AP,18+,Rockland,County,1078,190,
2AP,18+,Schenectady,County,15,1,
2AP,18+,Rensselaer,County,417,47,
2AP,18+,Queens,"LONG ISLAND CONSULTATION CENTER, INC.",95,11,NO
3AP,18+,Oneida,County,1620,5,
2AP,18+,Schuyler,County,68,6,
3AP,0-17,Saint Lawrence,CANTON-POTSDAM HOSPITAL,31,0,
3AP,18+,Brooklyn,AHAVA MEDICAL AND REHAB CENTER LLC,180,1,NO
3AP,18+,Westchester,"SEARCH FOR CHANGE, INC.",48,0,
2AP,18+,Westchester,"FOUR WINDS, INC.",60,5,
3AP,18+,Albany,SAMARITAN HOSPITAL,914,7,
2AP,18+,Westchester,County,40,5,
2AP,18+,Rockland,County,1102,167,
2AP,0-17,Warren,County,265,8,
2AP,18+,Albany,KINGSBORO PSYCHIATRIC CENTER,129,33,
3AP,0-17,Monroe,"NEWARK-WAYNE COMMUNITY HOSPITAL, INC.",38,0,
3AP,18+,Westchester,CHOICE OF NEW ROCHELLE  MH,75,0,NO
2AP,0-17,Monroe,"NEWARK-WAYNE COMMUNITY HOSPITAL, INC.",48,1,
3AP,18+,Yates,County,12,0,
3AP,18+,Bronx,County,14778,69,
2AP,0-17,Otsego,County,65,3,NO
3AP,18+,Manhattan,County,23508,83,
2AP,18+,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,23,3,
3AP,18+,Bronx,County,14967,71,
3AP,0-17,Bronx,NEW YORK CITY CHILDREN'S CENTER,45,0,NO
3AP,18+,Bronx,"GEEL COMMUNITY SERVICES, INC.",24,1,
3AP,18+,Schuyler,SCHUYLER HOSPITAL,22,0,NO
3AP,18+,Oswego,County,431,1,
2AP,18+,Rockland,County,1076,181,
2AP,0-17,Staten Island,STATEN ISLAND UNIVERSITY HOSPITAL,80,1,
2AP,18+,Manhattan,WELLLIFE NETWORK INC.,89,19,
2AP,0-17,Westchester,County,1217,56,
2AP,18+,Rensselaer,CATHOLIC CHARITIES/ALBANY AI,22,2,NO
2AP,18+,Albany,NEW YORK CITY CHILDREN'S CENTER,22,0,
2AP,18+,Staten Island,County,1561,265,
2AP,18+,Steuben,ST JAMES MERCY HOSPITAL,144,16,
2AP,18+,Cayuga,County,267,28,
3AP,18+,Westchester,"MENTAL HEALTH ASSOCIATION OF NASSAU COUNTY, I",91,1,NO
3AP,0-17,Ontario,County,77,0,NO
2AP,18+,Fulton,NATHAN LITTAUER HOSPITAL,44,6,NO
2AP,18+,Rockland,OMH STATE PC NETWORK,110,37,
2AP,18+,Montgomery,County,497,37,
2AP,0-17,Bronx,MONTEFIORE MEDICAL CENTER,407,14,
2AP,18+,Suffolk,"FEDERATION OF ORG. F/T NYS MENT.DISABLED, INC",353,54,
2AP,18+,Albany,KINGSBORO PSYCHIATRIC CENTER,113,33,
2AP,18+,Madison,County,305,29,
3AP,18+,Oswego,"CATH CHAR/RC DIOCESE SYRACUSE, INC., OSWEGO",28,1,
2AP,18+,Essex,County,133,12,
3AP,0-17,Hamilton,County,1,0,
3AP,18+,Steuben,County,357,2,
2AP,0-17,Schoharie,County,28,0,
2AP,18+,Albany,County,6144,997,
3AP,18+,Orange,ORANGE COUNTY DEPARTMENT OF MENTAL HEALTH,104,0,NO
3AP,18+,Schenectady,RECOVERY HEALTH SOLUTIONS IPA,482,0,
2AP,18+,Onondaga,HILLSIDE CATHOLIC CHARITIES BHCC,352,35,
3AP,0-17,Monroe,THE UNITY HOSPITAL OF ROCHESTER,30,0,
2AP,0-17,Livingston,County,78,1,
3AP,18+,Staten Island,County,1524,9,
2AP,0-17,Lewis,County,35,1,
3AP,18+,Westchester,"SEARCH FOR CHANGE, INC.",44,1,NO
2AP,18+,Monroe,UNITY LINDEN OAKS SURGERY CTR LLC,26,2,
2AP,0-17,Wayne,County,45,0,NO
3AP,18+,Albany,ALBANY COUNTY DEPARTMENT OF MENTAL HEALTH,150,1,NO
3AP,18+,Livingston,LIVINGSTON COUNTY MENTAL HEALTH SERVICES,56,0,NO
3AP,18+,Schoharie,County,118,1,
3AP,18+,Manhattan,"CHDFS, INC.",21,0,
3AP,18+,Manhattan,NEW YORK SOCIETY FOR THE RELIEF OF,108,0,
3AP,0-17,Warren,ADIRONDACK HEALTH INSTITUTE INC,74,0,
3AP,0-17,Warren,County,171,0,NO
2AP,18+,Oneida,County,452,58,
3AP,18+,Broome,CATHOLIC CHARITIES OF BROOME COUNTY - DIOCESE,318,1,
2AP,18+,Sullivan,County,1843,250,
2AP,18+,Greene,County,263,18,
2AP,18+,Manhattan,"QUEENS COORDINATED CARE PARTNERS, LLC",562,54,
3AP,0-17,Saint Lawrence,UCPA OF THE NORTH COUNTRY,32,0,
2AP,18+,Manhattan,THE NEW YORK AND PRESBYTERIAN HOSPITAL,2623,272,
3AP,18+,Allegany,County,168,2,
2AP,18+,Manhattan,LENOX HILL HOSPITAL,410,36,
3AP,18+,Onondaga,"SYRACUSE RECOVERY SERVICES, LLC",25,0,NO
3AP,18+,Monroe,CHHUNY LLC,32,0,
2AP,18+,Rockland,County,1081,179,
2AP,0-17,Oswego,County,110,0,
3AP,18+,Queens,"BLEULER PSYCHOTHERAPY CENTER, INC.",108,0,NO
3AP,18+,Chautauqua,NYS ARC CHAUTAUQUA COUNTY CHAPTER AKA THE RES,120,1,NO
2AP,0-17,Ulster,County,142,2,NO
2AP,18+,Schenectady,County,1628,123,
2AP,18+,Albany,BASSETT HEALTHCARE,53,4,NO
2AP,0-17,Clinton,CLINTON COUNTY COMMUNITY SERVICES BOARD,33,0,NO
2AP,18+,Erie,CHILD AND FAMILY SERVICES OF ERIE COUNTY,63,5,
2AP,0-17,Sullivan,County,148,6,
2AP,18+,Onondaga,County,2534,249,
3AP,18+,Nassau,NEW YORK HOSP MED CTR QUEENS,435,2,
3AP,0-17,Nassau,"HUDSON RIVER HEALTHCARE, INC.",28,0,
3AP,18+,Manhattan,"NEW HORIZON COUNSELING CENTER, INC., THE",137,0,NO
3AP,18+,Brooklyn,SO BROOKLYN MED ADMIN SVCS,36,0,NO
2AP,18+,Queens,"NEW HORIZON COUNSELING CENTER, INC., THE",1027,128,
3AP,18+,Manhattan,County,22463,80,
3AP,18+,Warren,County,798,0,
2AP,0-17,Manhattan,PREMIER HEALTHCARE D & T CTR,175,12,
2AP,18+,Albany,OFFICE MENTAL HEALTH MH,472,113,YES
2AP,18+,Oswego,STANLEY LONG/HARBOR LIGHTS,24,0,
2AP,0-17,Cortland,County,68,1,
2AP,0-17,Wyoming,County,19,1,
3AP,0-17,Orleans,County,20,0,NO
3AP,18+,Manhattan,DENNELISSE CORP  AI,32,0,NO
2AP,0-17,Region,Region,3687,128,
2AP,0-17,Chenango,County,68,5,
2AP,18+,Manhattan,"PLANNED PARENTHOOD OF GREATER NEW YORK, INC.",147,14,
2AP,18+,Nassau,County,20,2,
2AP,0-17,Greene,County,58,4,
3AP,18+,Monroe,County,2769,7,NO
2AP,18+,Columbia,County,222,24,
3AP,18+,Sullivan,CATSKILL REGIONAL MEDICAL CENTER,174,2,NO
3AP,18+,Staten Island,SOUTH BEACH PSYCHIATRIC CENTER,486,4,NO
3AP,18+,Broome,County,1168,2,
2AP,18+,Manhattan,HARLEM UNITED COM AIDS CTR AI,75,6,
2AP,18+,Rensselaer,County,882,83,
3AP,18+,Oneida,County,1636,4,
2AP,18+,Lewis,County,107,12,
2AP,18+,Bronx,County,14962,1533,
2AP,18+,Albany,County,6184,1019,
3AP,18+,Orange,BON SECOURS COMMUNITY HOSPITAL,81,0,
3AP,18+,Chemung,County,696,5,
2AP,18+,Dutchess,County,1231,150,
3AP,18+,Erie,COMMUNITY CONCERN OF WESTERN NEW YORK INC.,22,0,NO
2AP,18+,Queens,CREEDMOOR PSYCHIATRIC CENTER,331,110,YES
2AP,18+,Schoharie,County,52,2,
3AP,18+,Rockland,"JAWONIO, INC.",53,0,NO
2AP,18+,Queens,"THE CHILD CENTER OF NY, INC.",65,6,
2AP,18+,Erie,KENMORE MERCY HOSPITAL,192,8,
3AP,18+,Erie,"BRYLIN HOSPITALS, INC.",65,1,
2AP,18+,Schuyler,County,73,8,
2AP,18+,Essex,County,137,16,
3AP,0-17,Livingston,County,82,0,NO
2AP,18+,Westchester,ECON OPP COUNCIL SUFFOLK AI,32,3,
2AP,18+,Onondaga,County,2540,237,
3AP,18+,Westchester,"FAMILY SERVICE LEAGUE, INC.",281,1,
2AP,18+,Chemung,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",52,6,
2AP,18+,Brooklyn,"BROOKLYN CENTER FOR FAMILIES IN CRISIS, INC.",37,0,NO
2AP,18+,Manhattan,MEMORIAL HSP CANCER ALLIED,66,5,NO
3AP,18+,Schenectady,County,1601,3,
3AP,18+,Greene,County,271,1,
2AP,18+,Wayne,County,194,16,
2AP,0-17,Greene,GREENE COUNTY COMMUNITY SERVICES BOARD,30,2,
3AP,18+,Manhattan,CARE FOR THE HOMELESS,28,0,
2AP,18+,Broome,OMH STATE PC NETWORK,49,12,
2AP,0-17,Albany,PARSONS CHILD AND FAMILY CENTER,165,15,
3AP,18+,Bronx,"BRONXWORKS, INC.",46,0,
3AP,18+,Brooklyn,ALLHEALTH DIAG & TRT CTR,96,0,
2AP,18+,Cortland,County,259,12,
2AP,18+,Brooklyn,AHAVA MEDICAL AND REHAB CENTER LLC,38,5,NO
2AP,18+,Oswego,County,398,30,
3AP,18+,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,39,1,
3AP,18+,Greene,County,259,0,
2AP,18+,Manhattan,"PROJECT RENEWAL, INC.",342,18,NO
2AP,18+,Seneca,County,131,22,
2AP,0-17,Franklin,County,77,3,
3AP,0-17,Brooklyn,MAIMONIDES MEDICAL CENTER,62,0,NO
3AP,18+,Bronx,ADVANCED ENDOSCOPY CENTER,65,1,NO
3AP,18+,Sullivan,County,516,1,
2AP,18+,Onondaga,"LIBERTY RESOURCES, INC.",171,12,NO
3AP,18+,Suffolk,OMH STATE PC NETWORK,288,2,NO
3AP,18+,Bronx,COUNSELING SERVICES OF NY LLC,23,0,NO
2AP,18+,Albany,County,694,146,
2AP,18+,Tompkins,County,203,21,NO
3AP,18+,Queens,"GOODWILL INDUSTRIES OF GREATER NEW YORK, INC.",45,1,
3AP,18+,Onondaga,CROUSE HOSPITAL,203,0,NO
2AP,18+,Niagara,County,1355,105,
2AP,18+,Manhattan,County,25514,2672,
2AP,18+,Albany,County,5195,873,
2AP,18+,Orange,HUDSON VALLEY CARE COALITION,108,14,
2AP,0-17,Monroe,ROCHESTER GENERAL HOSPITAL,118,4,NO
2AP,18+,Westchester,County,9037,1205,
3AP,18+,Westchester,HUDSON RIVER HEALTH CARE,1858,3,
2AP,18+,Onondaga,"OSWEGO HOSPITAL, INC.",54,2,
3AP,18+,Montgomery,County,454,0,
3AP,18+,Suffolk,PILGRIM PSYCHIATRIC CENTER,23,0,
2AP,18+,Westchester,County,8946,1242,
2AP,0-17,Saint Lawrence,ST. LAWRENCE PSYCHIATRIC CENTER,49,1,NO
2AP,18+,Bronx,MONTEFIORE NEW ROCHELLE HOSP,158,20,
3AP,18+,Brooklyn,"COUNSELING SERVICE OF E.D.N.Y., INC.",59,0,
3AP,18+,Ulster,County,1068,7,
3AP,18+,Saint Lawrence,UCPA OF THE NORTH COUNTRY,41,0,NO
2AP,18+,Madison,County,299,32,
2AP,18+,Westchester,MONTEFIORE MEDICAL CENTER,623,90,
2AP,18+,Cattaraugus,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,38,5,NO
2AP,18+,Queens,NYC-HHC ELMHURST HOSPITAL CENTER,560,83,NO
3AP,18+,Westchester,"PUERTO RICAN FAMILY INSTITUTE, INC.",55,1,
2AP,18+,Warren,County,798,61,
3AP,0-17,Delaware,County,37,0,
2AP,18+,Putnam,County,239,23,
3AP,0-17,Dutchess,WESTCHESTER MEDICAL CENTER,63,0,NO
2AP,18+,Orange,County,1427,178,
3AP,18+,Orange,County,1500,5,
3AP,0-17,Westchester,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,73,0,NO
2AP,0-17,Dutchess,WESTCHESTER MEDICAL CENTER,41,2,
2AP,18+,Manhattan,"COMMUNITY HEALTHCARE NETWORK, INC.",124,21,
3AP,18+,Albany,NEW YORK PSYCHIATRIC INSTITUTE,228,0,
3AP,0-17,Schenectady,SCHENECTADY FAMILY HEALTH SER,45,0,
2AP,18+,Ulster,KINGSTON HOSPITAL,329,40,NO
2AP,18+,Westchester,PILGRIM PSYCHIATRIC CENTER,38,14,
2AP,18+,Monroe,LIFETIME HEALTH MEDICAL GROUP,58,6,NO
3AP,18+,Westchester,County,10117,41,
3AP,0-17,Westchester,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,87,0,NO
2AP,18+,Bronx,County,14027,1353,
3AP,18+,Dutchess,THE INSTITUTE FOR FAMILY HEALTH,135,1,
3AP,18+,Erie,"MONSIGNOR CARR INSTITUTE, INC.",78,0,
2AP,18+,Dutchess,County,1255,152,
3AP,18+,Cattaraugus,"CATTARAUGUS REHABILITATION CENTER, INC.",27,0,NO
2AP,0-17,Schuyler,County,13,0,
2AP,0-17,Westchester,County,1127,57,
2AP,0-17,Dutchess,ASTOR SERVICES FOR CHILDREN & FAMILIES,197,5,NO
2AP,18+,Saratoga,"SARATOGA-SCHENECTADY ENDOSCPY, LLC",27,1,
2AP,18+,Rockland,County,1081,179,
3AP,18+,Bronx,MONTEFIORE MEDICAL CENTER,5932,23,
2AP,0-17,Saratoga,County,312,4,
3AP,0-17,Brooklyn,UNIVERSITY HOSP OF BROOKLYN,44,0,
3AP,18+,Monroe,HIGHLAND HOSPITAL OF ROCHESTER,138,0,NO
2AP,18+,Rensselaer,County,470,57,
3AP,18+,Queens,OMH STATE PC NETWORK,353,5,NO
3AP,18+,Chenango,County,83,0,NO
2AP,0-17,Montgomery,County,137,3,
3AP,18+,Nassau,SOUTH NASSAU COMMUNITIES HOSPITAL,450,1,
3AP,18+,Albany,County,5195,33,
2AP,18+,Bronx,MARTIN LUTHER KING HLTH CTR,806,63,
3AP,18+,Onondaga,CROUSE HOSPITAL,200,0,NO
2AP,18+,Ulster,THE INSTITUTE FOR FAMILY HEALTH,74,7,NO
3AP,18+,Monroe,County,4256,14,
3AP,18+,Erie,"EHS, INC.",217,0,
3AP,18+,Albany,KINGSBORO PSYCHIATRIC CENTER,117,4,
2AP,0-17,Rockland,COORDINATED BEHAVIORAL CARE IPA,72,4,
2AP,0-17,Manhattan,County,1744,73,
3AP,0-17,Queens,EPISCOPAL HEALTH SERVICES INC.,25,0,NO
3AP,18+,Manhattan,ODYSSEY HOUSE OF NEW YORK,23,0,
3AP,0-17,Wayne,County,106,1,
2AP,18+,Queens,NYC-HHC AGENCY NETWORK,258,66,
3AP,0-17,Orange,County,217,1,
2AP,18+,Schenectady,County,1592,114,
3AP,18+,Broome,SOUTHERN TIER AIDS PROGRAM AI,65,0,
2AP,0-17,Saint Lawrence,County,121,1,NO
3AP,18+,Rockland,ROCKLAND PSYCHIATRIC CENTER,109,2,
2AP,18+,Brooklyn,"NNCC DBA NEIGHBORHOOD COUNSELING CENTER, INC.",42,1,NO
2AP,18+,Brooklyn,County,12159,1314,
2AP,0-17,Suffolk,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,122,7,
2AP,18+,Broome,County,190,23,
2AP,18+,Westchester,"MENTAL HEALTH AMERICA OF DUTCHESS COUNTY, INC",263,35,NO
3AP,0-17,Nassau,FAMILY AND CHILDREN'S ASSOCIATION,35,0,
3AP,0-17,Brooklyn,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,172,0,
2AP,0-17,Rensselaer,County,172,5,
3AP,0-17,Erie,County,659,0,
2AP,18+,Rensselaer,County,417,47,
2AP,0-17,Oswego,"OSWEGO HOSPITAL, INC.",58,2,NO
2AP,0-17,Putnam,County,21,0,
3AP,18+,Manhattan,NYC-HHC WOODHULL MEDICAL & MENTAL HEALTH CENT,41,0,
2AP,0-17,Westchester,ASSOC. FOR MENTALLY ILL CHILDREN OF WESTCHEST,26,3,
2AP,0-17,Tompkins,County,76,3,
2AP,18+,Orleans,MEDINA MEMORIAL HOSPITAL,39,4,NO
2AP,18+,Oswego,County,418,33,
3AP,0-17,Albany,SETON HEALTH SYSTEM,74,0,NO
2AP,18+,Oswego,CATHOLIC CHARITIES/OSWEGO CNTY MH,33,1,
2AP,18+,Bronx,"POSTGRADUATE CENTER FOR MENTAL HEALTH, INC.",23,3,NO
3AP,18+,Washington,WARREN-WASHINGTON ASSOCIATION FOR MENTAL HEAL,41,0,NO
2AP,18+,Genesee,UNITED MEMORIAL MEDICAL CTR,230,16,
2AP,18+,Chenango,CHENANGO COUNTY COMMUNITY SERVICES BOARD,39,3,
2AP,18+,Queens,County,9555,1312,
2AP,18+,Bronx,FEDERATION EMPLOYMENT & GUIDANCE SERVICE,509,103,YES
2AP,18+,Ulster,County,1108,124,
2AP,0-17,Fulton,County,100,1,
3AP,18+,Queens,"THE BRIDGE, INC.",154,1,NO
3AP,18+,Westchester,"JAWONIO, INC.",75,1,
2AP,18+,Brooklyn,BROOKLYN BUREAU OF COMMUNITY SERVICE,23,3,
3AP,18+,Hamilton,County,2,0,
2AP,18+,Albany,SUNNYVIEW HOSP,36,4,NO
3AP,18+,Schenectady,"MOHAWK OPPORTUNITIES, INC.",40,0,
3AP,18+,Schenectady,County,1574,3,
2AP,18+,Wayne,County,210,15,
3AP,18+,Sullivan,County,1801,8,
3AP,18+,Manhattan,UNIVERSITY OPTOMETRIC CTR,39,0,
3AP,18+,Staten Island,County,485,4,
2AP,18+,Seneca,County,131,22,
3AP,18+,Brooklyn,ALLHEALTH DIAG & TRT CTR,31,0,NO
2AP,18+,Livingston,LIVINGSTON COUNTY MENTAL HEALTH SERVICES,70,8,
3AP,0-17,Onondaga,SYRACUSE COMM HEALTH CTR  INC,37,0,
3AP,18+,Chemung,CATHOLIC CHARITIES OF THE DIOCESE OF ROCHESTE,21,0,NO
2AP,0-17,Nassau,CATHOLIC CHARITIES OF ROCKVILLE CENTRE,28,1,NO
2AP,0-17,Franklin,County,50,3,NO
2AP,18+,Schoharie,County,51,2,
2AP,18+,Oneida,"LIFEPLAN CCO NY, LLC (CCO)",1157,199,
2AP,18+,Manhattan,VILLAGE CARE HEALTH CLINIC,39,2,NO
3AP,18+,Madison,County,296,1,
2AP,18+,Orleans,County,115,11,
2AP,18+,Queens,LEXINGTON HEARING AND SPEECH,40,8,
2AP,18+,Westchester,"SANCIA WELLNESS, INC.",23,3,NO
3AP,18+,Manhattan,HUDSON RIVER HEALTH CARE,56,1,NO
3AP,18+,Brooklyn,NYC-HHC KINGS COUNTY HOSPITAL CENTER,25,0,
3AP,0-17,Monroe,VILLA OF HOPE,38,0,
3AP,0-17,Bronx,MONTEFIORE MEDICAL CENTER,208,0,NO
2AP,18+,Monroe,HCR CARE MANAGEMENT LLC,145,10,
3AP,18+,Schenectady,ELLIS HOSPITAL,831,5,
2AP,18+,Staten Island,County,1744,263,
3AP,18+,Queens,NYC-HHC AGENCY NETWORK,1801,14,
2AP,18+,Putnam,County,227,28,
2AP,18+,Westchester,HUDSON RIVER HEALTH CARE,3356,441,YES
2AP,18+,Jefferson,THE CHILDREN'S HOME OF JEFFERSON COUNTY,103,13,NO
3AP,18+,Oneida,County,1269,5,NO
2AP,18+,Manhattan,HARLEM UNITED COM AIDS CTR AI,298,23,
2AP,18+,Brooklyn,County,12037,1304,
2AP,18+,Niagara,MOUNT ST MARY HSP HLTH CTR,44,7,NO
2AP,0-17,Orleans,County,14,1,
3AP,0-17,Manhattan,County,1572,2,
3AP,0-17,Broome,CENTRAL NEW YORK BHCC,22,0,
2AP,0-17,Manhattan,"UNION SETTLEMENT ASSOCIATION, INC.",24,0,NO
3AP,0-17,Manhattan,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",26,0,
2AP,0-17,Cattaraugus,County,26,1,
3AP,18+,Staten Island,PROJECT HOSPITALITY INC AI,142,0,NO
3AP,0-17,Albany,CHHUNY LLC,922,1,
3AP,0-17,Chautauqua,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,80,0,
2AP,18+,Manhattan,"NEW YORK GRACIE SQUARE HOSPITAL, INC., THE",63,7,
2AP,18+,Columbia,COLUMBIA MEMORIAL HOSPITAL,80,10,
3AP,18+,Manhattan,"TRANSITIONAL SERVICES FOR NEW YORK, INC.",23,0,
3AP,18+,Herkimer,County,29,0,
3AP,0-17,Herkimer,County,47,0,
2AP,18+,Genesee,County,299,18,
2AP,18+,Cattaraugus,OLEAN GENERAL HOSPITAL,318,35,
3AP,18+,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,76,0,NO
3AP,18+,Essex,County,140,1,
2AP,18+,Yates,County,50,4,
2AP,18+,Otsego,County,759,62,
2AP,18+,Erie,County,4166,378,
2AP,18+,Nassau,NASSAU HEALTH CARE CORP/NASSAU UNIV MED CTR,417,41,NO
2AP,18+,Otsego,County,738,67,
2AP,0-17,Ulster,County,220,12,
2AP,18+,Queens,FLUSHING ENDOSCOPY CENTER LLC,39,3,
2AP,18+,Westchester,"COORDINATED BEHAVIORAL HEALTH CARE, INC.",122,30,
2AP,18+,Cortland,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",25,2,NO
2AP,18+,Orange,County,1406,195,
2AP,18+,Saint Lawrence,County,425,31,
2AP,18+,Wyoming,County,119,6,
2AP,18+,Monroe,HILLSIDE CHILDREN'S CENTER,110,7,
2AP,0-17,Statewide,Statewide,958,51,
2AP,0-17,Westchester,County,1182,44,
3AP,18+,Brooklyn,County,11318,50,
2AP,18+,Greene,County,260,18,
3AP,0-17,Albany,"REHABILITATION SUPPORT SERVICES, INC.",24,0,
2AP,0-17,Putnam,County,22,0,
2AP,0-17,Niagara,County,288,11,
3AP,18+,Genesee,GENESEE COUNCIL ON ALCOHOLISM,24,0,NO
2AP,0-17,Suffolk,THE LONG ISLAND HOME,103,7,NO
3AP,18+,Suffolk,JOHN T. MATHER MEMORIAL HOSPITAL,108,0,NO
2AP,18+,Franklin,"CITIZEN ADVOCATES, INC. DBA NORTH STAR INDUST",234,22,NO
2AP,0-17,Schoharie,County,33,1,
2AP,0-17,Fulton,County,102,1,
2AP,18+,Suffolk,THE LONG ISLAND HOME,106,8,NO
2AP,0-17,Columbia,County,42,2,NO
2AP,0-17,Orange,County,238,8,
2AP,0-17,Oswego,County,123,4,
