Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Kaiser & Kraft,Maurice 432,47.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Trade Marks Directorate,Stationery Office,MHAMB06,48.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 439,49.07,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,Maplin,ROMOU275,50.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Office2Me,yjohn359,50.34,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Finance Directorate,Personal expenses name witheld,48519,50.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,Maplin,ROMOU268,50.93,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,HW,ethib 251,57.58,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Patents Directorate,Amazon,HHART13,59.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Healthcare,Business Support Directorate,Visionplus Ltd,1543183,60.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Eyecare,Business Support Directorate,Visionplus Ltd,1543183,60.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48522,64.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Business Support Directorate,Shredders-UK,ANBEC139,65.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,CPD,ethib 255,70.51,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Finance Directorate,CIPS,ANBEC142,75.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 437,79.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Innovation Directorate,Stanco,ERICH03,90.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Innovation Directorate,Melville,ERICH05,90.51,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Seton,Maurice 434,92.41,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Innovation Directorate,Stanco,ERICH07,98.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Copyright and IP Enforcement Directorate,Zest Events Inc,GPC Sep,98.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,Lastminute.com,NIILE48,103.94,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Innovation Directorate,ICHF,ERICH06,112.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,48518,112.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,longtailvideo.com,ROMOU267,112.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Innovation Directorate,ILX Group plc,238192,116.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 246,118.74,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,CPD,ethib 257,119.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Business Support Directorate,CIPD,TARTH050,125.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Countplace,Maurice 436,125.43,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Innovation Directorate,Melville,ERICH04,130.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,Easyjet,NIILE47,146.88,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 443,152.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Business Support Directorate,Morgana,ROMOU273,155.65,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 441,157.04,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,FT,NI19,158.86,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 447,167.79,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Cleaning,Business Support Directorate,Thomas Waste Management Ltd,69098,170.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Telephone Rentals and Call Charges,Business Support Directorate,MeetingZone,ROMOU272,175.28,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Copyright and IP Enforcement Directorate,Ystrad Mynach College,GPC Sep,207.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Paxton,ethib 258,212.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,CIMA,NI17,216.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Telephone Rentals and Call Charges,Business Support Directorate,MeetingZone,ROMOU269,229.06,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,Misco,ROMOU266,232.77,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Telephone Rentals and Call Charges,Business Support Directorate,MeetingZone,ROMOU274,240.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,Maurice 440,252.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 252,252.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,EPO,NI18,254.31,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Geze UK Ltd,88047893,275.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF239826,312.97,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,Brussel Air,NI12,391.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Business Support Directorate,IA10,TARTH051,410.08,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,CPD,yjohn360,442.69,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Seminars and Conferences,Business Support Directorate,European HR Directors,TARTH052,494.91,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 248,497.72,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Patents Directorate,Institute of Physics,HHART15,516.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Trade Marks Directorate,CLT,SLURV023,581.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Machinery hire and maintenance,Business Support Directorate,Hi-Reach (Cardiff,Maurice 444,599.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,CPD,ethib 250,636.35,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,48520,677.82,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9481952,681.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Finance Directorate,Antalis McNaughton Ltd,JR9481952,681.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Eureka,yjohn354,730.08,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9491142,1316.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Finance Directorate,Computacenter,GPC Sep,3282.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,Quest Software (UK) Ltd,4600000219,9263.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Books  Newspapers & Publications,Patents Directorate,Stationery Office,40417,5.46,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,48523,9.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48525,23.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Finance Directorate,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),6333,54.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48526,79.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,48527,157.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Training,Business Support Directorate,City & Guilds Institute,801555070,232.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Rhomco Consulting Ltd,RCL606,352.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Healthcare,Business Support Directorate,Connaught Compliance Services Ltd,OP/I277842,481.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,48528,529.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Other Stationery & General Supplies,Finance Directorate,Personal expenses name witheld,245825,535.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Furniture Removals & Portering,Business Support Directorate,Senator International Ltd,S00925975,550.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48524,578.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Maintenance of computers,Business Support Directorate,Impact Marcom Ltd,SIN946202,848.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Computer hardware and software,Business Support Directorate,Specialist Computer Centres Plc,OP/L198702,1096.35,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,556973,1212.53,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,17492,1338.41,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,17490,1343.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA152527,1782.49,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,17491,23902.44,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,03/09/2010,Accommodation charges,Business Support Directorate,First Investments Ltd,17489,23984.69,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Van Delivery Service,Business Support Directorate,ARVAL PHH Business Solutions Ltd,1014765400,40.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Office Cleaning,Business Support Directorate,Quality Floorcare Ltd,13923,150.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Overseas Patent Specifications,Patents Directorate,British Library,139620950,4166.6,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Postage,Business Support Directorate,Neopost Ltd,705614/03/09/10,10000.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Fuel &Utilities,Business Support Directorate,EDF Energy 1 Ltd,11555683-0095,15750.71,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,06/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Balfour Beatty WorkPlace Ltd,B166350,18793.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Office Cleaning,Business Support Directorate,Biffa Waste Services Ltd,247C18483,7.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Postage,Business Support Directorate,Royal Mail,1105315467,150.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,48530,167.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Books  Newspapers & Publications,Business Support Directorate,Menzies Distribution Ltd t/a Jones Yarrell,109493,184.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48531,204.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Non - IT Consultants,Copyright and IP Enforcement Directorate,Experian Ltd,IEX3000816281,374.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Entertainment,Chief Executive's Office,Personal expenses name witheld,48529,620.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Office Cleaning,Business Support Directorate,Biffa Waste Services Ltd,512C09215,622.19,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Postage,Business Support Directorate,Parcelforce Worldwide,9030640688,676.71,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,SABIP,SABIP,HM Revenue & Customs,XM002615011678,758.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Office Cleaning,Business Support Directorate,Biffa Waste Services Ltd,512C09216,1341.62,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Training,Business Support Directorate,Unicom Seminars Ltd,10753,1395.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Training,Trade Marks Directorate,Unicom Seminars Ltd,10753,1395.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Copyright Tribunal - Expenditure,Copyright and IP Enforcement Directorate,HM Revenue & Customs,XM002615011678,1592.36,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Payroll Costs,Business Support Directorate,LogicaCMG UK Ltd,HRS115019,1737.86,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Paper,Finance Directorate,Xerox Office Supplies Ltd,15000930/35,2167.22,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Steering Board,Business Support Directorate,HM Revenue & Customs,XM002615011678,2658.85,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Payroll Costs,Business Support Directorate,LogicaCMG UK Ltd,HRS114928,2936.75,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Security Guards,Business Support Directorate,Legion Group plc,21658,4888.91,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Research Projects,Innovation Directorate,Capita Resourcing Ltd,23065,6110.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA152762,11368.07,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Accommodation charges,Business Support Directorate,Office for National Statistics,1018857,136850.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Security Guards,Business Support Directorate,Office for National Statistics,1018857,136850.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Fuel &Utilities,Business Support Directorate,Office for National Statistics,1018857,136850.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Office for National Statistics,1018857,136850.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2010,Accommodation charges,Business Support Directorate,Office for National Statistics,1018857,147675.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,08/09/2010,Other Stationery & General Supplies,Finance Directorate,Tower Supplies,111535,-721.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,08/09/2010,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,48491,9.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,08/09/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48533,27.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,08/09/2010,Other Stationery & General Supplies,Finance Directorate,Stamps Direct,CA302734,34.26,Not recorded
