CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50001777,AU BON PAIN,Queens,,JFK AIRPORT,11430.0,7189176430,Soups/Salads/Sandwiches,P,10F,Cycle Inspection / Initial Inspection,
40978834,68 JAY STREET BAR,Brooklyn,68,JAY STREET,11201.0,7182608207,American,P,04A,Cycle Inspection / Initial Inspection,BK38
50064635,DUMONT BURGER,Brooklyn,314,BEDFORD AVENUE,11249.0,7187826666,Sandwiches,F,10H,Cycle Inspection / Re-inspection,BK73
41578481,TOP HOT BAGELS & GRILL,Queens,4018,BELL BOULEVARD,11361.0,7182299090,American,O,10F,Cycle Inspection / Reopening Inspection,QN46
50102704,LIC GRILL,Brooklyn,544,MANHATTAN AVENUE,11222.0,7185996100,,,,,BK73
40513609,SKYLIGHT DINER,Manhattan,402,WEST   34 STREET,10001.0,2122440395,American,F,10B,Cycle Inspection / Initial Inspection,MN13
41574968,PHAYUL RESTAURANT,Queens,3765,74 STREET,11372.0,7184241869,Asian/Asian Fusion,B,,Administrative Miscellaneous / Initial Inspection,QN28
50017750,SUBWAY,Manhattan,250,10 AVENUE,10001.0,2126755925,Sandwiches,D,10F,Cycle Inspection / Initial Inspection,MN13
41633778,UNDERDOG,Manhattan,55,STONE STREET,10004.0,9174090251,American,D,06D,Cycle Inspection / Initial Inspection,MN25
50037802,RESTAURANT LA SAVANE,Manhattan,239,WEST  116 STREET,10026.0,6464904644,African,D,10F,Cycle Inspection / Initial Inspection,MN11
50043665,MEXICO EN LA PIEL,Brooklyn,5904,5 AVENUE,11220.0,7187650001,Mexican,P,10F,Cycle Inspection / Initial Inspection,BK32
50008709,STATUE OF LIBERTY DELI,Staten Island,5,FERRY TERMINAL DR,10301.0,6465250973,American,U,09C,Cycle Inspection / Initial Inspection,SI22
50005180,J & B YUMMY PIZZA,Brooklyn,5507,5 AVENUE,11220.0,7184391105,Pizza,P,06D,Cycle Inspection / Initial Inspection,BK34
50005707,HANA SUSHI,Brooklyn,524,86 STREET,11209.0,7182384513,Japanese,D,08A,Cycle Inspection / Re-inspection,BK31
50036372,SUBWAY,Brooklyn,273,UTICA AVENUE,11213.0,7183859100,Sandwiches,D,10F,Cycle Inspection / Initial Inspection,BK61
40973710,BAGEL TALK,Manhattan,368,AMSTERDAM AVENUE,10024.0,2128751267,Bagels/Pretzels,D,02G,Cycle Inspection / Re-inspection,MN12
50072549,KEW GARDENS CHICKEN,Queens,8045,KEW GARDENS RD,11415.0,7182682508,Chicken,O,10F,Pre-permit (Operational) / Reopening Inspection,QN60
50001649,THE EAST POLE,Manhattan,133,EAST   65 STREET,10065.0,2122492222,American,U,06D,Cycle Inspection / Initial Inspection,MN40
50067821,YI FENG YUAN,Queens,3714,MAIN ST,11354.0,9292007078,Chinese,D,02G,Cycle Inspection / Re-inspection,QN22
41226031,ARS NOVA THEATER,Manhattan,511,WEST   54 STREET,10019.0,2124899800,American,D,05D,Cycle Inspection / Initial Inspection,MN15
40716092,TRIBECA PARK CAFE,Manhattan,1,WALKER STREET,10013.0,2122260665,Sandwiches,U,02G,Cycle Inspection / Initial Inspection,MN24
40800557,MCDONALD'S,Manhattan,160,BROADWAY,10038.0,2123852063,Hamburgers,D,02G,Cycle Inspection / Initial Inspection,MN25
50048152,DOSA ROYALE,Brooklyn,258,DEKALB AVENUE,11205.0,7185763800,Indian,F,06C,Cycle Inspection / Re-inspection,BK69
41139007,POLLOS A LA BRASA MARIO,Queens,62-01,WOODSIDE AVENUE,11377.0,7182059898,Spanish,F,09C,Cycle Inspection / Initial Inspection,QN63
40754984,SOPHIE'S RESTAURANT,Manhattan,26,BROADWAY,10004.0,2128097755,Latin American,D,10F,Cycle Inspection / Re-inspection,MN25
50010874,LITTLE ITALY PIZZA,Manhattan,214,WEST   92 STREET,10025.0,2125947817,Pizza,D,10F,Cycle Inspection / Initial Inspection,MN12
41385076,TEN TAN,Bronx,3507,DEKALB AVENUE,10467.0,7182318883,Chinese,P,08A,Cycle Inspection / Initial Inspection,BX43
40707818,NUEVO JARDIN DE CHINA RESTAURANT,Queens,3205,BROADWAY,11106.0,7187260819,Chinese,G,08A,Cycle Inspection / Initial Inspection,QN70
50060220,CAFE KABILA,Manhattan,250,WEST   39 STREET,10018.0,6463510988,American,U,10F,Cycle Inspection / Re-inspection,MN17
41647129,STEPHANIE'S MEXICAN BAKERY,Queens,37-56,108 STREET,11368.0,7184240371,Mexican,F,08A,Cycle Inspection / Re-inspection,QN26
41503140,VIP COFFEE,Brooklyn,6714,BAY PARKWAY,11204.0,7188378388,Bakery Products/Desserts,G,04C,Cycle Inspection / Initial Inspection,BK28
50013798,IL MULINO PRIME,Manhattan,331,WEST BROADWAY,10013.0,2122260020,Italian,D,10F,Cycle Inspection / Initial Inspection,MN24
50053623,GOLDEN KING BAKERY,Manhattan,90,BOWERY,10013.0,2126800138,Bakery Products/Desserts,D,04N,Cycle Inspection / Re-inspection,MN24
50080682,EL VIEJO JOBO SEAFOOD RESTAURANT,Bronx,20,WEST BURNSIDE AVENUE,10453.0,7185836565,Spanish,U,04H,Cycle Inspection / Re-inspection,BX36
50083414,DAE JAN GUEM,Queens,136-20,ROOSEVELT AVENUE,11354.0,7189398688,Korean,D,10F,Cycle Inspection / Initial Inspection,QN22
50038853,CLARA'S,Brooklyn,53,WILSON AVENUE,11237.0,3472951338,American,F,10H,Cycle Inspection / Initial Inspection,BK77
50054205,BAKER HOUSE MARKET,Queens,4107,CRESCENT ST,11101.0,7184722450,Korean,F,04N,Cycle Inspection / Initial Inspection,QN68
41549526,JENNY'S ROTI SHOP,Bronx,1262,CASTLE HILL AVENUE,10462.0,3472818558,Caribbean,D,04L,Cycle Inspection / Initial Inspection,BX59
41604594,TAQUERIA RESTAURANTE MI BARRIO,Brooklyn,887,5 AVENUE,11232.0,3479874435,Mexican,F,04N,Cycle Inspection / Initial Inspection,BK34
41628697,5 NAPKIN BURGER,Manhattan,150,EAST   14 STREET,10003.0,2122285500,American,D,06D,Cycle Inspection / Initial Inspection,MN22
41611274,CHICK P,Brooklyn,490,BERGEN STREET,11217.0,7187831525,Mediterranean,P,08A,Cycle Inspection / Initial Inspection,BK64
41257914,SILVER LAKE GOLF COURSE,Staten Island,915,VICTORY BOULEVARD,10301.0,7184475686,American,F,04N,Cycle Inspection / Re-inspection,SI35
50053053,DEVON & BLAKELY,Manhattan,185,GREENWICH STREET,10007.0,2128260212,American,P,02G,Cycle Inspection / Initial Inspection,MN25
41222982,BONJUK,Queens,15226,NORTHERN BOULEVARD,11354.0,7189395868,Korean,D,10B,Cycle Inspection / Initial Inspection,QN51
41645543,"HAVEN ROOFTOP , SANCTUARY HOTEL",Manhattan,130132,W 47TH ST,,2123820600,American,U,06D,Cycle Inspection / Initial Inspection,
41647129,STEPHANIE'S MEXICAN BAKERY,Queens,37-56,108 STREET,11368.0,7184240371,Mexican,G,08C,Cycle Inspection / Initial Inspection,QN26
50056559,IL SAPORE CAFE,Staten Island,10,AKRON STREET,10314.0,7189830883,Pizza,D,10F,Cycle Inspection / Initial Inspection,SI05
50042718,SEABREEZE FOOD,Brooklyn,1562,RALPH AVENUE,11236.0,3475576593,Caribbean,F,10F,Cycle Inspection / Re-inspection,BK58
50002576,GOOD TASTE 88,Brooklyn,773,52 STREET,11220.0,7188538861,Chinese,P,06A,Cycle Inspection / Initial Inspection,BK34
50110895,,Manhattan,373,AMSTERDAM AVENUE,10024.0,6466102815,,,,,MN12
41470477,CARIBBEAN CONNECTION CATERING SERVICES INC RESTAURANT,Bronx,3969,LACONIA AVENUE,10466.0,7186555155,Caribbean,U,04L,Cycle Inspection / Re-inspection,BX44
50080769,MANDI HOUSE,Staten Island,58,RICHMOND TERRACE,10301.0,7188168458,Middle Eastern,U,04M,Cycle Inspection / Initial Inspection,SI22
50003373,ASTORIA HELLGATE,Queens,19-19,DITMARS BOULEVARD,11105.0,7182040023,American,D,06D,Cycle Inspection / Initial Inspection,QN72
50073481,RAWMANTIC CHOCOLATE,Manhattan,1053,1 AVENUE,10022.0,2122472229,Coffee/Tea,D,10F,Pre-permit (Non-operational) / Initial Inspection,MN19
50073839,GOPCHANG STORY NY,Manhattan,312,5 AVENUE,10001.0,2126954627,Korean,F,02B,Pre-permit (Operational) / Initial Inspection,MN17
41573961,GOOD VIEW BAKERY,Brooklyn,7820,NEW UTRECHT AVENUE,11214.0,7186219388,Chinese,D,10F,Cycle Inspection / Initial Inspection,BK28
50017016,DUNKIN,Queens,4480,21ST ST,11101.0,7187070019,Donuts,D,10F,Cycle Inspection / Initial Inspection,QN31
50003764,EL PASO MEXICAN GRILL,Brooklyn,1610,NEWKIRK AVENUE,11226.0,9179661555,Mexican,P,06E,Cycle Inspection / Initial Inspection,BK42
50047265,HAN,Manhattan,854,10 AVENUE,10019.0,2127078111,Chinese,P,08A,Cycle Inspection / Initial Inspection,MN15
41501454,DUNKIN,Queens,2412,STEINWAY STREET,11103.0,7182048408,Donuts,F,10D,Cycle Inspection / Initial Inspection,QN70
40368374,JIMMY'S CORNER,Manhattan,140,WEST   44 STREET,10036.0,2122219510,American,P,06C,Cycle Inspection / Initial Inspection,MN17
41400142,IHOP,Bronx,961,EAST  174 STREET,10460.0,7188604467,Pancakes/Waffles,F,04M,Cycle Inspection / Initial Inspection,BX75
41490112,VICKI'S RESTAURANT AND BAKERY,Queens,10216,43 AVENUE,11368.0,7182050205,Latin American,F,22C,Administrative Miscellaneous / Initial Inspection,QN26
50040296,GAMMEEOK,Manhattan,9,WEST   32 STREET,10001.0,2128681180,Korean,U,10F,Cycle Inspection / Initial Inspection,MN17
50056609,HUNG HING CHINESE RESTAURANT,Bronx,239,BEDFORD PARK BOULEVARD,10458.0,7185625050,Chinese,D,04L,Cycle Inspection / Re-inspection,BX05
40359705,NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224.0,7183332202,Hotdogs,D,06D,Cycle Inspection / Initial Inspection,BK21
40382057,DYKER BEACH GOLF (GRILL ROOM),Brooklyn,1020,86th Street,11228.0,7188369722,American,D,10H,Cycle Inspection / Initial Inspection,BK99
41443726,MCKENNA'S PUB,Manhattan,250,WEST   14 STREET,10011.0,2122552889,American,F,04N,Cycle Inspection / Initial Inspection,MN23
41684505,EL MITOTE,Manhattan,208,COLUMBUS AVENUE,10023.0,2128742929,Mexican,U,02H,Cycle Inspection / Initial Inspection,MN14
40685734,TOAST,Manhattan,3157,BROADWAY,10027.0,2126621144,American,D,06D,Cycle Inspection / Initial Inspection,MN09
50093208,TORINO PIZZA,Staten Island,1694,RICHMOND ROAD,10304.0,7183513100,Pizza,D,08A,Pre-permit (Operational) / Re-inspection,SI36
50070958,PALOOZA KITCHEN II,Brooklyn,1222,NOSTRAND AVENUE,11225.0,3472440887,Caribbean,D,10F,Cycle Inspection / Initial Inspection,BK60
50008039,CAFE LILY,Brooklyn,42,AVENUE O,11204.0,7188725500,Russian,D,04L,Cycle Inspection / Re-inspection,BK29
41617377,STARBUCKS,Brooklyn,1585,BROADWAY,11207.0,2125417515,Coffee/Tea,D,04N,Cycle Inspection / Initial Inspection,BK78
41152996,LUIGIS GRILL PIZZA,Manhattan,936,8 AVENUE,10019.0,2122458432,Pizza,U,06C,Cycle Inspection / Re-inspection,MN17
50083894,MY JARABACOA #1 RESTAURANT,Queens,65-13,FRESH POND ROAD,11385.0,7188215880,Spanish,F,10B,Pre-permit (Operational) / Initial Inspection,QN20
41660639,"CAFETAL SOCIAL CLUB, CHACHIS",Manhattan,285,MOTT STREET,10012.0,2129661259,Italian,F,08A,Cycle Inspection / Initial Inspection,MN24
50060088,GARLIC TO THE CHICKEN,Queens,6692,FOREST AVE,11385.0,3476892670,Korean,D,10F,Cycle Inspection / Initial Inspection,QN20
40867167,CEVABDZINICA SARAJEVO,Queens,37-18,34 AVENUE,11101.0,7187529528,Eastern European,F,04M,Cycle Inspection / Initial Inspection,QN70
50079494,SUNSHINE - ONE LOVE,Manhattan,59,EAST    8 STREET,10003.0,2124205999,Vegetarian,U,04L,Pre-permit (Operational) / Re-inspection,MN23
50001807,MONARCH,Manhattan,960,6 AVENUE,10001.0,2126309993,American,D,04C,Cycle Inspection / Re-inspection,MN17
50041083,TENZAN 89,Manhattan,1714,2 AVENUE,10128.0,2123693600,Japanese,U,10F,Cycle Inspection / Re-inspection,MN32
50074104,VIP COFFEE II,Brooklyn,2214,86 STREET,11214.0,7183300889,Chinese,F,08A,Cycle Inspection / Initial Inspection,BK28
40373113,ASTRO RESTAURANT,Manhattan,101,WEST   55 STREET,10019.0,2124896284,American,D,10B,Cycle Inspection / Re-inspection,MN17
40738028,ALI'S ROTI SHOP,Bronx,4220,WHITE PLAINS ROAD,10466.0,7186552178,Caribbean,F,04L,Cycle Inspection / Re-inspection,BX62
50102792,CROWN FRIED CHICKEN,Queens,15335,HILLSIDE AVE,11432.0,7187499989,Chicken,P,02G,Pre-permit (Operational) / Initial Inspection,QN35
41362200,NAYA MEZZE & GRILL,Manhattan,1057,2 AVENUE,10022.0,2123197777,Middle Eastern,U,06E,Cycle Inspection / Re-inspection,MN19
41011076,YAKITORI SUN-CHAN,Manhattan,2707,BROADWAY,10025.0,2127495008,Japanese,U,08A,Cycle Inspection / Re-inspection,MN12
41541049,CHINA DRAGON,Queens,1944A,37 STREET,11105.0,7186268172,Chinese,F,02G,Cycle Inspection / Initial Inspection,QN72
50098891,FISHERMAN'S COVE,Brooklyn,542,NOSTRAND AVENUE,11216.0,9174763133,Caribbean,F,04L,Pre-permit (Operational) / Initial Inspection,BK61
50055662,LUANNE'S WILDGINGER ALL-ASIAN VEGAN,Brooklyn,235,DEKALB AVENUE,11205.0,7186386868,Vegetarian,P,10H,Cycle Inspection / Initial Inspection,BK68
41375936,SPRING GARDEN,Brooklyn,4710,AVENUE N,11234.0,7189510881,Chinese,D,22G,Cycle Inspection / Re-inspection,BK58
50067267,SUBWAY,Manhattan,221,7 AVENUE,10011.0,6467191239,Sandwiches,S,20D,Administrative Miscellaneous / Initial Inspection,MN13
40511696,GEMINI'S LOUNGE,Queens,10723,LIBERTY AVENUE,11417.0,7183230502,Caribbean,D,10F,Cycle Inspection / Re-inspection,QN55
50070455,LEE CHINESE RESTAURANT,Brooklyn,1884,FULTON STREET,11233.0,7189534190,Chinese,U,04M,Pre-permit (Operational) / Re-inspection,BK61
41264529,DELIGHT 28 RESTAURANT,Manhattan,2830,PELL STREET,,2122858686,Chinese,B,,Administrative Miscellaneous / Initial Inspection,
41217679,LUXOR LOUNGE,Manhattan,118,MACDOUGAL STREET,10012.0,2124755544,American,P,08A,Cycle Inspection / Initial Inspection,MN23
50035943,PARLAY,Brooklyn,4024,8 AVENUE,11232.0,9173615018,American,U,02B,Cycle Inspection / Re-inspection,BK34
50010993,THE COPPER STILL,Manhattan,151,2 AVENUE,10003.0,2125108469,Irish,P,06D,Cycle Inspection / Initial Inspection,MN22
50000891,LA MESITA,Brooklyn,1513,MYRTLE AVENUE,11237.0,7183668700,Mexican,D,10B,Cycle Inspection / Initial Inspection,BK77
41710976,SWEET MAMA'S SOUL FOOD,Manhattan,689,LENOX AVENUE,10037.0,2129399383,Soul Food,O,04L,Cycle Inspection / Reopening Inspection,MN03
50001301,JS PERRY'S DINER,Bronx,2783,3 AVENUE,10455.0,7182924385,American,D,06E,Cycle Inspection / Re-inspection,BX34
41096112,"DUNKIN',' BASKIN ROBBINS",Bronx,699,MORRIS PARK AVENUE,10462.0,7187941973,Donuts,D,10F,Cycle Inspection / Initial Inspection,BX37
40867120,GINA'S PIZZA,Queens,60-24,QUEENS BOULEVARD,11377.0,7185059390,Pizza,D,04M,Cycle Inspection / Initial Inspection,QN63
50009557,GRAND CANYON DINER,Brooklyn,179,7 AVENUE,11215.0,7184993660,American,P,08A,Cycle Inspection / Initial Inspection,BK37
50002534,DRUNKEN MUNKEY,Manhattan,338,EAST   92 STREET,10128.0,6469984600,Indian,U,10B,Cycle Inspection / Re-inspection,MN32
41186118,COLD STONE CREAMERY,Queens,17660,UNION TURNPIKE,11366.0,7185915800,Frozen Desserts,P,10F,Cycle Inspection / Initial Inspection,QN06
41514945,CHOP'T,Manhattan,80,PINE STREET,10005.0,9173384803,Salads,D,09C,Cycle Inspection / Initial Inspection,MN25
41568640,HOT POT UNDER DE' TREE,Manhattan,2839,FREDERICK DOUGLAS BOULEVARD,10039.0,2122343505,Caribbean,F,10F,Cycle Inspection / Re-inspection,MN03
41245444,EL VIEJO YAYO REST II,Brooklyn,317,9 STREET,11215.0,7189657299,Latin American,D,02H,Cycle Inspection / Re-inspection,BK37
41021766,SORRENTO'S PIZZERIA,Bronx,2004,WILLIAMSBRIDGE ROAD,10461.0,7188287810,Pizza,U,04L,Cycle Inspection / Re-inspection,BX49
50044570,The STARLIGHT,Brooklyn,596,GRAND STREET,11211.0,7184863700,American,D,04N,Cycle Inspection / Re-inspection,BK90
50043895,CREATE,Queens,2921,DITMARS BLVD,11105.0,3477398424,American,D,02H,Cycle Inspection / Initial Inspection,QN72
50100704,POKE BOWL,Manhattan,104,FULTON STREET,10038.0,2127758540,Hawaiian,D,10F,Pre-permit (Operational) / Initial Inspection,MN25
41572121,LUKE'S PIZZA,Bronx,1226,SOUTHERN BOULEVARD,10459.0,7186187053,Pizza,D,10B,Cycle Inspection / Re-inspection,BX35
50078667,PEP BAKERY CAFE,Brooklyn,9413,3 AVENUE,11209.0,2019661400,Coffee/Tea,F,10H,Pre-permit (Operational) / Initial Inspection,BK31
41699605,PANCHO'S ANTOJITOS MEXICANOS,Manhattan,964,AMSTERDAM AVENUE,10025.0,2123165400,Mexican,D,06D,Cycle Inspection / Re-inspection,MN09
50081955,STAND UP CAFE,Brooklyn,7215,18 AVENUE,11204.0,7182328866,Chinese,F,06D,Pre-permit (Operational) / Initial Inspection,BK28
50042233,MODHU MITA INDIAN RESTAURANT,Manhattan,2546,7 AVENUE,10039.0,9176393947,Indian,D,10F,Cycle Inspection / Initial Inspection,MN03
41604732,KING'S CHEF,Queens,15327,CROSS ISLAND PARKWAY,11357.0,7187678100,Chinese,D,10F,Cycle Inspection / Re-inspection,QN49
50003221,NEW YORK HOT BAGELS & BIALYS,Queens,101-01,QUEENS BOULEVARD,11375.0,7189971537,Sandwiches,D,02G,Cycle Inspection / Initial Inspection,QN17
41415201,COUNTRY HEART COOKING,Queens,202-20,ROCKAWAY POINT BOULEVARD,11697.0,7183183445,American,D,02H,Cycle Inspection / Re-inspection,QN10
50045384,DAGAN GRILL,Brooklyn,6185,STRICKLAND AVENUE,11234.0,7184444100,American,D,06C,Cycle Inspection / Initial Inspection,BK45
41694453,JACK'S STIR BREW COFFEE,Manhattan,10,DOWNING STREET,10014.0,2129296011,Coffee/Tea,P,04L,Cycle Inspection / Initial Inspection,MN23
40862619,MORETTI BAKERY,Staten Island,640,FOREST AVENUE,10310.0,7188150252,Bakery Products/Desserts,F,04A,Cycle Inspection / Initial Inspection,SI35
41699397,JUICY CUBE,Manhattan,674,LEXINGTON AVENUE,10022.0,2128882188,"Juice, Smoothies, Fruit Salads",F,20E,Administrative Miscellaneous / Initial Inspection,MN19
50013473,RED LOBSTER,Bronx,2090,BARTOW AVENUE,10475.0,7186714223,Seafood,D,10F,Cycle Inspection / Initial Inspection,BX13
50068305,SONRISA AZUL,Queens,9606,37TH AVE,11368.0,3476598466,"Juice, Smoothies, Fruit Salads",D,08A,Cycle Inspection / Initial Inspection,QN26
50083286,EL SANTO TAQIERIA,Brooklyn,1053,FLUSHING AVENUE,11237.0,7183663138,Mexican,B,,Trans Fat / Initial Inspection,BK77
50089807,"SUSHI OF GARI, UPPER EAST SIDE",Manhattan,402,EAST   78 STREET,10075.0,6465733129,Asian/Asian Fusion,D,10B,Pre-permit (Operational) / Initial Inspection,MN31
50076558,GOLDEN PALACE SEAFOOD RESTAURANT,Brooklyn,1619,86 STREET,11214.0,9176021068,Chinese,F,10H,Pre-permit (Operational) / Initial Inspection,BK27
50043181,LA LOBA CANTINA,Brooklyn,709,CHURCH AVENUE,11218.0,3472951141,Mexican,D,02G,Cycle Inspection / Initial Inspection,BK40
50045975,MAMA BELLA RESTAURANT,Brooklyn,457,BUSHWICK AVENUE,11206.0,7183816262,Italian,P,10H,Cycle Inspection / Initial Inspection,BK78
50085913,ROOSTER'S FRIED CHICKEN & PIZZA,Queens,4812,BROADWAY,11103.0,7184069661,Chicken,D,10F,Pre-permit (Operational) / Re-inspection,QN70
50097945,GONG CHA,Brooklyn,1698,EAST   14 STREET,11229.0,6466413358,Coffee/Tea,D,10F,Pre-permit (Operational) / Initial Inspection,BK25
41665625,FORGTMENOT,Manhattan,138,DIVISION STREET,10002.0,6467073195,American,F,16B,Trans Fat / Initial Inspection,MN27
40396574,MONTEBELLO RESTAURANT,Manhattan,120,EAST   56 STREET,10022.0,2127531447,Italian,D,04N,Cycle Inspection / Re-inspection,MN19
40847325,MARSEILLE,Manhattan,630,9 AVENUE,10036.0,2123332323,French,F,08A,Cycle Inspection / Initial Inspection,MN15
41408131,CHRIS RESTAURANT,Brooklyn,1866,86 STREET,11214.0,3474623755,Polish,U,06D,Cycle Inspection / Initial Inspection,BK28
50077201,MARINELL BAKERY,Bronx,264,EAST  167 STREET,10456.0,7185883585,Bakery Products/Desserts,D,02G,Cycle Inspection / Initial Inspection,BX14
41687715,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1887,ROCKAWAY PARKWAY,11236.0,7182094242,Caribbean,F,06A,Cycle Inspection / Re-inspection,BK50
41549472,FEI TENG RESTAURANT,Manhattan,68,EAST BROADWAY,10002.0,2122748659,Chinese,F,08A,Cycle Inspection / Initial Inspection,MN27
50004403,SWALLOW CAFE,Brooklyn,205,NORTH    9 STREET,11211.0,9177760176,Coffee/Tea,D,06D,Cycle Inspection / Initial Inspection,BK73
50016928,MCDONALD'S,Queens,20411,HILLSIDE AVE,11423.0,7182177405,Hamburgers,D,06A,Cycle Inspection / Initial Inspection,QN06
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458.0,7183652277,Coffee/Tea,D,10F,Cycle Inspection / Re-inspection,BX05
50061024,CHINA WOK,Bronx,1486,WILLIAMSBRIDGE ROAD,10461.0,7189313333,Chinese,F,04L,Cycle Inspection / Initial Inspection,BX37
