Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Training,Business Support Directorate,Teamworks,1426/11/PatentsOffice/SUP/5-11,67.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-511,80.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-511,80.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-511,80.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Patents Directorate,Centre for Parliamentary Studies,CPS-511,80.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-512,86.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-512,86.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-512,86.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Patents Directorate,Centre for Parliamentary Studies,CPS-512,86.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-510,91.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-510,91.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-510,91.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Patents Directorate,Centre for Parliamentary Studies,CPS-510,91.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Business Support Directorate,Business Language Services Ltd,10748,106.86,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Trade Marks Directorate,Business Language Services Ltd,10748,106.89,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/06/2011,Training,Business Support Directorate,QA Ltd,ICE111470,130.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Patents Directorate,Business Language Services Ltd,10748,159.93,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Trade Marks Directorate,Centre for Parliamentary Studies,CPS-511,160.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Patents Directorate,Business Language Services Ltd,10748,160.29,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,British Computer Society,1318504,171.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Trade Marks Directorate,Centre for Parliamentary Studies,CPS-512,172.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2011,Training,Innovation Directorate,Anderson Law LLP,50068,181.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Trade Marks Directorate,Centre for Parliamentary Studies,CPS-510,183.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Training,Innovation Directorate,Praxis Courses Ltd,44099,200.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Business Support Directorate,Business Language Services Ltd,10748,213.69,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-511,320.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,International Policy Directorate,Centre for Parliamentary Studies,CPS-511,320.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,International Policy Directorate,Business Language Services Ltd,10748,330.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-512,344.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,International Policy Directorate,Centre for Parliamentary Studies,CPS-512,344.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-510,366.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,International Policy Directorate,Centre for Parliamentary Studies,CPS-510,366.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2011,Training,Business Support Directorate,Personal expenses name witheld,50020,376.38,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,Cimtech Ltd,24729,396.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2011,Training,Business Support Directorate,GovNet Communications,23611,447.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-511,480.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Training,Innovation Directorate,Dod's Parliamentary Communications,PK054143,480.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Copyright and IP Enforcement Directorate,National School of Government,F448132,500.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-512,516.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Training,Business Support Directorate,Thomson Reuters (Professional) Ltd,801440978,520.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Training,Innovation Directorate,Praxis Courses Ltd,43922,545.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-510,549.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Training,Innovation Directorate,Praxis Courses Ltd,44068,745.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Training,Business Support Directorate,Sysop Ltd,7337,825.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Training,Trade Marks Directorate,Assist Knowledge Development Ltd,110460,897.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,Worth Consulting Ltd,1083,915.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Training,Finance Directorate,Worth Consulting Ltd,1103,995.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2011,Training,Patents Directorate,University of Wales Newport,17558,1000.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Training,Business Support Directorate,QA Ltd,ICE111079,1160.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2011,Training,Business Support Directorate,Testing Solutions GroupLtd,1854,1450.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Training,Business Support Directorate,E Academy Ltd,20826,1545.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/06/2011,Training,Business Support Directorate,Kofax UK Ltd,180-4013663,1610.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,Worth Consulting Ltd,1096,1830.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2011,Training,Business Support Directorate,QA Ltd,ICE114219,1912.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Finance Directorate,JML Training & Consultation,JM01619,2130.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,07/06/2011,Training,Business Support Directorate,EEF,INV-021499,4338.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,PJR Ltd,4134,12620.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Training,Business Support Directorate,GovNet Communications,24478,3160.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2011,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,50015,123.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2011,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,50048,130.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2011,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,50062,130.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/06/2011,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,50150,130.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/06/2011,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,50151,130.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Childcare costs,Business Support Directorate,Computershare  Voucher Services,C0001189786,5611.7,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2011,Childcare costs,Business Support Directorate,Childcare Vouchers Ltd,IN041835049,6592.24,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,50046,31.7,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,50030,553.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,50140,744.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,50027,873.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2011,Recruitment Advertising,Business Support Directorate,ITSA Ltd,781,112.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,993562,-83.76,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,998538,-75.77,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,International Policy Directorate,Carlson Wagonlit,1006295,-75.77,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Patents Directorate,Leasedrive Velo Rental Management Ltd,CRD00046858,-52.56,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,International Policy Directorate,Carlson Wagonlit,990279,-48.84,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Carlson Wagonlit,983779,-31.22,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Carlson Wagonlit,985371,-28.52,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,993563,-27.37,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Innovation Directorate,Carlson Wagonlit,998972,-27.37,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,International Policy Directorate,Carlson Wagonlit,1006296,-27.37,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Carlson Wagonlit,979590,-20.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Innovation Directorate,Carlson Wagonlit,998970,-20.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Leasedrive Velo Rental Management Ltd,CRD00047092,-13.58,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Leasedrive Velo Rental Management Ltd,CRD00046899,-10.39,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,1006554,-6.74,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Business Support Directorate,Leasedrive Velo Rental Management Ltd,CRD00046899,-3.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Innovation Directorate,Leasedrive Velo Rental Management Ltd,CRD00046899,-2.76,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Trade Marks Directorate,Leasedrive Velo Rental Management Ltd,CRD00046899,-1.84,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49948A,0.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49987A,0.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49974A,0.85,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49896A,0.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50020A,0.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,SABIP,G Austin,50040A,0.95,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49900A,1.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49934A,1.45,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50021A,1.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50145,2.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49984A,2.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50045A,2.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49903A,3.02,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50077A,3.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50067A,3.81,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,49989A,4.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,49940A,4.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49958A,4.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49988A,4.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,50041A,4.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49994A,5.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,49965A,5.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Finance Directorate,Personal expenses name witheld,50028A,6.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49985A,6.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50131,7.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49978A,7.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,49997A,7.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Travel and subsistence UK,Innovation Directorate,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),8862,8.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50016,8.05,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50076,8.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50019,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50031,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50106,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50142,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,International Policy Directorate,Personal expenses name witheld,50169,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,30/06/2011,Travel and subsistence UK,Chief Executive's Office,Personal expenses name witheld,50185,9.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,International Policy Directorate,Carlson Wagonlit,1003206,9.57,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50101,9.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50135,10.7,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50136,10.7,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50061,11.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Travel and subsistence UK,Chief Executive's Office,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),8862,12.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50146,12.01,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50147,12.18,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,991540,12.37,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50121,12.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50130,12.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Travel and subsistence UK,Business Support Directorate,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),8862,13.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,15/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50089,13.05,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,23/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50148,14.25,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/06/2011,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,50084,14.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,50055,16.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,50109,16.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50034,16.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50137,16.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2011,Travel and subsistence UK,Innovation Directorate,DT Palmer,50024,19.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2011,Travel and subsistence UK,Patents Directorate,Leasedrive Velo Rental Management Ltd,RHI00551692,19.24,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50139,19.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Innovation Directorate,Carlson Wagonlit,985997,20.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Finance Directorate,Carlson Wagonlit,1004233,20.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50045,20.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,08/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50053,22.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/06/2011,Travel and subsistence UK,Finance Directorate,Personal expenses name witheld,50027A,23.75,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Travel and subsistence UK,Business Support Directorate,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),8862,24.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,22/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50146,24.02,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,991479,24.23,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Radiocabs (Bridgend) Ltd T/A Dragon Taxis (Newport),8862,24.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/06/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,50163,25.9,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,50108,27.0,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2011,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,50156,27.05,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Business Support Directorate,Carlson Wagonlit,987449,27.95,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50100,28.35,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2011,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,50077,28.8,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/06/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,50074,29.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,International Policy Directorate,Carlson Wagonlit,4631775,30.44,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/06/2011,Travel and subsistence UK,Finance Directorate,Carlson Wagonlit,1004784,31.21,Not applicable
