Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,Maryland,Nutrition,Disparities/Equity,Restaurant/Retail,Maryland Food and Nutrition Policy Council,LEG,013DEQ
2010,1,Illinois,Nutrition,Task Forces/Councils,Community,Farmers Markets,LEG,047TFC
2010,1,Pennsylvania,Nutrition,Agriculture and Farming,Community,Appropriation Bill,LEG,017AGF
2011,1,North Carolina,Nutrition,Food Assistance Programs,Medical and/or Hospital,Body Mass Index and Tobacco Use,LEG,003FAP
2011,1,California,Nutrition,Appropriations,Restaurant/Retail,Healthy Food Options,LEG,002APP
2010,1,Vermont,Nutrition,Appropriations,Community,Soft Drinks,LEG,002APP
2011,1,Hawaii,Nutrition,Agriculture and Farming,Restaurant/Retail,School Meals,LEG,017AGF
2011,1,Missouri,Nutrition,Farmers Markets,Community,Specified Farm Products Tax and Use Exemption,LEG,016FAM
2010,1,Florida,Physical Activity,Pedestrians/Walking,Community,Metropolitan Planning Organizations,LEG,052PED
2009,1,Florida,Obesity,Menu Labeling,Community,Community Affairs,LEG,032MNL
2011,1,Minnesota,Nutrition,Liability and Indemnity,Community,Corporate Franchise and Individual Income Tax,LEG,030LAI
2010,1,Vermont,Nutrition,Appropriations,Restaurant/Retail,Economic Development,LEG,002APP
2010,1,Washington,Obesity,Appropriations,School/After School,Washington Food Policy Forum,LEG,002APP
2004,1,Illinois,Nutrition,Food Assistance Programs,School/After School,House Resolution,LEG,003FAP
2009,1,Ohio,Nutrition,School Nutrition,School/After School,Standards for Vending Machine Foods in Schools,LEG,043SNU
2009,1,New York,Obesity,Menu Labeling,Community,Regional Blueprint Fund Program,REG,032MNL
2010,1,Illinois,Physical Activity,Safe Routes to Schools,School/After School,Department of Transportation Law,LEG,041SRS
2012,1,Connecticut,Physical Activity,Physical Activity Requirements,School/After School,An Act Concerning Educational Reform<br>,LEG,035PAR
2006,1,Florida,Physical Activity,Physical Education Requirements,School/After School,Schools,LEG,036PER
2011,1,New York,Nutrition,Farm Direct Foods,School/After School,Health Kids Act Pilot Program,LEG,015FDF
2011,1,New York,Nutrition,Farm Direct Foods,Restaurant/Retail,Processing of Homemade Baked Goods,LEG,015FDF
2011,1,New York,Physical Activity,Media Campaigns,Community,New York State Governors Council on Physical Fitness,LEG,031MDC
2009,1,Massachusetts,Obesity,Body Mass Index (BMI),Community,Creating the Mass Rail Transit Fund,LEG,006BMI
2011,1,Minnesota,Obesity,Food Restrictions,Community,Agriculture,LEG,020FOR
2011,1,Illinois,Nutrition,Disparities/Equity,School/After School,Trans Fat Restriction Act,LEG,013DEQ
2009,1,Colorado,Nutrition,Appropriations,School/After School,Beverage Policy,REG,002APP
2011,1,California,Obesity,Initiatives and Programs,Restaurant/Retail,CalFresh,LEG,053INP
2010,1,Rhode Island,Nutrition,Healthier Food Retail and Food Deserts,Community,Taxation,LEG,021HFR
2011,1,Texas,Physical Activity,Disparities/Equity,Community,Acquisition of Real Property,LEG,013DEQ
2009,1,Texas,Obesity,Task Forces/Councils,School/After School,Nutrition Working Groups,REG,047TFC
2010,1,Idaho,Physical Activity,Pedestrians/Walking,School/After School,Motor Vehicles,LEG,052PED
2010,1,Mississippi,Obesity,Food Restrictions,Restaurant/Retail,Healthy Food Retail Act,LEG,020FOR
2010,1,Vermont,Obesity,Sugar Sweetened Beverages,Community,Soft Drinks,LEG,046SSB
2013,1,Alabama,Nutrition,Farmers Markets,Community,An Act Relating to the Farmersâ Market Authority,LEG,016FAM
2009,1,Tennessee,Obesity,Food Restrictions,Community,Food and Food Products,LEG,020FOR
2013,1,Massachusetts,Nutrition,Food Assistance Programs,Community,An act to expand access to healthy foods and create the Massachusetts Food Trust,LEG,003FAP
2009,1,Alabama,Nutrition,Liability and Indemnity,Community,Public Education,LEG,030LAI
2009,1,Georgia,Nutrition,Medical Care,Medical and/or Hospital,Residential Mental Health Facilities,REG,026MEC
2007,1,Wisconsin,Obesity,Initiatives and Programs,Community,Assembly Concurrent Resolution  <br>,LEG,053INP
2009,1,Florida,Obesity,Food Restrictions,Community,Healthy and Fit Florida Act,LEG,020FOR
2009,1,Ohio,Physical Activity,Disparities/Equity,Community,Bicycle Operators and Passengers Requirement,LEG,013DEQ
2009,1,New Mexico,Nutrition,Appropriations,School/After School,Fresh Fruit in School,LEG,002APP
2010,1,Utah,Physical Activity,Pedestrians/Walking,Community,New Fiscal Year Appropriations Act,LEG,052PED
2009,1,Louisiana,Obesity,Sugar Sweetened Beverages,Early Care and Education,Residential Licensing,REG,046SSB
2011,1,Massachusetts,Obesity,Appropriations,School/After School,Mandatory Physical Education,LEG,002APP
2010,1,Hawaii,Physical Activity,Pedestrians/Walking,Community,Koloa Community Hapa Trail Volunteer Assistance,LEG,052PED
2009,1,Tennessee,Nutrition,Food Security,Restaurant/Retail,Hotels and Restaurants,LEG,023FOS
2011,1,New York,Nutrition,Appropriations,Community,Community Gardens in the State of New York As Parkland,LEG,002APP
2001,1,Connecticut,Nutrition,Farmers Markets,Community,An Act Concerning Appropriations<br>,LEG,016FAM
2013,1,Nebraska,Nutrition,Farm Direct Foods,Community,An Act Establishing the Granite State Farm to Plate Program,LEG,015FDF
2010,1,Kentucky,Nutrition,Appropriations,Restaurant/Retail,Department of Agriculture,LEG,002APP
2011,1,Missouri,Nutrition,Point of Purchase Promotion,Community,Department of Revenue and Department of Transportation,LEG,037POP
2010,1,New York,Obesity,Food Restrictions,Community,Bisphenol A Free Children and Babies Act,LEG,020FOR
2009,1,Massachusetts,Physical Activity,Public Transportation,Community,Student Nutrition and Wellness,LEG,040TRS
2010,1,District of Columbia,Obesity,Media Campaigns,Community,Budget Support Congressional Review,LEG,031MDC
2011,1,Hawaii,Nutrition,Appropriations,Medical and/or Hospital,Tax Credits,LEG,002APP
2011,1,Massachusetts,Nutrition,Appropriations,School/After School,An Act Making Appropriations<br>,LEG,002APP
2011,1,Montana,Nutrition,Appropriations,Community,Soft Drink and Sugared Beverage Excise Tax,LEG,002APP
2011,1,Colorado,Nutrition,Liability and Indemnity,Community,Senate Bill Funding Restriction,LEG,030LAI
2010,1,West Virginia,Nutrition,Food Policy Councils,Community,Joint Committee On Government And Finance,LEG,022FPC
2010,1,Hawaii,Nutrition,Farmers Markets,Community,Aliomanu Road Reconstruction,LEG,016FAM
2015,2,Kentucky,Nutrition,Access to Healthy Foods,Community,"""An act amending the 2014-2016 executive branch and transportation cabinet biennial budgets, making an appropriation therefor, and declaring an emergency""",LEG,001AHF
2011,1,Hawaii,Obesity,Appropriations,Community,Appropriation for the Women and Infant Children Farmers,LEG,002APP
2005,1,Tennessee,Nutrition,Access to Healthy Foods,School/After School,Child Nutrition and Wellness,LEG,001AHF
2007,1,Tennessee,Nutrition,Initiatives and Programs,Community,House Joint Resolution,LEG,053INP
2010,1,Minnesota,Physical Activity,"Parks, Recreation and Trails",Community,State Government,LEG,034PRT
2009,1,Hawaii,Obesity,Menu Labeling,Community,Mixed use Transit Oriented Joint Development,LEG,032MNL
2011,1,New York,Nutrition,School Nutrition,Community,Contract With Neighborhood Preservation Company,LEG,043SNU
2011,1,New Mexico,Obesity,Front of Package Labeling,Community,Public School Construction and Renovation Projects,LEG,024FOP
2003,1,Massachusetts,Nutrition,Farmers Markets,Community,An Act Making Appropriations<br>,LEG,016FAM
2013,1,Minnesota,Physical Activity,Bicycling,Community,Appropriating Monies for Transportation,LEG,005BIK
2010,1,New Mexico,Obesity,Liability and Indemnity,Community,Taxation and Soft Drinks,LEG,030LAI
2010,1,New York,Nutrition,School Nutrition,School/After School,Healthy Schools Act,LEG,043SNU
2009,1,Colorado,Nutrition,Medical Care,School/After School,Facility Guidelines,REG,026MEC
2010,1,Missouri,Nutrition,School Nutrition,Restaurant/Retail,Local Foods Initiative,LEG,043SNU
2011,1,Rhode Island,Physical Activity,Disparities/Equity,Community,Planning and Land Use,LEG,013DEQ
2012,1,Hawaii,Nutrition,Farmers Markets,Community,An Act Relating to Agriculture,LEG,016FAM
2010,1,New Mexico,Obesity,Incentives,Restaurant/Retail,Taxation and Soft Drinks,LEG,029INC
2010,1,Minnesota,Physical Activity,Bicycling,Community,Traffic Regulations,LEG,005BIK
2009,1,Oklahoma,Nutrition,Appropriations,School/After School,Schools,LEG,002APP
2010,1,New Jersey,Obesity,Appropriations,School/After School,Public School District,LEG,002APP
2009,1,Oregon,Physical Activity,Bicycling,Community,Use of State Highway Fund Moneys,LEG,005BIK
2010,1,New York,Obesity,Task Forces/Councils,School/After School,Healthy Schools Act,LEG,047TFC
2003,1,California,Obesity,Access to Drinking Water,Community,California Fitness Month,LEG,014ADW
2011,1,Tennessee,Obesity,Appropriations,Community,Taxes,LEG,002APP
2011,1,Utah,Obesity,Appropriations,Restaurant/Retail,Soft Drink Taxes and Education Funding,LEG,002APP
2011,1,Montana,Nutrition,Farm Direct Foods,Restaurant/Retail,Appropriations by Budget Amendment,LEG,015FDF
2011,1,New Jersey,Nutrition,Farmers Markets,Community,Mobil Fresh Produce Markets,LEG,016FAM
2010,1,Maine,Nutrition,Appropriations,Community,Maine Food Processing Grant Program,REG,002APP
2001,1,Maine,Physical Activity,Bicycling,Community,Bicycle Safety Education Act,LEG,005BIK
2001,1,California,Physical Activity,Initiatives and Programs,Community,Parks and Recreation,LEG,053INP
2010,1,Oklahoma,Nutrition,Farmers Markets,Restaurant/Retail,Farmers Markets,LEG,016FAM
2012,1,New York,Nutrition,Food Security,School/After School,An Act to Combat the Incidence of Adult and Childhood Obesity<br>,LEG,023FOS
2010,1,District of Columbia,Physical Activity,Pedestrians/Walking,Community,Comprehensive Plan Amendment Act,LEG,052PED
2012,1,New York,Nutrition,Trans Fats,School/After School,Development of a Plan to Eliminate Trans Fat in Schools <br>,LEG,050FAT
2009,1,Michigan,Obesity,Food Restrictions,Community,Community Health Appropriations,LEG,020FOR
2011,1,Florida,Obesity,Appropriations,Community,Growth Management,LEG,002APP
2006,1,Utah,Obesity,Appropriations,Community,Eminent Domain Uses,LEG,002APP
2011,1,Vermont,Obesity,Liability and Indemnity,Community,Blue Ribbon Tax Structure Commission,LEG,030LAI
2008,1,Louisiana,Obesity,Initiatives and Programs,Work Place,House  Resolution<br>,LEG,053INP
2009,1,Massachusetts,Physical Activity,Bicycling,Community,Slope Resources Areas,REG,005BIK
2011,1,New York,Obesity,Marketing Restrictions,Community,Tax Law,LEG,019MAR
2010,1,Minnesota,Nutrition,Food Assistance Programs,Community,Human Services,LEG,003FAP
2014,1,West Virginia,Physical Activity,Initiatives and Programs,Community,Healthy Children and Healthy Communities Act,LEG,053INP
2007,1,Vermont,Obesity,Menu Labeling,Community,Affordable Housing,LEG,032MNL
2010,1,California,Obesity,Appropriations,Community,Housing and Emergency Shelter Trust Fund Act,LEG,002APP
2009,1,Massachusetts,Obesity,Disparities/Equity,School/After School,School Nutrition,LEG,013DEQ
2009,1,Illinois,Nutrition,Farm Direct Foods,Community,Agency Appropriations,LEG,015FDF
2011,1,Hawaii,Physical Activity,Bicycling,Community,Bicycles on Sidewalks,LEG,005BIK
2011,1,Rhode Island,Nutrition,Appropriations,Restaurant/Retail,Seafood Marketing,LEG,002APP
2014,1,West Virginia,Physical Activity,Access to Recreational Opportunities,School/After School,Healthy Children and Healthy Communities Act,LEG,004ARO
2011,1,Arizona,Obesity,Incentives,Community,Tax on Sweetened Beverages,LEG,029INC
2009,1,Massachusetts,Nutrition,Agriculture and Farming,School/After School,School Nutrition,LEG,017AGF
2010,1,Michigan,Nutrition,Agriculture and Farming,Community,Human Services,LEG,017AGF
2011,1,Texas,Nutrition,Farm Direct Foods,Community,Community Food Gardens,LEG,015FDF
2007,1,Illinois,Physical Activity,Bicycling,Community,Bicycle and Pedestrian Ways,LEG,005BIK
2009,1,Massachusetts,Nutrition,Sodium,School/After School,Transportation System Reform,LEG,045SOD
2010,1,Illinois,Nutrition,Access to Healthy Foods,Restaurant/Retail,Farmers Market Technology Improvement Program,LEG,001AHF
2005,1,Texas,Obesity,Liability and Indemnity,Community,Health and Obesity,LEG,030LAI
2009,1,Colorado,Nutrition,Medical Care,Community,Bicyclist and Driver Rules,LEG,026MEC
2010,1,District of Columbia,Physical Activity,Appropriations,Community,Fiscal Year 2011 Balanced Budget Support Act of 2010,LEG,002APP
2010,1,Rhode Island,Obesity,Appropriations,Community,Legislation,LEG,002APP
2011,1,Tennessee,Nutrition,Appropriations,Community,Public Funds and Financing,LEG,002APP
2008,1,Florida,Nutrition,Medical Care,Community,Professional Sports Development Trust Fund,LEG,026MEC
2011,1,Florida,Physical Activity,School Siting,School/After School,Growth Management,LEG,042SIT
2005,1,Kentucky,Nutrition,Appropriations,School/After School,Health and Nutrition in Schools,LEG,002APP
2011,1,Oregon,Nutrition,Breastfeeding,Work Place,Milk in the Workplace,LEG,007BFD
2011,1,Hawaii,Obesity,Task Forces/Councils,Medical and/or Hospital,Health,LEG,047TFC
2009,1,Washington,Obesity,Body Mass Index (BMI),Community,A Regional Transportation Corridor Authority,LEG,006BMI
2009,1,Montana,Physical Activity,Pedestrians/Walking,Community,Alternative Transportation,LEG,052PED
2003,1,New York,Nutrition,Media Campaigns,Community,An Act to Amend the Agriculture and Markets Law<br>,LEG,031MDC
2009,1,New York,Nutrition,Incentives,Community,State Fiscal Plan,LEG,029INC
2014,1,New Jersey,Physical Activity,Physical Activity Requirements,School/After School,Recess Requirements,LEG,035PAR
2011,1,New York,Obesity,Health Insurance Coverage,Medical and/or Hospital,Reductions in Health Insurance Premiums,LEG,028HIC
2009,1,District of Columbia,Obesity,Appropriations,Community,Kingman Parkrosedale Community Garden,LEG,002APP
2012,1,Georgia,Physical Activity,Access to Recreational Opportunities,Community,An Act Related to Torts<br>,LEG,004ARO
2009,1,Texas,Nutrition,Breastfeeding,Community,Breast Feeding,LEG,007BFD
2009,1,Alabama,Nutrition,Appropriations,Community,State Branch Appropriations,LEG,002APP
2009,1,Massachusetts,Obesity,Appropriations,Community,Analyzing Vehicle and Pedestrian Safety on Route 60,LEG,002APP
2011,1,New Mexico,Obesity,Task Forces/Councils,Community,Public Health and Impact Reports,LEG,047TFC
2009,1,Indiana,Physical Activity,Public Transportation,Community,West Lake Commuter Rail Project,LEG,040TRS
2012,1,Indiana,Nutrition,Nutrition Standards,School/After School,Elimination of Trans Fat in School Food<br>,LEG,010NUS
2010,1,New York,Nutrition,Appropriations,Medical and/or Hospital,Advisory Committee on Public Wellness,LEG,002APP
2011,1,Mississippi,Obesity,Health Insurance Coverage,Medical and/or Hospital,Wellness Council Activities,LEG,028HIC
2005,1,Massachusetts,Obesity,Menu Labeling,Community,Ayer Land Transfer,LEG,032MNL
2010,1,West Virginia,Obesity,Menu Labeling,Restaurant/Retail,Healthy Lifestyles Restaurant Calorie Posting Program,LEG,032MNL
2012,1,New York,Nutrition,Media Campaigns,Restaurant/Retail,Relates to Obesity Prevention<br>,LEG,031MDC
2009,1,Vermont,Nutrition,Access to Healthy Foods,Community,Farm Viability Enhancement Advisory Board,LEG,001AHF
2009,1,Massachusetts,Obesity,Appropriations,Community,Affordable Housing Project Definitions,LEG,002APP
2010,1,Mississippi,Nutrition,Farm Direct Foods,Restaurant/Retail,Department of Agriculture and Commerce,LEG,015FDF
2001,1,Utah,Physical Activity,Initiatives and Programs,School/After School,House Joint Resolution,LEG,053INP
2009,1,Mississippi,Nutrition,Incentives,Community,Sales Tax,LEG,029INC
2011,1,Illinois,Nutrition,Fruits and Vegetables,Restaurant/Retail,Food Handling Regulation Enforcement,LEG,025FAV
2010,1,West Virginia,Obesity,Task Forces/Councils,Community,Food Council,LEG,047TFC
2010,1,Michigan,Obesity,Body Mass Index (BMI),Community,Transportation Infrastructure Options,LEG,006BMI
2011,1,Missouri,Nutrition,Food Policy Councils,School/After School,Missouri Sustainable Local Food Policy Council,LEG,022FPC
2009,1,Idaho,Obesity,Food Restrictions,Community,Rules of the Preferred Promotion Program,REG,020FOR
2007,1,Michigan,Nutrition,Incentives,School/After School,Farm to School Procurement Act,LEG,029INC
2011,1,Hawaii,Physical Activity,Built Environment and Street-Scale Design,School/After School,Capital Improvement Projects for the Benefit of the Fir,LEG,049BED
2013,1,Oklahoma,Nutrition,Farmers Markets,Community,An Act Relating to Revenue and Taxation,LEG,016FAM
2011,1,Massachusetts,Physical Activity,Physical Education Requirements,School/After School,Comprehensive Health Education in Schools,LEG,036PER
2011,1,Rhode Island,Obesity,Health Insurance Coverage,Community,Health and Safety,LEG,028HIC
2009,1,New Mexico,Nutrition,Incentives,Community,Soft Drink Sale Gross Receipts,LEG,029INC
2013,1,New York,Nutrition,Healthier Food Retail and Food Deserts,Community,Food Retail Establishment Subsidization for Healthy Communities (FRESH Communities) Act,LEG,021HFR
2011,1,Missouri,Obesity,Food Restrictions,Community,County Water Supply Lake Authority,LEG,020FOR
2009,1,Maryland,Obesity,Appropriations,School/After School,Student Wellness,LEG,002APP
2010,1,Idaho,Physical Activity,Bicycling,Community,Rules of the Road,LEG,005BIK
2013,1,Minnesota,Physical Activity,Bicycling,School/After School,Appropriating Monies for Transportation,LEG,005BIK
2009,1,New York,Obesity,Appropriations,Community,Community Gardens In Parkland Designation,LEG,002APP
2009,1,Hawaii,Nutrition,Farm Direct Foods,School/After School,School Lunches and Local Produce,LEG,015FDF
2005,1,Illinois,Physical Activity,Physical Education Requirements,School/After School,Physical Education,LEG,036PER
2010,1,New York,Obesity,Appropriations,School/After School,Healthy Schools Act,LEG,002APP
2009,1,New York,Nutrition,Farm Direct Foods,Community,Department of Health SEED Program,LEG,015FDF
2009,1,Louisiana,Obesity,Incentives,Community,Video Games Tax,LEG,029INC
2010,1,Ohio,Nutrition,Farmers Markets,Community,Farmer's Authorization,REG,016FAM
2011,1,Arizona,Obesity,Incentives,Work Place,State Employee Health Insurance,LEG,029INC
2010,1,District of Columbia,Obesity,Marketing Restrictions,Community,Fiscal Year 2010 Budget Support Act,LEG,019MAR
2009,1,New York,Obesity,Appropriations,School/After School,Physical Education Instruction,REG,002APP
2009,1,West Virginia,Nutrition,Access to Healthy Foods,Community,Farmers Markets,LEG,001AHF
2005,1,Tennessee,Obesity,Appropriations,School/After School,Pedestrian Children Motor Vehicle Accidents,LEG,002APP
2010,1,Rhode Island,Physical Activity,Incentives,Work Place,Public Officers and Employees,LEG,029INC
2010,1,Massachusetts,Obesity,Health Insurance Coverage,School/After School,School Nutrition,LEG,028HIC
2010,1,West Virginia,Physical Activity,Bicycling,Community,Racing Commission Special Accounts,LEG,005BIK
2007,1,Maryland,Nutrition,Appropriations,Community,An Act for the Purpose of Making Appropriations <br>,LEG,002APP
2011,1,Illinois,Physical Activity,Physical Education Requirements,School/After School,Time Minimum for Daily Physical Education,LEG,036PER
2012,1,New York,Nutrition,Breastfeeding,Early Care and Education,Relates to Obesity Prevention<br>,LEG,007BFD
2010,1,Oklahoma,Physical Activity,School Siting,School/After School,Schools,LEG,042SIT
2013,1,Georgia,Nutrition,Farm Direct Foods,School/After School,An Act Relating to Agricultural Commodities Promotion,LEG,015FDF
2011,1,North Carolina,Nutrition,Incentives,School/After School,Childhood Obesity Legislative Task Force,LEG,029INC
2011,1,Idaho,Physical Activity,Public Safety,Community,Eminent Domain,LEG,039SAF
2011,1,Hawaii,Obesity,Food Restrictions,Restaurant/Retail,Home Organic Produce Cooperatives,LEG,020FOR
2009,1,Georgia,Nutrition,Appropriations,School/After School,Agriculture,LEG,002APP
2011,1,New Jersey,Obesity,Appropriations,Community,Designated Transit Villages Business Tax Credit,LEG,002APP
2011,1,North Carolina,Nutrition,Appropriations,Medical and/or Hospital,Adult Day Care Programs,LEG,002APP
2015,2,Washington,Physical Activity,Appropriations,Community,An act Relating to transportation funding and appropriations,LEG,002APP
2010,1,Virginia,Nutrition,Correctional Facilities Farms Programs,Restaurant/Retail,Budget Bill,LEG,018CFP
2010,1,Rhode Island,Nutrition,Appropriations,Work Place,Insurance,LEG,002APP
2003,1,North Dakota,Nutrition,Appropriations,School/After School,Provision of School District Meals,LEG,002APP
2010,1,New York,Nutrition,School Nutrition,Medical and/or Hospital,Advisory Committee on Public Wellness,LEG,043SNU
2011,1,Florida,Obesity,Appropriations,Community,Growth Management,LEG,002APP
2010,1,Massachusetts,Nutrition,Task Forces/Councils,School/After School,School Nutrition,LEG,047TFC
2010,1,Washington,Obesity,Body Mass Index (BMI),Community,Government Accountability,LEG,006BMI
2009,1,Pennsylvania,Physical Activity,Access to Recreational Opportunities,School/After School,Secondary School Athletics Equity Disclosure,LEG,004ARO
2010,1,Rhode Island,Nutrition,Food Assistance Programs,Medical and/or Hospital,Health Insurance,LEG,003FAP
2010,1,Minnesota,Nutrition,Trans Fats,School/After School,Education,LEG,050FAT
2010,1,Mississippi,Nutrition,Appropriations,Restaurant/Retail,Sales Tax,LEG,002APP
2003,1,California,Obesity,Appropriations,Community,Child and Parental Nutrition,LEG,002APP
2011,1,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Food and Medical Services,LEG,002APP
2009,1,Connecticut,Obesity,Body Mass Index (BMI),Community,Economic Development and Job Creation,LEG,006BMI
2012,1,Idaho,Nutrition,Farm Direct Foods,Community,Idaho Food Freedom Act,LEG,015FDF
2013,1,New York,Obesity,Media Campaigns,Work Place,Omnibus Obesity and Respiratory Illness Reduction Act,LEG,074MAM
2011,1,Hawaii,Nutrition,Access to Healthy Foods,School/After School,Hawaii Grown Produce,LEG,001AHF
2011,1,Oregon,Nutrition,Agriculture and Farming,Restaurant/Retail,The Oregon Food Policy Council,LEG,017AGF
2011,1,New York,Obesity,Sugar Sweetened Beverages,School/After School,Vending Machines on School Grounds,LEG,046SSB
2011,1,Colorado,Nutrition,Access to Healthy Foods,Community,Local Foods to Local Markets,LEG,001AHF
2010,1,Georgia,Nutrition,Access to Healthy Foods,Community,Commissions and Other Agencies,LEG,001AHF
2009,1,Minnesota,Physical Activity,Pedestrians/Walking,Community,Transportation,LEG,052PED
2013,1,Maine,Nutrition,Disparities/Equity,Community,Request for Waiver,LEG,013DEQ
2011,1,New York,Nutrition,Appropriations,Community,Capital Infrastructure Improvement,LEG,002APP
2010,1,Oregon,Nutrition,Disparities/Equity,Community,Adult Foster Homes for Individuals,REG,013DEQ
2010,1,Missouri,Obesity,Health Insurance Coverage,Medical and/or Hospital,"PPO 300 Plans, HDHP, and Copay Plan Limitations",REG,028HIC
2011,1,Hawaii,Nutrition,Medical Care,Community,Improvements for the Benefit of the 4th District,LEG,026MEC
2011,1,Tennessee,Physical Activity,Safe Routes to Schools,School/After School,Speeding in Marked School Zone,LEG,041SRS
2011,1,Hawaii,Physical Activity,Task Forces/Councils,Community,Medicaid Wellness Pilot Program,LEG,047TFC
2011,1,New York,Nutrition,Agriculture and Farming,Community,Local Food and Products Sourcing Tax Credit,LEG,017AGF
2009,1,Texas,Obesity,Food Restrictions,School/After School,Texas Public School Nutrition Policy (TPSNP),REG,020FOR
2011,1,Maine,Nutrition,Fruits and Vegetables,School/After School,School Lunch Program Standards,LEG,025FAV
2009,1,Illinois,Nutrition,Trans Fats,School/After School,School Code,LEG,050FAT
2011,1,New Mexico,Nutrition,Appropriations,Work Place,Employee Wellness Incentive Programs,LEG,002APP
2011,1,Texas,Obesity,Appropriations,School/After School,Food Marketing,LEG,002APP
2009,1,Massachusetts,Nutrition,Appropriations,Medical and/or Hospital,Maternity Patient Feeding Options,LEG,002APP
2009,1,Minnesota,Nutrition,Medical Care,Community,Natural Resources,LEG,026MEC
2011,1,Minnesota,Physical Activity,Built Environment and Street-Scale Design,School/After School,Capital Improvements,LEG,049BED
2009,1,Texas,Obesity,Appropriations,School/After School,Student Course Credit,LEG,002APP
2011,1,Texas,Nutrition,Access to Healthy Foods,School/After School,Sweetened Beverages Tax,LEG,001AHF
2014,4,New Jersey,Physical Activity,Disparities/Equity,Restaurant/Retail,Childrenâs Health Promotion Fund,LEG,013DEQ
2011,1,Indiana,Nutrition,Healthier Food Retail and Food Deserts,Community,Local Food and Farm Task Force,LEG,021HFR
2011,1,California,Obesity,Marketing Restrictions,Community,Land Use: Housing Element: Regional Housing Need,LEG,019MAR
2011,1,Washington,Nutrition,Task Forces/Councils,Medical and/or Hospital,Designation of the Medicaid Single State Agency,LEG,047TFC
2003,1,Illinois,Nutrition,Medical Care,Community,Highway Code,LEG,026MEC
2005,1,Pennsylvania,Nutrition,School Nutrition,School/After School,Child Health and Nutrition in Schools,LEG,043SNU
2009,1,Minnesota,Nutrition,Appropriations,Community,Taxation,LEG,002APP
2010,1,Michigan,Physical Activity,Built Environment and Street-Scale Design,School/After School,Transportation Infrastructure Options,LEG,049BED
2011,1,Delaware,Obesity,Appropriations,Community,Roadside Stands,LEG,002APP
2009,1,Missouri,Nutrition,Medical Care,Community,Affirmative Defense,LEG,026MEC
2010,1,New Jersey,Nutrition,Point of Purchase Promotion,Community,Playground Equipment Disabled Person Accessibility,LEG,037POP
2011,1,Nebraska,Nutrition,Agriculture and Farming,Community,Appropriation Supplement,LEG,017AGF
2011,1,California,Nutrition,Vending,Work Place,Public Contracts: Healthy and Sustainable Food,LEG,051VEN
2011,1,Hawaii,Physical Activity,Disparities/Equity,School/After School,State and Counties to Allow Properties Structures and B,LEG,013DEQ
2010,1,Vermont,Nutrition,Appropriations,School/After School,Fiscal Year 2010 Appropriations Act,LEG,002APP
2011,1,Montana,Obesity,Food Restrictions,Community,Appropriations by Budget Amendment,LEG,020FOR
2011,1,Tennessee,Nutrition,Appropriations,Restaurant/Retail,Privilege Tax,LEG,002APP
2009,1,New York,Obesity,Task Forces/Councils,School/After School,School Lunch Program,LEG,047TFC
