Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2009,1,Maryland,Nutrition,Food Policy Councils,Community,Maryland Food and Hunger Policy Council,LEG,022FPC
2012,1,District of Columbia,Nutrition,Access to Healthy Foods,Community,Resolution,LEG,001AHF
2011,1,Oklahoma,Nutrition,Appropriations,Work Place,Breast Feeding Employees,LEG,002APP
2009,1,Hawaii,Nutrition,Farmers Markets,Community,Hawaii Organic Food Center and Appropriation,LEG,016FAM
2011,1,Michigan,Nutrition,Agriculture and Farming,Restaurant/Retail,Agriculture Industry,LEG,017AGF
2009,1,North Carolina,Physical Activity,Appropriations,Early Care and Education,Healthy Eating and Physical Activity Child Care,LEG,002APP
2011,1,Minnesota,Nutrition,Fruits and Vegetables,Community,Capital Investment,LEG,025FAV
2011,1,Arkansas,Physical Activity,Physical Activity Requirements,Early Care and Education,Appropriation to the Department of Human Services,LEG,035PAR
2007,1,California,Nutrition,Disparities/Equity,School/After School,Education,LEG,013DEQ
2007,1,Kentucky,Nutrition,Task Forces/Councils,Community,Nutrition,LEG,047TFC
2010,1,California,Physical Activity,School Siting,School/After School,Greene Facilities Act- General Site- Extension,REG,042SIT
2011,1,Hawaii,Nutrition,Agriculture and Farming,School/After School,Child Nutrition Programs,LEG,017AGF
2011,1,Mississippi,Obesity,Appropriations,School/After School,School Nutrition,LEG,002APP
2011,1,Texas,Obesity,Liability and Indemnity,Community,Sweetened Beverages Tax,LEG,030LAI
2009,1,New York,Obesity,Appropriations,Work Place,Task Force on Occupational Wellness,LEG,002APP
2011,1,Nevada,Obesity,Appropriations,School/After School,Redevelopment Agencies,LEG,002APP
2009,1,Maryland,Obesity,Appropriations,Community,Howard County,LEG,002APP
2009,1,Ohio,Nutrition,Appropriations,Community,WIC Program,REG,002APP
2013,1,Maine,Nutrition,Food Assistance Programs,Community,Request for Waiver,LEG,003FAP
2011,1,Oregon,Obesity,Food Restrictions,Restaurant/Retail,Warning Label Requirement on High Calorie Beverages,LEG,020FOR
2010,1,Hawaii,Physical Activity,Public Transportation,Community,Housing Finance and Development Corporation,LEG,040TRS
2009,1,Massachusetts,Obesity,Appropriations,Community,Fiscal Recovery Emergency Measure,LEG,002APP
2005,1,Iowa,Physical Activity,Task Forces/Councils,Community,Healthy Children Task Force,LEG,047TFC
2011,1,New York,Physical Activity,Bicycling,Community,Blighted Property and Areas,LEG,005BIK
2011,1,Hawaii,Nutrition,Fruits and Vegetables,Community,Open markets,LEG,025FAV
2011,1,North Carolina,Obesity,Appropriations,Early Care and Education,Childhood Obesity Legislative Task Force,LEG,002APP
2011,1,West Virginia,Nutrition,Breastfeeding,Community,Child's Right to Nurse in Public,LEG,007BFD
2010,1,Maryland,Obesity,Appropriations,Community,Blue Ribbon Commission on Transportation Funding,LEG,002APP
2013,1,Hawaii,Obesity,Appropriations,Early Care and Education,Relating to Early Learning Wellness Guidelines,LEG,002APP
2007,1,Rhode Island,Obesity,Sugar Sweetened Beverages,School/After School,Healthier High School Vending Machines,LEG,046SSB
2007,1,Vermont,Nutrition,Farm Direct Foods,School/After School,Local Foods,LEG,015FDF
2009,1,California,Obesity,Appropriations,School/After School,Child Care: Nutritional Requirements,LEG,002APP
2009,1,North Carolina,Obesity,Task Forces/Councils,Community,Obesity Prevention,LEG,047TFC
2011,1,Mississippi,Nutrition,Correctional Facilities Farms Programs,Community,Outdoor Advertising,LEG,018CFP
2012,1,New York,Nutrition,Agriculture and Farming,Work Place,Relates to Obesity Prevention<br>,LEG,017AGF
2009,1,Florida,Nutrition,Appropriations,Community,Animal Agribusiness,LEG,002APP
2010,1,Hawaii,Nutrition,Agriculture and Farming,Community,Women and Infant Children,LEG,017AGF
2009,1,Massachusetts,Nutrition,Appropriations,Restaurant/Retail,Electronic Benefit Transfer Farmers Market Project,LEG,002APP
2005,1,West Virginia,Nutrition,Food Assistance Programs,Community,An Act Making Appropriations,LEG,003FAP
2011,1,California,Nutrition,Fruits and Vegetables,Early Care and Education,Budget Act of 2011,LEG,025FAV
2010,1,Maryland,Physical Activity,Physical Education Requirements,School/After School,Specific Subjects,REG,036PER
2009,1,Massachusetts,Nutrition,Fruits and Vegetables,School/After School,Student Nutrition and Wellness,LEG,025FAV
2009,1,Washington,Physical Activity,Built Environment and Street-Scale Design,Community,Vehicles Overtaking and Passing Pedestrians,LEG,049BED
2009,1,Illinois,Obesity,Incentives,Work Place,Wellness Rewards,LEG,029INC
2013,3,Pennsylvania,Nutrition,Disparities/Equity,Community,Hunger Action Month,LEG,013DEQ
2010,1,Arizona,Physical Activity,Built Environment and Street-Scale Design,Community,County Planning and Zoning,LEG,049BED
2009,1,Massachusetts,Obesity,Disparities/Equity,Community,Student Nutrition and Wellness,LEG,013DEQ
2009,1,Maine,Nutrition,Farm Direct Foods,School/After School,Farm to School Efforts,LEG,015FDF
2009,1,Massachusetts,Obesity,Appropriations,School/After School,Governor Fiscal Year 2010 Budget,LEG,002APP
2011,1,Texas,Obesity,Incentives,Community,Sweetened Beverages Tax,LEG,029INC
2013,1,Mississippi,Nutrition,Access to Healthy Foods,School/After School,An Act to Create an Interagency Farm to School Council,LEG,001AHF
2005,1,Colorado,Nutrition,School Nutrition,School/After School,Children Nutrition Improvement Policies,LEG,043SNU
2011,1,Texas,Nutrition,Access to Healthy Foods,Community,Raw Milk Product Regulations,LEG,001AHF
2009,1,Maryland,Obesity,Liability and Indemnity,Community,Health Insurance,LEG,030LAI
2011,1,Florida,Obesity,Appropriations,School/After School,Growth Management Provisions,LEG,002APP
2009,1,Pennsylvania,Obesity,Appropriations,School/After School,Public School Code of 1949,LEG,002APP
2011,1,California,Nutrition,School Nutrition,Restaurant/Retail,Taxation: Sweetened Beverage Tax: Children's Health,LEG,043SNU
2003,1,California,Obesity,Appropriations,Community,Physical Therapy,LEG,002APP
2011,1,California,Nutrition,Access to Healthy Foods,Medical and/or Hospital,Public Contracts: Healthy and Sustainable Food,LEG,001AHF
2011,1,Montana,Obesity,Body Mass Index (BMI),School/After School,Monitoring of Childhood Body Mass Index Trends,LEG,006BMI
2012,1,Illinois,Physical Activity,Physical Education Requirements,School/After School,"Public Schools Evaluation, Recognition and Supervision<br>",REG,036PER
2009,1,Minnesota,Physical Activity,Public Transportation,Community,Financing of State and Local Government,LEG,040TRS
2010,1,Washington,Obesity,Incentives,Community,Taxation,LEG,029INC
2011,1,New York,Nutrition,Appropriations,Community,School Districts Purchase of Food Products,LEG,002APP
2006,1,Connecticut,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Healthy School Food and Beverages,LEG,021HFR
2009,1,Massachusetts,Obesity,Front of Package Labeling,Community,Out of School Time Programming,LEG,024FOP
2012,1,New York,Nutrition,Media Campaigns,School/After School,Development of a Plan to Eliminate Trans Fat in Schools <br>,LEG,031MDC
2011,1,Alaska,Nutrition,Medical Care,Community,Appropriations,LEG,026MEC
2010,1,Washington,Obesity,Body Mass Index (BMI),Community,Government Accountability,LEG,006BMI
2010,1,New Hampshire,Nutrition,Food Assistance Programs,Community,Certain Technical Corrections in the Insurance Laws,LEG,003FAP
2005,1,Iowa,Physical Activity,Physical Education Requirements,School/After School,Healthy Children Task Force,LEG,036PER
2005,1,Michigan,Nutrition,Incentives,Community,Farm Development Fund,LEG,029INC
2009,1,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Student Nutrition and Wellness,LEG,052PED
2008,1,New Mexico,Nutrition,Incentives,Community,Health Care Reform,LEG,029INC
2012,1,Hawaii,Nutrition,Food Security,Community,An Act Relating to  Sustainability<br>,LEG,023FOS
2009,1,Maine,Nutrition,Medical Care,Community,Tax Increment Financing,LEG,026MEC
2011,1,Mississippi,Obesity,Health Insurance Coverage,Medical and/or Hospital,Health Insurance Policies,LEG,028HIC
2009,1,Arkansas,Nutrition,Food Assistance Programs,Medical and/or Hospital,Bariatric Surgery,REG,003FAP
2009,1,Washington,Physical Activity,Incentives,Work Place,Health Carrier Payment of Wellness Incentives,LEG,029INC
2004,1,West Virginia,Nutrition,Food Assistance Programs,Community,An Act Making Appropriations<br>,LEG,003FAP
2011,1,Missouri,Obesity,Body Mass Index (BMI),School/After School,Commission on Prevention and Management of Obesity,LEG,006BMI
2009,1,Maine,Nutrition,Farm Direct Foods,School/After School,Schools and Local Food,LEG,015FDF
2009,1,Washington,Obesity,Appropriations,School/After School,Supplemental Transportation Appropriations,LEG,002APP
2011,1,Texas,Physical Activity,Physical Education Requirements,Restaurant/Retail,Sweetened Beverages Tax,LEG,036PER
2009,1,West Virginia,Nutrition,Farm Direct Foods,School/After School,Healthy Beverages,LEG,015FDF
2011,1,Hawaii,Nutrition,Incentives,Community,General Excise Tax,LEG,029INC
2010,1,New York,Nutrition,Incentives,Medical and/or Hospital,Advisory Committee on Public Wellness,LEG,029INC
2011,1,Texas,Obesity,Appropriations,Community,Creation of a Childhood Health Program Grant,LEG,002APP
2010,1,New Jersey,Obesity,Food Restrictions,Restaurant/Retail,Milk Coupons,LEG,020FOR
2011,1,Hawaii,Nutrition,Liability and Indemnity,Community,County Development Infrastructure,LEG,030LAI
2010,1,California,Obesity,Disparities/Equity,Medical and/or Hospital,Health and Human Services: Federal Grant Opportunities,LEG,013DEQ
2010,1,Washington,Nutrition,Incentives,Restaurant/Retail,Property Tax Exemption,LEG,029INC
2012,1,Illinois,Physical Activity,Built Environment and Street-Scale Design,Early Care and Education,Resolution,LEG,049BED
2009,1,Tennessee,Obesity,Body Mass Index (BMI),Community,Transportation Department,LEG,006BMI
2017,2,Arkansas,Physical Activity,Physical Activity Requirements,School/After School,To Extend The Amount Of Recess Time Required For Elementary Students; And To Amend The Amount Of Instructional Time Required For Elementary Students In A School Day.,LEG,035PAR
2012,1,Arizona,Nutrition,Task Forces/Councils,Community,Joint Legislative Study Committee on Farm-to-School Programs<br>,LEG,047TFC
2004,1,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,Motorist Requirement to Stop for Pedestrians,LEG,049BED
2007,1,Illinois,Nutrition,Agriculture and Farming,Community,Organic Food System,LEG,017AGF
2003,1,Texas,Physical Activity,Initiatives and Programs,Community,An Act Relating to the Provision of Health and Human Services <br>,LEG,053INP
2009,1,Iowa,Nutrition,Medical Care,Community,Iowa Jobs Program,REG,026MEC
2011,1,Maryland,Nutrition,Access to Healthy Foods,Community,Local Educational Agency,LEG,001AHF
2010,1,California,Nutrition,Liability and Indemnity,Community,Federal and State Low Income Housing Tax Credit Laws,REG,030LAI
2009,1,Massachusetts,Nutrition,Appropriations,School/After School,Public School Commercialism Regulation,LEG,002APP
2001,1,Connecticut,Nutrition,Access to Healthy Foods,Community,An Act Concerning Appropriations<br>,LEG,001AHF
2011,1,Nevada,Physical Activity,Task Forces/Councils,School/After School,School Wellness Policies,LEG,047TFC
2009,1,Louisiana,Nutrition,Initiatives and Programs,Community,Video Games Tax,LEG,053INP
2010,1,Mississippi,Obesity,Incentives,Restaurant/Retail,Sweetened Beverages and Syrups Tax Law,LEG,029INC
2010,1,Florida,Obesity,Liability and Indemnity,Restaurant/Retail,Prevention of Obesity,LEG,030LAI
2012,1,New York,Physical Activity,"Parks, Recreation and Trails",Community,Creating the Pennies for Parks Program<br>,LEG,034PRT
2009,1,Connecticut,Nutrition,Medical Care,Community,Bicycles On Trains,LEG,026MEC
2009,1,Georgia,Nutrition,Agriculture and Farming,Community,Agriculture,LEG,017AGF
2011,1,Oklahoma,Nutrition,Media Campaigns,Community,Healthier Neighborhood Living Task Force,LEG,031MDC
2011,1,Wisconsin,Physical Activity,Public Safety,Community,Milwaukee Tax Incremental Financing District,LEG,039SAF
2011,1,Oklahoma,Physical Activity,Pedestrians/Walking,Community,Local Government Capital Improvements,LEG,052PED
2011,1,Massachusetts,Physical Activity,Incentives,Work Place,Wellness in the Workplace,LEG,029INC
2003,1,Nevada,Physical Activity,Physical Education Requirements,School/After School,Senate Concurrent Resolution,LEG,036PER
2011,1,New York,Nutrition,Farm Direct Foods,Community,School Districts Purchase of Food Products,LEG,015FDF
2011,1,Hawaii,Obesity,Appropriations,Community,Traffic and Pedestrian Study,LEG,002APP
2011,1,Georgia,Nutrition,Farm Direct Foods,School/After School,Supplemental Appropriations,LEG,015FDF
2016,2,Mississippi,Nutrition,Breastfeeding,Medical and/or Hospital,"""Breast-Feeding in Mississippi: Guidelines""""; require accommodations by employers and facilities.""",LEG,007BFD
2007,1,Hawaii,Obesity,Body Mass Index (BMI),Community,State Highway Fund For Bikeways,LEG,006BMI
2011,1,Maryland,Nutrition,Farm Direct Foods,School/After School,Maryland Food and Nutrition Policy Council,LEG,015FDF
2011,1,Missouri,Nutrition,Farmers Markets,Community,Specified Farm Products Tax and Use Exemption,LEG,016FAM
2007,1,North Carolina,Physical Activity,Appropriations,School/After School,2007 Appropriation Act,LEG,002APP
2011,1,Texas,Nutrition,Appropriations,School/After School,School District Assess the Physical Fitness of Students,LEG,002APP
2005,1,Delaware,Physical Activity,Appropriations,School/After School,Physical Activity,LEG,002APP
2010,1,California,Nutrition,Agriculture and Farming,Community,Food Grocers: Display of Farm Product Price,LEG,017AGF
2011,1,Massachusetts,Obesity,Appropriations,Community,Financing the Smart Growth Housing Trust Fund,LEG,002APP
2009,1,Illinois,Nutrition,School Nutrition,School/After School,School Code,LEG,043SNU
2009,1,Massachusetts,Obesity,Food Restrictions,Community,Food Policy Council,LEG,020FOR
2010,1,Louisiana,Nutrition,Access to Healthy Foods,Community,Sustainable Agriculture,LEG,001AHF
2009,1,Kentucky,Nutrition,Trans Fats,Work Place,Healthy Lifestyles,LEG,050FAT
2011,1,Maryland,Nutrition,Agriculture and Farming,Community,Maryland Livestock and Poultry Care Advisory Board,LEG,017AGF
2011,1,Massachusetts,Physical Activity,Health Impact Assessment,School/After School,Standards for School Wellness Advisory Committees,REG,027HIA
2009,1,Connecticut,Nutrition,Medical Care,School/After School,Bicycle and Pedestrian Access,LEG,026MEC
2013,1,Maine,Nutrition,Appropriations,School/After School,An Act To Support School Nutrition and Expand the Local Foods Economy,LEG,002APP
2011,1,Texas,Obesity,Food Restrictions,School/After School,Public School Beverages,LEG,020FOR
2009,1,Maryland,Obesity,Appropriations,School/After School,Public Schools,LEG,002APP
2011,1,Missouri,Nutrition,Access to Healthy Foods,Community,"Expenses, Grants, Refunds, and Distributions",LEG,001AHF
2011,1,New York,Nutrition,Disparities/Equity,Community,An Act Relating to Food Retail Establishment Subsidies for Healthy Communities<br>,LEG,013DEQ
2009,1,Louisiana,Nutrition,Trans Fats,Community,Video Games Tax,LEG,050FAT
2010,1,New York,Physical Activity,Public Safety,Community,Blighted Properties and Areas,LEG,039SAF
2008,1,Washington,Obesity,Food Restrictions,Community,Farmers Market Nutrition Program (FMNP)),REG,020FOR
2009,1,Washington,Obesity,Appropriations,Community,Project Improvements Including Public Transportation,LEG,002APP
2011,1,Florida,Physical Activity,School Siting,Community,Growth Management,LEG,042SIT
2017,2,Vermont,Nutrition,Fruits and Vegetables,Community,An Act Relating to the Rozo McLaughlin Farm-to-School Program,LEG,025FAV
2015,1,Hawaii,Obesity,Disparities/Equity,Community,Interagency Obesity Council,LEG,013DEQ
2013,1,Hawaii,Obesity,Sugar Sweetened Beverages,Community,An Act Relating to Obesity Prevention,LEG,046SSB
2010,1,Oklahoma,Nutrition,Farmers Markets,Community,Farmers Markets,LEG,016FAM
2011,1,Massachusetts,Obesity,Appropriations,Community,Anti-Gang Injunctions,LEG,002APP
2010,1,Hawaii,Obesity,Food Restrictions,Community,Food Safe Certification and Pilot Program,LEG,020FOR
2010,1,California,Nutrition,Farm Direct Foods,School/After School,Schools: Nutrition: Beverages,LEG,015FDF
2010,1,West Virginia,Nutrition,Appropriations,Restaurant/Retail,Healthy Lifestyles Restaurant Calorie Posting Program,LEG,002APP
2010,1,District of Columbia,Nutrition,Incentives,Community,Supermarket Tax Abatement,LEG,029INC
2011,1,Minnesota,Nutrition,Media Campaigns,Community,Health,LEG,031MDC
2010,1,Florida,Obesity,Menu Labeling,Restaurant/Retail,Public Food Service Establishments,LEG,032MNL
2005,1,Michigan,Obesity,Appropriations,Community,Bicyclist Rights,LEG,002APP
2009,1,Massachusetts,Nutrition,Media Campaigns,Community,Out of School Time Programming,LEG,031MDC
2011,1,Oklahoma,Obesity,Health Insurance Coverage,Community,Sales Tax,LEG,028HIC
2009,1,Texas,Nutrition,Disparities/Equity,Community,Child Nutritious Food Access,LEG,013DEQ
2014,3,New York,Nutrition,Access to Healthy Foods,School/After School,Establishing Nutrition Standards for Competitive Foods and Beverages,LEG,001AHF
2011,1,New Hampshire,Nutrition,Access to Healthy Foods,Community,Definition of Local,LEG,001AHF
2009,1,Indiana,Physical Activity,Public Safety,Community,Public Safety Funding,LEG,039SAF
2010,1,Michigan,Obesity,Food Restrictions,Restaurant/Retail,Agriculture Industry,LEG,020FOR
2016,2,Florida,Nutrition,Disparities/Equity,School/After School,Healthy Food Financing Initiative,LEG,013DEQ
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Restaurant/Retail,Taxation,LEG,001AHF
2005,1,Rhode Island,Nutrition,Farm Direct Foods,School/After School,Healthy Food Choices in Schools,LEG,015FDF
2010,1,Minnesota,Obesity,Appropriations,School/After School,School District Wellness and Nursing Home Rates,LEG,002APP
2011,1,Missouri,Nutrition,Access to Healthy Foods,Restaurant/Retail,Women Infants and Children Food Program,LEG,001AHF
2011,1,Texas,Obesity,Sugar Sweetened Beverages,School/After School,Sweetened Beverages Tax,LEG,046SSB
2010,1,Utah,Obesity,Front of Package Labeling,School/After School,Short Title - Club Teams in Public Schools,LEG,024FOP
2011,1,Virginia,Obesity,Food Restrictions,Community,Purchase of State Grown Food Products,LEG,020FOR
2011,1,Minnesota,Nutrition,Liability and Indemnity,School/After School,Transportation,LEG,030LAI
2013,1,Illinois,Nutrition,Access to Healthy Foods,Community,An Act Concerning Appropriations (Senate),LEG,001AHF
2010,1,Massachusetts,Physical Activity,Public Safety,Community,Economic Development Incentive Program (EDIP),REG,039SAF
2009,1,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,LEG,043SNU
2010,1,Maine,Physical Activity,Public Safety,Community,Maine Community Development Block Grant Program,REG,039SAF
2009,1,California,Obesity,Food Restrictions,Restaurant/Retail,Agriculture: Victory Garden Growers,LEG,020FOR
2011,1,Minnesota,Physical Activity,Built Environment and Street-Scale Design,Community,Transportation,LEG,049BED
2015,1,Minnesota,Physical Activity,Appropriations,Community,Bicycle and Pedestrian Projects,LEG,002APP
2010,1,District of Columbia,Physical Activity,Physical Activity Requirements,Community,Community Schools Incentive,LEG,035PAR
2011,1,New Jersey,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Sale and Lease of Unneeded Public Property,LEG,021HFR
2010,1,Missouri,Nutrition,Trans Fats,Community,Sales Tax Exemption,LEG,050FAT
2011,1,Illinois,Nutrition,Correctional Facilities Farms Programs,Community,Appropriations to Agencies,LEG,018CFP
2017,1,Arkansas,Nutrition,Appropriations,Work Place,"LOCAL FOOD, FARMS, AND JOBS ACT <br>",LEG,002APP
2011,1,Florida,Obesity,Appropriations,School/After School,Physical Education in Public Schools,LEG,002APP
2011,1,Minnesota,Physical Activity,Access to Recreational Opportunities,Community,Health,LEG,004ARO
2015,1,Texas,Obesity,TV/Screen Viewing,Community,Creating a program to recognize Before and After-School Programs that promote healthy eating and physical activity,LEG,048TVS
2011,1,Georgia,Obesity,Appropriations,Community,Farm to School Programs,LEG,002APP
2009,1,Maryland,Physical Activity,Built Environment and Street-Scale Design,Community,Vehicle Laws,LEG,049BED
2010,1,Illinois,Obesity,Food Restrictions,Restaurant/Retail,Farmers Markets,LEG,020FOR
2009,1,California,Nutrition,Agriculture and Farming,Community,Budget Act of 2009,LEG,017AGF
2011,1,West Virginia,Physical Activity,Physical Education Requirements,School/After School,Secretary of State,REG,036PER
2012,1,Hawaii,Nutrition,Farmers Markets,Community,An Act Relating to Sustainability<br>,LEG,016FAM
2009,1,Maine,Obesity,Appropriations,School/After School,School Year and Curricula,LEG,002APP
2011,1,District of Columbia,Physical Activity,Public Transportation,Community,Rhode Island Avenue,LEG,040TRS
2010,1,Missouri,Physical Activity,Appropriations,Community,Department of Revenue Appropriation,LEG,002APP
2010,1,Connecticut,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Tax on Soft Drinks,LEG,021HFR
2010,1,South Carolina,Nutrition,Appropriations,Community,Richland County,LEG,002APP
2013,1,New York,Nutrition,Vending,School/After School,New York State Healthy Kids Act,LEG,051VEN
2010,1,Hawaii,Obesity,Appropriations,Community,Blind Pedestrians,LEG,002APP
2013,1,New York,Physical Activity,Task Forces/Councils,Community,Omnibus Obesity and Respiratory Illness Reduction Act,LEG,047TFC
2009,1,South Carolina,Nutrition,Trans Fats,School/After School,Nutrition Standards for Elementary Schools,REG,050FAT
2013,4,California,Nutrition,Nutrition Standards,School/After School,School Nutrition,LEG,010NUS
2005,1,Colorado,Obesity,Disparities/Equity,Community,Obesity Treatment Under Medicaid,LEG,013DEQ
2011,1,North Carolina,Physical Activity,"Parks, Recreation and Trails",Early Care and Education,Childhood Obesity Legislative Task Force,LEG,034PRT
2009,1,Texas,Physical Activity,Bicycling,Community,Partnership for Children in Nature,LEG,005BIK
2010,1,Kentucky,Nutrition,Food Assistance Programs,Work Place,State Employee Health Insurance,LEG,003FAP
2015,1,Oregon,Nutrition,Farm Direct Foods,Community,Appropriations for Farm Direct Nutrition Programs,LEG,015FDF
2009,1,Washington,Obesity,Appropriations,Community,A Regional Transportation Corridor Authority,LEG,002APP
2011,1,New York,Physical Activity,"Parks, Recreation and Trails",Community,Objects Or Purposes for Which Certain Bonds Were Issued,LEG,034PRT
2009,1,Michigan,Nutrition,Agriculture and Farming,Community,Community Health,LEG,017AGF
2009,1,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Procurement Code,LEG,002APP
2009,1,Oklahoma,Nutrition,Appropriations,Community,Revenue And Taxation,LEG,002APP
2011,1,Tennessee,Nutrition,Appropriations,Restaurant/Retail,Taxes,LEG,002APP
2009,1,Colorado,Nutrition,Appropriations,School/After School,Reauthorize Child Nutrition Act,LEG,002APP
2009,1,Connecticut,Nutrition,Farmers Markets,Community,Inclusion of Glutens,LEG,016FAM
2009,1,West Virginia,Nutrition,Incentives,Community,Food Tax,LEG,029INC
2015,1,New York,Obesity,Task Forces/Councils,Work Place,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,LEG,047TFC
2009,1,New York,Obesity,Appropriations,School/After School,Education Department to Make Annual Report,LEG,002APP
2005,1,California,Nutrition,Agriculture and Farming,School/After School,California Fresh Start Fresh Start Pilot Program,LEG,017AGF
2009,1,Virginia,Nutrition,Medical Care,Community,Budget Bill,LEG,026MEC
2013,1,Massachusetts,Physical Activity,Health Impact Assessment,Community,An Act Promoting Healthy Communities,LEG,027HIA
2010,1,Vermont,Nutrition,Agriculture and Farming,School/After School,Fiscal Year 2010 Appropriations Act,LEG,017AGF
2011,1,Hawaii,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycles on Sidewalks,LEG,049BED
2011,1,New York,Nutrition,Food Assistance Programs,Medical and/or Hospital,Health Insurers,LEG,003FAP
2007,1,Texas,Nutrition,Food Assistance Programs,Work Place,Interagency Obesity Council,LEG,003FAP
2009,1,Massachusetts,Obesity,Task Forces/Councils,Community,School Nutrition,LEG,047TFC
2009,1,Florida,Physical Activity,Incentives,Community,Healthy and Fit Florida Act,LEG,029INC
2012,2,Iowa,Nutrition,Food Assistance Programs,Community,An Act Providing for Charitable Food Donations,LEG,003FAP
2004,1,Alabama,Nutrition,Farmers Markets,Community,An Act Making Appropriations  <br>,LEG,016FAM
2011,1,Hawaii,Physical Activity,Pedestrians/Walking,Medical and/or Hospital,Health,LEG,052PED
2010,1,Michigan,Obesity,Body Mass Index (BMI),School/After School,Transportation Infrastructure Options,LEG,006BMI
2011,1,Illinois,Physical Activity,Signage for Recreation and Transportation,Community,Road Funds,LEG,044SRT
2011,1,Kentucky,Nutrition,Fruits and Vegetables,Community,Budget Bill Amendments,LEG,025FAV
2009,1,Pennsylvania,Obesity,Disparities/Equity,School/After School,Public School Code of 1949,LEG,013DEQ
2009,1,Georgia,Physical Activity,School Siting,School/After School,Regional Planning,REG,042SIT
2011,1,Missouri,Nutrition,Incentives,Restaurant/Retail,Streamlined Sales and Use Tax Agreement,LEG,029INC
2010,1,New Hampshire,Nutrition,Task Forces/Councils,Work Place,HealthFirst,LEG,047TFC
2012,1,Rhode Island,Nutrition,Incentives,Community,Relating to Sales and Use Taxes<br>,LEG,029INC
2011,1,Wyoming,Nutrition,Farmers Markets,Restaurant/Retail,Wyoming Food Freedom Act,LEG,016FAM
2011,1,Iowa,Nutrition,Access to Healthy Foods,Community,Federal Fiscal Year,LEG,001AHF
2011,1,Illinois,Nutrition,Liability and Indemnity,Community,Appropriations and Reappropriations for Capital Project,LEG,030LAI
