Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2001,1,Illinois,Nutrition,Farmers Markets,Community,An Act Making Appropriations,LEG,016FAM
2009,1,Connecticut,Obesity,Appropriations,Community,Smart Growth Municipal,LEG,002APP
2011,1,New Mexico,Obesity,Incentives,Work Place,Employee Wellness Incentive Programs,LEG,029INC
2015,1,Hawaii,Physical Activity,Public Transportation,Community,Loan guarantees for transit-oriented development,LEG,040TRS
2009,1,District of Columbia,Obesity,Menu Labeling,Community,H Street Surplus Declaration and Approval,LEG,032MNL
2010,1,Wisconsin,Nutrition,Appropriations,Restaurant/Retail,Nutritional Information,LEG,002APP
2011,1,Rhode Island,Nutrition,Task Forces/Councils,Community,Health and Safety,LEG,047TFC
2011,1,Maine,Obesity,Disparities/Equity,School/After School,Pilot Physical Activity Project,LEG,013DEQ
2011,1,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Home Organic Produce Cooperatives,LEG,002APP
2011,1,California,Nutrition,Food Assistance Programs,Community,An Act Related to Public Health<br>,LEG,003FAP
2011,1,Vermont,Nutrition,Farm Direct Foods,Restaurant/Retail,Economic Development,LEG,015FDF
2010,1,Rhode Island,Nutrition,Agriculture and Farming,Restaurant/Retail,Special Supplemental Nutrition Program,REG,017AGF
2010,1,Kentucky,Nutrition,Appropriations,School/After School,Obesity in School Children,LEG,002APP
2011,1,Texas,Obesity,Appropriations,School/After School,Student Fitness,LEG,002APP
2010,1,Hawaii,Obesity,Appropriations,Restaurant/Retail,Aliomanu Road Reconstruction,LEG,002APP
2009,1,Illinois,Physical Activity,Public Transportation,Community,Tax Increment Allocation Redevelopment Act,LEG,040TRS
2009,1,Missouri,Obesity,Appropriations,Community,Funding of State Departments,LEG,002APP
2011,1,Massachusetts,Nutrition,Access to Healthy Foods,Community,Labeling of Food,LEG,001AHF
2009,1,Alabama,Nutrition,Farm Direct Foods,Community,Government Funding,LEG,015FDF
2012,2,New Jersey,Nutrition,Agriculture and Farming,Community,Special Occasion Events Conducted on Preserved Farmland,LEG,017AGF
2015,1,New York,Nutrition,Breastfeeding,Early Care and Education,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,LEG,007BFD
2009,1,California,Physical Activity,Physical Education Requirements,School/After School,Physical Education,LEG,036PER
2009,1,Rhode Island,Nutrition,School Nutrition,School/After School,Education,LEG,043SNU
2009,1,New York,Obesity,Appropriations,Community,Tax Increment Bonds,LEG,002APP
2003,1,California,Obesity,Health Insurance Coverage,School/After School,Health Education,LEG,028HIC
2009,1,Connecticut,Obesity,Appropriations,School/After School,Educator Certification,LEG,002APP
2011,1,New Jersey,Obesity,Appropriations,Community,Athletic Heart Protectors,LEG,002APP
2009,1,Oregon,Obesity,Appropriations,Community,Nutrition Improvement Zones,LEG,002APP
2011,1,Michigan,Nutrition,Incentives,Work Place,Uniform Employee Health Care,LEG,029INC
2011,1,New York,Nutrition,Media Campaigns,Community,Senior Benefits Card Program,LEG,031MDC
2010,1,Rhode Island,Obesity,Liability and Indemnity,Restaurant/Retail,Taxation,LEG,030LAI
2011,1,Texas,Obesity,Portion Size,School/After School,School Food Information,LEG,038POS
2011,1,South Carolina,Obesity,Food Restrictions,School/After School,Local Food in Schools,LEG,020FOR
2013,1,Texas,Nutrition,Nutrition Standards,Medical and/or Hospital,Operational Requirements<br>,REG,010NUS
2011,1,New Jersey,Physical Activity,"Parks, Recreation and Trails",Community,Sale and Lease of Unneeded Public Property,LEG,034PRT
2011,1,Louisiana,Nutrition,Media Campaigns,Community,Schools,LEG,031MDC
2009,1,California,Nutrition,School Nutrition,School/After School,Child Care: Nutritional Requirements,LEG,043SNU
2010,1,Hawaii,Nutrition,Task Forces/Councils,School/After School,Department of Education,LEG,047TFC
2011,1,California,Nutrition,Farm Direct Foods,Restaurant/Retail,Product Safety: Bisphenol A,LEG,015FDF
2011,1,Massachusetts,Nutrition,Agriculture and Farming,Community,Distribution of Raw Milk,LEG,017AGF
2009,1,Maryland,Nutrition,Appropriations,Restaurant/Retail,Retail Food and Pharmacy Vendors,REG,002APP
2011,1,Washington,Nutrition,Appropriations,Community,State Environmental Policy Act Process,LEG,002APP
2009,1,Florida,Obesity,Access to Drinking Water,School/After School,Healthy and Fit Florida Act,LEG,014ADW
2011,1,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Agribusiness,LEG,002APP
2009,1,Washington,Physical Activity,Pedestrians/Walking,Community,Greenhouse Gas Emissions,LEG,052PED
2010,1,Missouri,Nutrition,Food Security,Restaurant/Retail,Chain Restaurants,LEG,023FOS
2011,1,New York,Physical Activity,"Parks, Recreation and Trails",Community,Jerome Park,LEG,034PRT
2010,1,Texas,Obesity,Appropriations,Community,Coastal Area Planning,REG,002APP
2009,1,New York,Nutrition,Farm Direct Foods,Community,Health and Mental Hygiene Budget,LEG,015FDF
2009,1,Kansas,Obesity,Appropriations,Community,Blind Persons,LEG,002APP
2011,1,New York,Nutrition,Farm Direct Foods,School/After School,Sale of Certain Foods in Vending Machines,LEG,015FDF
2009,1,New York,Nutrition,Appropriations,Community,Health Risks of Overweight and Underweight Children,LEG,002APP
2011,1,Massachusetts,Obesity,Food Restrictions,Community,Foods Containing Artificial Trans Fats,LEG,020FOR
2014,4,District of Columbia,Nutrition,Access to Healthy Foods,Community,Food Policy Council,LEG,001AHF
2011,1,Idaho,Physical Activity,Public Safety,Community,Urban Renewal,LEG,039SAF
2011,1,Maryland,Obesity,Appropriations,Restaurant/Retail,Maryland Food and Nutrition Policy Council,LEG,002APP
2009,1,Washington,Physical Activity,Built Environment and Street-Scale Design,Community,Economic Stimulus,LEG,049BED
2009,1,Alaska,Nutrition,Appropriations,Work Place,Nursing Mothers in Workplace,LEG,002APP
2012,1,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,School/After School,Finance Improvements to the Commonwealth's Transportation System<br>,LEG,049BED
2011,1,New York,Nutrition,Appropriations,Restaurant/Retail,Department of Health,LEG,002APP
2011,1,Illinois,Nutrition,Appropriations,Restaurant/Retail,Public Aid Code,LEG,002APP
2012,1,Ohio,Nutrition,Food Assistance Programs,Community,Uniform Definitions of Title XX Services<br>,REG,003FAP
2009,1,Mississippi,Nutrition,Incentives,Community,Sales Tax,LEG,029INC
2011,1,Kansas,Physical Activity,Pedestrians/Walking,School/After School,School Bus Transportation,LEG,052PED
2011,1,New York,Physical Activity,Physical Activity Requirements,Work Place,An Act Providing an Occupational Wellness Program Tax Credit for Businesses<br>,LEG,035PAR
2009,1,Illinois,Nutrition,Access to Healthy Foods,School/After School,"Illinois Food, Farms, and Jobs Act",LEG,001AHF
2011,1,Massachusetts,Nutrition,Appropriations,Restaurant/Retail,Farmers Markets,LEG,002APP
2005,1,Oklahoma,Physical Activity,Physical Education Requirements,School/After School,Schools,LEG,036PER
2011,1,Nevada,Nutrition,Point of Purchase Promotion,Community,Use of Athletic Fields for Youth Sports,LEG,037POP
2011,1,Florida,Obesity,Incentives,Medical and/or Hospital,State Employee Health Insurance Benefits,LEG,029INC
2009,1,Vermont,Nutrition,Point of Purchase Promotion,School/After School,Special Education Rules,REG,037POP
2010,1,New Jersey,Obesity,Appropriations,Community,Meadowlands Economic Development Trust,LEG,002APP
2007,1,Texas,Nutrition,Trans Fats,School/After School,Department of Agriculture,LEG,050FAT
2010,1,New York,Obesity,Food Restrictions,School/After School,Sale of Certain Foods in Vending Machines,LEG,020FOR
2009,1,Kentucky,Obesity,Menu Labeling,Restaurant/Retail,Restaurant Display of Caloric Information,LEG,032MNL
2009,1,Tennessee,Obesity,Sugar Sweetened Beverages,Community,Taxes Privilege,LEG,046SSB
2016,1,New Jersey,Nutrition,Food Assistance Programs,Community,"""Designates Wednesday of third week of September as """"Farmers Against Hunger Day."""" <br>""",LEG,003FAP
2010,1,Louisiana,Nutrition,Appropriations,Community,Agency Ancillary Funds,LEG,002APP
2011,1,Texas,Obesity,Appropriations,Community,Jefferson County Management District,LEG,002APP
2009,1,Illinois,Nutrition,Appropriations,School/After School,Farm Fresh Schools Program Act,LEG,002APP
2011,1,Washington,Nutrition,Sodium,Work Place,State Agency Food Purchasing Policy,LEG,045SOD
2011,1,Tennessee,Physical Activity,Initiatives and Programs,Community,An Act Relating to the Construction of Facilities and Trails <br>,LEG,053INP
2015,1,Minnesota,Nutrition,Incentives,Community,Urban Agriculture,LEG,029INC
2011,1,Georgia,Nutrition,Access to Healthy Foods,Community,Farm to School Programs,LEG,001AHF
2011,1,Pennsylvania,Nutrition,Food Assistance Programs,Work Place,Healthy Living Committee Discount,LEG,003FAP
2011,1,California,Physical Activity,Signage for Recreation and Transportation,Community,Don Burnett Bicycle-Pedestrian Bridge,LEG,044SRT
2005,1,Michigan,Nutrition,Incentives,Community,Farm Commercialization Roundtable,LEG,029INC
2011,1,North Carolina,Nutrition,Incentives,School/After School,Childhood Obesity Legislative Task Force,LEG,029INC
2011,1,Michigan,Nutrition,Farmers Markets,Restaurant/Retail,Restaurant Food,LEG,016FAM
2010,1,District of Columbia,Nutrition,Appropriations,Restaurant/Retail,Supermarket Tax Abatement,LEG,002APP
2010,1,California,Physical Activity,Public Transportation,Community,Federal and State Low Income Housing Tax Credit Laws,REG,040TRS
2009,1,New York,Nutrition,School Nutrition,School/After School,New York State Healthy Kids Act,LEG,043SNU
2010,1,California,Physical Activity,Pedestrians/Walking,Community,Transportation,LEG,052PED
2005,1,Pennsylvania,Obesity,Appropriations,Community,Farmers Market Development Grant Program,LEG,002APP
2010,1,North Carolina,Nutrition,Food Assistance Programs,Work Place,Body Mass Index Penalty and State Employees,LEG,003FAP
2011,1,Texas,Nutrition,Appropriations,School/After School,Sweetened Beverages Tax,LEG,002APP
2010,1,New York,Obesity,Menu Labeling,Community,Blighted Properties and Areas,LEG,032MNL
2008,1,Louisiana,Nutrition,Healthier Food Retail and Food Deserts,Community,Senate Resolution,LEG,021HFR
2011,1,New York,Physical Activity,Media Campaigns,Work Place,Governors Council on Physical Fitness,LEG,031MDC
2009,1,Missouri,Nutrition,Trans Fats,Early Care and Education,Workplace Recognition Program,LEG,050FAT
2004,1,New Mexico,Obesity,Disparities/Equity,Community,Comprehensive Strategic Plan for Health,LEG,013DEQ
2010,1,New York,Nutrition,Trans Fats,School/After School,New York State Healthy Kids Act,LEG,050FAT
2005,1,Arkansas,Obesity,Appropriations,Community,Department of Finance and Administration,LEG,002APP
2007,1,California,Nutrition,Farm Direct Foods,Community,State Property: Vending Machines,LEG,015FDF
2011,1,Colorado,Obesity,Liability and Indemnity,Community,Sales Tax Exemption for Soft Drinks,LEG,030LAI
2009,1,Washington,Nutrition,Media Campaigns,School/After School,Community And Surplus Schools,LEG,031MDC
2011,1,Texas,Nutrition,Trans Fats,School/After School,Sweetened Beverages Tax,LEG,050FAT
2011,1,District of Columbia,Obesity,Menu Labeling,Community,Grocery Store Terms and Conditions,LEG,032MNL
2011,1,West Virginia,Physical Activity,Public Safety,Community,State Excess Lottery Revenue Fund,LEG,039SAF
2009,1,New York,Nutrition,Food Security,Community,Commissioner of Education,LEG,023FOS
2010,1,New York,Nutrition,Trans Fats,Community,Tax Credit for Qualified Expenses,LEG,050FAT
2011,1,Texas,Physical Activity,Appropriations,Community,Mobility Improvement Project Funding,LEG,002APP
2011,1,Mississippi,Nutrition,Incentives,Restaurant/Retail,Fruits and Vegetables Sales Tax,LEG,029INC
2014,3,California,Physical Activity,Zoning/Land Use,Community,Transit Village Plan,LEG,033ZON
2009,1,Illinois,Obesity,Initiatives and Programs,Community,Obesity Prevention Initiative Act,LEG,053INP
2013,1,Mississippi,Nutrition,Access to Healthy Foods,School/After School,An Act Regarding the State Board of Education,LEG,001AHF
2011,1,Arkansas,Obesity,Appropriations,Restaurant/Retail,Cottage Food and Farmers Market Permit Exemptions,LEG,002APP
2010,1,Maryland,Obesity,Appropriations,Community,Transportation Projects,LEG,002APP
2011,1,Missouri,Physical Activity,Physical Activity Requirements,School/After School,Commission on Prevention and Management of Obesity,LEG,035PAR
2009,1,Montana,Nutrition,Medical Care,Community,Bicycle Stop Requirements,LEG,026MEC
2010,1,New Mexico,Obesity,Food Restrictions,School/After School,New Mexico Grown Food for School Lunches,LEG,020FOR
2011,1,Michigan,Nutrition,Farm Direct Foods,Community,Recreational Authorities,LEG,015FDF
2009,1,Illinois,Nutrition,Appropriations,School/After School,"Illinois Food, Farms, and Jobs Act",LEG,002APP
2009,1,Texas,Nutrition,Appropriations,Community,Fresh Produce Availability Program,LEG,002APP
2006,1,Colorado,Nutrition,Access to Healthy Foods,School/After School,Fruits And Vegetables In Schools,LEG,001AHF
2007,1,Rhode Island,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Healthier High School Vending Machines,LEG,021HFR
2011,1,Washington,Obesity,Appropriations,School/After School,Office of the Superintendent of Public Instruction,LEG,002APP
2010,1,North Carolina,Nutrition,Liability and Indemnity,Community,Pedestrian Safety Improvements,LEG,030LAI
2009,1,Louisiana,Nutrition,Appropriations,Community,Transfer and Deposit of Monies,LEG,002APP
2010,1,Minnesota,Obesity,Appropriations,Community,Capital Investment,LEG,002APP
2003,1,Arkansas,Obesity,Appropriations,School/After School,State Funds and Interschool Athletics,LEG,002APP
2009,1,New Jersey,Obesity,Menu Labeling,Community,Development and Redevelopment Activities,REG,032MNL
2010,1,Oklahoma,Nutrition,Nutrition Standards,Community,Sooner Seniors,REG,010NUS
2009,1,Arkansas,Obesity,Appropriations,Early Care and Education,After School Program Grants,LEG,002APP
2011,1,South Carolina,Nutrition,Vending,School/After School,Student Snack Food Consumption,LEG,051VEN
2011,1,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,Following Too Closely,LEG,049BED
2011,1,Texas,Obesity,Appropriations,Community,Planning and Improvement District Creation,LEG,002APP
2011,1,Kentucky,Obesity,Appropriations,Restaurant/Retail,Kentucky Grown Agriculture in State Resort Parks,LEG,002APP
2010,1,Hawaii,Nutrition,Appropriations,School/After School,Farm to School Pilot Program,LEG,002APP
2010,1,Maryland,Nutrition,Task Forces/Councils,Community,Income Tax Subtraction Modification,LEG,047TFC
2010,1,Washington,Nutrition,Appropriations,Restaurant/Retail,Tax Increases,LEG,002APP
2009,1,New Mexico,Nutrition,School Nutrition,Community,Appropriation,LEG,043SNU
2006,1,Florida,Nutrition,Liability and Indemnity,School/After School,Schools,LEG,030LAI
2010,1,District of Columbia,Nutrition,Farmers Markets,Community,Bellevue Small Area Action Plan,LEG,016FAM
2010,1,Illinois,Obesity,Body Mass Index (BMI),Community,Transportation Policy Committee,LEG,006BMI
2010,1,Oklahoma,Obesity,Appropriations,Community,Public Health And Safety,LEG,002APP
2011,1,Minnesota,Nutrition,Farmers Markets,Restaurant/Retail,Agriculture,LEG,016FAM
2011,1,Texas,Physical Activity,Built Environment and Street-Scale Design,Community,Rowlett Waterfront Entertainment Management District,LEG,049BED
2001,1,Alabama,Nutrition,Agriculture and Farming,Community,To Make Appropriations <br>,LEG,017AGF
2009,1,Nevada,Physical Activity,Built Environment and Street-Scale Design,Community,State Government,LEG,049BED
2012,3,Colorado,Physical Activity,School Siting,School/After School,The Colorado Public School Facility Construction Guidelines,REG,042SIT
2009,1,Pennsylvania,Physical Activity,Appropriations,Community,Renaissance City Initiative,LEG,002APP
2015,1,Oregon,Nutrition,Appropriations,Community,Appropriations for Farm Direct Nutrition Programs,LEG,002APP
2013,1,Wisconsin,Physical Activity,Appropriations,Work Place,An Act Relating to an Income and Franchise Tax Credit for Workplace Wellness Programs,LEG,002APP
2004,1,West Virginia,Nutrition,Food Assistance Programs,Community,An Act Making Appropriations<br>,LEG,003FAP
2001,1,Washington,Nutrition,Fruits and Vegetables,Community,Fruit and Vegetable Inspection Account,LEG,025FAV
2009,1,Ohio,Obesity,Body Mass Index (BMI),School/After School,Nutritional Standards,LEG,006BMI
2011,1,Nebraska,Nutrition,Breastfeeding,Community,Breast Feeding,LEG,007BFD
2009,1,West Virginia,Nutrition,Incentives,Community,Sales Tax on Food,LEG,029INC
2011,1,Tennessee,Obesity,Appropriations,Community,Public Funds and Financing,LEG,002APP
2011,1,Louisiana,Nutrition,Food Security,School/After School,Senate,LEG,023FOS
2011,1,New York,Obesity,Food Restrictions,Community,Community Gardens in the State of New York As Parkland,LEG,020FOR
2011,1,New Jersey,Obesity,Appropriations,Community,Treatment of Mixed Use Projects Under Urban Transit,LEG,002APP
2011,1,Florida,Nutrition,Task Forces/Councils,Community,Wellness and Health Improvement Programs,LEG,047TFC
2011,1,Washington,Physical Activity,Appropriations,Community,Additive Transportation Funding,LEG,002APP
2011,1,Illinois,Physical Activity,Appropriations,Community,Capital Projects Implementation Act,LEG,002APP
2012,1,District of Columbia,Physical Activity,Physical Activity Requirements,School/After School,Early Warning and Support System Act of 2012<br>,LEG,035PAR
2011,1,Missouri,Nutrition,School Nutrition,Restaurant/Retail,County Water Supply Lake Authority,LEG,043SNU
2011,1,Idaho,Nutrition,Access to Healthy Foods,Community,Food Tax Credits,LEG,001AHF
2009,1,Illinois,Nutrition,Medical Care,Early Care and Education,"Illinois Food, Farms, and Jobs Act",LEG,026MEC
2010,1,Nebraska,Nutrition,Agriculture and Farming,Restaurant/Retail,Agricultural Opportunities,LEG,017AGF
2011,1,Tennessee,Obesity,Appropriations,Community,Food and Food Products,LEG,002APP
2011,1,Michigan,Obesity,Appropriations,Restaurant/Retail,Agriculture Industry,LEG,002APP
2011,1,Washington,Nutrition,Sodium,Community,An Act Relating to the Establishment of Food Purchasing Policies<br>,LEG,045SOD
2010,1,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,Land Use Permit Manual,REG,049BED
2010,1,New York,Physical Activity,Built Environment and Street-Scale Design,Community,Drivers Education Course,LEG,049BED
2010,1,Missouri,Nutrition,Appropriations,Restaurant/Retail,State and Local Sales Tax Exemption,LEG,002APP
2011,1,New York,Physical Activity,Public Safety,Community,Tax Increment Financing Program,LEG,039SAF
2011,1,Arizona,Nutrition,Appropriations,Community,Tax on Sweetened Beverages,LEG,002APP
2010,1,Virginia,Physical Activity,Physical Activity Requirements,School/After School,Public School Physical Fitness Requirements,LEG,035PAR
2011,1,South Dakota,Obesity,Appropriations,Restaurant/Retail,Sales Tax Rates,LEG,002APP
2009,1,California,Nutrition,Medical Care,Community,Vehicles: Vehicle Length Limitations,LEG,026MEC
2010,1,Iowa,Nutrition,Medical Care,Community,Complete Streets,LEG,026MEC
2009,1,Texas,Obesity,Appropriations,School/After School,Curriculum Requirements,REG,002APP
2011,1,Texas,Nutrition,Disparities/Equity,Community,Supplemental Nutrition Assistance Program,LEG,013DEQ
2011,1,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Vehicle Speed and Pedestrian Safety Analysis,LEG,052PED
2013,1,Texas,Nutrition,Access to Healthy Foods,Community,An Act Relating to the Creation of A Regional Food Economy and Food Access Task Force,LEG,001AHF
2010,1,Minnesota,Nutrition,Appropriations,Community,State and Local Government,LEG,002APP
2011,1,Mississippi,Physical Activity,Physical Activity Requirements,Community,Task Force on Combating Childhood Obesity,LEG,035PAR
