artist,title,album
they might be giants,man it's so loud in here,mink car
quietdrive,time after time,when all that's left is you
michael mclean,together forever,the collection volume 1
debussy,la fille aux cheveux de lin,
tony toni tone,feels good,the revival
presidents of the united states of america,peaches,the presidents of the united states of america
ugly kid joe,cat's in the cradle,america's least wanted
they might be giants,dead,flood
david barrus,hold on,on stage
sheryl crow,am i getting through (part i &amp; ii),globe sessions
green day,don't wanna fall in love,shenanigans
puddle of mudd,blurry,come clean
the simpsons,simpsoncalifragilisticexpialad'ohcious (medley),go simpsonic with the simpsons
the simpsons,dancing workers' song (unaired bonus track),testify
michael mclean,celebrating the light,celebrating the light
roy orbison,ooby dooby,
counting crows,come around,saturday nights &amp; sunday mornings
cake,up so close,motorcade of generosity
cranberries,dreaming my dreams,no need to argue
collin raye,i think about you,i think about you
counting crows,goodnight elisabeth,recovering the satellites
coldplay,the scientist,a rush of blood to the head
u2,walk on,all that you can't leave behind
huey lewis and the news,it's alright,people get ready: a tribute to curtis mayfield
shania twain,don't be stupid (you know i love you),come on over
john williams,bugler's dream (1992 olympic theme),summon the heroes
jack johnson,taylor,on and on
tim mcgraw,don't take the girl,not a moment too soon
wheatus,teenage dirtbag,wheatus
weezer,troublemaker,weezer (2008)
squirrel nut zippers,evening at lafitte's,perennial favorites
they might be giants,stalk of wheat,the spine
the simpsons,end credits (renaissance version),songs in the key of springfield
jewel,amen,pieces of you
enya,the memory of trees,paint the sky with stars:  the best of enya
man&aacute;,clavado en un bar,sue&ntilde;os liquidos
aquabats,meltdown!,charge!!
modest mouse,float on,good news for people who love bad news
sheryl crow,peace be upon us,detours
sheryl crow,over you,c'mon c'mon
james horner,boat chase,patriot games soundtrack
collective soul,where the river flows,collective soul
blink 182,stay together for the kids,take off your pants and jacket
counting crows,big yellow taxi,hard candy
third eye blind,graduate,third eye blind
madonna,into the groove,you can dance
my man friday,sassy girl,monkey business
weezer,this is such a pity,make believe
sarah mclachlan,fumbling towards ecstasy,mirrorball
hootie and the blowfish,i'll come running,hootie and the blowfish
vallenato 2000,aun te amo,
aquabats,attacked by snakes!,the fury of the aquabats
coldplay,sparks,parachutes
kool and the gang,celebration,celebrate!
marcia griffiths,electric boogie,carousel
they might be giants,about me,severe tire damage
club nouveau,lean on me,life love &amp; pain
dean martin,baby it's cold outside,a winter romance
shakira,whenever wherever,laundry service
shania twain,man! i feel like a woman!,come on over
jewel,stephenville tx,goodbye alice in wonderland
shania twain,when,come on over
sheryl crow,lifetimes,wildflower
smashing pumpkins,tales of a scorched earth,mellon collie and the infinite sadness - twilight to starlight
toad the wet sprocket,all i want,fear
natalie merchant,carnival,tigerlily
everclear,wonderful,songs from an american movie vol. 1: learning how to smile
they might be giants,au contraire,the spine
norah jones,seven years,come away with me
aquabats,amino man,the floating eye of death
hootie and the blowfish,another year's gone by,looking for lucky
extreme,more than words,extreme ii: pornograffiti
sheryl crow,real gone,cars soundtrack
forever plaid,cry,forever plaid soundtrack
green day,letterbomb (clean),american idiot
gershwin,i got rhythm,
adam sandler,thanksgiving song,they're all gonna laugh at you
hootie and the blowfish,state your peace,looking for lucky
phil collins,can't stop loving you,testify
weird al yankovic,that boy could dance,in 3-d
they might be giants,kiss me son of god,lincoln
coldplay,don't panic,parachutes
weird al yankovic,trigger happy,off the deep end
weird al yankovic,young dumb &amp; ugly,alapalooza
soul asylum,misery,let your dim light shine
barenaked ladies,who needs sleep,stunt
beach boys,barbara ann,beach boys' party
squirrel nut zippers,got my own thing now,hot
live,the river,songs from black mountain
u2,red light,war
weird al yankovic,truck drivin' song,running with scissors
n sync,bye bye bye,no strings attached
man&aacute;,huele a tristeza,donde jugaran los ni&ntilde;os?
live,t.b.d.,throwing copper
david archuleta,think of me,
brooke white,you've got a friend,
mormon tabernacle choir,rejoice the lord is king,consider the lilies
garbage,only happy when it rains,garbage
tracy chapman,over in love (instrumental),let it rain
james horner,the hit,patriot games soundtrack
dashboard confessional,hands down,a mark a mission a brand a scar
barenaked ladies,off the hook,maroon
vivaldi,spring - 3rd movement,
green day,whatsername,american idiot
itayp&uacute;,moliendo caf&eacute;,folklore latinamericano vol. i
northern voices,all i can say,faithful
michael johns,a day in the life,
they might be giants,a self called nowhere,john henry
indigo girls,shame on you (clean),shaming of the sun
brenda lee,rockin' around the christmas tree,
the simpsons,lady riff (feat. ricky gervais),testify
weird al yankovic,grapefruit diet,running with scissors
u2,vertigo,how to dismantle an atomic bomb
joss stone,all the king's horses,the soul sessions
they might be giants,your own worst enemy,factory showroom
john williams,star wars - imperial march,the empire strikes back soundtrack
shawn colvin,84000 different delusions,a few small repairs
eminem,without me (clean),the marshall mathers lp
the simpsons,ode to branson,testify
they might be giants,istanbul (not constantinople),flood
nirvana,breed,nevermind
counting crows,los angeles,saturday nights &amp; sunday mornings
peter gabriel,in your eyes,so
beethoven,pathetique,
wilson phillips,reason to believe,wilson phillips
jewel,cleveland,this way
u2,like a song...,war
simon and garfunkel,59th street bridge song (feelin' groovy),parsley sage rosemary and thyme
jennifer lopez,love don't cost a thing,j. lo
live,waitress (clean),throwing copper
weezer,pork &amp; beans,weezer (2008)
toad the wet sprocket,walk on the ocean,fear
little shop of horrors,feed me (git it),little shop of horrors soundtrack
smash mouth,then the morning comes,astro lounge
james taylor,line 'em up,hourglass
schubert,ave maria,
natalie merchant,just can't last,motherland
man&aacute;,c&oacute;mo dueles en los labios,sue&ntilde;os liquidos
crazy town,butterfly,gift of game
metallica,that was just your life,death magnetic
pearl jam,daughter,vs.
blessid union of souls,peace and love,blessid union of souls
tim mcgraw,i like it i love it,all i want
rick springfield,jessie's girl,working class dog
creed,higher,human clay
weezer,the good life,pinkerton
tracy chapman,new beginning,new beginning
they might be giants,she's an angel,severe tire damage
eve 6,here's to the night,horrorscope
michael jackson,come together,history: past present and future book i
toto,rosanna,toto iv
david barrus,empty chairs and empty tables,on stage 2: more broadway favorites
harry connick jr.,i could write a book,when harry met sally soundtrack
weezer,tired of sex,pinkerton
madonna,what it feels like for a girl,music
kenneth cope,tiny hands,my servant joseph
avril lavigne,don't tell me,under my skin
duran duran,ordinary world,duran duran [the wedding album]
weezer,island in the sun,weezer (2001)
counting crows,hanging tree,saturday nights &amp; sunday mornings
b-52s,love shack,cosmic thing
sarah mclachlan,fallen,afterglow
shawn colvin,every little thing he does is magic,cover girl
don henley,the end of the innocence,the end of the innocence
man&aacute;,perdido en un barco,falta amor
dishwalla,counting blue cars,pet your friends
kinks,all day and all of the night,kinks
the simpsons,god bless the child,sing the blues
itayp&uacute;,humahuaque&ntilde;o-quebrade&ntilde;o,folklore latinamericano vol. ii
collective soul,heaven's already here,hints allegations and things left unsaid
charlie daniels band,the devil went down to georgia,urban cowboy soundtrack
ben folds,zak and sara,rockin' the suburbs
billy joel,big shot,52nd street
queen,the show must go on,innuendo
weezer,slob,maladroit
rolling stones,start me up,tattoo you
jump,mayonesa,
forever plaid,no not much,forever plaid soundtrack
natalie imbruglia,torn,left of the middle
weird al yankovic,confessions part iii,straight outta lynwood
michael mclean,you're not alone,you're not alone
itayp&uacute;,tiempo al tiempo,folklore latinamericano vol. ii
they might be giants,minimum wage,flood
vanessa carlton,a thousand miles,be not nobody
cranberries,zombie,no need to argue
hootie and the blowfish,when i'm lonely,fairweather johnson
sheryl crow,detours,detours
men at work,down under,business as usual
blink 182,first date,take off your pants and jacket
modest mouse,horn intro,good news for people who love bad news
u2,original of the species,how to dismantle an atomic bomb
carly smithson,without you,
red hot chili peppers,by the way,by the way
beauty and the beast,be our guest,beauty and the beast soundtrack
collective soul,simple,collective soul
hootie and the blowfish,the goodbye girl,best of hootie and the blowfish 1993-2003
heights,how do you talk to an angel,the heights
they might be giants,women and men,flood
aerosmith,jaded,just push play
james blunt,you're beautiful,back to bedlam
britney spears,oops! i did it again,oops! i did it again
elemeno-p,breaking down the wall,no more lonely people
the simpsons,presidents' song,go simpsonic with the simpsons
norah jones,the long way home,feels like home
michael bolton,can i touch you...there,greatest hits (1985-1995)
mannheim steamroller,carol of the bells,a fresh aire christmas
savage garden,i want you,savage garden
wallflowers,i wish i felt nothing,bringing down the horse
barenaked ladies,falling for the first time,maroon
natalie merchant,saint judas,motherland
the simpsons,a star is torn medley,testify
cathy dennis,too many walls,move to this
huey lewis and the news,workin' for a livin',picture this
cake,jolene,motorcade of generosity
cranberries,linger,everybody else is doing it so why can't we?
barenaked ladies,god rest ye merry gentlemen,maybe this christmas
sarah mclachlan,building a mystery (clean),surfacing
journey,don't stop believing,escape
enya,watermark,paint the sky with stars:  the best of enya
elemeno-p,building zion,no more lonely people
harvey danger,flagpole sitta,where have all the merrymakers gone?
weezer,hash pipe,weezer (2001)
alejandro sanz,aprendiz,mtv unplugged (alejandro sanz)
aerosmith,livin' on the edge,get a grip
santana,smooth,supernatural
khachaturian,sabre dance,
smashing pumpkins,bullet with butterfly wings,mellon collie and the infinite sadness - dawn to dusk
corrs,when the stars go blue,live in dublin
jimmy buffett,mele kalikimaka,christmas island
john williams,superman (love theme),superman soundtrack
itayp&uacute;,el cascabel,folklore latinamericano vol. i
beatles,come together,abbey road
counting crows,go to town,mr. deeds soundtrack
carole king,anyone at all,you've got mail soundtrack
counting crows,perfect blue buildings,august and everything after
collective soul,december,collective soul
outkast,hey ya!,speakerboxxx/the love below
amanda overmyer,you can't do that,
ben folds five,song for the dumped,whatever and ever amen
reel big fish,snoop dog baby,turn the radio off
red hot chili peppers,i could die for you,by the way
randy newman,mr. president (have pity on the working man),good old boys
frankie goes to hollywood,relax,welcome to the pleasuredome
n sync,it's gonna be me,no strings attached
david cook,silver,analog heart
collective soul,reunion,collective soul
green day,desensitized,shenanigans
modest mouse,the good times are killing me,good news for people who love bad news
hootie and the blowfish,wishing,musical chairs
martina mcbride,i love you,emotion
squirrel nut zippers,meant to be,hot
smashing pumpkins,farewell and goodnight,mellon collie and the infinite sadness - twilight to starlight
jewel,drive to you,goodbye alice in wonderland
michael jackson,pyt (pretty young thing),thriller
metallica,broken beat and scarred,death magnetic
northern voices,trains,faithful
jekyll &amp; hyde,take me as i am,jekyll &amp; hyde soundtrack
coldplay,spies,parachutes
red hot chili peppers,give it away,blood sugar sex magik
smashing pumpkins,mellon collie and the infinite sadness,mellon collie and the infinite sadness - dawn to dusk
taco,puttin' on the ritz,puttin' on the ritz
man&aacute;,desapariciones,mtv unplugged (man&aacute;)
cake,comfort eagle,comfort eagle
sheryl crow,the difficult kind,globe sessions
collective soul,over tokyo,blender
darkness,i believe in a thing called love,permission to land
andrew lloyd webber,wishing you were somehow here again,phantom of the opera
cake,pretty pink ribbon,comfort eagle
u2,when love comes to town,rattle and hum
les mis&eacute;rables,fantine's arrest,les mis&eacute;rables soundtrack
nirvana,lithium,nevermind
blessid union of souls,light in your eyes,blessid union of souls
lenny kravitz,are you gonna go my way,are you gonna go my way
bryan adams,have you ever really loved a woman,don juan demarco soundtrack
lynyrd skynyrd,sweet home alabama,second helping
shai,baby i'm yours,if i ever fall in love
they might be giants,the statue got me high,apollo 18
nirvana,lounge act,nevermind
bangles,eternal flame,everything
aquabats,stuck in a movie!,charge!!
sheryl crow,always on your side,wildflower
cars,my best friend's girl,the cars
kid rock,bawitdaba,devil without a cause
haddaway,what is love,haddaway
sarah mclachlan,do what you have to do,mirrorball
green day,on the wagon,shenanigans
four seasons,december 1963 (oh what a night),who loves you
norah jones,those sweet words,feels like home
backstreet boys,shape of my heart,black &amp; blue
u2,trash trampoline and the party girl,a celebration
uncle kracker,drift away,no stranger to shame
reel big fish,241,turn the radio off
madonna,la isla bonita,true blue
they might be giants,it's kickin' in,the spine
beach boys,man with all the toys,the beach boys' christmas album
glenn miller,in the mood,
dave matthews band,too much,crash
reel big fish,i'll never be,turn the radio off
maroon 5,sunday morning,songs about jane
dashboard confessional,so beautiful,a mark a mission a brand a scar
mormon tabernacle choir,my shepherd will supply my need,consider the lilies
bangles,hazy shade of winter,less than zero soundtrack
michael hicks,as sisters in zion &amp; we'll bring the world his truth,
cake,daria,fashion nugget
michael mclean,which part is mine?,one heart in the right place
sheryl crow,weather channel,c'mon c'mon
itayp&uacute;,a mis paisanos,folklore latinamericano vol. ii
def leppard,two steps behind,retro active
bon jovi,say it isn't so,crush
norah jones,one flight down,come away with me
barenaked ladies,take it back,are me
dave matthews band,spoon,before these crowded streets
hootie and the blowfish,the rain song,hootie and the blowfish
aquabats,martian girl!,the fury of the aquabats
weezer,sweet adeline (my evaline),weezer (1996)
hootie and the blowfish,hey hey what can i do,encomium
third eye blind,jumper,third eye blind
tal bachman,she's so high,tal bachman
deep blue something,halo,home
forever plaid,shangri-la - rags to riches,forever plaid soundtrack
seven mary three,cumbersome,american standard
shakira,la tortura,fijaci&oacute;n oral vol. 1
weezer,pink triangle,pinkerton
coldplay,everything's not lost,parachutes
enya,wild child,a day without rain
weird al yankovic,like a surgeon,dare to be stupid
a-teens,mamma mia,the abba generation
cranberries,i can't be with you,no need to argue
they might be giants,new york city,factory showroom
mr. mister,broken wings,welcome to the real world
phil collins,a groovy kind of love,buster soundtrack
collective soul,better now,youth
bowling for soup,baby one more time,freaky friday soundtrack
hootie and the blowfish,goodbye,cracked rear view
mormon tabernacle choir,carol of the bells,a mormon tabernacle choir christmas
savage garden,truly madly deeply,savage garden
norah jones,the nearness of you,come away with me
seven mary three,water's edge (clean),american standard
cake,haze of love,motorcade of generosity
the simpsons,the simpsons main title theme,songs in the key of springfield
they might be giants,dinner bell,apollo 18
