Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,18+,Queens,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,46,1,NO
3AP,0-17,Westchester,ASSOC. FOR MENTALLY ILL CHILDREN OF WESTCHEST,25,0,
3AP,18+,Bronx,"COMUNILIFE, INC.",66,0,NO
3AP,18+,Manhattan,BRONX AIDS SERVICE AI,48,0,
2AP,18+,Seneca,County,39,0,
2AP,0-17,Ontario,County,133,7,
3AP,0-17,Onondaga,CHHUNY LLC,73,1,
3AP,18+,Ulster,County,1071,4,
2AP,18+,Dutchess,PP OF MID-HUDSON VALLEY INC,41,4,
2AP,18+,Bronx,"PROMESA, INC.",750,58,
2AP,18+,Ulster,County,1089,122,
3AP,18+,Schenectady,County,188,2,
3AP,18+,Chautauqua,County,949,7,
2AP,0-17,Queens,NYC-HHC ELMHURST HOSPITAL CENTER,75,2,
2AP,18+,Suffolk,"PEDERSON-KRAG CENTER, INC.",445,63,NO
2AP,18+,Chautauqua,THE CHAUTAUQUA CENTER INC,178,8,
3AP,18+,Onondaga,ST. JOSEPH'S HOSPITAL HEALTH CENTER,691,4,NO
2AP,0-17,Dutchess,County,275,15,
2AP,18+,Ulster,County,1107,123,
2AP,18+,Hamilton,County,4,0,
3AP,0-17,Chemung,HILLSIDE CATHOLIC CHARITIES BHCC,53,0,
3AP,18+,Manhattan,"COMMUNITY HEALTHCARE NETWORK, INC.",923,4,
2AP,18+,Greene,COLUMBIA MEMORIAL HOSPITAL,45,7,NO
3AP,18+,Suffolk,HUNTINGTON HOSPITAL,88,0,NO
2AP,18+,Brooklyn,County,12432,1344,
3AP,18+,Saratoga,County,107,0,
2AP,18+,Saratoga,County,559,59,
3AP,18+,Orange,County,1505,4,
3AP,18+,Manhattan,NYC-HHC JACOBI MEDICAL CENTER,326,3,NO
3AP,18+,Orange,CORNERSTONE FAMILY HEALTHCARE,533,2,
2AP,18+,Wayne,County,202,23,
2AP,18+,Allegany,County,117,16,NO
3AP,18+,Onondaga,County,2633,6,
3AP,0-17,Erie,ERIE COUNTY MEDICAL CENTER,61,0,NO
2AP,18+,Manhattan,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,113,3,NO
2AP,0-17,Erie,"MONSIGNOR CARR INSTITUTE, INC.",105,5,NO
3AP,18+,Montgomery,County,483,0,
2AP,18+,Suffolk,SOUTHSIDE HOSPITAL,453,47,
2AP,18+,Dutchess,"REHABILITATION SUPPORT SERVICES, INC.",30,8,NO
2AP,0-17,Erie,CHILD AND FAMILY SERVICES OF ERIE COUNTY,116,9,NO
3AP,0-17,Tompkins,County,53,0,
2AP,0-17,Putnam,"PUTNAM FAMILY AND COMMUNITY SERVICES, INC.",25,1,NO
2AP,18+,Erie,SISTERS OF CHARITY HOSP,309,47,NO
3AP,18+,Brooklyn,NYC-HHC EAST NEW YORK D&T CENTER,159,2,
3AP,18+,Monroe,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",22,0,
3AP,18+,Albany,County,6144,45,
2AP,18+,Manhattan,"PATHWAYS TO HOUSING, INC.",93,12,NO
2AP,18+,Oswego,"OSWEGO HOSPITAL, INC.",366,27,
2AP,18+,Otsego,OTSEGO COUNTY COMMUNITY SERVICES BOARD,66,7,NO
3AP,18+,Delaware,DELAWARE VALLEY HOSPITAL  INC,33,0,NO
3AP,18+,Bronx,BRONX PSYCHIATRIC CENTER,195,2,NO
2AP,18+,Brooklyn,INDEPENDENCE CARE SYSTEM INC,22,1,
2AP,18+,Tompkins,County,161,5,
3AP,18+,Manhattan,HEARTSHARE WELLNESS LTD,49,0,
2AP,0-17,Chemung,County,156,3,
3AP,0-17,Staten Island,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,31,0,NO
2AP,18+,Westchester,MID HUDSON VALLEY/ARCS AI,279,31,NO
3AP,0-17,Manhattan,NYC-HHC JACOBI MEDICAL CENTER,78,0,NO
2AP,18+,Ontario,GENEVA GENERAL HOSPITAL,225,34,
3AP,18+,Westchester,UNIVERSITY BEHAVIORAL ASSOCIATES IN,493,2,NO
3AP,18+,Schenectady,CONIFER PARK,163,2,NO
3AP,18+,Yates,County,108,1,
2AP,18+,Ontario,County,651,72,
2AP,18+,Cayuga,County,283,29,
3AP,18+,Greene,County,218,0,
2AP,18+,Putnam,County,254,27,
2AP,18+,Orange,"HUDSON RIVER HEALTHCARE, INC.",113,15,
2AP,18+,Schenectady,County,1230,95,
2AP,18+,Orleans,County,100,6,
2AP,18+,Oneida,"THE NEIGHBORHOOD CENTER, INC.",108,9,
2AP,18+,Oneida,ST. ELIZABETH MEDICAL CENTER,222,11,NO
2AP,18+,Erie,MID-ERIE COUNSELING AND TREATMENT SERVICES,35,2,
2AP,0-17,Orleans,County,29,0,
3AP,18+,Bronx,HUDSON VALLEY CARE COALITION,48,0,
3AP,18+,Rockland,County,1049,5,
2AP,18+,Schenectady,County,1633,112,
2AP,0-17,Broome,County,374,9,
2AP,0-17,Montgomery,County,137,3,
3AP,0-17,Albany,GREATER BINGHAMTON HEALTH CENTER,30,0,
3AP,18+,Albany,VALUE NETWORK IPA,24,1,
2AP,18+,Brooklyn,"OHEL CHILDREN'S HOME & FAMILY SERVICES, INC.",137,22,NO
3AP,18+,Brooklyn,DIGESTIVE DISEASES D AND T CTR,87,0,
2AP,18+,Greene,County,263,18,
2AP,18+,Queens,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, IN",158,22,
2AP,18+,Westchester,THE NEW YORK AND PRESBYTERIAN HOSPITAL,92,7,
2AP,0-17,Broome,CATHOLIC CHARITIES OF BROOME COUNTY - DIOCESE,126,1,
3AP,18+,Bronx,"GEEL COMMUNITY SERVICES, INC.",24,1,
2AP,0-17,Oswego,"OSWEGO HOSPITAL, INC.",82,2,NO
3AP,18+,Bronx,NYC-HHC JACOBI MEDICAL CENTER,326,2,
2AP,18+,Oneida,MCPIKE ADDICTION TRT CTR,25,2,NO
3AP,18+,Cortland,GUTHRIE CORTLAND MEDICAL CENTER,149,1,
2AP,18+,Saratoga,County,602,61,
3AP,18+,Albany,County,6139,46,
2AP,18+,Oneida,County,1728,153,
2AP,0-17,Washington,County,47,1,
2AP,18+,Monroe,"EASTER SEALS NEW YORK, INC.",132,26,
3AP,18+,Rockland,"POSTGRADUATE CENTER FOR MENTAL HEALTH, INC.",45,1,NO
3AP,18+,Staten Island,OMH STATE PC NETWORK,23,0,NO
3AP,0-17,Monroe,County,2081,1,
3AP,0-17,Nassau,"PENINSULA COUNSELING CENTER, INC.",36,0,NO
2AP,18+,Cayuga,County,91,16,
3AP,18+,Genesee,County,116,1,NO
3AP,18+,Brooklyn,"PESACH TIKVAH-HOPE DEVELOPMENT, INC.",81,0,
3AP,18+,Lewis,County,120,1,
3AP,18+,Seneca,County,42,0,
2AP,18+,Greene,County,270,20,
2AP,0-17,Erie,NORTHWEST BUFFALO COMM H C,30,2,
2AP,18+,Rensselaer,County,441,32,
2AP,18+,Schuyler,County,79,7,
3AP,18+,Schenectady,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,114,1,
2AP,18+,Brooklyn,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC",231,31,NO
2AP,0-17,Schenectady,County,307,14,
2AP,0-17,Chemung,ARNOT OGDEN MEDICAL CENTER,70,0,
3AP,18+,Tompkins,County,369,2,
2AP,0-17,Orleans,County,25,0,
2AP,18+,Cattaraugus,TLC HEALTH NETWORK,46,9,NO
3AP,18+,Saint Lawrence,CLAXTON-HEPBURN MEDICAL CENTER,194,0,
3AP,18+,Westchester,PLANNED PRTD HUDSON-PECONIC I,74,0,
2AP,18+,Oneida,"THE NEIGHBORHOOD CENTER, INC.",136,12,
2AP,18+,Erie,BERTRAND CHAFFEE HOSPITAL,81,11,
2AP,18+,Dutchess,County,1319,161,
2AP,18+,Suffolk,HUNTINGTON HOSP DOLAN FHC,26,4,
3AP,18+,Columbia,County,222,2,
2AP,18+,Staten Island,STATEN ISLAND UNIVERSITY HOSPITAL,507,61,NO
2AP,0-17,Westchester,"THE CHILDREN'S VILLAGE, INC.",25,0,
2AP,18+,Saint Lawrence,MASSENA MEMORIAL HOSPITAL,136,13,
2AP,18+,Suffolk,County,4379,521,
2AP,0-17,Westchester,County,1138,58,
3AP,18+,Manhattan,ODYSSEY HOUSE OF NEW YORK,27,0,NO
3AP,18+,Erie,BUFFALO GENERAL HOSP,402,3,NO
2AP,0-17,Staten Island,County,185,2,
3AP,18+,Westchester,MONTEFIORE NEW ROCHELLE HOSP,66,1,
2AP,18+,Manhattan,PREMIER HEALTHCARE D & T CTR,666,119,YES
3AP,0-17,Saint Lawrence,County,120,0,
2AP,18+,Queens,County,10564,1377,
3AP,18+,Rockland,"JAWONIO, INC.",60,1,
2AP,0-17,Queens,County,681,29,
2AP,0-17,Tompkins,County,82,3,
3AP,18+,Chemung,County,63,1,
3AP,18+,Cattaraugus,County,400,3,
3AP,0-17,Otsego,BASSETT HEALTHCARE,208,0,
2AP,18+,Chemung,HILLSIDE CATHOLIC CHARITIES BHCC,127,16,
3AP,18+,Schuyler,SCHUYLER COUNTY MENTAL HEALTH SERVICES,31,0,NO
2AP,18+,Sullivan,County,430,52,
3AP,18+,Schoharie,County,111,2,
2AP,0-17,Otsego,County,247,6,
2AP,18+,Delaware,County,32,1,
2AP,18+,Dutchess,County,1231,150,
3AP,18+,Warren,"CAPITAL BEHAVIORAL HEALTH NETWORK, LLC BHCC",64,0,
2AP,18+,Chenango,County,160,11,
3AP,18+,Dutchess,OMH STATE PC NETWORK,24,0,NO
3AP,18+,Franklin,County,145,1,
2AP,18+,Saint Lawrence,County,264,14,NO
2AP,18+,Brooklyn,A MERRYLAND OPERATING LLC,41,4,
3AP,18+,Saint Lawrence,County,576,2,
2AP,0-17,Suffolk,"BRUNSWICK HOSPITAL CENTER, INC.",57,4,
2AP,0-17,Queens,JAMAICA HOSPITAL MEDICAL CENTER,57,7,NO
3AP,18+,Staten Island,NYC-HHC AGENCY NETWORK,38,1,NO
2AP,18+,Fulton,County,293,26,
2AP,0-17,Oneida,"THE NEIGHBORHOOD CENTER, INC.",135,2,
2AP,18+,Niagara,"THE DALE ASSOCIATION, INC.",69,7,NO
3AP,0-17,Monroe,HILLSIDE CHILDREN'S CENTER,256,0,
2AP,18+,Columbia,County,220,24,
2AP,0-17,Tioga,County,13,0,
3AP,18+,Queens,"ADVANCED CENTER FOR PSYCHOTHERAPY, INC.",151,0,
2AP,0-17,Rensselaer,County,168,5,
2AP,18+,Steuben,County,377,38,
3AP,18+,Seneca,SENECA COUNTY MENTAL HEALTH SERVICES,89,2,
2AP,18+,Tioga,County,60,16,
2AP,18+,Brooklyn,County,12432,1344,
2AP,0-17,Staten Island,County,161,5,NO
3AP,0-17,Queens,County,693,0,
2AP,0-17,Chautauqua,County,208,5,
3AP,0-17,Bronx,MARTIN LUTHER KING HLTH CTR,64,0,
2AP,0-17,Seneca,County,28,0,
2AP,18+,Brooklyn,County,12432,1344,
3AP,18+,Nassau,"PENINSULA COUNSELING CENTER, INC.",83,0,NO
3AP,18+,Albany,ALBANY COUNTY DEPARTMENT OF MENTAL HEALTH,128,1,
3AP,18+,Genesee,"LIVING OPPORTUNITIES OF DEPAUL, INC.",36,0,NO
2AP,18+,Fulton,County,302,27,
3AP,0-17,Queens,NEW YORK CITY CHILDREN'S CENTER,24,0,
3AP,0-17,Oneida,"THE NEIGHBORHOOD CENTER, INC.",128,0,
2AP,18+,Herkimer,HERKIMER COUNTY COMMUNITY SERVICES BOARD,31,0,NO
3AP,18+,Brooklyn,County,4,0,
2AP,0-17,Queens,County,723,29,
2AP,0-17,Queens,County,219,15,
3AP,0-17,Putnam,County,31,0,NO
3AP,18+,Erie,CHILD AND FAMILY SERVICES OF ERIE COUNTY,50,0,NO
2AP,0-17,Broome,County,374,9,
2AP,18+,Manhattan,"AIDS CENTER OF QUEENS COUNTY, INC.",41,3,NO
2AP,0-17,Bronx,OMH STATE PC NETWORK,48,4,NO
2AP,18+,Westchester,ROCKLAND PSYCHIATRIC CENTER,58,18,
3AP,0-17,Manhattan,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,31,0,NO
2AP,18+,Sullivan,County,889,112,
2AP,0-17,Steuben,ST JAMES MERCY HOSPITAL,22,0,
2AP,18+,Cortland,County,226,11,
2AP,18+,Monroe,CENTRAL NEW YORK BHCC,229,19,
2AP,18+,Warren,WARRENSBURG HEALTH CENTER,283,18,
3AP,18+,Ulster,PROJECT SAMARITAN HLTH SVCS I,42,0,
3AP,18+,Monroe,County,4337,11,
2AP,18+,Genesee,County,241,11,NO
3AP,18+,Schenectady,County,1312,7,
2AP,18+,Westchester,MORRIS HEIGHTS HEALTH CENTER,26,3,NO
3AP,18+,Brooklyn,"ST. VINCENT'S SERVICES, INC. DBA HEARTSHARE S",24,0,
2AP,18+,Queens,MEDICAL ARTS SANITARIUM,22,0,
2AP,18+,Hamilton,County,2,0,
3AP,18+,Fulton,County,211,0,NO
2AP,18+,Erie,HEALTH HOME PARTNERS OF WNY LLC,919,78,
3AP,18+,Queens,EPISCOPAL HEALTH SERVICES INC.,346,0,
2AP,0-17,Erie,"CHILD & ADOLESCENT TREATMENT SERVICES, INC.",80,6,NO
2AP,18+,Manhattan,NEW YORK HOSP MED CTR QUEENS,122,18,NO
3AP,18+,Broome,"UNITED HEALTH SERVICES HOSPITALS, INC.",232,2,NO
2AP,18+,Schuyler,SCHUYLER HOSPITAL,59,1,
3AP,0-17,Westchester,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.",77,0,
2AP,0-17,Region,Region,3600,144,
3AP,18+,Rockland,"JAWONIO, INC.",32,1,
2AP,18+,Onondaga,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",908,113,
2AP,18+,Brooklyn,"PUERTO RICAN FAMILY INSTITUTE, INC.",26,1,
3AP,18+,Madison,County,102,1,NO
3AP,18+,Essex,County,133,1,
2AP,18+,Westchester,County,8819,1217,
3AP,18+,Wyoming,County,123,0,
2AP,18+,Bronx,"THE BRIDGE, INC.",28,8,
3AP,18+,Manhattan,"METROPOLITAN CENTER FOR MENTAL HEALTH, INC.",217,0,NO
3AP,18+,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,42,0,
2AP,0-17,Orleans,County,16,1,
2AP,18+,Niagara,HEALTH HOME PARTNERS OF WNY LLC,61,6,
2AP,18+,Manhattan,NYC-HHC METROPOLITAN HOSPITAL CENTER,1005,97,NO
3AP,18+,Suffolk,PECONIC BAY MED CTR,45,0,
3AP,0-17,Steuben,STEUBEN COUNTY COMMUNITY MENTAL HEALTH CENTER,36,0,
2AP,0-17,Madison,County,77,2,
3AP,18+,Nassau,SOUTH NASSAU COMMUNITIES HOSPITAL,202,0,NO
3AP,18+,Brooklyn,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,705,0,
2AP,0-17,Putnam,County,23,0,
3AP,0-17,Montgomery,County,102,0,NO
3AP,18+,Schenectady,County,1548,3,
3AP,18+,Orange,County,1458,2,
2AP,18+,Schenectady,County,1357,115,
2AP,18+,Cortland,County,239,17,
2AP,0-17,Orleans,County,25,0,
2AP,18+,Westchester,"MOUNT VERNON HOSPITAL, THE",120,13,NO
3AP,0-17,Albany,"CAPITAL BEHAVIORAL HEALTH NETWORK, LLC BHCC",563,0,
3AP,18+,Erie,MERCY HOSPITAL OF BUFFALO,520,2,
2AP,18+,Livingston,NICHOLAS H. NOYES MEMORIAL HOSPITAL,66,7,NO
2AP,18+,Erie,MERCY HOSPITAL OF BUFFALO,515,52,
3AP,18+,Wyoming,"ALLEGANY REHABILITATION ASSOCIATES, INC.",36,0,NO
3AP,18+,Rockland,County,1102,1,
2AP,18+,Westchester,HUDSON VALLEY HOSP CTR,28,4,
2AP,0-17,Wayne,County,112,5,
3AP,18+,Queens,County,10152,47,
2AP,18+,Jefferson,County,484,48,
2AP,18+,Saint Lawrence,County,543,41,
3AP,18+,Saratoga,THE SARATOGA HOSPITAL,83,0,
2AP,18+,Ulster,County,1095,125,
2AP,18+,Erie,BUFFALO SURGERY CENTER LLC,24,1,NO
2AP,18+,Wayne,"FINGER LAKES MIGRANT HEALTH CARE PROJECT, INC",70,2,
2AP,0-17,Bronx,BRIGHTPOINT HEALTH,29,1,
2AP,18+,Otsego,County,278,17,NO
2AP,18+,Seneca,County,101,15,
3AP,18+,Orange,MENTAL HLTH ASSOC  MH,90,1,NO
3AP,0-17,Onondaga,"ONONDAGA CASE MGMNT SERVICES, INC DBA CIRCARE",24,0,
3AP,18+,Onondaga,County,1106,3,NO
2AP,18+,Delaware,County,111,4,
3AP,18+,Ontario,County,719,4,
3AP,18+,Chemung,"FAMILY SERVICES OF CHEMUNG COUNTY, INC.",241,1,
2AP,18+,Greene,County,277,21,
3AP,0-17,Brooklyn,County,238,1,
2AP,0-17,Rensselaer,County,143,2,
2AP,18+,Albany,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,36,7,
2AP,18+,Schenectady,County,1548,96,
3AP,18+,Albany,County,6208,48,
2AP,18+,Manhattan,County,25514,2672,
2AP,18+,Rockland,County,1060,196,
2AP,18+,Onondaga,ST. JOSEPH'S HOSPITAL HEALTH CENTER,435,57,NO
3AP,0-17,Wyoming,WYOMING COUNTY COMMUNITY HOSPITAL,24,0,
2AP,18+,Tioga,County,55,14,
2AP,0-17,Broome,County,374,9,
2AP,18+,Herkimer,County,275,30,
2AP,18+,Monroe,GREATER ROCHESTER HEALTH HOME NETWORK LLC,804,69,
2AP,18+,Nassau,"EPIC LONG ISLAND, INC.",33,0,
2AP,0-17,Chenango,County,42,0,
2AP,0-17,Suffolk,OPTI-HEALTHCARE,41,1,NO
2AP,18+,Delaware,County,16,3,
3AP,18+,Dutchess,County,1319,10,
3AP,18+,Jefferson,County,468,4,
3AP,18+,Schoharie,County,116,2,
2AP,0-17,Columbia,County,51,0,
2AP,0-17,Suffolk,County,650,36,
2AP,18+,Dutchess,County,1289,156,
2AP,18+,Westchester,County,9478,1267,
2AP,18+,Westchester,"MENTAL HEALTH AMERICA OF DUTCHESS COUNTY, INC",272,31,NO
2AP,18+,Staten Island,"SILVER LAKE COUNSELING SERVICES, LLC",29,3,
2AP,18+,Columbia,County,230,27,
3AP,18+,Westchester,WHITE PLAINS HOSPITAL MEDICAL CENTER,444,6,
2AP,18+,Bronx,County,15232,1555,
3AP,18+,Jefferson,THE CHILDREN'S HOME OF JEFFERSON COUNTY,151,0,NO
3AP,18+,Saratoga,County,327,2,
3AP,18+,Bronx,"PROMESA, INC.",635,0,NO
3AP,18+,Oneida,County,222,2,
