Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2005,1,Tennessee,Physical Activity,Public Safety,School/After School,Pedestrian Children Motor Vehicle Accidents,LEG,039SAF
2009,1,Colorado,Nutrition,Appropriations,Early Care and Education,Family Child Care Homes,REG,002APP
2011,1,Nevada,Nutrition,Media Campaigns,School/After School,Use of Athletic Fields for Youth Sports,LEG,031MDC
2010,1,Massachusetts,Nutrition,Appropriations,School/After School,School Nutrition,LEG,002APP
2012,1,Illinois,Nutrition,Access to Healthy Foods,Early Care and Education,Resolution,LEG,001AHF
2012,1,New Jersey,Physical Activity,Incentives,Community,An Act Eliminating the Sales and Use Tax<br>,LEG,029INC
2009,1,Massachusetts,Obesity,Task Forces/Councils,School/After School,Student Nutrition and Wellness,LEG,047TFC
2009,1,Washington,Obesity,Body Mass Index (BMI),Community,Economic Stimulus,LEG,006BMI
2010,1,Wisconsin,Nutrition,Agriculture and Farming,School/After School,Locally Grown Food in School Meals,LEG,017AGF
2009,1,Colorado,Nutrition,School Nutrition,Community,Reauthorize Child Nutrition Act,LEG,043SNU
2011,1,Washington,Obesity,Incentives,Work Place,Insurance Benefits with Wellness Incentives,LEG,029INC
2011,1,Maryland,Physical Activity,Built Environment and Street-Scale Design,Community,Transit Thresholds and Treatment Corridors,LEG,049BED
2010,1,Oklahoma,Nutrition,Incentives,Community,Healthy Foods,LEG,029INC
2010,1,District of Columbia,Physical Activity,Built Environment and Street-Scale Design,Community,Bellevue Small Area Action Plan,LEG,049BED
2011,1,Nevada,Nutrition,Nutrition Standards,School/After School,School Wellness Policies,LEG,010NUS
2009,1,Colorado,Nutrition,Medical Care,Community,Facility Guidelines,REG,026MEC
2010,1,Virginia,Obesity,Appropriations,School/After School,Public School Physical Fitness Requirements,LEG,002APP
2007,1,Illinois,Nutrition,Point of Purchase Promotion,Community,Human Rights Act,LEG,037POP
2011,1,Massachusetts,Obesity,Appropriations,Community,Safety of Road Users,LEG,002APP
2011,1,Arkansas,Nutrition,School Nutrition,School/After School,Appropriation to the Department of Human Services,LEG,043SNU
2011,1,Kentucky,Nutrition,Nutrition Standards,Early Care and Education,Legislative Task Force on Childhood Obesity,LEG,010NUS
2010,1,Maryland,Obesity,Appropriations,Community,Special Taxing Districts,LEG,002APP
2012,1,District of Columbia,Nutrition,Fruits and Vegetables,Community,Resolution,LEG,025FAV
2005,1,Washington,Nutrition,Disparities/Equity,Community,Interagency Council on Health Disparities,LEG,013DEQ
2010,1,District of Columbia,Obesity,Health Insurance Coverage,Medical and/or Hospital,Hospital and Medical Services Corporation,LEG,028HIC
2010,1,West Virginia,Nutrition,Food Security,Restaurant/Retail,Healthy Lifestyles Restaurant Calorie Posting Program,LEG,023FOS
2011,1,Texas,Nutrition,Fruits and Vegetables,School/After School,Interagency Obesity Council,LEG,025FAV
2012,3,North Carolina,Physical Activity,Appropriations,Community,The Current Operations and Capital Improvements Appropriations Act of 2012,LEG,002APP
2009,1,New York,Nutrition,Food Security,Restaurant/Retail,Posting of Caloric Value of Restaurants Food Items,LEG,023FOS
2011,1,Tennessee,Nutrition,Food Security,Restaurant/Retail,Public Funds and Financing,LEG,023FOS
2011,1,California,Obesity,Appropriations,School/After School,Public Contracts: Healthy and Sustainable Food,LEG,002APP
2009,1,Florida,Obesity,Menu Labeling,Community,Growth Management,LEG,032MNL
2011,1,Kentucky,Nutrition,Liability and Indemnity,School/After School,Executive Branch Budget Bill Amendment,LEG,030LAI
2010,1,Maine,Nutrition,Farmers Markets,Community,Farmers Market,LEG,016FAM
2010,1,New York,Nutrition,Vending,School/After School,Statewide School Nutrition Standards,LEG,051VEN
2009,1,Washington,Physical Activity,Bicycling,Community,Annual School Reporting,LEG,005BIK
2002,1,Colorado,Nutrition,Farmers Markets,Community,Distribution of Food Coupons to Women,LEG,016FAM
2009,1,Kentucky,Obesity,Appropriations,School/After School,Students Physical Activity,LEG,002APP
2009,1,New York,Nutrition,School Nutrition,School/After School,School Breakfast Incentive Program,LEG,043SNU
2011,1,Mississippi,Obesity,Disparities/Equity,Community,Sweetened Beverages and Syrups Tax,LEG,013DEQ
2011,1,New York,Nutrition,Appropriations,Restaurant/Retail,Trans Fat Warnings Posts in Food Service Establishments,LEG,002APP
2009,1,Oklahoma,Physical Activity,Safe Routes to Schools,Community,Safe Routes to School,LEG,041SRS
2011,1,New Mexico,Nutrition,Task Forces/Councils,Community,Public Health and Impact Reports,LEG,047TFC
2009,1,New York,Nutrition,Access to Healthy Foods,Community,Farmers Toll Exemption,LEG,001AHF
2010,1,California,Nutrition,Farm Direct Foods,Community,Public Health: Food Access,LEG,015FDF
2011,1,Mississippi,Nutrition,Appropriations,School/After School,Sweetened Beverages and Syrups Tax,LEG,002APP
2012,1,Illinois,Nutrition,Access to Healthy Foods,School/After School,Resolution,LEG,001AHF
2013,1,Hawaii,Nutrition,Farm Direct Foods,Community,Relating to Food Sustainability,LEG,015FDF
2005,1,Illinois,Obesity,Food Restrictions,Community,Food Systems Policy Council,LEG,020FOR
2009,1,Missouri,Obesity,Sugar Sweetened Beverages,School/After School,School Nutritional Standards,LEG,046SSB
2010,1,Oklahoma,Nutrition,Nutrition Standards,Community,Sooner Seniors,REG,010NUS
2011,1,Massachusetts,Physical Activity,"Parks, Recreation and Trails",Community,Amusement Devices,REG,034PRT
2011,1,Florida,Physical Activity,Bicycling,Community,Statewide Passenger Rail Commission,LEG,005BIK
2003,1,Montana,Physical Activity,Physical Activity Requirements,School/After School,School Nutrition,LEG,035PAR
2017,1,Arkansas,Nutrition,Farm Direct Foods,Medical and/or Hospital,"LOCAL FOOD, FARMS, AND JOBS ACT <br>",LEG,015FDF
2009,1,Oregon,Obesity,Appropriations,Community,WIC Vendor and Farmer Administration,REG,002APP
2009,1,Missouri,Physical Activity,Physical Education Requirements,School/After School,Physical Education Requirements,LEG,036PER
2011,1,Texas,Nutrition,School Nutrition,Restaurant/Retail,Programs to Improve Health of Public School Students,LEG,043SNU
2009,1,New York,Physical Activity,Public Transportation,Community,Bus Rapid Transit Program,LEG,040TRS
2010,1,Maryland,Nutrition,Agriculture and Farming,Restaurant/Retail,Poultry and Rabbits,LEG,017AGF
2011,1,Massachusetts,Nutrition,Farm Direct Foods,School/After School,An Act Making Appropriations<br>,LEG,015FDF
2013,1,District of Columbia,Nutrition,Access to Healthy Foods,Community,Department of Parks and Recreation Fee-based Use Permit Authority Amendment Act of 2012,LEG,001AHF
2009,1,Illinois,Physical Activity,"Parks, Recreation and Trails",Community,Swimming Pool and Bathing Beach Code,REG,034PRT
2011,1,Mississippi,Nutrition,Food Assistance Programs,Community,Healthy Food Retail,LEG,003FAP
2011,1,Mississippi,Nutrition,Task Forces/Councils,Community,Sweetened Beverages and Syrups Tax,LEG,047TFC
2009,1,Iowa,Nutrition,Medical Care,Community,Iowa Jobs Program,REG,026MEC
2003,1,California,Nutrition,Initiatives and Programs,Community,Assembly Concurrent Resolution     <br>,LEG,053INP
2011,1,Vermont,Obesity,Liability and Indemnity,Community,Green Mountain Care,LEG,030LAI
2011,1,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Pedestrian Safety,LEG,049BED
2011,1,Mississippi,Nutrition,Access to Healthy Foods,Community,Farmers Markets,LEG,001AHF
2011,1,Virginia,Nutrition,Farm Direct Foods,Restaurant/Retail,Home Food Inspections,LEG,015FDF
2011,1,Hawaii,Nutrition,Appropriations,School/After School,"Kalo, Taro Farms, School Meals",LEG,002APP
2011,1,Kentucky,Nutrition,Food Security,School/After School,Executive Branch Budget Bill Amendment,LEG,023FOS
2003,1,North Dakota,Nutrition,School Nutrition,School/After School,Provision of School District Meals,LEG,043SNU
2008,1,New York,Nutrition,Initiatives and Programs,Community,An Act to Amend the Insurance Law<br>,LEG,053INP
2001,1,District of Columbia,Physical Activity,Appropriations,Community,An Act Making Appropriations<br>,LEG,002APP
2011,1,California,Obesity,Marketing Restrictions,Community,State Planning,LEG,019MAR
2013,1,Wyoming,Nutrition,Agriculture and Farming,Community,Potential to Create More Jobs through Agribusiness,LEG,017AGF
2011,1,Illinois,Obesity,Appropriations,Community,Department of Human Services,LEG,002APP
2005,1,New York,Nutrition,Agriculture and Farming,Community,An Act  Making Appropriations,LEG,017AGF
2011,1,Missouri,Nutrition,Access to Healthy Foods,Restaurant/Retail,Streamlined Sales and Use Tax Agreement,LEG,001AHF
2009,1,North Carolina,Nutrition,Appropriations,School/After School,School Nutrition Program Funds,LEG,002APP
2012,1,California,Nutrition,Appropriations,School/After School,An Act Making Appropriations <br>,LEG,002APP
2016,2,Maryland,Nutrition,Access to Healthy Foods,Community,Supplemental Nutrition Assistance Program Benefits - Grant Application,LEG,001AHF
2011,1,Vermont,Physical Activity,School Siting,Community,Capital Construction Appropriations,LEG,042SIT
2009,1,Missouri,Nutrition,Farm Direct Foods,Community,Agriculture and Local Foods,LEG,015FDF
2007,1,Maine,Physical Activity,Bicycling,Community,Bond Issues,LEG,005BIK
2012,1,Iowa,Physical Activity,Appropriations,Community,An Act Making  Appropriations,LEG,002APP
2010,1,Michigan,Obesity,Food Restrictions,Community,School Grant Program,LEG,020FOR
2009,1,Ohio,Obesity,Health Insurance Coverage,Work Place,Small Business Health Care Affordability Task Force,LEG,028HIC
2005,1,Illinois,Physical Activity,Access to Recreational Opportunities,Community,Physical Fitness Services Act Technical Change,LEG,004ARO
2010,1,Illinois,Obesity,Body Mass Index (BMI),Community,Housing and Transportation Affordability,LEG,006BMI
2011,1,Rhode Island,Nutrition,Agriculture and Farming,Community,Seafood Marketing,LEG,017AGF
2005,1,Washington,Physical Activity,Public Transportation,Work Place,Commute Trip Reduction Tax Credit,LEG,040TRS
2011,1,Illinois,Obesity,Disparities/Equity,Work Place,Amends the Personnel Code,LEG,013DEQ
2009,1,Missouri,Nutrition,Medical Care,Community,State Highway System Incident Management,LEG,026MEC
2013,1,Wisconsin,Nutrition,Incentives,Work Place,An Act Relating to an Income and Franchise Tax Credit for Workplace Wellness Programs,LEG,029INC
2007,1,Texas,Obesity,Disparities/Equity,School/After School,Student Physical Activity Requirements,LEG,013DEQ
2010,1,Oklahoma,Obesity,Health Insurance Coverage,Medical and/or Hospital,Insurance,LEG,028HIC
2004,1,Virginia,Physical Activity,Physical Education Requirements,School/After School,Dillard,LEG,036PER
2010,1,New Mexico,Physical Activity,School Siting,Community,Application/Grant Assistance Procedures,REG,042SIT
2003,1,Louisiana,Nutrition,Disparities/Equity,Community,An Act Making Appropriations,LEG,013DEQ
2009,1,Illinois,Nutrition,Medical Care,Medical and/or Hospital,"Illinois Food, Farms, and Jobs Act",LEG,026MEC
2009,1,Michigan,Obesity,Appropriations,School/After School,Neighborhood School Funding,LEG,002APP
2011,1,Arkansas,Nutrition,Fruits and Vegetables,Community,Municipal Regulation of Farmers Markets,LEG,025FAV
2013,2,Nevada,Obesity,Initiatives and Programs,Community,An Act Relating to Public Health,LEG,053INP
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Work Place,Tax Credits,LEG,001AHF
2009,1,California,Physical Activity,Appropriations,Community,Budget Act of 2009,LEG,002APP
2009,1,New York,Physical Activity,Bicycling,Community,Bicycle Tourism Kiosks,LEG,005BIK
2012,1,Illinois,Physical Activity,Physical Education Requirements,Early Care and Education,Resolution to designate Septembr 2012 as Childhood Obesity Awareness Month,LEG,036PER
2011,1,Minnesota,Obesity,Body Mass Index (BMI),Community,Trunk Highway Fund Expenditures Report,LEG,006BMI
2010,1,Missouri,Nutrition,Farm Direct Foods,School/After School,Farm to Institution Initiative,LEG,015FDF
2009,1,North Carolina,Physical Activity,Bicycling,Community,Bicycle Protection Act,LEG,005BIK
2011,1,Texas,Nutrition,School Nutrition,Community,Programs to Improve Health of Public School Students,LEG,043SNU
2005,1,California,Nutrition,Medical Care,Community,Parks: The Great California Delta Trail System,LEG,026MEC
2010,1,Texas,Physical Activity,Pedestrians/Walking,Community,Transportation Planning,REG,052PED
2009,1,New York,Physical Activity,Physical Activity Requirements,Work Place,Governor's Council on Physical Fitness,LEG,035PAR
2013,1,Idaho,Nutrition,Point of Purchase Promotion,Medical and/or Hospital,Alcohol and Substance Use Disorders Treatment and Recovery Support Services Facilities and Programs<br>,REG,037POP
2009,1,New York,Physical Activity,Public Safety,Community,Economic Development and Self Sufficiency Program,LEG,039SAF
2009,1,Illinois,Nutrition,Appropriations,Community,Community Care Program,REG,002APP
2012,1,Michigan,Nutrition,Agriculture and Farming,Community,An Act to Establish an Agricultural Loan Origination Program<br>,LEG,017AGF
2011,1,Massachusetts,Nutrition,Farmers Markets,Community,An Act Making Appropriations<br>,LEG,016FAM
2010,1,Minnesota,Obesity,Appropriations,Community,Capital Investment,LEG,002APP
2011,1,Massachusetts,Nutrition,Agriculture and Farming,Community,Distribution of Raw Milk,LEG,017AGF
2012,1,Arizona,Obesity,Menu Labeling,Restaurant/Retail,Chain Restaurant Nutritional Information<br>,LEG,032MNL
2009,1,Maryland,Obesity,Menu Labeling,Restaurant/Retail,Public Health,LEG,032MNL
2010,1,Minnesota,Obesity,Body Mass Index (BMI),Community,Capital Improvements,LEG,006BMI
2005,1,New Mexico,Obesity,Food Restrictions,School/After School,School Meal Nutrition Rules,LEG,020FOR
2011,1,North Carolina,Nutrition,Incentives,School/After School,Local Schools and Fitness Testing,LEG,029INC
2009,1,Minnesota,Nutrition,Farm Direct Foods,School/After School,Employment,LEG,015FDF
2011,1,Pennsylvania,Obesity,Appropriations,School/After School,Charter Schools,LEG,002APP
2011,1,Maine,Obesity,Appropriations,Community,Nutritional Wellness and Health Insurers,LEG,002APP
2011,1,New York,Nutrition,Appropriations,Community,Community Food Security Program,LEG,002APP
2011,1,Iowa,Nutrition,Food Policy Councils,Restaurant/Retail,Production Processing,LEG,022FPC
2013,1,Wyoming,Nutrition,Fruits and Vegetables,Community,Potential to Create More Jobs through Agribusiness,LEG,025FAV
2007,1,Colorado,Physical Activity,Pedestrians/Walking,Community,An Act Concerning length of service Awards <br>,LEG,052PED
2010,1,California,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Taxation: Sweetened Beverages: Pediatric Obesity Fund,LEG,021HFR
2011,1,New York,Nutrition,Appropriations,Community,Adult Day Services Demonstration Programs,LEG,002APP
2009,1,Tennessee,Obesity,Appropriations,School/After School,Education,LEG,002APP
2007,1,Rhode Island,Obesity,Access to Drinking Water,Work Place,Public Officers and Employees,LEG,014ADW
2009,1,Pennsylvania,Physical Activity,Public Safety,Community,Renaissance City Initiative,LEG,039SAF
2011,1,Minnesota,Physical Activity,Pedestrians/Walking,Community,Corporate Franchise and Individual Income Tax,LEG,052PED
2011,1,North Carolina,Physical Activity,Physical Activity Requirements,School/After School,Local Schools and Fitness Testing,LEG,035PAR
2009,1,Minnesota,Physical Activity,Public Transportation,Community,Transportation Appropriations,LEG,040TRS
2011,1,Minnesota,Nutrition,Medical Care,Community,City of Clearwater Sales Tax Provisions,LEG,026MEC
2011,1,Tennessee,Nutrition,Appropriations,Restaurant/Retail,Taxes,LEG,002APP
2009,1,West Virginia,Obesity,Appropriations,Community,Farmers Markets,LEG,002APP
2009,1,Connecticut,Obesity,Appropriations,Community,Municipal Revenue Diversification,LEG,002APP
2010,1,Florida,Physical Activity,Public Safety,Community,Spring Lake Improvement District Highlands County,LEG,039SAF
2009,1,Illinois,Nutrition,Food Assistance Programs,Community,Fiscal Year 2010 Appropriations,LEG,003FAP
2008,1,New Jersey,Obesity,Appropriations,School/After School,Budget Bill Fiscal Year 2009-2010,LEG,002APP
2012,1,New Jersey,Nutrition,Access to Healthy Foods,Community,An Act Concerning Funding of the New Jersey Food Access Initiative<br>,LEG,001AHF
2013,2,Florida,Physical Activity,Access to Recreational Opportunities,Community,"""Project Criteria, Management Plan, Land Exchanges""",REG,004ARO
2014,3,District of Columbia,Nutrition,Appropriations,Early Care and Education,Workplace Wellness Act and Healthy Tots Act of 2014,LEG,002APP
2010,1,Florida,Physical Activity,Built Environment and Street-Scale Design,Community,Growth Management,LEG,049BED
2011,1,Minnesota,Physical Activity,Pedestrians/Walking,Community,Capital Improvements,LEG,052PED
2013,4,California,Physical Activity,Initiatives and Programs,Community,Parks Make Life Better! Month,LEG,053INP
2011,1,Colorado,Nutrition,Appropriations,Restaurant/Retail,Increased Payments to The State,LEG,002APP
2009,1,Louisiana,Physical Activity,Built Environment and Street-Scale Design,Community,Motor Vehicle Operators,LEG,049BED
2011,1,North Carolina,Obesity,Food Restrictions,Community,Rowan County Farmers Markets,LEG,020FOR
2011,1,New York,Obesity,Health Insurance Coverage,Work Place,Advisory Committee on Public Wellness,LEG,028HIC
2010,1,Washington,Nutrition,School Nutrition,School/After School,Coordinated School Health Public Private Partnership,LEG,043SNU
2009,1,Florida,Physical Activity,Media Campaigns,Restaurant/Retail,Prevention of Obesity,LEG,031MDC
2010,1,Idaho,Obesity,Food Restrictions,Restaurant/Retail,Locally Grown Food Productions,LEG,020FOR
2009,1,Florida,Nutrition,Fruits and Vegetables,School/After School,Healthy and Fit Florida Act,LEG,025FAV
2011,1,Minnesota,Physical Activity,Appropriations,Community,Capital Investment,LEG,002APP
2009,1,Massachusetts,Nutrition,Agriculture and Farming,School/After School,Promoting Better Health in Public Schools,LEG,017AGF
2010,1,Colorado,Obesity,Food Restrictions,School/After School,Boces School Food Program,LEG,020FOR
2011,1,New Mexico,Obesity,Appropriations,Community,Sweetened Beverage Excise Tax Act,LEG,002APP
2009,1,Washington,Physical Activity,Bicycling,Community,Speed Violations,LEG,005BIK
2009,1,Washington,Physical Activity,Public Safety,School/After School,Capital Budget,LEG,039SAF
2010,1,New York,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Healthy Kids Act Pilot Program,LEG,021HFR
2009,1,North Carolina,Obesity,Task Forces/Councils,Community,Obesity Prevention,LEG,047TFC
2010,1,New York,Nutrition,Appropriations,Restaurant/Retail,Greenmarket Definition,LEG,002APP
2010,1,California,Obesity,Menu Labeling,Community,Housing and Emergency Shelter Trust Fund Act,LEG,032MNL
2009,1,Massachusetts,Obesity,Menu Labeling,Restaurant/Retail,Menu Labeling in Restaurants,LEG,032MNL
2011,1,Texas,Obesity,Initiatives and Programs,Community,Controllers Website and Obesity Portal,LEG,053INP
2011,1,Hawaii,Nutrition,Farmers Markets,School/After School,Hawaii Grown Produce,LEG,016FAM
2009,1,New York,Nutrition,Appropriations,Community,Commissioner of Education,LEG,002APP
2015,2,New Jersey,Nutrition,Food Security,Community,"""An act making appropriations for the support of the State Government and the several public purposes for the fiscal year ending June 30, 2016 and regulating the disbursement thereof.""",LEG,023FOS
2001,1,New Hampshire,Physical Activity,Task Forces/Councils,Community,Electric Personal Assistive Mobility Devices,LEG,047TFC
2009,1,Texas,Nutrition,Appropriations,Community,Child Nutritious Food Access,LEG,002APP
2010,1,Alaska,Nutrition,Appropriations,Medical and/or Hospital,Insurance,LEG,002APP
2010,1,Oklahoma,Nutrition,Agriculture and Farming,School/After School,Public Health And Safety,LEG,017AGF
2009,1,Oregon,Nutrition,Appropriations,Community,Nutrition,LEG,002APP
2009,1,Ohio,Nutrition,Healthier Food Retail and Food Deserts,Community,Chapter 166 Loans and Loan Guarantees,LEG,021HFR
2011,1,Massachusetts,Obesity,Initiatives and Programs,School/After School,An Act Making Appropriations<br>,LEG,053INP
2001,1,Washington,Physical Activity,Public Transportation,Community,Commute Trip Reduction Program Funding,LEG,040TRS
2009,1,Alabama,Nutrition,Appropriations,Community,Government Appropriations,LEG,002APP
2009,1,New Jersey,Physical Activity,Built Environment and Street-Scale Design,Community,Motorists Overtaking Bicycles,LEG,049BED
2011,1,Maryland,Obesity,Menu Labeling,Community,Baltimore City,LEG,032MNL
2003,1,New Mexico,Physical Activity,Appropriations,Community,An Act Making Appropriations<br>,LEG,002APP
2011,1,New York,Nutrition,Appropriations,Community,Local Produce Tax Credit,LEG,002APP
2009,1,Massachusetts,Physical Activity,Bicycling,Community,Transportation System Modernization,LEG,005BIK
2010,1,Hawaii,Obesity,Appropriations,Community,Bicycle Operation,LEG,002APP
2008,1,Texas,Nutrition,Liability and Indemnity,Community,Community Development,REG,030LAI
2009,1,Hawaii,Nutrition,Food Security,Restaurant/Retail,Obesity and Menu Education and Labeling Act,LEG,023FOS
2009,1,New York,Obesity,Appropriations,Community,Pedestrian Safety Enhancement Act,LEG,002APP
2009,1,Michigan,Nutrition,Farm Direct Foods,Community,Recreational Authorities Act,LEG,015FDF
2011,1,Massachusetts,Nutrition,Appropriations,School/After School,Public School Commercialism Commission,LEG,002APP
2011,1,Minnesota,Obesity,Appropriations,School/After School,Capital Improvements,LEG,002APP
2010,1,Arizona,Obesity,Incentives,Restaurant/Retail,Transaction Privilege Tax and Soft Drinks,LEG,029INC
2011,1,Vermont,Physical Activity,School Siting,School/After School,Capital Construction Appropriations,LEG,042SIT
2015,3,New Jersey,Nutrition,Food Security,Community,Designates September of each year as Hunger Action Monthâ in New Jersey,LEG,023FOS
2011,1,New Hampshire,Physical Activity,Physical Activity Requirements,School/After School,Daily Physical Education for Public School Pupils,LEG,035PAR
2009,1,Louisiana,Obesity,Appropriations,Community,Supplemental Appropriations,LEG,002APP
2011,1,Minnesota,Physical Activity,Appropriations,Community,Capital Improvements,LEG,002APP
2011,1,New Jersey,Obesity,Appropriations,School/After School,Playground Safety Subcode,REG,002APP
2012,1,Kentucky,Physical Activity,Physical Activity Requirements,School/After School,An Act Relating to Obesity in School Children<br>,LEG,035PAR
2009,1,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Arlington Pedestrian Safety,LEG,049BED
2011,1,Mississippi,Nutrition,Incentives,Work Place,Wellness Council Activities,LEG,029INC
2003,1,New York,Nutrition,Food Assistance Programs,Community,An Act Making Appropriations,LEG,003FAP
2009,1,New York,Nutrition,Farm Direct Foods,School/After School,School Lunch Program,LEG,015FDF
2009,1,Connecticut,Obesity,Appropriations,Community,Preservation and Development,LEG,002APP
2013,1,Texas,Nutrition,Food Assistance Programs,Restaurant/Retail,Prohibiting the Purchase of Certain Food Items,LEG,003FAP
2011,1,Washington,Physical Activity,Pedestrians/Walking,Community,Traffic Safety,LEG,052PED
2011,1,Washington,Obesity,Body Mass Index (BMI),Community,Impact Fees,LEG,006BMI
2010,1,Washington,Physical Activity,Incentives,Work Place,Insurance Benefits,LEG,029INC
2016,2,Florida,Nutrition,Agriculture and Farming,School/After School,Healthy Food Financing Initiative,LEG,017AGF
2011,1,Maryland,Obesity,Menu Labeling,Community,Transit Development Fund,LEG,032MNL
2012,3,California,Physical Activity,Zoning/Land Use,Community,Business Regulations,REG,033ZON
2009,1,Texas,Obesity,Appropriations,Early Care and Education,Early Childhood Health and Nutrition Council,LEG,002APP
2009,1,Minnesota,Physical Activity,Public Transportation,Community,Transportation,LEG,040TRS
2010,1,Missouri,Obesity,Health Insurance Coverage,Community,City of Arnold,LEG,028HIC
2009,1,Massachusetts,Physical Activity,Bicycling,School/After School,Transportation System Modernization,LEG,005BIK
2009,1,Washington,Physical Activity,Public Transportation,School/After School,Economic Stimulus,LEG,040TRS
2010,1,Ohio,Obesity,Menu Labeling,Community,Capitol Gains Tax and Real Estate,LEG,032MNL
2011,1,Delaware,Nutrition,Food Security,Community,Grants In Aid,LEG,023FOS
2011,1,Texas,Nutrition,Farm Direct Foods,Work Place,Interagency Obesity Council,LEG,015FDF
2009,1,California,Physical Activity,Bicycling,School/After School,Budget Act of 2009,LEG,005BIK
2009,1,New York,Nutrition,Farm Direct Foods,School/After School,Appropriations for Support of Government,LEG,015FDF
2010,1,District of Columbia,Nutrition,Agriculture and Farming,School/After School,Healthy Schools,LEG,017AGF
2010,1,California,Nutrition,Fruits and Vegetables,Community,"Agriculture: Fruits, Nuts, Vegetables: State Grown Act",LEG,025FAV
2011,1,Mississippi,Obesity,Appropriations,Medical and/or Hospital,Wellness Council Activities,LEG,002APP
2011,1,Texas,Nutrition,Incentives,Community,Sweetened Beverages Tax,LEG,029INC
2009,1,California,Physical Activity,Physical Activity Requirements,Early Care and Education,Child Care: Nutritional Requirements,LEG,035PAR
2011,1,Texas,Nutrition,Nutrition Standards,Restaurant/Retail,Sweetened Beverages Tax,LEG,010NUS
2010,1,Maryland,Obesity,Appropriations,Community,Sustainable Communities Tax Credit Certifications,REG,002APP
2009,1,New York,Nutrition,Agriculture and Farming,Community,Farmers Exemption From Tolls,LEG,017AGF
2004,1,Pennsylvania,Nutrition,Farm Direct Foods,School/After School,House Resolution,LEG,015FDF
2010,1,Connecticut,Nutrition,Medical Care,Community,Safety of Pedestrians and Cyclists,LEG,026MEC
2011,1,Nebraska,Nutrition,Appropriations,Community,Supplemental Nutrition Assistance Program,LEG,002APP
2010,1,Iowa,Obesity,Appropriations,Community,Smart Planning Task Force,LEG,002APP
2011,1,Washington,Physical Activity,Physical Activity Requirements,School/After School,Student Focused State Level Education Governance System,LEG,035PAR
