Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2009,1,Massachusetts,Obesity,Menu Labeling,Community,Surplus State Real Property,LEG,032MNL
2012,1,Iowa,Physical Activity,Physical Education Requirements,School/After School,An Act Relating to Programs and Activities under the Purview of the State Department of Education<br>,LEG,036PER
2009,1,Pennsylvania,Nutrition,Liability and Indemnity,Community,Transportation Code,LEG,030LAI
2003,1,California,Nutrition,Food Assistance Programs,School/After School,Health Education,LEG,003FAP
2011,1,Hawaii,Obesity,Food Restrictions,School/After School,Department of Education,LEG,020FOR
2011,1,Texas,Nutrition,Farm Direct Foods,Restaurant/Retail,Interagency Obesity Council,LEG,015FDF
2011,1,Illinois,Nutrition,Agriculture and Farming,Community,Capital Projects Implementation Act,LEG,017AGF
2011,1,Nevada,Nutrition,Appropriations,Early Care and Education,Foster Children Rights,LEG,002APP
2011,1,California,Nutrition,Farm Direct Foods,Community,Low-Income Housing Tax Credit Programs,REG,015FDF
2005,1,Hawaii,Obesity,Appropriations,Community,Pearl Harbor Historic Trail,LEG,002APP
2009,1,Pennsylvania,Nutrition,Food Assistance Programs,School/After School,Supplemental Appropriation,LEG,003FAP
2011,1,Maryland,Obesity,Food Restrictions,Restaurant/Retail,Food Service Facility,LEG,020FOR
2009,1,New York,Nutrition,Healthier Food Retail and Food Deserts,Community,Food Retail Establishment,LEG,021HFR
2010,1,Mississippi,Nutrition,Appropriations,Restaurant/Retail,Sales Tax on Food,LEG,002APP
2009,1,Rhode Island,Nutrition,Incentives,Community,Taxation,LEG,029INC
2011,1,Montana,Nutrition,Agriculture and Farming,Medical and/or Hospital,Healthy Choices by Medicaid Recipients,LEG,017AGF
2010,1,Texas,Obesity,Sugar Sweetened Beverages,Early Care and Education,Nutrition and Food,REG,046SSB
2011,1,Minnesota,Physical Activity,Bicycling,Community,Natural Resources and State Trails,LEG,005BIK
2005,1,Wyoming,Obesity,Liability and Indemnity,Community,An Act Prohibiting Civil Liability Based on Long Term Consumption of Qualified Products<br>,LEG,030LAI
2014,2,Hawaii,Nutrition,Farm Direct Foods,Restaurant/Retail,Localicious Hawaii Month,LEG,015FDF
2011,1,Iowa,Physical Activity,Bicycling,Community,Adjacent Travel Lane,LEG,005BIK
2009,1,Texas,Obesity,Food Restrictions,School/After School,Farm to School Coordination Task Force,LEG,020FOR
2009,1,New York,Obesity,Appropriations,Community,Downstate Revitalization Fund Program,REG,002APP
2009,1,Massachusetts,Obesity,Appropriations,Community,Special Commission on Community Farming,LEG,002APP
2004,1,New Jersey,Nutrition,Liability and Indemnity,Community,Garden Stare Preservation Trust Act,LEG,030LAI
2013,1,Alabama,Nutrition,Farmers Markets,Community,An Act Relating to the Farmersâ Market Authority,LEG,016FAM
2010,1,Virginia,Nutrition,Correctional Facilities Farms Programs,Community,Budget Bill,LEG,018CFP
2010,1,California,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Schools: Nutrition: Beverages,LEG,021HFR
2011,1,Virginia,Obesity,Appropriations,Community,Richmond Enhanced Building Rehabilitation Process,LEG,002APP
2011,1,Oklahoma,Nutrition,Healthier Food Retail and Food Deserts,Community,Healthy Corner Store,REG,021HFR
2011,1,Oregon,Nutrition,Fruits and Vegetables,Community,Warning Label Requirement on High Calorie Beverages,LEG,025FAV
2010,1,New York,Physical Activity,Public Safety,Community,Downstate Revitalization Fund Program,REG,039SAF
2007,1,Utah,Nutrition,Vending,School/After School,Sales and Use Tax Exemptions for Governmental Entities,LEG,051VEN
2011,1,Michigan,Physical Activity,Bicycling,Community,Recreational Authorities,LEG,005BIK
2011,1,South Dakota,Nutrition,Food Assistance Programs,Community,Food Sales Tax Refund Program,LEG,003FAP
2004,1,Connecticut,Nutrition,Access to Healthy Foods,School/After School,Nutrition In Schools,LEG,001AHF
2009,1,Massachusetts,Nutrition,Nutrition Standards,Community,Student Nutrition and Wellness,LEG,010NUS
2011,1,Virginia,Obesity,Body Mass Index (BMI),Community,Metropolitan Planning Organizations,LEG,006BMI
2010,1,Oklahoma,Nutrition,School Nutrition,School/After School,Public Health And Safety,LEG,043SNU
2011,1,Hawaii,Nutrition,Incentives,Restaurant/Retail,Senior Citizens,LEG,029INC
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Community,Wellness,LEG,001AHF
2009,1,Massachusetts,Nutrition,Nutrition Standards,School/After School,Healthy School Meals,LEG,010NUS
2008,1,Washington,Nutrition,Access to Healthy Foods,Community,Farmers Market Nutrition Program (FMNP)),REG,001AHF
2011,1,California,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,CalFresh,LEG,021HFR
2009,1,North Carolina,Physical Activity,Built Environment and Street-Scale Design,School/After School,Active Living Communities Commission,LEG,049BED
2011,1,Oregon,Nutrition,Food Security,Restaurant/Retail,The Oregon Food Policy Council,LEG,023FOS
2009,1,New York,Nutrition,Agriculture and Farming,Restaurant/Retail,Tax Exemption for Buildings on Agricultural Land,LEG,017AGF
2009,1,California,Obesity,Appropriations,School/After School,Child Care: Nutritional Requirements,LEG,002APP
2010,1,Hawaii,Nutrition,Agriculture and Farming,Restaurant/Retail,Schools,LEG,017AGF
2011,1,New Mexico,Obesity,Appropriations,School/After School,Public Schools and Reserve Officer Training,LEG,002APP
2010,1,District of Columbia,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Healthy Schools,LEG,021HFR
2012,1,New Jersey,Nutrition,Farmers Markets,Community,New Jersey fresh mobiles pilot program act<br>,LEG,016FAM
2010,1,Alabama,Nutrition,Appropriations,Community,Constitutional Amendments,LEG,002APP
2007,1,Texas,Nutrition,Task Forces/Councils,Work Place,State Employee Wellness Program,LEG,047TFC
2011,1,Tennessee,Nutrition,Appropriations,Community,Fiscal Year Appropriations,LEG,002APP
2009,1,Tennessee,Nutrition,Nutrition Standards,School/After School,Education,LEG,010NUS
2009,1,Maryland,Obesity,Appropriations,Community,Budget Bill,LEG,002APP
2009,1,Georgia,Physical Activity,Public Transportation,Community,Regional Planning,REG,040TRS
2010,1,North Carolina,Physical Activity,Public Transportation,Community,Sustainable Communities Task Force,LEG,040TRS
2005,1,Oklahoma,Physical Activity,Physical Education Requirements,School/After School,Schools,LEG,036PER
2003,1,Massachusetts,Obesity,Appropriations,Community,Transportation Modernization,LEG,002APP
2011,1,Massachusetts,Nutrition,Medical Care,Community,Failing to Yield to Bicyclists,LEG,026MEC
2001,1,New York,Nutrition,Incentives,Community,Obesity Prevention Act,LEG,029INC
2009,1,Washington,Obesity,Front of Package Labeling,Community,Trans Fat,LEG,024FOP
2010,1,Hawaii,Nutrition,Access to Healthy Foods,School/After School,Nutritious Meal Programs,LEG,001AHF
2010,1,Illinois,Obesity,Menu Labeling,Community,Department Of Commerce And Economic Opportunity,LEG,032MNL
2007,1,Washington,Nutrition,Access to Healthy Foods,School/After School,Local Farms and Healthy Kids and Communities,LEG,001AHF
2011,1,New Mexico,Obesity,Body Mass Index (BMI),Medical and/or Hospital,Public Employees and Wellness Incentives,LEG,006BMI
2009,1,Maryland,Obesity,Food Restrictions,Community,Egg Seller Exception,LEG,020FOR
2005,1,Tennessee,Obesity,Appropriations,School/After School,Elementary School Physical Activity,LEG,002APP
2011,1,Virginia,Physical Activity,Public Transportation,Community,Transportation Infrastructure Bank,LEG,040TRS
2011,1,New Mexico,Obesity,Incentives,Medical and/or Hospital,Public Employees and Wellness Incentives,LEG,029INC
2011,1,Texas,Physical Activity,Physical Education Requirements,Restaurant/Retail,Sweetened Beverages Tax,LEG,036PER
2009,1,New York,Physical Activity,Physical Activity Requirements,Community,Governor's Council on Physical Fitness,LEG,035PAR
2009,1,Missouri,Nutrition,Food Assistance Programs,Community,Meals on Wheels,LEG,003FAP
2011,1,Massachusetts,Nutrition,Farm Direct Foods,Community,Foods Containing Artificial Trans Fat,LEG,015FDF
2009,1,Illinois,Obesity,Appropriations,Community,Statewide Transportation Policy,LEG,002APP
2009,1,Kentucky,Nutrition,Farm Direct Foods,School/After School,Nutritional Standards for School Foods,REG,015FDF
2011,1,New York,Nutrition,Access to Healthy Foods,Community,Lease of Community Garden Real Property,LEG,001AHF
2009,1,Ohio,Physical Activity,Task Forces/Councils,School/After School,Nutritional Standards,LEG,047TFC
2011,1,Alabama,Nutrition,Vending,Restaurant/Retail,Nutrition Labeling of Food,LEG,051VEN
2009,1,Oklahoma,Obesity,Appropriations,Community,Maintenance and Control of the State Highway System,REG,002APP
2012,1,Hawaii,Nutrition,Incentives,School/After School,An Act Relating to Agriculture,LEG,029INC
2010,1,Georgia,Nutrition,Access to Healthy Foods,School/After School,Supplemental Appropriations,LEG,001AHF
2009,1,Florida,Obesity,Food Restrictions,School/After School,School Food Service Programs,LEG,020FOR
2011,1,Oregon,Nutrition,Access to Healthy Foods,Restaurant/Retail,Establishment of Nutritional Requirement for Food Items,LEG,001AHF
2009,1,Missouri,Nutrition,Medical Care,Community,"Vehicles, Bicycles and Equestrian Use",REG,026MEC
2011,1,New York,Obesity,Appropriations,Community,Pre-Licensing Drivers Education Course,LEG,002APP
2011,1,New York,Obesity,Appropriations,Community,Local Produce Tax Credit,LEG,002APP
2009,1,Kentucky,Obesity,Task Forces/Councils,Work Place,Healthy Lifestyles,LEG,047TFC
2011,1,Georgia,Obesity,Body Mass Index (BMI),Community,Revenue and Tax,LEG,006BMI
2009,1,Massachusetts,Nutrition,Food Security,Restaurant/Retail,Menu Labeling in Restaurants,LEG,023FOS
2011,1,Florida,Physical Activity,Bicycling,School/After School,Growth Management,LEG,005BIK
2011,1,New York,Physical Activity,Bicycling,Community,Driving of Motor Vehicles Or Motorcycles in Bike Lane,LEG,005BIK
2014,4,District of Columbia,Nutrition,Food Assistance Programs,School/After School,Healthy Meals to Students on Snow Days,LEG,003FAP
2005,1,New York,Nutrition,Food Security,Community,An Act  Making Appropriations,LEG,023FOS
2012,1,Massachusetts,Physical Activity,Appropriations,School/After School,Finance Improvements to the Commonwealth's Transportation System<br>,LEG,002APP
2011,1,Minnesota,Nutrition,Farmers Markets,Community,Agriculture,LEG,016FAM
2011,1,Illinois,Nutrition,Farm Direct Foods,Community,An Act Making Appropriations,LEG,015FDF
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Restaurant/Retail,Health,LEG,001AHF
2011,1,Maryland,Physical Activity,Built Environment and Street-Scale Design,Community,Motorized Passenger Scooter,LEG,049BED
2011,1,Texas,Physical Activity,Built Environment and Street-Scale Design,Community,Rowlett Pecan Grove Management District Creation,LEG,049BED
2009,1,Iowa,Nutrition,Food Assistance Programs,Community,Farmers' Market Programs,REG,003FAP
2005,1,Rhode Island,Obesity,Task Forces/Councils,School/After School,School Health and Wellness Programs,LEG,047TFC
2011,1,Texas,Physical Activity,"Parks, Recreation and Trails",Community,Acquisition of Real Property,LEG,034PRT
2009,1,Massachusetts,Obesity,Appropriations,Community,Student Nutrition and Wellness,LEG,002APP
2011,1,Mississippi,Nutrition,Agriculture and Farming,Community,Egg Producers,REG,017AGF
2009,1,Alabama,Nutrition,Liability and Indemnity,Community,Public Education Appropriations,LEG,030LAI
2003,1,Oregon,Nutrition,School Nutrition,School/After School,National School Lunch Program,LEG,043SNU
2014,3,Illinois,Physical Activity,Physical Activity Requirements,School/After School,Physical Fitness Assessments in Schools,LEG,035PAR
2011,1,Maine,Obesity,Appropriations,School/After School,School Lunch Program Standards,LEG,002APP
2011,1,Vermont,Nutrition,Farm Direct Foods,Restaurant/Retail,Economic Development,LEG,015FDF
2009,1,Louisiana,Obesity,Sugar Sweetened Beverages,School/After School,Beverages Offered,LEG,046SSB
2010,1,Mississippi,Nutrition,Appropriations,School/After School,School Nutrition,LEG,002APP
2009,1,New York,Nutrition,Appropriations,Community,Partial Deduction Of Interest Income,LEG,002APP
2010,1,Idaho,Obesity,Front of Package Labeling,Community,Community Infrastructure Districts,LEG,024FOP
2010,1,Illinois,Nutrition,Food Security,School/After School,Commission to End Hunger Act,LEG,023FOS
2011,1,South Dakota,Nutrition,Access to Healthy Foods,Restaurant/Retail,Sales Tax Rates,LEG,001AHF
2010,1,Rhode Island,Physical Activity,Public Transportation,Community,Towns and Cities,LEG,040TRS
2009,1,Mississippi,Nutrition,Food Assistance Programs,Community,Home-and Community-Based Elderly and Disabled Waiver,REG,003FAP
2011,1,California,Nutrition,Food Assistance Programs,Community,Budget Act of 2011,LEG,003FAP
2011,1,New Mexico,Obesity,Food Restrictions,Community,Agriculture and Farmers Markets,LEG,020FOR
2013,2,Nevada,Physical Activity,Initiatives and Programs,Community,An Act Relating to Public Health,LEG,053INP
2011,1,Massachusetts,Nutrition,Trans Fats,Restaurant/Retail,Foods Containing Artificial Trans Fats,LEG,050FAT
2011,1,Maryland,Obesity,Appropriations,Community,Motorized Passenger Scooter,LEG,002APP
2011,1,New York,Nutrition,Access to Healthy Foods,Community,Calcium Purchasing Preference Initiative,LEG,001AHF
2011,1,Hawaii,Nutrition,Access to Healthy Foods,School/After School,Taxation,LEG,001AHF
2011,1,Colorado,Nutrition,Medical Care,Community,Bicycle Traffic,LEG,026MEC
2010,1,Oklahoma,Physical Activity,Pedestrians/Walking,Community,Healthy Communities,LEG,052PED
2009,1,New Jersey,Physical Activity,Built Environment and Street-Scale Design,Community,Motorists Overtaking Bicycles,LEG,049BED
2011,1,New York,Nutrition,Farm Direct Foods,Restaurant/Retail,Sale or Use of Artificial Trans Fats,LEG,015FDF
2011,1,Hawaii,Nutrition,Farm Direct Foods,Restaurant/Retail,Appropriation for the Women and Infant Children Farmers,LEG,015FDF
2009,1,Illinois,Nutrition,Agriculture and Farming,Community,Jobs Council Act,LEG,017AGF
2010,1,District of Columbia,Obesity,Menu Labeling,Community,Eminent Domain,LEG,032MNL
2011,1,Minnesota,Physical Activity,Public Safety,Community,Economic Development,LEG,039SAF
2011,1,New York,Nutrition,Trans Fats,Restaurant/Retail,Restaurant Trans Fat Prohibition,LEG,050FAT
2009,1,Massachusetts,Obesity,Appropriations,School/After School,Transportation System Modernization,LEG,002APP
2011,1,Texas,Nutrition,Fruits and Vegetables,Community,Advisory Committee to Study Urban Farming,LEG,025FAV
2009,1,Illinois,Nutrition,Fruits and Vegetables,Community,Community Care Program,REG,025FAV
2011,1,Colorado,Obesity,Menu Labeling,Community,Creative Districts Creation,LEG,032MNL
2011,1,Virginia,Obesity,Appropriations,School/After School,Virginia Grown Food Purchase,LEG,002APP
2013,2,Florida,Physical Activity,Initiatives and Programs,Community,"""Project Criteria, Management Plan, Land Exchanges""",REG,053INP
2011,1,Texas,Obesity,Disparities/Equity,School/After School,Sweetened Beverages Tax,LEG,013DEQ
2009,1,Missouri,Nutrition,Appropriations,Community,State and Local Sales Tax Exemption,LEG,002APP
2009,1,Minnesota,Physical Activity,Pedestrians/Walking,Community,Capital Improvements,LEG,052PED
2009,1,Massachusetts,Obesity,Appropriations,Early Care and Education,Food Policy Council,LEG,002APP
2011,1,Illinois,Nutrition,Access to Healthy Foods,Restaurant/Retail,Home Rule County Soft Drink Retailers' Occupation Tax,LEG,001AHF
2012,1,Iowa,Nutrition,Appropriations,Community,An Act Providing for Charitable Food  Donations<br>,LEG,002APP
2010,1,Pennsylvania,Nutrition,Appropriations,School/After School,Value Added Assessments and Dropout Prevention,LEG,002APP
2005,1,Pennsylvania,Obesity,Food Restrictions,School/After School,Healthy Farms and Healthy Schools Program,LEG,020FOR
2011,1,Illinois,Nutrition,Access to Healthy Foods,Restaurant/Retail,Task Force on Farmers' Markets,LEG,001AHF
2010,1,Mississippi,Nutrition,Farmers Markets,Community,Healthy Food Retail Act,LEG,016FAM
2009,1,Vermont,Nutrition,Access to Healthy Foods,School/After School,Farmers Markets,LEG,001AHF
2011,1,New York,Nutrition,Access to Healthy Foods,School/After School,An Act in Relation to the Purchase of Local Food Products by School Districts<br>,LEG,001AHF
2010,1,Mississippi,Obesity,Appropriations,Community,Access Management Manual,REG,002APP
2010,1,Georgia,Nutrition,Task Forces/Councils,Community,Commissions and Other Agencies,LEG,047TFC
2011,1,Hawaii,Obesity,Food Restrictions,Community,Open markets,LEG,020FOR
2011,1,Texas,Physical Activity,Built Environment and Street-Scale Design,Community,Mustang Ranch Municipal Management District No. 1,LEG,049BED
2009,1,Pennsylvania,Nutrition,Farm Direct Foods,School/After School,Education Code,LEG,015FDF
2015,2,Louisiana,Nutrition,Food Security,Community,Resolution to create a task force to study food deserts,LEG,023FOS
2009,1,New York,Obesity,Appropriations,School/After School,Health and Mental Hygiene Budget,LEG,002APP
2011,1,Tennessee,Nutrition,Appropriations,Community,Taxes,LEG,002APP
2006,1,Pennsylvania,Nutrition,Fruits and Vegetables,Community,Senate Resolution<br>,LEG,025FAV
2011,1,New York,Obesity,Health Insurance Coverage,Community,Use of School Facilities,LEG,028HIC
2003,1,Mississippi,Physical Activity,Physical Education Requirements,School/After School,School District Education Advisory Councils,LEG,036PER
2011,1,New York,Nutrition,Access to Healthy Foods,Restaurant/Retail,Senior Benefits Card Program,LEG,001AHF
2011,1,Indiana,Nutrition,Access to Healthy Foods,Restaurant/Retail,Local Food and Farm Task Force,LEG,001AHF
2009,1,Illinois,Physical Activity,Built Environment and Street-Scale Design,Community,Crime Victims Compensation Act,LEG,049BED
2011,1,Maine,Nutrition,Food Security,School/After School,Student Performance,LEG,023FOS
2008,1,Washington,Nutrition,Food Assistance Programs,Restaurant/Retail,Farmers Market Nutrition Program (FMNP)),REG,003FAP
2010,1,Washington,Obesity,Appropriations,School/After School,Enforcement of Crosswalk Violations,LEG,002APP
2011,1,South Carolina,Nutrition,Medical Care,Community,Mixed-Use Town Centers,LEG,026MEC
2009,1,New York,Nutrition,Food Assistance Programs,Restaurant/Retail,Senior Benefits Card Program,LEG,003FAP
2009,1,Missouri,Nutrition,Appropriations,Community,Healthy Food Pilot Program,LEG,002APP
2011,1,Mississippi,Obesity,Task Forces/Councils,School/After School,Sweetened Beverages and Syrups Tax,LEG,047TFC
2013,1,Illinois,Nutrition,Access to Healthy Foods,Medical and/or Hospital,Medical Payment,REG,001AHF
