UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,01/08/2015,24,36,31/07/2018,Yes,31/07/2018,01/03/2017,"Â£64,918.50","Â£64,918.50",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining/anti skid coloured surfacing,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,31/03/2018,"Â£123,364.49","Â£1,357,009.35",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,31/03/2018,"Â£122,222.22","Â£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2020,Yes,28/02/2020,01/08/2019,"Â£19,466.50","Â£155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,01/08/2016,"Â£427,777.78","Â£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,OJEU Tender,Framework Agreement,01/12/2014,36,48,30/11/2018,Yes,30/11/2018,19/07/2018,"Â£1,300,000.00","Â£5,200,000.00",H Jenkinson & Co Ltd,Large,00169844,L34 9JR,Stockport- Services to Place
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,24,36,31/03/2019,Yes,31/03/2019,01/12/2017,"Â£226,750.00","Â£226,750.00",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,OJEU Tender,Contract,01/04/2013,36,66,30/09/2018,Yes,30/09/2018,01/09/2017,"Â£9,408,946.00","Â£47,044,700.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Abacus Homecare,Large,8766697,SK5 7BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,A-Best Nursing and Care Limited,Medium,6314762,SK1 3RU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Absolute care & support,Medium,8326687,SK6 1NB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Absolute care at home,Medium,5583427,WA14 2PL,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Angel Home Care,SME,9972858,M22 8LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Assured Care (Stockport) Ltd,Medium,7288112,SK1 3LG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Bridge Care Services Ltd,Medium,3911926,SK6 7AD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care 24 (UK) LTD,Medium,8700852,M19 1WA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care Mark Cheshire,SME,1088367,SK9 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Care Need LTD Stockport,Medium,4125024,SK4 1AS,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Carers Trust (Crossroads),SME,7697170,M33 3HP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Choice Care,SME,10543928,BB1 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Creative support - Extra care housing,SME,IP27440R,L34 1BH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,CRG - Castlerock Recruitment Group,SME,6357982,WA9 1UA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Cynosure Health Care,Medium,9279415,M5 3EB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Elite Homecare,SME,5732794,M35 9BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Enterprise Care Group,SME,4547846,M14 6ZT,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Equality Homecare Service Ltd,SME,06144289,M22 4US,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Harbex Nursing & Care,Medium,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Herbex Nursing & Care,SME,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,HG Care Services Ltd,Medium,4626258,SK4 3GN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Homecare Northwest,SME,8253010,SK10 2BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Homecare4u,SME,7455354,SK2 6NG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Human Support (Homecare Support),Large,3513906,M203JG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,I-Care Solutions Manchester,SME,10628642,M21 0XN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Independent Care,Medium,4746104,SK42LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Laurel Bank Support at Home,SME,2423368,Sk14 5HZ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Medacs Healthcare Old Trafford,SME,3120991,M17 1HH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,MRL Healthcare Limited Stockport,SME,SC441634 ,Sk6 6BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Prime Support Service LTD,SME,8590998,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Pro Life Healthcare Services,SME,10068822,WA14 5PA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Quality Care of Cheadle,SME,,Sk2 6QS,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,-,-,-,-,-,-,-,-,-,-,-,True Homecare Ltd,SME,7912253,SK1 2HP,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,OJEU Tender,Contract,19/12/2014,36,48,18/12/2018,Yes,18/12/2018,01/04/2018,"Â£150,000.00","Â£600,000.00",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,12/09/2013,36,72,30/09/2019,Yes,30/09/2019,01/04/2019,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
726,Stockport Council,171113-Education : Library Books : ,Supply & Servicing of materials to Public Library Authorities Lot 7 Government Info,OJEU Tender,Framework Agreement,01/04/2013,74,74,31/05/2019,Yes,31/05/2019,29/08/2018,"Â£84,000.00","Â£518,000.00",Dandy Booksellers,SME,4846829,NW6 7UP,Stockport- Corporate & Support Services
862,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Parking Payments by Phone ,Tender,Contract,02/07/2012,60,84,01/07/2019,Yes,01/07/2019,01/01/2019,"Â£16,000.00","Â£112,000.00",Cobalt (Ringo) Telephone Technologies,Large,3151938,RG24 8NE,Stockport- Services to Place
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01/09/2013,95,95,20/07/2021,Yes,20/07/2021,01/01/2020,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,Social Community Care Supplies & Services : Supplies : Non Fitted Equipment,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01/10/2015,30,54,31/03/2018,No,31/03/2020,10/01/2018,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1162,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Compostable Liners,OJEU Tender,Contract,01/04/2014,36,60,31/03/2019,Yes,31/03/2019,01/08/2018,"Â£240,000.00","Â£1,200,000.00",BioBag,SME,4151564,PR26 7PF,Stockport- Services to Place
1194,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01/10/2016,34,46,31/07/2019,No,31/07/2020,01/12/2018,"Â£300,000.00","Â£1,200,000.00",The Together Trust,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Alliance for Positive Relationships,OJEU Tender,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2020,30/01/2018,"Â£280,000.00","Â£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,329899-Social Community Care Supplies & Services - Adult : Not Elsewhere Classified : ,Targeted Prevention Alliance,OJEU Tender,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2020,31/12/2017,"Â£1,500,000.00","Â£7,500,000.00",Stockport Homes Group,SME,04521257,SK1 3NQ,Stockport- Services to People
1205,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Stockport Advocacy Services ,Tender,Contract,01/04/2015,36,60,31/03/2020,Yes,31/03/2020,30/11/2017,"Â£200,000.00","Â£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 3DL,Stockport- Services to People
1214,Stockport Council,321800-Social Community Care Supplies & Services - Adult : Independent Supported Living : ,Mini comp supported living (103.6 -Phase 4),Mini Competition (Internal),Contract,30/07/2015,36,48,29/07/2018,No,29/07/2019,15/04/2018,"Â£287,542.00","Â£1,150,168.00",United Response,VCSE,265249,WN7 3XJ,Stockport- Services to People
1255,Stockport Council,321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,Tender,Contract,01/04/2016,36,36,31/03/2019,No,31/03/2019,31/03/2018,"Â£39,896.00","Â£119,688.00",Remedi,SME,1063359,S1 4FW,Stockport- Services to People
1263,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,OJEU Tender,Contract,06/01/2010,84,120,31/03/2020,No,31/03/2020,01/03/2019,"Â£75,000.00","Â£750,000.00",Midland HR&Payroll Solutions,SME,08099611,B79 9DZ,Stockport- Corporate & Support Services
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18/01/2016,48,84,17/01/2020,No,31/10/2022,01/07/2019,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
1314,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1,OJEU Tender,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2020,30/03/2018,"Â£300,000.00","Â£1,855,861.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2,OJEU Tender,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2020,30/03/2018,"Â£300,000.00","Â£1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3,OJEU Tender,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2020,30/03/2018,"Â£120,000.00","Â£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,OJEU Tender,DPS (Dynamic Purchasing System),01/08/2015,48,48,31/07/2019,No,31/07/2019,01/01/2019,"Â£4,000,000.00","Â£16,000,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,A & G Duncan Travel,SME,Supplier does not have company number,SK3 8QJ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Access Minibus Services,SME,Supplier does not have company number,M20 6QX,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Asapp Cars,SME,Supplier does not have company number,SK3 9EU,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Buckley / Culbert,SME,Supplier does not have company number,SK8 3EG,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,CJ Taxis,SME,Supplier does not have company number,SK6 4DL,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Community Transport,SME,2118677,HX4 8AQ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,danistravels,SME,Supplier does not have company number,OL11 4HQ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,DMC Travel,SME,Supplier does not have company number,M33 2WD,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Easy Go Community Transport,SME,3285361,SK7 5DA,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Gareth Hoskins,SME,Supplier does not have company number,SK5 8NN,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Gary Beardsell,SME,Supplier does not have company number,M34 7LN,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Ivor Nelson,SME,Supplier does not have company number,SK14 5RF,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,JCT Travel Limited,SME,9124502,M23 2SR,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Jon Cocker Private Hire,SME,Supplier does not have company number,SK5 6BQ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Kenneth Lee Private Hire,SME,Supplier does not have company number,SK6 1HP,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Lime Travel,SME,Supplier does not have company number,SK4 4LN,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Mcr Blackcabs Ltd,SME,8152458,M22 4NG,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Metro Taxis,SME,1238781,SK1 1UD,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Mr Sharma Kumar,SME,Supplier does not have company number,SK4 2AX,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,P Walker Taxis,SME,Supplier does not have company number,SK8 6AB,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,P.K. Environmental,SME,Supplier does not have company number,BL8 1HZ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Parklane Minibuses,SME,4671323,OL7 9QX,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,R & C Plant Taxis Ltd,SME,Supplier does not have company number,SK3 0SP,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Sheila Stansfield,SME,Supplier does not have company number,M20 6UU,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,SMBC Cab Owner,SME,Supplier does not have company number,SK8 6SD,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Stuart Dunkerley,SME,Supplier does not have company number,SK6 2EZ,Stockport- Services to Place
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,-,-,-,-,-,-,-,-,-,-,-,Taxi-Team,SME,7640627,SK2 7NR,Stockport- Services to Place
