UID,Client,Status,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Choice Care,SME,10543928,BB1 3HQ,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Creative support - Extra care housing,SME,IP27440R,L34 1BH,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,CRG - Castlerock Recruitment Group,SME,6357982,WA9 1UA,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Cynosure Health Care,Medium,9279415,M5 3EB,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Elite Homecare,SME,5732794,M35 9BD,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Enterprise Care Group,SME,4547846,M14 6ZT,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Equality Homecare Service Ltd,SME,6144289,M22 4US,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Harbex Nursing & Care,Medium,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Herbex Nursing & Care,SME,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,HG Care Services Ltd,Medium,4626258,SK4 3GN,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Homecare Northwest,SME,8253010,SK10 2BB,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Homecare4u,SME,7455354,SK2 6NG,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Human Support (Homecare Support),Large,3513906,M203JG,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,I-Care Solutions Manchester,SME,10628642,M21 0XN,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Independent Care,Medium,4746104,SK42LP,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Laurel Bank Support at Home,SME,2423368,Sk14 5HZ,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Medacs Healthcare Old Trafford,SME,3120991,M17 1HH,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,MRL Healthcare Limited Stockport,SME,SC441634 ,Sk6 6BD,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Prime Support Service LTD,SME,8590998,SK5 6DA,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Pro Life Healthcare Services,SME,10068822,WA14 5PA,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Quality Care of Cheadle,SME,,Sk2 6QS,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,True Homecare Ltd,SME,7912253,SK1 2HP,Stockport- Services to People
650,Stockport Council,Live (Ongoing),271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,10/10/2016,60.0,60.0,09/10/2021,Yes,09/10/2021,01/10/2020,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Alternative Futures Group Ltd,",Large,1008587,L34 1BN,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Autism Care UK,",Large,3997337,LN4 3JD,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Cherrytree Vale Ltd (t/a Home Focus), ",Large,3079096,M30 0DL,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"CHOICE SUPPORT,",Large,298149,SE1 7XA,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"CHOICE SUPPORT,",VCSE,298149,SK56DA,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,Community Integrated Care,VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Craegmoor Supporting You,",Large,7480152,WR3 7NW,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Creative Support Ltd,",VCSE,27440R,M1 2HF,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Future Directions CIC,",Large,8041420,BB7 9PE,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069",BS16 7FL,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Independent Options (North West), ",SME,"company: 02560910
charity:  1022680",SK7 5PE,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"KeyRing  Living Support Networks , ",VCSE,1054234,E8 2NG,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"MacIntyre,",VCSE,250840,MK9 2JA,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Mears Care Limited,",VCSE,3232863,GL3 4AH,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"North West Community Services Ltd,",Large,2068130,PR2 9ZG,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Perthyn, ",Large,"Company: 3017158
Charity: 1046763",SA7 9FG,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,Respite North West Ltd,SME,4186179,OL10 1JP,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,Royal Mencap Society,SME,889191,PE7 8HP,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Sevacare (UK) Ltd,",Large,3615347,WV9 5HD,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Stockport, East Cheshire, High Peak , Urmston and District Cerebral Palsy Society,",VCSE,1009768,SK7 5BW,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,"Thera North,",Large,"company: 03593418
charity: 1090163",NG31 7XT,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,ubu,Large,1867042,M28 3LY,Stockport- Services to People
661,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),,,,,,,,,,,,United Response,Large,"company: 01133776
charity: 265249",SW19 8UX,Stockport- Services to People
661,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Voyage Care,Large,9141139,WS13 6QD,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Alliance Care & Education LtdÂ ,SME,5556312,LA2 0QW,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Aspire Childcare Ltd,SME,5412343,OL11 5DP,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,BetterCare Keys LimitedÂ ,SME,NI053253 ,WA2 0LF,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Birtenshaw,SME,2978546,BL7 9AB,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Brookfield HouseÂ ,SME,OC301963,SK7 5AQ,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Bryn Melyn,SME,"

04030222",TF1 6QJ,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Cambian childcare ,SME,4280519,"SK8 3SB
",
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Care today Parallel Parents,SME,4311745,SK2 6LR,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Cherry Cottage,SME,5864035,WN1 9PD,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Dalepeak Ltd,SME,219279,PR56QE,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Family Care Associates,SME,5855509,PR56QE,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Harmony Children's Services,SME,7350725,HD5 8NP,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Horizon Care,SME,4049112,WS11 0LG,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Inspire Childrens Services,SME,6968122,WA10 1AJ,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Meadows Care,SME,"

05087886",OL12 0EN,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,New Horizons (stockport) Ltd,SME,3431532,SK7 3DQ,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Oracle Care ,SME,5618803,CW12 2AH,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Pathfinders childcare LTD,SME,4780606,OL12 7TX,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Prestige Care,SME,3025072,ST6 4BF,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Prospects for young people,SME,"

02927657",LL13 9UG,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Quality Protects Children,SME,"04001248
 ",L36 9XB,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Shared-Care,SME,"06977604
 ",SK15 3DW,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Social Care Services Group,SME,2428089,SK41NL,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Timeout Childrens Homes,SME,5690483,HX6 4DH,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Together Trust,SME,301722,SK81JE,
670,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Whistledawn TA Northerncare,SME,4278167,FY39JL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Able Care Services (Northern) Ltd,SME,7490736,NR14 8TZ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Acorn House Fostering Services Ltd,SME,280852,OL9 9XA,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Action for Children,SME,2332388,WD18 8AG,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Advanced Childcare Ltd,SME,4280519,SK6 2SR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Alliance Care & Education LtdÂ ,SME,5556312,LA2 0QW,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Alpha Plus Fostering Ltd,SME,6019106,OL8 3QL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Aspire Childcare Ltd,SME,5412343,OL11 5DP,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Barnardos,SME,61625,L25 2UD,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,BetterCare Keys LimitedÂ ,SME,NI053253 ,WA2 0LF,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Birtenshaw,SME,2978546,BL7 9AB,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Brookfield HouseÂ ,SME,OC301963,SK7 5AQ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Bryn Melyn,SME,"

04030222",TF1 6QJ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,By the Bridge North West,SME,4050928,ME9 8JE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Cambian childcare ,SME,4280519,"SK8 3SB
",
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,CanWe Solutions,SME,BB1 9LL,BB1 9LL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Care today Parallel Parents,SME,4311745,SK2 6LR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Caritas Care,SME,1596400,SK9 7JT,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Caritas Diocese of Salford,SME,6594417,M3 6DP,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Cherry Cottage,SME,5864035,WN1 9PD,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Classic Foster Care,SME,7065128,OL10 1DP,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Community Foster Care,SME,1084124,GL19 3NY,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Compass Fostering North West Ltd (previously Modus Communicandi Ltd),SME,7054121,LE11 3GE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Dalepeak Ltd,SME,219279,PR56QE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Excel Fostering Agency Ltd,SME,6847044,FY8 1HW,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Families@FamilyCare Ltd,SME,5855509,PR5 6QE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Family Care Associates,SME,5855509,PR56QE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Foster Care Associates Ltd (previously Core Assets Fostering Ltd),SME,4322806,B60 4AD,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Foster Care Link,SME,4743655,N16 6AA,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Foster Careline,SME,6703132,L2 7QL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Foster Cares Ltd,SME,"05038789
 ",SR8 2RR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Fostering Matters,SME,5083103,GL1 2LR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Fostering Outcomes,SME,5956931,BR7 5BN,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Fostering People Ltd,SME,4241833,NG2 5GJ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Fostering Solutions Ltd,SME,4006225,HX5 9AA,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Fusion Fostering Ltd,SME,7819299,TA3 6BY,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Harmony Children's Services,SME,7350725,HD5 8NP,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Hillcrest Care Ltd t/a Orange Grove Fostercare,SME,7027421,ME10 1GL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Horizon Care,SME,4049112,WS11 0LG,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Inspire Childrens Services,SME,6968122,WA10 1AJ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Jigsaw (NW) IFA Ltd,SME,3525915,SK15 2QA,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Lorimer Foster Services,SME,4967352,M33 5ND,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Meadows Care,SME,"

05087886",OL12 0EN,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,National Fostering Agency,SME,3127814,UB8 2AE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,New Horizons (stockport) Ltd,SME,3431532,SK7 3DQ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Oasis Fostering Services,SME,6865438,BL0 0NE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Oracle Care ,SME,5618803,CW12 2AH,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Parallel Parents,SME,,SK26LR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Park Foster Care,SME,4861395,CW5 6PF,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Pathfinders childcare LTD,SME,4780606,HX5 9HT,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Perpetual Care,SME,5304989,BL1 4QR,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Prestige Care,SME,3025072,ST6 4BF,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Prospects for young people,SME,"

02927657",LL13 9UG,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Quality Protects Children,SME,"04001248
 ",L36 9XB,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Safehouses Fostering ,SME,5422189,OL3 5SN,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Shared-Care,SME,"06977604
 ",BD183HH,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Social Care Services Group,SME,2428089,SK41NL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,SWIIS Foster Care,SME,3985713,IG1 4NE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,TACT,Large,101896,SE13 6TJ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,The Foster Care Co-operative,SME,Supplier does not have company number,WR14 1GF,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,The Fostering Organisation t/a The Fostering Team,SME,Supplier does not have company number,SK7 5ER,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Three Circles Fostering,SME,7846546,SK9 2TB,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Timeout Childrens Homes,SME,5690483,HX6 4DH,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Together Trust,SME,301722,SK81JE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Together Trust,SME,301722,SK8 1JE,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Tree House Care,SME,3549080,DN32 9DZ,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,UK Fostering,SME,5029887,DA1 2EN,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Welcome Foster Care,SME,6350870,E15 4EA,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Whistledawn TA Northerncare,SME,4278167,FY39JL,
671,Stockport Council,Live (Ongoing),,,,,,,,,,,,,,Young Foundations Ltd,SME,"05029887
 ",LL16 4LU,
908,Stockport Council,Live (Ongoing),151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01/09/2013,95.0,95.0,20/07/2021,,20/07/2021,01/01/2021,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01/10/2015,30.0,54.0,31/03/2021,Yes,31/03/2020,10/01/2019,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1204,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,OJEU Tender,Contract,01/06/2015,36.0,60.0,31/03/2021,Yes,31/03/2021,31/10/2020,"Â£1,500,000.00","Â£7,451,485.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1275,Stockport Council,Live (Ongoing),351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18/01/2016,48.0,84.0,17/01/2023,Yes,17/01/2023,01/03/2021,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
1314,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01/10/2015,36.0,60.0,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01/10/2015,36.0,60.0,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
