Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,0-17,Albany,HUTCHINGS PSYCHIATRIC CENTER,21,0,
2AP,18+,Brooklyn,KINGSBORO PSYCHIATRIC CENTER,143,30,YES
2AP,0-17,Orange,County,241,14,
3AP,0-17,Manhattan,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,63,0,
2AP,18+,Sullivan,County,1843,250,
2AP,18+,Brooklyn,ICL HEALTHCARE CHOICES INC,341,63,YES
3AP,18+,Queens,"LONG ISLAND CONSULTATION CENTER, INC.",104,0,
3AP,0-17,Sullivan,CATSKILL REGIONAL MEDICAL CENTER,70,0,
2AP,18+,Orange,ORANGE REGIONAL MEDICAL CENTER,201,35,NO
3AP,18+,Cortland,CORTLAND COUNTY COMMUNITY SERVICES BOARD,46,0,
3AP,0-17,Staten Island,"STATEN ISLAND MENTAL HEALTH SOCIETY, INC.",88,0,NO
2AP,18+,Herkimer,County,192,14,
2AP,0-17,Statewide,Statewide,2150,67,
2AP,0-17,Yates,County,26,0,
2AP,18+,Greene,County,264,15,
2AP,0-17,Jefferson,County,142,2,
2AP,18+,Chenango,County,160,11,
3AP,18+,Wayne,County,201,1,
2AP,18+,Orange,County,1399,171,
2AP,0-17,Cayuga,AUBURN COMMUNITY HOSPITAL,57,3,
2AP,18+,Staten Island,County,1744,263,
3AP,18+,Orange,CATHOLIC CHARITIES COMMUNITY SVCS. OF ORANGE,39,0,
3AP,0-17,Westchester,OMH STATE PC NETWORK,36,0,NO
3AP,18+,Staten Island,SOUTH BEACH PSYCHIATRIC CENTER,487,4,NO
2AP,18+,Greene,COLUMBIA MEMORIAL HOSPITAL,183,11,NO
3AP,0-17,Brooklyn,MAIMONIDES MEDICAL CENTER,73,0,
3AP,18+,Manhattan,"BOWERY RESIDENTS' COMMITTEE, INC.",135,0,NO
3AP,0-17,Westchester,WHITE PLAINS HOSPITAL MEDICAL CENTER,38,0,
3AP,18+,Manhattan,HENRY STREET SETTLEMENT,24,0,
2AP,18+,Clinton,County,360,30,
2AP,18+,Westchester,County,9478,1267,
2AP,18+,Brooklyn,AHAVA MEDICAL AND REHAB CENTER LLC,327,57,
2AP,18+,Westchester,County,8946,1242,
2AP,18+,Cortland,"CORTLAND REGIONAL MEDICAL CENTER, INC.",62,1,
2AP,18+,Onondaga,"CENTRAL NEW YORK SERVICES, INC.",142,18,
2AP,18+,Bronx,CARE FOR THE HOMELESS,172,15,
2AP,18+,Erie,BUFFALO HEARING & SPEECH CTR,34,4,
2AP,18+,Bronx,ST. LUKE'S-ROOSEVELT HOSPITAL CENTER,31,3,
3AP,18+,Westchester,HUDSON VALLEY CARE COALITION,558,4,
2AP,18+,Manhattan,"DAYTOP VILLAGE,INC",74,6,NO
3AP,0-17,Madison,COMMUNITY MEMORIAL HOSPITAL,23,0,
2AP,18+,Warren,County,3,1,
2AP,18+,Nassau,NASSAU HEALTH CARE CORP/NASSAU UNIV MED CTR,630,60,
2AP,18+,Manhattan,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, IN",201,29,NO
2AP,0-17,Fulton,County,116,4,
2AP,18+,Livingston,County,283,21,
3AP,0-17,Livingston,NICHOLAS H. NOYES MEMORIAL HOSPITAL,42,0,
2AP,18+,Brooklyn,"NNCC DBA NEIGHBORHOOD COUNSELING CENTER, INC.",68,0,NO
2AP,0-17,Monroe,County,1273,39,
3AP,18+,Monroe,OMH STATE PC NETWORK,23,0,NO
3AP,18+,Ulster,County,432,0,
2AP,18+,Cayuga,County,278,32,
3AP,18+,Staten Island,SOUTH BEACH PSYCHIATRIC CENTER,486,4,NO
3AP,0-17,Cayuga,"CAYUGA COUNSELING SERVICES, INC.",21,0,NO
2AP,18+,Westchester,"PUERTO RICAN FAMILY INSTITUTE, INC.",76,12,NO
2AP,18+,Manhattan,MENTAL HEALTH ASSOCIATION OF NYC,113,14,NO
2AP,18+,Westchester,"CHOICE OF NEW ROCHELLE, INC.",126,10,NO
2AP,18+,Bronx,County,14778,1494,
2AP,0-17,Chemung,County,153,4,
3AP,18+,Tompkins,"CAYUGA MEDICAL CENTER AT ITHACA, INC.",57,0,NO
3AP,18+,Delaware,County,55,0,
3AP,18+,Manhattan,VILLAGE CENTER FOR CARE AI,239,1,
2AP,18+,Albany,ALBANY COUNTY DEPARTMENT OF MENTAL HEALTH,99,13,
2AP,18+,Queens,"INSTITUTE FOR COMMUNITY LIVING, INC.",25,7,NO
2AP,18+,Dutchess,OMH STATE PC NETWORK,23,7,NO
2AP,18+,Cattaraugus,"SOUTHERN TIER ENVIRONMENTS FOR LIVING, INC.",21,5,NO
2AP,18+,Genesee,UNITED MEMORIAL MEDICAL CTR,68,5,NO
2AP,18+,Staten Island,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,51,22,
2AP,0-17,Staten Island,County,179,2,
3AP,18+,Manhattan,"INSTITUTE FOR COMMUNITY LIVING, INC.",351,1,
3AP,18+,Schenectady,SCHENECTADY FAMILY HEALTH SER,221,0,
2AP,18+,Suffolk,"OPTIONS FOR COMMUNITY LIVING, INC.",145,18,NO
2AP,0-17,Westchester,County,1182,57,
3AP,18+,Sullivan,County,1469,10,
3AP,18+,Madison,CENTRAL NEW YORK BHCC,206,2,
2AP,18+,Chautauqua,County,945,95,
3AP,0-17,Oneida,"KIDS ONEIDA, INC.",48,0,
2AP,18+,Dutchess,County,1322,153,
2AP,18+,Broome,"UNITED HEALTH SERVICES HOSPITALS, INC.",846,62,
2AP,18+,Bronx,NYC-HHC LINCOLN MEDICAL & MENTAL HEALTH CENTE,1580,133,
2AP,18+,Queens,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,113,36,
2AP,0-17,Schenectady,County,275,17,
3AP,18+,Suffolk,CATHOLIC CHARITIES OF ROCKVILLE CENTRE,103,0,NO
2AP,0-17,Dutchess,ASTOR SERVICES FOR CHILDREN & FAMILIES,230,11,
2AP,18+,Washington,County,113,6,
3AP,18+,Rockland,County,1081,2,
2AP,18+,Lewis,County,122,17,
3AP,18+,Cortland,"ONONDAGA CASE MANAGEMENT SERVICES, INC.",23,0,NO
2AP,18+,Bronx,CONCOURSE MEDICAL CENTER INC,75,12,NO
2AP,0-17,Schenectady,County,327,14,
2AP,18+,Manhattan,"BRIDGING ACCESS TO CARE, INC.",43,4,NO
2AP,18+,Bronx,NYC-HHC JACOBI MEDICAL CENTER,475,83,YES
3AP,0-17,Dutchess,County,295,0,
3AP,18+,Bronx,CARE FOR THE HOMELESS,69,0,
2AP,18+,Albany,CENTRAL NEW YORK HEALTH HOME NETWOR,30,10,
2AP,18+,Jefferson,County,483,52,
2AP,18+,Franklin,County,366,28,
3AP,18+,Albany,County,2163,17,
2AP,18+,Essex,County,96,2,NO
2AP,18+,Livingston,County,155,3,
2AP,18+,Rensselaer,County,433,49,
2AP,0-17,Manhattan,County,3,0,
3AP,0-17,Cattaraugus,County,102,0,
2AP,0-17,Bronx,NEW YORK CITY CHILDREN'S CENTER,51,4,NO
3AP,18+,Manhattan,County,11597,56,NO
2AP,18+,Nassau,"PSCH, INC. DBA WELLLIFE NETWORK",23,4,
3AP,18+,Onondaga,County,2591,11,
2AP,18+,Nassau,County,5155,593,
3AP,18+,Bronx,GATEWAY COUNSELING CENTER,71,3,NO
3AP,18+,Ontario,CLIFTON SPRINGS HOSPITAL AND CLINIC,33,0,
2AP,18+,Orleans,County,108,10,
2AP,0-17,Westchester,County,1226,48,
2AP,18+,Franklin,County,1,1,
3AP,0-17,Wayne,County,113,0,
3AP,18+,Suffolk,"FEDERATION OF ORG. F/T NYS MENT.DISABLED, INC",257,1,NO
3AP,18+,Warren,County,689,1,
3AP,18+,Nassau,ADVANCED HEALTH NETWORK IPA,1287,9,
3AP,18+,Staten Island,County,1509,11,
3AP,18+,Nassau,WELLLIFE NETWORK INC.,42,0,
3AP,0-17,Suffolk,"HUDSON RIVER HEALTHCARE, INC. D/B/A SUN RIVER",115,0,
2AP,18+,Sullivan,County,1801,234,
2AP,18+,Columbia,County,218,23,
3AP,0-17,Saratoga,SARATOGA COUNTY COMMUNITY SERVICES BOARD,69,0,
2AP,18+,Brooklyn,"RESOURCE BEACON OF HOPE, LLC",28,2,
3AP,18+,Oswego,County,432,1,
2AP,0-17,Greene,County,5,0,
3AP,18+,Chautauqua,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,535,3,
3AP,18+,Westchester,MONTEFIORE MEDICAL CENTER,1251,9,
2AP,18+,Schuyler,County,73,8,
2AP,0-17,Essex,County,36,0,
2AP,0-17,Columbia,County,45,1,
2AP,18+,Onondaga,County,1,1,
2AP,0-17,Warren,County,262,8,
3AP,0-17,Madison,CENTRAL NEW YORK BHCC,70,0,
2AP,18+,Orange,CATHOLIC CHARITIES COMMUNITY,60,3,NO
2AP,0-17,Saratoga,County,271,6,
2AP,18+,Washington,County,104,8,
2AP,18+,Oswego,County,420,30,
2AP,18+,Warren,County,834,61,
2AP,18+,Oswego,"OSWEGO COUNTY OPPORTUNITIES, INC.",32,2,
2AP,0-17,Tompkins,County,82,3,
3AP,0-17,Washington,WARREN-WASHINGTON ASSOCIATION FOR MENTAL HEAL,25,0,
3AP,18+,Manhattan,"SHILOH CONSULTING, LLC",29,0,
3AP,0-17,Monroe,"LIBERTY RESOURCES, INC.",42,0,
2AP,0-17,Manhattan,"COORDINATED BEHAVIORAL HEALTH CARE, INC.",218,3,
2AP,0-17,Monroe,VILLA OF HOPE,44,1,
2AP,18+,Franklin,County,89,8,
2AP,0-17,Ulster,County,175,6,
2AP,0-17,Lewis,County,37,3,
3AP,0-17,Putnam,County,19,0,
3AP,18+,Dutchess,"HUDSON VALLEY MENTAL HEALTH, INC.",428,2,NO
2AP,0-17,Brooklyn,METRO COMMUNITY HEALTH CENTERS INC,36,0,
2AP,0-17,Greene,County,68,3,
2AP,18+,Rensselaer,County,882,93,
2AP,0-17,Warren,County,217,2,
2AP,18+,Erie,MH SERVS-ERIE CO SE CORP V DBA SPECTRUM HSVCS,406,36,
3AP,18+,Manhattan,COMMUNITY CARE MANAGEMENT PARTNERS,2001,6,
2AP,18+,Clinton,County,357,38,
3AP,18+,Westchester,"THE GUIDANCE CENTER OF WESTCHESTER, INC.",64,0,
3AP,18+,Manhattan,"WEST MIDTOWN MANAGEMENT GROUP, INC.",126,0,
3AP,18+,Nassau,LONG ISLAND JEWISH MEDICAL CENTER,1508,5,
3AP,18+,Warren,County,755,2,
2AP,18+,Suffolk,JOHN T. MATHER MEMORIAL HOSPITAL,269,30,
2AP,18+,Fulton,County,300,24,
2AP,18+,Orleans,County,102,8,
2AP,0-17,Oneida,County,508,17,
2AP,0-17,Saint Lawrence,CLAXTON-HEPBURN MEDICAL CENTER,28,1,NO
2AP,0-17,Niagara,County,261,5,
2AP,18+,Brooklyn,NYC-HHC KINGS COUNTY HOSPITAL CENTER,874,106,NO
2AP,18+,Chemung,County,560,61,
2AP,18+,Saratoga,County,597,55,
2AP,18+,Bronx,BRONXCARE HEALTH SYSTEM,2578,237,
3AP,18+,Queens,LI JEWISH MEDICAL CENTER ZUCKER HILLSIDE DIV,817,5,NO
2AP,18+,Brooklyn,KINGSBORO PSYCH CTR PMHP,86,13,NO
3AP,0-17,Saratoga,SARATOGA COUNTY COMMUNITY SERVICES BOARD,87,0,
2AP,18+,Tioga,TIOGA COUNTY DEPARTMENT OF MENTAL HYGIENE,49,7,NO
2AP,18+,Cortland,County,131,4,NO
2AP,0-17,Essex,County,32,0,
3AP,18+,Ulster,County,1048,7,
2AP,18+,Allegany,County,129,13,NO
3AP,0-17,Westchester,ROCKLAND CHILDREN'S PSYCHIATRIC CENTER,48,0,NO
2AP,18+,Columbia,County,230,27,
3AP,18+,Onondaga,HERITAGE ONE DAY SURGERY,27,0,NO
2AP,0-17,Westchester,County,1134,55,
2AP,18+,Albany,SAMARITAN HOSPITAL,187,25,NO
3AP,18+,Hamilton,County,1,0,
2AP,18+,Statewide,Statewide,1879,227,
2AP,0-17,Jefferson,"NORTH COUNTRY TRANSITIONAL LIVING SERVS, INC.",46,3,
2AP,18+,Chautauqua,ALLEGANY COUNTY MENTAL HEALTH ASSOCIATION,28,2,
3AP,18+,Genesee,County,281,0,
2AP,0-17,Livingston,County,77,0,
2AP,0-17,Westchester,COORDINATED BEHAVIORAL CARE IPA,70,5,
3AP,0-17,Yates,County,6,0,
2AP,18+,Brooklyn,NYC-HHC KINGS COUNTY HOSPITAL CENTER,615,65,NO
3AP,18+,Onondaga,"CENTRAL NEW YORK SERVICES, INC.",58,0,NO
2AP,18+,Herkimer,County,236,20,
2AP,18+,Montgomery,"MONTGOMERY TRANSITIONAL SERVICES, INC.",21,6,NO
2AP,18+,Suffolk,"FAMILY SERVICE LEAGUE, INC.",64,17,
2AP,18+,Madison,County,294,26,
2AP,18+,Ontario,ANTHONY L. JORDAN HEALTH CENTER,31,2,
2AP,0-17,Manhattan,NYC-HHC BELLEVUE HOSPITAL CENTER,25,2,
2AP,18+,Queens,"THE CHILD CENTER OF NY, INC.",48,5,
2AP,0-17,Bronx,ASTOR SERVICES FOR CHILDREN & FAMILIES,134,3,NO
3AP,18+,Suffolk,THE LONG ISLAND HOME,52,0,
3AP,18+,Suffolk,ST. CATH OF SIENA MC-D/B/A ST.CATH SIENA HOSP,163,0,NO
2AP,0-17,Columbia,County,47,1,
2AP,18+,Rockland,County,1078,190,
2AP,0-17,Queens,NYC-HHC ELMHURST HOSPITAL CENTER,57,2,NO
3AP,18+,Wyoming,WYOMING COUNTY COMMUNITY HOSPITAL,28,0,
3AP,18+,Erie,"MONSIGNOR CARR INSTITUTE, INC.",109,0,NO
2AP,18+,Putnam,County,494,39,
2AP,18+,Manhattan,NEW YORK UNIVERSITY HOSPITALS CENTER,1159,97,NO
2AP,18+,Hamilton,County,4,0,
3AP,0-17,Delaware,County,31,0,
3AP,18+,Suffolk,ST. CATH OF SIENA MC-D/B/A ST.CATH SIENA HOSP,170,0,NO
2AP,18+,Warren,County,845,66,
3AP,18+,Ontario,FINGER LAKES ADDICTIONS COUNS & REFERRAL AGCY,77,0,
3AP,18+,Brooklyn,"CANARSIE AWARE, INC.",109,1,NO
3AP,18+,Niagara,BUFFALO PSYCHIATRIC CENTER,35,0,NO
2AP,18+,Oneida,County,1706,156,
3AP,18+,Sullivan,CATSKILL REGIONAL MEDICAL CENTER,192,4,NO
3AP,18+,Nassau,County,953,9,
2AP,18+,Erie,BUFFALO GENERAL HOSP,497,62,
2AP,18+,Erie,MERCY HOSPITAL OF BUFFALO,357,37,NO
3AP,18+,Queens,"AIDS CENTER OF QUEENS COUNTY, INC.",53,0,NO
3AP,18+,Oswego,"OSWEGO HOSPITAL, INC.",258,3,NO
2AP,18+,Ulster,County,961,104,
3AP,0-17,Putnam,County,6,0,
3AP,18+,Orange,"ACCESS: SUPPORTS FOR LIVING, INC.",500,2,NO
3AP,0-17,Suffolk,"ASSOCIATION FOR MENTAL HEALTH AND WELLNESS, I",24,0,
2AP,18+,Washington,County,119,8,
3AP,18+,Manhattan,LENOX HILL HOSPITAL,399,1,NO
2AP,18+,Fulton,County,305,27,
3AP,18+,Westchester,SAYVILLE PROJECT - SUNY STONYBROOK,88,1,
3AP,18+,Westchester,"HUMAN DEVELOPMENT SVCS. OF WESTCHESTER, INC.",69,0,NO
2AP,18+,Cattaraugus,CATTARAUGUS CNTY ALCHL&SUB AB,41,2,
2AP,0-17,Staten Island,STATEN ISLAND UNIVERSITY HOSPITAL,96,2,
2AP,18+,Brooklyn,ICL HEALTHCARE CHOICES INC,306,56,
2AP,18+,Steuben,County,396,39,
2AP,18+,Erie,MH SVS ERIE CNTY NW CORP I DBA ENVISION,81,23,
3AP,18+,Chautauqua,ALLEGANY COUNTY MENTAL HEALTH ASSOCIATION,24,0,
2AP,0-17,Cortland,County,58,1,
2AP,18+,Columbia,County,235,24,
3AP,18+,Queens,"MEDICAL ARTS SANITARIUM, INC.",252,1,
2AP,0-17,Manhattan,NYC-HHC METROPOLITAN HOSPITAL CENTER,39,0,NO
3AP,18+,Westchester,"COORDINATED BEHAVIORAL HEALTH CARE, INC.",122,1,
2AP,18+,Genesee,GENESEE COUNTY MENTAL HEALTH SERVICES,76,8,NO
2AP,18+,Warren,County,685,57,NO
2AP,0-17,Steuben,County,112,5,
2AP,18+,Manhattan,NYC-HHC WOODHULL MEDICAL & MENTAL HEALTH CENT,885,58,NO
3AP,18+,Manhattan,NYC-HHC CONEY ISLAND HOSPITAL,391,0,
3AP,0-17,Bronx,"STEINWAY CHILD AND FAMILY SERVICES, INC.",85,0,NO
2AP,0-17,Orange,County,211,9,
3AP,18+,Warren,County,3,0,
2AP,18+,Ulster,County,1095,125,
2AP,18+,Schenectady,County,1592,114,
3AP,18+,Washington,County,114,0,
2AP,18+,Dutchess,County,1322,153,
3AP,0-17,Delaware,County,34,0,NO
2AP,0-17,Manhattan,THE NEW YORK AND PRESBYTERIAN HOSPITAL,245,11,
2AP,18+,Essex,County,72,4,NO
2AP,18+,Cattaraugus,SOUTHERN TIER COMMUNITY HLTH,98,12,
2AP,18+,Monroe,ROCHESTER GENERAL HOSPITAL,571,60,NO
3AP,18+,Brooklyn,UNITED CEREBRAL PALSY OF NYC,27,0,NO
3AP,18+,Tompkins,County,447,2,
2AP,18+,Orange,County,1470,172,
3AP,18+,Warren,County,834,0,
2AP,0-17,Onondaga,"HELIO HEALTH, INC.",29,0,
3AP,18+,Columbia,COLUMBIA MEMORIAL HOSPITAL,81,0,
3AP,18+,Region,Region,1901,11,
3AP,0-17,Livingston,NICHOLAS H. NOYES MEMORIAL HOSPITAL,70,0,
3AP,18+,Brooklyn,NYC-HHC JACOBI MEDICAL CENTER,50,0,
3AP,0-17,Manhattan,County,493,1,
3AP,0-17,Albany,WHITNEY M YOUNG HEALTH CENTER,23,0,
3AP,18+,Queens,"THE BRIDGE, INC.",29,0,NO
3AP,18+,Nassau,MERCY MEDICAL CENTER,61,0,
2AP,18+,Westchester,"SANCIA WELLNESS, INC.",21,3,NO
2AP,18+,Broome,County,1160,85,
2AP,0-17,Saint Lawrence,County,78,1,NO
3AP,18+,Saint Lawrence,County,546,2,
3AP,18+,Ontario,FINGER LAKES ADDICTIONS COUNS & REFERRAL AGCY,34,0,NO
2AP,0-17,Sullivan,County,136,7,
3AP,0-17,Oneida,"THE NEIGHBORHOOD CENTER, INC.",159,0,NO
2AP,18+,Westchester,County,9037,1205,
2AP,18+,Westchester,"MONTEFIORE MOUNT VERNON HOSPITAL, INC.",143,21,
2AP,18+,Nassau,"HISPANIC COUNSELING CENTER, INC.",25,4,NO
3AP,18+,Wyoming,County,127,2,
2AP,18+,Delaware,County,105,5,
2AP,0-17,Livingston,County,79,0,
2AP,18+,Manhattan,"SERVICES FOR THE UNDERSERVED, INC.",276,39,
2AP,18+,Suffolk,HANDS ACROSS LONG ISLAND,34,6,NO
3AP,18+,Brooklyn,"FEDERATION OF ORG. F/T NYS MENT.DISABLED, INC",74,2,NO
2AP,18+,Orleans,County,80,7,NO
2AP,18+,Ontario,County,95,14,
3AP,18+,Bronx,"GEEL COMMUNITY SERVICES, INC.",30,0,NO
2AP,18+,Genesee,County,288,16,
2AP,18+,Herkimer,HERKIMER COUNTY COMMUNITY SERVICES BOARD,49,1,
3AP,18+,Onondaga,"SYRACUSE BRICK HOUSE, INC.",148,0,NO
2AP,18+,Seneca,County,130,22,
3AP,0-17,Niagara,"NEW DIRECTIONS YOUTH & FAMILY SERVICES, INC.",96,0,
2AP,0-17,Orleans,County,25,0,
3AP,0-17,Bronx,"SOUTH BRONX MENTAL HEALTH COUNCIL, INC.",52,0,NO
2AP,18+,Manhattan,CONEY ISLAND HOSPITAL SCM,458,38,
2AP,18+,Staten Island,County,1480,231,
3AP,18+,Ulster,"GATEWAY COMMUNITY INDUSTRIES, INC.",53,1,
3AP,18+,Orange,MENTAL HLTH ASSOC  MH,62,0,
2AP,18+,Hamilton,County,5,0,
2AP,0-17,Ontario,County,133,7,
3AP,18+,Ontario,"HUTHER-DOYLE MEMORIAL INSTITUTE, INC.",160,1,
2AP,0-17,Montgomery,County,141,7,
3AP,18+,Erie,NORTHWEST BUFFALO COMM H C,32,0,NO
2AP,18+,Nassau,COUNSELING SRV OF E D N Y INC,41,2,NO
3AP,18+,Chenango,County,162,1,
2AP,18+,Washington,County,116,7,
3AP,18+,Schenectady,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,105,1,
2AP,0-17,Putnam,County,28,0,
2AP,0-17,Chemung,ELMIRA PSYCHIATRIC CENTER,26,1,
3AP,18+,Cayuga,County,278,1,
2AP,0-17,Queens,County,707,26,
2AP,0-17,Ontario,County,19,0,
3AP,18+,Manhattan,ST. JOSEPH'S MEDICAL CENTER,131,0,
2AP,18+,Onondaga,County,2556,242,
3AP,18+,Sullivan,CATSKILL REGIONAL MEDICAL CENTER,112,1,NO
2AP,0-17,Genesee,County,47,0,NO
3AP,0-17,Otsego,County,261,0,
2AP,18+,Schenectady,County,1555,105,
3AP,0-17,Nassau,FAMILY AND CHILDREN'S ASSOCIATION,42,0,NO
2AP,18+,Albany,County,6132,984,
3AP,18+,Brooklyn,FIRST MEDCARE PRIMARY CARE,79,1,NO
2AP,0-17,Manhattan,"THE CHILD CENTER OF NY, INC.",21,0,
3AP,18+,Brooklyn,"FEDERATION OF ORG. F/T NYS MENT.DISABLED, INC",26,0,NO
2AP,18+,Queens,JAMAICA HOSPITAL MEDICAL CENTER,744,111,NO
3AP,18+,Schenectady,"ARMS ACRES, INC.",179,1,
2AP,18+,Bronx,"TRANSITIONAL SERVICES FOR NEW YORK, INC.",22,3,
2AP,0-17,Steuben,County,103,4,
2AP,18+,Brooklyn,NYC-HHC KINGS COUNTY HOSPITAL CENTER,532,58,NO
3AP,18+,Westchester,"FAMILY SERVICE LEAGUE, INC.",240,1,
3AP,18+,Putnam,County,240,0,
2AP,18+,Albany,MONTEFIORE MEDICAL CENTER,106,34,YES
3AP,18+,Manhattan,County,23878,73,
2AP,18+,Onondaga,CENTRAL NEW YORK HEALTH HOME NETWOR,66,4,
2AP,18+,Westchester,"FOUR WINDS, INC.",23,1,NO
3AP,18+,Yates,FINGER LAKES MIGRANT HLTH,27,0,
2AP,0-17,Columbia,County,46,0,
3AP,0-17,Sullivan,County,136,0,
2AP,18+,Hamilton,County,3,1,
2AP,18+,Hamilton,County,4,0,
2AP,18+,Manhattan,"HOUSING WORKS SER,INC AADC",47,5,
2AP,18+,Albany,HUTCHINGS PSYCHIATRIC CENTER,35,5,
3AP,18+,Nassau,NEW ISLAND HOSPITAL,61,0,NO
3AP,0-17,Oneida,"KIDS ONEIDA, INC.",50,0,
2AP,0-17,Queens,County,746,29,
2AP,0-17,Fulton,County,100,1,
2AP,18+,Ulster,County,1107,123,
2AP,18+,Franklin,County,376,31,
2AP,0-17,Warren,County,255,2,
3AP,0-17,Manhattan,"UPPER MANHATTAN M H CENTER, INC. AKA THE EMMA",47,0,
2AP,0-17,Region,Region,1152,48,
2AP,0-17,Westchester,County,1138,58,
2AP,18+,Manhattan,"HOUSING WORKS SER,INC AADC",130,6,
2AP,18+,Brooklyn,County,4415,495,
2AP,0-17,Orange,County,248,14,
3AP,18+,Queens,"QUEENS COUNTY NEUROPSYCHIATRIC INSTITUTE, INC",67,0,
3AP,18+,Monroe,"DELPHI DRUG AND ALCOHOL COUNCIL, INC.",49,0,
3AP,18+,Albany,"HOPE HOUSE, INC.",21,0,
2AP,0-17,Cortland,FAMILY COUNSELING SERVICES OF CORTLAND CO.INC,21,0,
2AP,18+,Franklin,ALICE HYDE MEDICAL CENTER,51,1,NO
2AP,18+,Monroe,UNITED CEREBRAL PALSY ROCH,50,12,
3AP,18+,Albany,County,5434,34,
2AP,18+,Brooklyn,County,11841,1328,
3AP,18+,Albany,RENSSELAER COUNTY DEPT OF MENTAL HEALTH,42,1,
